Station name ,Climate ID,Province/Territory/State,Latitude,Longitude
ABBEY,4020020,SK,50.7,-108.7833
ABBOTSFORD A,1100030,BC,49.0253,-122.36
ACADIA FOREST EXP ST,8100100,NB,45.9903,-66.3633
ADDENBROKE ISLAND,1060080,BC,51.6035,-127.8639
AGASSIZ CDA,1100120,BC,49.2431,-121.7603
ALBERNI ROBERTSON CREEK,1030230,BC,49.3372,-124.982
ALBERTON,8300080,PE,46.85,-64.0167
ALLISTON NELSON,6110218,ON,44.1514,-79.8722
ALMA,8100200,NB,45.6,-64.95
ALONSA,5040037,MB,50.8333,-99.05
ALTONA,5020040,MB,49.1,-97.55
AMULET,4010150,SK,49.6167,-104.7333
ANDREW,3010234,AB,54.0167,-112.2333
ANGERS,7030170,QC,45.55,-75.55
ARBORG,5030080,MB,50.9333,-97.0833
AROOSTOOK,8100300,NB,46.7122,-67.7156
ATHABASCA 2,3060321,AB,54.8217,-113.5397
ATLIN,1200560,BC,59.5667,-133.7
ATWATER,4010310,SK,50.8167,-102.2167
AVONMORE,6100398,ON,45.17,-74.9708
AYLSHAM,4070365,SK,53.2,-103.8
BABINE LAKE PINKUT CREEK,1070573,BC,54.4464,-125.4597
BAGOTVILLE A,7060400,QC,48.3333,-71
BAKER LAKE A,2300500,NU,64.2989,-96.0778
BALCARRES,4010395,SK,50.7833,-103.6167
BALDUR,5010140,MB,49.2764,-99.2924
BANGOR,8300128,PE,46.35,-62.6833
BARKERVILLE,1090660,BC,53.0692,-121.5147
BARRIE WPCC,6110557,ON,44.3758,-79.6897
BARWICK,6020559,ON,48.6333,-93.9667
BAY D'ESPOIR GEN STN,8400413,NL,47.9833,-55.8
BEAR RIVER,8200500,NS,44.5667,-65.6333
BEATRICE 2,6110606,ON,45.1333,-79.4
BEAUSEJOUR,7020567,QC,46.6667,-71.1667
BEAVER,5040166,MB,50.05,-98.7
BEAVER CREEK A,2100160,YT,62.4103,-140.8675
BEAVER MINES,3050600,AB,49.4672,-114.177
BEAVERDELL NORTH,1130771,BC,49.4783,-119.047
BEECHY,4020560,SK,50.832,-107.3114
BELLA COOLA,1060840,BC,52.3706,-126.685
BELLA COOLA A,1060841,BC,52.3875,-126.5958
BELLEVILLE,6150689,ON,44.1506,-77.3947
BIGGAR,4040600,SK,52.0667,-107.9833
BIGHORN DAM,30506GN,AB,52.3167,-116.3333
BINSCARTH,5010216,MB,50.5833,-101.2667
BLUE RIVER A,1160899,BC,52.129,-119.2895
BLYTH,6120819,ON,43.7183,-81.3836
BOAT BLUFF,1060901,BC,52.6431,-128.5239
BOAT HARBOUR,8400578,NL,47.4306,-54.8428
BON ACCORD,8100566,NB,46.6508,-67.5845
BONILLA ISLAND,1060902,BC,53.4928,-130.6377
BONSECOURS,7020828,QC,45.4,-72.2667
BOWMANVILLE MOSTERT,6150830,ON,43.9167,-78.6667
BRANDON A,5010480,MB,49.91,-99.9519
BRANDON CDA,5010485,MB,49.8667,-99.9833
BRANTFORD MOE,6140954,ON,43.1333,-80.2333
BRIDGE LAKE 2,1160986,BC,51.5038,-120.7935
BRIDGEWATER,8200600,NS,44.4,-64.55
BRIGHTVIEW,3010830,AB,52.9833,-113.7167
BROCKVILLE PCC,6100971,ON,44.6,-75.6667
BROME,7020840,QC,45.1833,-72.5667
BROMPTONVILLE,7020860,QC,45.4833,-71.95
BROOKS NORTH,3030862,AB,50.6167,-111.8833
BROWNFIELD,3010890,AB,52.3192,-111.4695
BUCHANS,8400698,NL,48.8167,-56.8667
BUFFALO NARROWS A,4060982,SK,55.8333,-108.4333
BURKETON MCLAUGHLIN,6151042,ON,44.0333,-78.8
BURNABY CAPITOL HILL,1101146,BC,49.2861,-122.9867
BURNABY SIMON FRASER U,1101158,BC,49.2784,-122.918
BURWASH A,2100182,YT,61.3667,-139.05
BUTTE ST PIERRE,4041000,SK,53.45,-109.2
CALGARY INT'L A,3031093,AB,51.1139,-114.0203
CALLING LAKE RS,3061117,AB,55.25,-113.1833
CALMAR,3011120,AB,53.2897,-113.8631
CAMBRIDGE BAY A,2400600,NU,69.1081,-105.1383
CAMPBELL RIVER A,1021261,BC,49.9519,-125.2731
CAMPBELL RIVER SURFSIDE,1021266,BC,49.945,-125.2075
CAMPSIE,3061200,AB,54.1322,-114.6778
CAMROSE,3011240,AB,53.05,-112.8167
CAP DES ROSIERS,7051055,QC,48.85,-64.2
CAPE BEALE LIGHT,1031316,BC,48.7861,-125.2161
CAPE MUDGE,1021330,BC,49.9985,-125.1955
CAPE SCOTT,1031353,BC,50.7822,-128.4272
CARDSTON,3031320,AB,49.1317,-113.242
CARIBOO LODGE,1171393,BC,52.7195,-119.4717
CARMANAH POINT,1031402,BC,48.6117,-124.7514
CARMANGAY VILLAGE,3031348,AB,50.1244,-113.1117
