"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,2011,-8.2,1988,-38.6,2019,-19.6,1951,-3.9
"2",1,2,1985,-4,1959,-37.2,2010,-20.8,1972,-2.8
"3",1,3,2009,-2.8,1957,-39.4,2010,-20.2,1966,-2.8
"4",1,4,1969,-10.6,1958,-40.6,2010,-17.9,1972,-1.7
"5",1,5,1969,-10,1958,-40.6,2015,-23.1,1982,-6.3
"6",1,6,2003,-13,1966,-41.1,2013,-19.7,2013,-2.8
"7",1,7,2003,-12,1966,-45,2011,-20.6,1961,-2.2
"8",1,8,1960,-6.1,1971,-40.6,2011,-18.8,1963,-5
"9",1,9,1960,-5.6,1975,-38.9,2011,-21.1,1992,-2.5
"10",1,10,2014,-5.3,1956,-37.8,1960,-23.9,1964,-3.9
"11",1,11,2014,-6.4,1956,-40,2014,-14.1,1951,-4.4
"12",1,12,2016,-6.6,1982,-42.1,2014,-18.5,1951,-5
"13",1,13,2016,-7,1996,-35.5,2016,-14.3,1992,-4
"14",1,14,2016,-12.4,1994,-38.5,2016,-19,1997,-4.5
"15",1,15,1962,-15,1988,-38.9,1962,-22.2,2013,-4.6
"16",1,16,1962,-6.7,1992,-39.5,1962,-22.2,2013,-4.7
"17",1,17,1960,-13.3,1951,-41.1,1960,-21.1,1979,-4.3
"18",1,18,1959,-7.2,1951,-45,2011,-21.8,1979,-3.9
"19",1,19,2012,-13.3,1951,-45,1958,-20.6,1997,-5.4
"20",1,20,1977,-15.9,1951,-42.2,1958,-20,1973,-5.6
"21",1,21,2017,-14.7,1951,-40,1958,-23.3,1973,-5
"22",1,22,1958,-5.6,1951,-43.3,1972,-21.7,1979,-7.5
"23",1,23,1958,0,1957,-41.1,1958,-17.2,2013,-7.8
"24",1,24,1958,0,1975,-42.2,1958,-7.2,2008,-8.7
"25",1,25,1973,-5.6,1989,-43.1,1958,-12.2,2013,-7.4
"26",1,26,1965,-10.6,2000,-40,1965,-13.9,2013,-8.2
"27",1,27,1970,-6.7,2000,-39.5,1958,-18.3,2008,-6.6
"28",1,28,1954,-13.9,1989,-41.6,2018,-23.2,1951,-7.2
"29",1,29,1967,-10,1989,-41.6,2016,-23.9,1953,-7.2
"30",1,30,2016,-9.5,1989,-41.1,1969,-26.1,1953,-8.3
"31",1,31,1957,-8.3,1979,-40,2008,-24.7,1953,-11.1
"32",2,1,2008,-11.4,1985,-40.7,2014,-19,1953,-11.1
"33",2,2,2008,-5.1,1985,-41,2008,-19.7,2006,-9.1
"34",2,3,2008,-4.9,1985,-41.7,2008,-23.2,1962,-10
"35",2,4,1963,0,1967,-41.7,1963,-17.8,1962,-11.7
"36",2,5,1963,0.6,1990,-39.1,1963,-7.8,1971,-11.1
"37",2,6,1963,-2.2,1979,-43.6,2010,-22.9,1997,-13.5
"38",2,7,1978,-12.2,1979,-43.5,1980,-22.9,1952,-15
"39",2,8,1963,-10.6,1979,-45.2,1978,-15.6,1952,-12.2
"40",2,9,2004,-6.5,1979,-44.7,1978,-17.3,1952,-14.4
"41",2,10,1960,-1.1,1973,-45,1980,-23,1952,-17.2
"42",2,11,1960,-11.1,1972,-42.8,1960,-18.3,1967,-11.7
"43",2,12,2011,-3.8,1972,-42.8,2019,-18.4,1975,-13.3
"44",2,13,2011,-5.9,1972,-41.7,1978,-17.2,1975,-13.3
"45",2,14,2011,-11.2,1979,-45.6,2011,-24.8,1959,-16.1
"46",2,15,2011,-5.3,1979,-44.5,1976,-23.3,1959,-17.2
"47",2,16,2018,-7.2,1979,-43.1,2018,-21.1,1999,-18
"48",2,17,1955,-4.4,1979,-44.7,2017,-24.2,1999,-18
"49",2,18,2018,-10,1979,-43.3,1955,-22.8,1966,-18.9
"50",2,19,1986,-6.1,1979,-40.7,2008,-29.4,1964,-18.9
"51",2,20,1996,-12.5,1972,-38.9,1959,-25.6,1950,-20.6
"52",2,21,1960,-10.6,2013,-42.7,2015,-21.5,1961,-21.7
"53",2,22,1986,-2.9,2013,-43.3,2005,-22,1961,-23.3
"54",2,23,1986,-3.9,1979,-43.9,2018,-20.3,1961,-24.4
"55",2,24,2005,-9,1979,-44.4,2007,-26.6,1973,-22.2
"56",2,25,1965,-3.3,1979,-40.3,1966,-25,1961,-21.1
"57",2,26,1965,1.1,1979,-39.4,1965,-18.3,1980,-25.1
"58",2,27,2006,-5.5,2013,-40.7,1965,-20.6,1980,-25
"59",2,28,2006,-3,1968,-42.8,2018,-18.9,1956,-23.3
"60",2,29,1964,-18.9,1968,-40.6,1992,-24,1956,-26.1
"61",3,1,2006,-10.2,1968,-42.2,2006,-20.3,1974,-25.6
"62",3,2,2006,-7.2,1994,-42.5,2019,-22.3,1974,-25.6
"63",3,3,2006,-8.3,1973,-41.1,2018,-20.3,1974,-26.7
"64",3,4,2019,-13.3,1956,-41.1,2019,-20.1,1980,-26.1
"65",3,5,2018,-12.1,1956,-41.1,2018,-23.8,1974,-24.4
"66",3,6,1997,-16,1969,-40.6,1990,-23.1,1974,-27.2
"67",3,7,1962,-11.7,1986,-40.5,2016,-23.4,1974,-26.1
"68",3,8,2016,-17.2,1986,-41.9,2016,-24.6,1982,-26.2
"69",3,9,1991,-9.9,1956,-43.3,2014,-23,1979,-28.2
"70",3,10,1991,-15,1961,-45,1991,-23.2,1979,-27.2
"71",3,11,1957,-11.1,1961,-45,1997,-23.5,1961,-27.2
"72",3,12,1957,-2.2,1961,-40.6,1988,-18.1,1975,-28.9
"73",3,13,2005,-6,1969,-41.1,1957,-15,1975,-32.8
"74",3,14,1971,-9.4,2004,-38.5,2013,-19.9,1953,-30.6
"75",3,15,1988,-2.4,1970,-42.2,2005,-22,1990,-29.7
"76",3,16,1979,-9.2,1970,-41.1,1999,-18,1990,-30.3
"77",3,17,1982,-11.2,2004,-38.5,1999,-17,1952,-30.6
"78",3,18,1996,-11,1975,-39.4,1996,-22,1970,-29.4
"79",3,19,1997,-8.5,1988,-42.2,1980,-20.4,1978,-37.3
"80",3,20,2013,-6.8,1988,-41.8,1980,-20.3,1978,-30.6
"81",3,21,2013,-7.2,1960,-40.6,2013,-19.2,1996,-32.5
"82",3,22,2013,-8,1967,-37.8,2013,-23.7,1951,-35
"83",3,23,2013,-4,1960,-41.7,2011,-17.2,1978,-34.7
"84",3,24,2011,-9.1,1960,-40,2011,-14.7,1951,-35.6
"85",3,25,2011,-11.5,1977,-36.6,2011,-17,1978,-36.9
"86",3,26,1967,-11.7,2003,-36,2011,-24.2,1978,-35.9
"87",3,27,1967,-7.8,1989,-36,1967,-13.9,1959,-33.9
"88",3,28,1998,-9.5,1987,-37,1988,-25.4,1959,-33.3
"89",3,29,1998,-8.5,1954,-38.9,2004,-25,1978,-33.1
"90",3,30,1985,-9.6,1958,-35.6,2017,-21.3,1970,-33.9
"91",3,31,1953,-12.8,1958,-34.4,2017,-23.6,1950,-33.3
"92",4,1,1953,-11.1,1966,-37.2,1953,-15.6,1986,-33
"93",4,2,1953,-9.4,1954,-38.3,1953,-18.9,1979,-33.5
"94",4,3,1953,-8.9,1954,-36.1,1953,-18.3,1979,-34.6
"95",4,4,1993,-14.5,1982,-34.5,2007,-18.2,1979,-34.6
"96",4,5,2007,-10.1,1976,-31.7,2007,-15.4,1984,-34.4
"97",4,6,1980,-8.3,2001,-35.5,1990,-14.2,1992,-35.5
"98",4,7,1953,-10.6,1964,-35,1967,-16.7,1992,-35
"99",4,8,1953,-11.1,1964,-33.9,1953,-18.9,1966,-36.7
"100",4,9,1956,-7.2,1985,-33.5,1995,-23.5,1962,-39.4
"101",4,10,1956,-6.7,1960,-31.1,1990,-16,1966,-38.3
"102",4,11,1963,-4.4,1964,-31.1,1963,-13.3,1966,-37.8
"103",4,12,1963,-4.4,1989,-34.6,1995,-17,1969,-36.7
"104",4,13,1963,-7.8,1989,-31.2,1963,-18.3,2003,-36
"105",4,14,1956,-8.9,1978,-28.8,1956,-17.2,1969,-38.3
"106",4,15,1956,-8.9,1985,-28.3,1956,-16.1,1969,-39.4
"107",4,16,2010,-6.2,1972,-27.2,1995,-15,1995,-37.5
