"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1928,9.4,1885,-7.2,1949,1.7,1881,-1.7
"2",1,2,1979,10.6,1875,-10,1979,4.2,2006,-0.6
"3",1,3,1979,11.6,2014,-8.6,1911,4.4,1914,-3.3
"4",1,4,2000,11.8,1956,-6.7,1950,3.9,1904,-2.2
"5",1,5,2000,11.4,1983,-5.8,1897,2.8,1919,-1.7
"6",1,6,2007,12.3,1990,-7.5,2007,3.8,1931,-2.2
"7",1,7,1892,11.1,1982,-10.3,1946,3.9,1993,-2.7
"8",1,8,1958,10,1923,-8.3,1930,3.9,1993,-3.1
"9",1,9,1999,11.3,1885,-6.1,2008,2.4,1974,-1.7
"10",1,10,1935,7.8,1946,-5.6,1956,1.1,1972,-2.2
"11",1,11,1983,10.3,1882,-5.6,1956,0.6,1936,-3.3
"12",1,12,2018,12,1994,-3.7,2018,6,2009,-4.7
"13",1,13,2018,14.5,1957,-5,1956,2.2,2000,-3
"14",1,14,2006,11.6,1954,-4.4,1932,5,2000,-2
"15",1,15,2006,13.2,2016,-4.7,1937,3.3,2008,-3.4
"16",1,16,1959,10,1921,-2.8,2014,0,2008,-4
"17",1,17,1959,10,1907,-3.9,1959,1.1,1974,-6.7
"18",1,18,2006,8.5,1950,-3.3,1958,2.2,1974,-6.7
"19",1,19,1996,10.6,1972,-2.8,2015,1.7,1969,-3.3
"20",1,20,1996,10.8,1927,-3.9,1986,4.9,1969,-3.3
"21",1,21,1951,9.4,1943,-2.8,1960,-1.1,1974,-2.8
"22",1,22,1959,9.4,1967,-3.9,1957,0.6,2002,-4.3
"23",1,23,1902,8.9,1985,-4,1902,2.2,1936,-5
"24",1,24,1999,15.1,1945,-1.7,1999,1.2,1936,-5
"25",1,25,2019,10,2018,-2.5,1953,4.4,1965,-3.3
"26",1,26,2000,9.8,1939,-1.1,1938,2.2,1965,-5.6
"27",1,27,1986,12.4,2003,-1.2,1986,3.2,1944,-4.4
"28",1,28,1986,11.7,2009,-1.8,1979,1.6,1969,-5
"29",1,29,1950,8.3,1974,1.1,1910,0.6,1965,-5.6
"30",1,30,2013,9.9,1979,0,1929,-0.6,1911,-6.7
"31",1,31,1947,8.9,1874,-0.6,1927,0,1911,-5
"32",2,1,1951,8.9,1984,0,1906,2.2,1873,-7.8
"33",2,2,1976,13.3,1933,0,1906,0.6,1879,-8.3
"34",2,3,1970,9.4,1965,0.6,1973,3.3,1879,-9.4
"35",2,4,1970,11.1,1883,0.6,1984,2.9,1992,-7.2
"36",2,5,2006,9.3,1992,-0.7,1954,0.6,1921,-8.3
"37",2,6,1962,7.8,1993,0.2,1954,0,1976,-7.8
"38",2,7,1915,9.4,1882,0,1915,0,1976,-7.8
"39",2,8,1951,10,1912,0,1915,0,1971,-6.7
"40",2,9,1933,10,1896,0.6,1996,0.8,1933,-11.1
"41",2,10,1917,7.2,1914,0,1900,1.1,1986,-11.9
"42",2,11,1981,9.6,1957,1.1,1925,1.7,1905,-11.7
"43",2,12,1981,11.9,1988,2.1,1925,1.7,1916,-11.1
"44",2,13,1999,10.8,1992,2.2,1886,1.7,1933,-11.1
"45",2,14,1972,8.9,1939,3.3,1930,1.7,1936,-14.4
"46",2,15,1939,11.7,1990,0.6,1991,1.8,2018,-15.2
"47",2,16,2016,9.3,1973,2.2,2002,1.5,1936,-11.7
"48",2,17,2016,9.7,1973,2.2,1915,0.6,1896,-11.7
"49",2,18,2008,8.5,1962,2.8,1981,0,1978,-13.6
"50",2,19,1981,10.3,1972,2.2,1981,0,1881,-13.3
"51",2,20,1994,10.3,1977,2.8,1994,3.2,1972,-13.3
"52",2,21,1994,10,1914,3.3,2016,0.9,2008,-14.2
"53",2,22,1954,8.9,2005,2.7,1954,1.7,1957,-12.8
"54",2,23,1996,10.8,1985,3.2,1996,3.8,1978,-14.9
"55",2,24,1943,10.6,2003,3.2,1996,2.9,1881,-15
"56",2,25,2016,12.3,1883,5,2016,4.7,1883,-14.4
"57",2,26,2017,9,1983,4.2,1915,3.9,1873,-17.2
"58",2,27,1908,8.9,2013,3.2,2002,2.9,1875,-18.9
"59",2,28,2000,11.3,1945,3.9,2000,6.4,1890,-18.9
"60",2,29,2000,12.4,1990,3.5,1944,0.6,1890,-21.7
"61",3,1,1903,8.9,1990,3.9,1933,0.6,1890,-20.6
"62",3,2,2016,9.5,2007,4.8,1902,1.7,2018,-18.4
"63",3,3,1890,9.4,1990,4.8,1902,2.2,1991,-15.2
"64",3,4,1999,10.5,1956,5.6,1942,1.1,1940,-16.1
"65",3,5,1979,11.4,1973,5.6,1974,1.7,1986,-18.5
"66",3,6,1979,13.3,1967,4.4,1979,4.9,1976,-22.2
