"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1970,1.7,1934,-51.2,1926,-7.8,1934,-53.3
"2",1,2,2016,2.8,1997,-50,1954,2.8,1934,-53.3
"3",1,3,2003,-3,1965,-49.4,1954,7.8,1965,-52.8
"4",1,4,2003,5,1965,-49.4,1954,9.4,1965,-52.8
"5",1,5,2003,1.5,1965,-52.8,1954,10,1965,-53.9
"6",1,6,2003,4.5,1975,-50.6,1954,6.7,1965,-54.4
"7",1,7,1958,8.3,1975,-50,1954,1.1,1959,-53.3
"8",1,8,1944,1.1,1975,-50,1954,-1.1,1965,-53.9
"9",1,9,1944,1.1,1975,-48.9,1926,-8.9,1975,-51.2
"10",1,10,1937,1.7,1975,-49.4,1944,-9.4,1983,-51.4
"11",1,11,1937,-1.7,1969,-49.4,1937,-7.2,1972,-52.8
"12",1,12,1931,0,1912,-49.4,1985,-9.6,1980,-53.8
"13",1,13,1986,-2.4,1912,-48.9,1954,0.6,1912,-52.2
"14",1,14,1981,4.3,1971,-48.3,1954,4.4,1980,-53.8
"15",1,15,1981,9.7,1971,-50.6,1954,3.3,1901,-54.4
"16",1,16,1981,6.2,1971,-53.3,1954,-1.1,1971,-55
"17",1,17,2018,0.7,1971,-53.3,1954,-5,1971,-55.6
"18",1,18,1981,5,1971,-47.8,1954,-3.3,1971,-56.2
"19",1,19,1981,8.9,1952,-51.7,2009,-4,1952,-53.9
"20",1,20,2009,0,1952,-52.2,1954,-3.9,1952,-54.4
"21",1,21,1942,-1.7,1934,-50.6,1965,-7.8,1952,-53.3
"22",1,22,1980,-1.2,1934,-51.2,1954,-5,1934,-54.4
"23",1,23,1985,1.1,1906,-51.7,1954,0,1906,-53.9
"24",1,24,1978,0.3,1906,-51.2,1912,-9.4,1906,-55
"25",1,25,2011,21.5,1911,-49.4,1954,2.8,1906,-53.3
"26",1,26,1991,2.6,1971,-51.2,1954,8.3,1971,-53.9
"27",1,27,1944,2.2,1962,-50.6,1954,11.7,1971,-53.9
"28",1,28,2011,17,1962,-50,1954,13.9,1962,-53.3
"29",1,29,1910,-1.7,1971,-49.4,2016,-11,1971,-53.3
"30",1,30,1976,-0.6,1947,-46.7,1954,7.8,1933,-52.8
"31",1,31,2000,3,1925,-46.7,1926,-11.1,1990,-52.2
"32",2,1,1981,-0.9,1917,-47.2,2003,-12.5,1990,-51.4
"33",2,2,1957,1.1,1968,-48.3,1986,-9.8,1968,-52.2
"34",2,3,1941,4.4,1947,-52.8,1957,-11.1,1947,-58.3
"35",2,4,1941,7.8,1947,-51.2,1941,1.1,1947,-56.7
"36",2,5,1995,2.4,1947,-43.9,1980,-8.2,1947,-54.4
"37",2,6,1993,5.2,1936,-45,1980,-9.4,1979,-52.3
"38",2,7,1978,6.2,1943,-44.4,1978,-5,1979,-54.5
"39",2,8,1978,2.6,1979,-44.8,1960,-13.3,1979,-54.6
"40",2,9,1982,-1.4,1979,-43.5,1982,-8.9,1979,-54
"41",2,10,1996,5.5,1936,-42.2,2000,-9,1979,-53
"42",2,11,2006,5.5,1932,-43.3,2006,-8.5,1979,-55.8
"43",2,12,2006,9,1932,-44.4,2003,-5.5,1979,-52.7
"44",2,13,2006,-1,1979,-42.7,2006,-6,1979,-53.2
"45",2,14,2017,5.7,1930,-41.7,1934,-8.9,1979,-53.1
"46",2,15,1907,7.2,1979,-43,1929,-7.8,1979,-54.3
"47",2,16,1935,8.9,1979,-40.8,1917,-10,1979,-52.7
"48",2,17,1984,2.5,1972,-38.3,1912,-11.1,1972,-48.3
"49",2,18,1911,6.1,1949,-40,1934,-7.8,1972,-48.3
"50",2,19,1977,8,1907,-40,1911,-4.4,1972,-47.8
"51",2,20,2008,6.5,1907,-38.9,2008,-3,1956,-48.3
"52",2,21,1977,5.6,1932,-40,1977,-4.7,1932,-50.6
"53",2,22,1911,6.7,1932,-43.3,1963,-5.6,1932,-50.6
"54",2,23,1911,6.7,1932,-38.9,1911,-1.1,1932,-52.2
"55",2,24,2015,3,1907,-33.9,2015,-3.5,1907,-47.2
"56",2,25,1927,3.9,1932,-34.4,1938,-7.8,2007,-47
"57",2,26,1975,5,1910,-33.9,1975,-4.4,1971,-46.1
"58",2,27,2001,9,1936,-32.2,1980,-7.9,1936,-44.4
"59",2,28,1992,9.5,1932,-33.9,1992,-2.5,2007,-44.5
"60",2,29,1968,0,1932,-37.8,1968,-6.7,1932,-42.8
"61",3,1,1988,4.5,1932,-33.3,2003,-5.5,1932,-45.6
"62",3,2,1988,7,2007,-30,1988,-3.5,1956,-47.8
"63",3,3,2000,4.5,1918,-28.9,2003,-7.5,2007,-45
"64",3,4,2010,2.5,1951,-28.9,1945,-8.3,1987,-44
"65",3,5,1941,5,1951,-31.1,1968,-7.2,1987,-45.2
"66",3,6,1984,2.6,1951,-29.4,1968,-1.7,1987,-44.2
"67",3,7,2008,7.5,1972,-26.1,1984,-3.5,1972,-43.9
"68",3,8,1924,7.8,1916,-26.7,1924,-4.4,1972,-43.9
"69",3,9,1970,5.6,1911,-27.2,1984,-1.2,1972,-46.1
"70",3,10,1965,8.9,1972,-26.7,1984,0.5,1972,-43.3
"71",3,11,1988,8,1966,-25.6,1984,0.2,1966,-41.7
"72",3,12,1981,7.8,1911,-27.8,1965,-3.9,1995,-41.5
"73",3,13,1947,10,1911,-28.9,1992,-3,1911,-43.9
"74",3,14,1947,7.8,1902,-25,2005,-0.5,1931,-40.6
"75",3,15,1910,7.8,1931,-25.6,2018,-0.6,1964,-40.6
"76",3,16,2007,25.5,1931,-24.4,1947,-1.1,1931,-41.1
"77",3,17,1995,9.3,1931,-24.4,1995,3,1959,-40.6
"78",3,18,2019,9.8,1930,-22.2,2019,3,1959,-39.4
"79",3,19,2019,11.8,1930,-21.1,2019,0.7,1959,-40.6
"80",3,20,2019,9.4,1918,-20.6,2018,-4.5,1959,-38.9
"81",3,21,2019,13.1,1918,-21.1,2006,-1.5,1907,-41.1
"82",3,22,2019,12.9,1943,-20.6,1968,-3.9,1923,-37.8
"83",3,23,2019,14.8,1943,-21.1,1979,-1.2,1918,-40
"84",3,24,1998,8,1918,-20,1932,0,1907,-40
"85",3,25,1994,8.6,1918,-19.4,2006,-2.5,1918,-37.2
"86",3,26,1994,10.3,1925,-15.6,1912,1.7,1967,-37.2
"87",3,27,1940,9.4,1925,-18.3,2000,1.5,1989,-36.3
"88",3,28,2010,10.5,1925,-18.9,2010,1,1907,-37.8
"89",3,29,2016,12.1,1920,-16.1,2016,0.5,1920,-38.9
"90",3,30,1984,10.6,1944,-24.4,2016,-1.1,1920,-35
"91",3,31,2016,14.2,1944,-22.2,1916,0.6,1944,-39.4
"92",4,1,2019,13.2,1944,-18.9,1995,0.3,1944,-40
"93",4,2,1994,13.5,1944,-13.9,1994,0,1944,-40
"94",4,3,1994,12.9,1927,-14.4,1916,0.6,1944,-40.6
"95",4,4,1958,11.1,1927,-16.7,1966,1.7,1927,-33.9
"96",4,5,1940,11.1,1927,-17.8,1922,2.2,1927,-36.1
"97",4,6,1941,11.7,1927,-15.6,1915,1.7,1927,-33.9
"98",4,7,2007,13.5,1903,-13.3,2007,3.5,1901,-28.3
"99",4,8,2007,13.5,1986,-14.8,1960,3.9,1924,-31.1
"100",4,9,2016,12.6,1986,-11.4,1959,5,1903,-27.8
"101",4,10,2016,13,1911,-8.3,1975,0.6,1911,-31.7
"102",4,11,1915,13.9,1911,-7.8,1915,2.8,1911,-31.7
"103",4,12,2012,13.5,1961,-12.8,1915,2.8,2013,-24.5
"104",4,13,1915,12.2,1914,-11.1,1971,1.1,1992,-30.1
"105",4,14,2003,14,1914,-15.6,2003,2,1961,-24.4
"106",4,15,1915,14.4,1914,-7.8,1999,2,1909,-26.1
"107",4,16,1993,15.3,1927,-9.4,1952,2.2,1972,-25
"108",4,17,2010,19,1948,-10,1998,4.5,1961,-26.1
"109",4,18,1999,17.5,1959,-12.8,1998,8,1948,-25.6
"110",4,19,1999,16,1959,-10,1953,5.6,1959,-26.7
"111",4,20,2010,18,1959,-3.3,2000,3,1959,-26.1
"112",4,21,2007,15.5,1924,-7.8,1952,2.8,1959,-23.9
"113",4,22,1940,16.1,1924,-6.7,1932,3.9,1924,-25
"114",4,23,1994,18,1948,-6.1,2016,3.1,1924,-22.2
"115",4,24,2016,19,1948,-3.9,1952,4.4,1948,-22.2
"116",4,25,2003,21,1909,-0.6,1989,5.1,1948,-21.1
"117",4,26,2003,22.5,1948,-2.2,1928,7.2,1966,-17.8
"118",4,27,1995,22.3,2013,-1,1982,3.8,2013,-16
"119",4,28,2003,22,2013,-2.5,1995,2.5,2013,-20
"120",4,29,1976,21.7,2013,-1,2003,6,1977,-17
"121",4,30,1976,21.7,1937,0,1991,5.7,1972,-13.3
"122",5,1,2009,22.5,1923,-1.7,1973,5,1937,-12.8
"123",5,2,2009,22.5,1961,-1.1,1934,6.1,1923,-11.7
"124",5,3,1915,23.9,1945,-0.6,1979,5.4,2002,-13.5
"125",5,4,1991,22.5,1922,-0.6,1976,5,1945,-12.8
"126",5,5,1991,21.9,1922,-1.1,2018,5.4,1965,-11.1
"127",5,6,1951,20.6,1917,-2.2,1925,6.1,1917,-11.1
"128",5,7,2005,21.5,1917,2.2,1925,8.3,1917,-11.1
"129",5,8,2005,23.5,1917,-1.1,1938,10,1964,-11.7
"130",5,9,1995,26.5,1964,-7.2,1950,7.8,1964,-14.4
"131",5,10,1995,28.1,1964,-5,1947,7.2,1964,-13.3
"132",5,11,1995,28,1952,1.7,2018,7.8,1964,-15.6
"133",5,12,1995,28.5,1954,1.7,1988,10.8,1965,-7.8
"134",5,13,2016,26.6,1957,2.2,2005,11,1954,-11.7
"135",5,14,2016,26.6,1996,4.5,1988,9,1954,-11.1
"136",5,15,1993,26.5,1972,5.6,2005,12,2000,-6
"137",5,16,1993,26.6,1967,3.9,1955,9.4,2009,-6
"138",5,17,2015,27.5,1992,3.6,1980,10.2,1967,-7.8
"139",5,18,2015,28.4,1918,5,1944,9.4,1999,-5
"140",5,19,1961,27.8,2013,1,1994,11.3,1999,-6.5
"141",5,20,2015,26.7,1985,5.8,1926,11.7,2013,-7
"142",5,21,2015,28.8,1995,6,1932,10,2013,-3.5
"143",5,22,2015,29.6,1972,7.8,1961,12.2,1918,-6.7
"144",5,23,2015,29.1,1964,7.2,1961,11.7,1920,-3.9
"145",5,24,1960,30,1964,10,1938,10,1931,-4.4
"146",5,25,2002,28,1914,8.3,1905,12.8,1949,-3.9
"147",5,26,1961,28.9,1921,10,1998,14.5,1997,-2.5
"148",5,27,1998,30,1956,11.7,2005,15,1910,-5
"149",5,28,1998,30.5,1939,10,1907,13.3,1910,-3.9
"150",5,29,1922,29.4,1926,9.4,1998,13,1920,-2.2
"151",5,30,1983,30.5,1911,7.8,1916,13.3,1934,-2.8
"152",5,31,1983,34.7,1931,8.9,1930,11.1,1933,-3.9
"153",6,1,1936,30.6,1933,8.3,1990,12.6,1917,-3.9
"154",6,2,1936,32.2,1933,7.8,1936,12.8,1917,-3.3
"155",6,3,1936,30.6,1912,9.4,1905,14.4,1917,-2.2
"156",6,4,2007,30.5,1910,9.4,1908,18.3,1947,-3.3
"157",6,5,1958,33.3,1955,12.8,1908,18.3,1996,-3
"158",6,6,1980,32.9,1935,12.8,2009,14,1996,-2.5
"159",6,7,1923,32.8,1997,12,2000,12,1933,-2.2
