"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1962,7.8,1928,-32.2,1964,-0.6,1928,-40
"2",1,2,2019,8.6,1950,-32.8,2019,1.2,1950,-40.6
"3",1,3,1906,10,1883,-31.1,1918,-0.6,1883,-46.1
"4",1,4,2012,11.1,1966,-32.2,1984,1,1884,-46.7
"5",1,5,1903,8.3,1966,-30.6,1984,0.7,1887,-42.8
"6",1,6,1963,9.4,1965,-29.4,1893,2.2,1886,-38.9
"7",1,7,2003,9.9,1909,-33.9,1963,0.6,1886,-47.2
"8",1,8,1926,8.9,1965,-28.9,2002,2.6,1909,-41.7
"9",1,9,2012,9.8,1930,-31.1,1928,2.2,1909,-38.3
"10",1,10,1986,7.5,1911,-32.2,1928,-1.1,1912,-43.3
"11",1,11,1996,9.8,1911,-33.3,1996,4.1,1916,-41.1
"12",1,12,1891,9.4,1911,-36.1,1884,0,1911,-43.3
"13",1,13,1891,9.4,1911,-34.4,1943,1.1,1911,-46.7
"14",1,14,1942,8.3,1950,-33.9,1965,1.1,1950,-44.4
"15",1,15,2014,9.1,1896,-33.3,2013,2.8,1896,-43.9
"16",1,16,1884,7.2,1896,-32.8,1961,0,1930,-41.1
"17",1,17,2009,8.3,1935,-31.7,1976,0,1950,-41.7
"18",1,18,2009,9,1886,-34.4,1900,3.3,1886,-43.9
"19",1,19,1944,10,1886,-38.9,1891,2.2,1886,-49.4
"20",1,20,1981,10.7,1886,-36.1,1944,0,1943,-44.4
"21",1,21,1948,8.3,1943,-34.4,1900,0,1886,-49.4
"22",1,22,1892,11.1,1916,-32.8,2015,2.5,1922,-45.6
"23",1,23,1968,11.1,1916,-33.3,1892,6.1,1888,-41.1
"24",1,24,1947,7.8,1950,-32.8,2014,3,1920,-43.3
"25",1,25,2015,9.2,1972,-31.7,2015,2.6,1916,-42.8
"26",1,26,1989,10.2,1929,-31.7,1934,2.8,1972,-41.1
"27",1,27,1889,13.9,1929,-35.6,1913,0.6,1929,-45
"28",1,28,1941,11.7,1929,-31.1,1913,2.2,1893,-42.2
"29",1,29,1931,12.8,1887,-35.6,1931,2.8,1887,-43.3
"30",1,30,1931,11.7,1893,-40,1993,3.5,1893,-43.3
"31",1,31,1976,11.1,1887,-35.6,1976,3.9,1893,-42.8
"32",2,1,1935,11.7,1887,-34.4,1935,4.4,1917,-45.6
"33",2,2,1959,10,1893,-36.7,1991,4.3,1883,-45.6
"34",2,3,1954,9.4,1893,-36.7,1889,4.4,1893,-49.4
"35",2,4,1991,9.4,1893,-35,2011,1.5,1887,-40.6
"36",2,5,1886,12.2,1936,-31.1,1954,0,1907,-40.6
"37",2,6,1886,12.2,1936,-34.4,1961,1.1,1887,-38.9
"38",2,7,1954,13.3,1939,-32.2,1961,2.2,1936,-40.6
"39",2,8,1954,13.9,1939,-28.3,1907,0,1939,-46.1
"40",2,9,2016,10.1,1939,-29.4,2016,1,1885,-41.1
"41",2,10,1889,10,1922,-26.1,1971,1.1,1884,-42.8
"42",2,11,2005,11.8,1936,-25.6,1934,2.8,1887,-37.8
"43",2,12,1901,12.8,1936,-25.6,1889,3.9,1936,-38.9
"44",2,13,1934,11.1,1923,-28.9,1996,1.4,1909,-39.4
"45",2,14,1907,10.6,1936,-30,1913,2.8,1904,-40.6
"46",2,15,2017,16.4,1936,-27.8,1907,3.3,1936,-42.2
"47",2,16,1896,13.3,1884,-33.3,1928,2.2,1882,-46.7
"48",2,17,1888,10.6,1884,-28.3,1939,0,1884,-46.7
"49",2,18,1899,12.2,1884,-27.8,1920,2.8,1885,-40.6
"50",2,19,1916,13.9,1898,-22.8,1899,3.3,1885,-38.3
"51",2,20,1916,13.3,1917,-24.4,1988,3.1,1884,-37.8
"52",2,21,1908,11.7,1904,-25.6,1902,1.7,1910,-39.4
"53",2,22,1958,11.7,1904,-22.2,1896,0.6,1910,-36.1
"54",2,23,1921,11.1,1887,-22.2,1954,0,1940,-36.1
"55",2,24,1938,12.2,1887,-21.1,1896,1.1,1887,-34.4
"56",2,25,1938,13.9,1936,-22.2,1921,4.4,1919,-38.3
"57",2,26,2016,15.3,1919,-26.1,1992,4,1881,-36.1
"58",2,27,1889,16.7,1962,-27.2,1992,4,1962,-38.9
"59",2,28,1923,15,1962,-25,1921,2.8,1962,-38.3
"60",2,29,1992,14,1972,-18.9,1992,1.4,1888,-33.9
"61",3,1,1889,14.4,1962,-25.6,1986,2.2,1904,-35
"62",3,2,1986,11.9,1962,-22.8,1936,4.4,1919,-35.6
"63",3,3,1905,12.2,1955,-24.4,1905,1.7,1888,-40
"64",3,4,1937,13.3,1951,-22.8,1937,2.2,1888,-38.9
"65",3,5,1937,15.6,1951,-29.4,1968,2.8,1888,-39.4
"66",3,6,1906,14.4,1951,-26.7,1993,3.7,1932,-33.9
"67",3,7,1889,15.6,2003,-25.6,1895,2.8,1932,-34.4
"68",3,8,1988,14.7,1951,-23.3,1905,5.6,1951,-34.4
"69",3,9,2012,13.1,1951,-23.3,2005,3.1,1932,-32.2
"70",3,10,1934,16.7,1951,-20,1934,1.7,1951,-33.3
"71",3,11,1934,17.8,1951,-18.3,1916,3.3,1951,-35
"72",3,12,1910,14.4,1919,-17.8,1992,4.3,1903,-34.4
"73",3,13,2015,14.7,1939,-17.8,1994,3.4,1906,-37.8
"74",3,14,1910,18.3,1943,-17.8,1996,3.1,1939,-33.3
"75",3,15,1910,16.7,1902,-21.1,1972,1.7,1939,-27.2
"76",3,16,1910,16.7,1950,-17.2,1972,2.8,1939,-33.3
"77",3,17,1910,16.1,1882,-22.2,1959,2.8,1939,-29.4
"78",3,18,1930,17.2,1882,-17.8,1889,3.3,1882,-26.7
"79",3,19,1928,18.3,1882,-17.8,1911,3.3,2002,-26.7
"80",3,20,1928,18.3,1882,-16.1,1883,2.8,1882,-35.6
"81",3,21,1910,19.4,1898,-11.7,1986,3.2,1899,-29.4
"82",3,22,1889,21.1,1955,-15.6,1908,3.9,1904,-27.2
"83",3,23,1889,22.2,1955,-20.6,1889,3.9,1904,-28.9
"84",3,24,2004,13.9,1964,-15,1889,6.1,1904,-30
"85",3,25,1910,15.6,1914,-15.6,2007,1.1,1898,-32.2
"86",3,26,1938,16.7,1965,-12.2,1945,2.2,1899,-28.3
"87",3,27,1986,15.1,1965,-11.7,2000,2.2,1898,-24.4
"88",3,28,1930,17.2,1936,-13.9,1986,3.5,1899,-20.6
"89",3,29,1966,17.2,1936,-13.3,1961,4.4,1932,-20
"90",3,30,2004,23.9,1936,-12.2,1944,4.4,1924,-19.4
"91",3,31,1906,21.1,1936,-12.2,1889,5,1936,-23.3
"92",4,1,1906,21.1,1954,-18.3,1992,5,1936,-25
"93",4,2,1992,21.7,1954,-13.3,1961,5,1954,-25.6
"94",4,3,1944,21.7,1888,-16.7,1915,5.6,1982,-21.7
"95",4,4,1889,20.6,1888,-9.4,1906,6.7,1920,-26.1
"96",4,5,1905,22.2,2018,-8.8,1949,4.4,1948,-23.9
"97",4,6,1976,20.6,1945,-9.4,1906,6.7,1948,-23.3
"98",4,7,1889,22.8,1997,-7.5,2005,4.6,1948,-24.4
"99",4,8,1977,25.1,1942,-6.1,1986,6.8,2013,-14.1
"100",4,9,1886,21.1,1881,-6.1,1918,7.2,1942,-14.4
"101",4,10,1949,23.9,1940,-11.1,1889,5.6,1940,-22.2
