"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,19,1996,13.4,1918,-19.4,1937,1.1,1900,-30.6
"2",1,20,1996,12.2,2014,-22.5,1979,5,1909,-32.8
"3",1,21,2006,9.5,1904,-19.4,1911,1.7,1918,-33.3
"4",1,22,1910,12.8,1981,-22.8,1950,6.7,1981,-34.3
"5",1,23,1910,10.6,1996,-17.3,1897,2.8,1952,-30
"6",1,24,1999,13.2,1884,-19.4,2007,2.8,1905,-31.1
"7",1,25,1953,10,1878,-19.4,1935,3.3,1878,-34.4
"8",1,26,1990,10.2,1942,-22.2,1930,5.6,1878,-34.4
"9",1,27,1986,14,1887,-20,1956,3.3,1887,-36.7
"10",1,28,1986,9.6,1890,-23.9,1956,1.1,1942,-32.8
"11",1,29,1994,8.3,1968,-17.8,2000,0.8,1894,-35
"12",1,30,2013,10.2,1912,-20,2018,5.8,1875,-33.9
"13",1,31,2013,12.6,1971,-19.4,1932,2.8,1976,-31.1
"14",2,1,2016,11.2,1957,-21.7,1932,5,1957,-33.9
"15",2,2,1976,13.3,1929,-22.2,1956,1.7,1905,-36.7
"16",2,3,1970,12.2,1994,-22.1,2014,0.8,2009,-34.5
"17",2,4,1970,13.3,1911,-20.6,1958,1.1,1884,-34.4
"18",2,5,2019,11.3,1982,-19.1,1913,1.7,1923,-35
"19",2,6,1962,7.8,1917,-19.4,1996,2.4,1925,-38.9
"20",2,7,1951,11.1,1901,-18.3,1915,2.2,1875,-35
"21",2,8,1933,7.8,1943,-18.3,1964,1.1,1950,-30
"22",2,9,1949,8.3,1888,-16.7,1910,2.2,1934,-33.3
"23",2,10,1881,7.8,1976,-18.9,1906,2.2,1961,-31.1
"24",2,11,1981,11.6,1922,-20,2012,1.8,1961,-32.2
