"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1973,7.2,2014,-14.2,1963,1.7,2015,-0.3
"2",1,2,1958,8.9,2014,-16.8,1949,2.2,1989,-0.3
"3",1,3,1979,11.4,1993,-15.6,1979,6.1,1972,-1.7
"4",1,4,1951,10,1983,-17.4,2010,0.4,1972,-1.1
"5",1,5,2000,10.3,1998,-12.2,2010,0.4,1986,-1
"6",1,6,1956,7.8,1947,-13.3,1956,3.9,1965,-1.1
"7",1,7,2006,10,1941,-16.1,1956,3.3,1948,-0.6
"8",1,8,1979,10,1991,-19,1955,2.2,1937,-2.2
"9",1,9,1979,10.3,1950,-16.7,2007,0,1937,-2.8
"10",1,10,1999,10.8,1950,-13.9,1969,0,1971,-2.8
"11",1,11,1953,9.4,1995,-14.3,1981,-0.9,1984,-2
"12",1,12,1953,11.7,1995,-14,1983,4.4,1954,-1.7
"13",1,13,2018,13,1984,-15.6,2018,8.6,1988,-2.1
"14",1,14,1963,11.1,1971,-19.4,2005,1.3,1975,-1.7
"15",1,15,2006,14.2,1941,-13.9,2006,6.1,1941,-1.7
"16",1,16,2006,13.2,1996,-14.8,1956,2.8,2002,-2.4
"17",1,17,1997,7.5,1946,-16.7,1955,1.1,1993,-2.2
"18",1,18,1976,11.1,1938,-16.1,1958,1.1,1987,-2.4
"19",1,19,1996,6.9,1947,-18.3,1958,2.2,1951,-3.3
"20",1,20,1996,11.3,1992,-14.4,1958,0.6,1958,-4.4
"21",1,21,1963,8.9,1943,-16.7,1958,0,2016,-3
"22",1,22,1976,7.2,1984,-15.8,1956,0,1987,-2.7
"23",1,23,1957,8.3,1991,-16.2,1957,1.7,2016,-2.4
"24",1,24,1953,9.4,1994,-13.9,1973,1.1,1978,-3.4
"25",1,25,1953,11.7,1949,-17.8,2012,0.3,1952,-3.3
"26",1,26,2000,11.6,1991,-17.9,1951,1.7,1959,-4.4
"27",1,27,1990,11.3,1972,-15,2000,2.5,1959,-5.6
"28",1,28,1986,11.2,1957,-16.1,1986,7.2,1985,-4.5
"29",1,29,1976,10.6,1957,-20,1979,1.6,1985,-4
"30",1,30,1986,8,1957,-17.2,1979,0.9,1950,-5.6
"31",1,31,1986,9.6,1993,-18.4,1979,0.2,1986,-7
"32",2,1,1953,6.7,1959,-17.2,1979,0.3,1986,-7.2
"33",2,2,1976,11.1,1975,-19.4,2018,2.4,1984,-4.7
"34",2,3,1973,7.2,1990,-22.3,1981,3.7,1989,-4.9
"35",2,4,1970,9.4,1975,-21.7,1970,4.4,1978,-6.3
"36",2,5,1970,8.3,1975,-16.1,1954,2.8,1972,-6.1
"37",2,6,1962,9.4,1950,-18.3,1999,3.5,1972,-6.1
"38",2,7,1999,6.6,1993,-18,1954,-1.1,1987,-7
"39",2,8,1951,10,1959,-17.8,1964,-0.6,1987,-5.8
"40",2,9,1981,8.6,1994,-18.5,1996,1.4,1972,-8.3
"41",2,10,2017,6.5,1994,-17.2,1996,0.8,1972,-8.3
"42",2,11,2005,8.3,1959,-15.6,1969,0,1965,-8.3
"43",2,12,1981,12.2,1979,-17,2012,2.4,1992,-6.8
"44",2,13,1999,8.9,1979,-14.5,1960,1.7,1992,-7
"45",2,14,1993,8.1,2003,-17.5,1971,2.8,1937,-7.2
"46",2,15,1946,11.7,2003,-16.9,1969,1.7,1944,-7.8
"47",2,16,1991,9.7,1938,-15,1969,1.7,1965,-8.3
"48",2,17,1996,11.3,1989,-18.2,2016,3.7,1978,-10.4
"49",2,18,1996,11.4,1990,-20.6,1981,0.6,1978,-10.8
"50",2,19,2008,9.3,1967,-13.9,1947,1.1,2001,-8.8
"51",2,20,1972,6.1,1944,-17.8,1947,0.6,1985,-9
"52",2,21,1954,7.8,2005,-11.9,2010,-0.4,1987,-10
"53",2,22,1996,9.4,1992,-12.1,1989,2.4,1985,-9.2
"54",2,23,1954,12.8,1983,-13,1955,2.8,1941,-10.6
"55",2,24,1996,12.4,1972,-15.6,1996,5.6,1992,-11.2
"56",2,25,1996,13.4,1992,-13.6,1996,4.2,1978,-11.5
"57",2,26,2016,11.4,1990,-12.8,2016,1.7,1992,-12.3
"58",2,27,1988,7.7,1973,-14.4,1998,1.6,1992,-12
"59",2,28,2000,10.9,1982,-13.3,2000,3.1,1993,-11
"60",2,29,2016,8.6,1948,-10,1944,0,1993,-15.3
"61",3,1,2016,9.5,1982,-15.5,1965,0.6,1993,-15.7
"62",3,2,1991,7,1948,-12.8,1962,2.2,1937,-12.2
"63",3,3,2009,10.5,1974,-13.9,2009,5.1,1989,-13.1
"64",3,4,1999,9.2,2014,-14.6,1946,1.1,1989,-12.4
"65",3,5,1953,8.9,1963,-13.3,1974,1.1,1941,-13.3
"66",3,6,1979,11,1985,-14.6,1979,4.8,1941,-13.9
"67",3,7,1979,11.5,2003,-15.2,1979,5.2,1941,-15.6
"68",3,8,1973,9.4,1990,-15.3,1946,0.6,1941,-12.2
"69",3,9,2012,8.9,1997,-16.5,1969,1.1,1954,-15
"70",3,10,2002,8.8,1986,-15.6,1999,0.8,1978,-15
"71",3,11,1994,9.1,1939,-11.7,1998,2.5,1940,-16.1
