"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1945,15.6,1947,-12.2,1937,4.4,1938,-26.7
"2",1,2,1979,13.1,2014,-14.6,1979,5.3,1936,-23.3
"3",1,3,1979,13,1934,-15,1951,3.3,1931,-23.3
"4",1,4,2000,12.1,1981,-15.5,1954,5.6,1926,-23.9
"5",1,5,1950,13.9,1981,-11.8,1950,5,1934,-26.1
"6",1,6,1929,13.3,2015,-12.6,2007,7.1,1996,-22.9
"7",1,7,1946,14.4,1988,-13.2,1931,3.9,1924,-23.3
"8",1,8,1979,13.5,1942,-16.7,1930,3.9,1991,-22
"9",1,9,1999,14.2,1968,-14.4,2008,3.8,1942,-26.1
"10",1,10,1999,10.6,2004,-15.2,1935,1.1,1941,-25.6
"11",1,11,1983,11.5,1968,-17.8,2000,1.9,1968,-25.6
"12",1,12,2018,13.2,1979,-13.7,2018,6,1932,-27.8
"13",1,13,2018,15.4,1974,-15,1986,2.4,1945,-26.1
"14",1,14,2014,12.3,1999,-14.7,2006,3.4,1942,-26.7
"15",1,15,2006,13.2,1965,-17.2,1995,2.7,2004,-25.2
"16",1,16,1995,14.5,1946,-17.8,1995,8.6,2004,-27.5
"17",1,17,1995,13.4,1974,-18.9,2014,0.9,1946,-28.3
"18",1,18,1937,10,1982,-16.1,1986,2,1923,-33.9
"19",1,19,1996,12.4,1921,-14.4,1996,1.1,1925,-35
"20",1,20,1929,13.3,1943,-15.6,1986,3.3,1923,-27.8
"21",1,21,2019,10.1,1970,-16.1,1964,1.1,1946,-28.3
"22",1,22,1974,8.3,1982,-16.1,1935,3.3,1934,-31.7
"23",1,23,1952,10.6,2013,-13.5,1995,-0.3,1934,-25
"24",1,24,1999,13.6,1922,-18.3,2019,2.9,1923,-25.6
"25",1,25,1999,14.8,1922,-19.4,1953,3.9,1922,-26.1
"26",1,26,1978,12.9,1994,-18.5,1978,3.5,1994,-28.5
"27",1,27,1986,12.4,1972,-16.7,1986,6.8,1994,-28.1
"28",1,28,1976,12.8,2005,-14.7,1979,1.3,1935,-30
"29",1,29,1950,8.9,1923,-20.6,1979,2,1925,-31.7
"30",1,30,2008,9.3,1997,-12.2,1950,2.2,1993,-25.7
"31",1,31,1938,12.8,1993,-17.4,1947,1.1,1935,-28.9
"32",2,1,1988,9.4,1961,-15.6,2016,1.1,1935,-30
"33",2,2,1976,12.2,1944,-15.6,1952,0.6,1948,-26.1
"34",2,3,1973,11.7,1971,-18.3,1970,6.1,1931,-25
"35",2,4,1984,9.9,1971,-16.1,2016,5.2,1948,-27.2
"36",2,5,2018,11.2,1950,-15,1984,5.2,1924,-27.8
"37",2,6,1938,10,1985,-15.2,1947,1.7,1950,-27.2
"38",2,7,1951,10,1993,-13.6,1951,-1.1,1993,-27.3
"39",2,8,2005,11,1994,-15.6,1953,4.4,1931,-26.1
"40",2,9,1933,13.3,1934,-18.9,1996,1.2,1944,-26.1
"41",2,10,1990,9.3,1994,-14.5,1990,2.7,1934,-32.2
"42",2,11,1943,12.2,1979,-15.2,1925,2.8,1948,-28.9
"43",2,12,1981,12.2,1979,-14,1943,2.8,1967,-25
"44",2,13,1999,13.8,1954,-19.4,1925,1.7,1967,-25
"45",2,14,2000,10.2,1979,-18,1972,3.3,1921,-25.6
"46",2,15,1939,12.2,1979,-17,1984,2,1924,-23.9
"47",2,16,2016,10.8,1943,-16.7,1947,1.7,1943,-28.3
"48",2,17,1996,11.6,1979,-15,1981,0.4,1934,-30.6
"49",2,18,2008,11.8,1968,-13.3,1981,0.5,1922,-37.2
"50",2,19,2008,11.3,1944,-15.6,1997,1.6,1923,-29.4
"51",2,20,1994,17.5,1966,-11.7,1994,3.4,1923,-26.1
"52",2,21,1994,13.4,1966,-18.9,1994,2.1,1929,-26.1
"53",2,22,1954,11.1,1966,-12.2,1954,1.7,1928,-30
"54",2,23,1981,13.8,1972,-18.3,1996,4.5,1935,-28.9
"55",2,24,2017,11.1,1970,-11.7,1996,3.4,1924,-23.9
"56",2,25,2016,13.6,1934,-12.2,1998,5.2,1926,-26.7
"57",2,26,2017,10.6,1990,-12.8,2010,1.8,1923,-25.6
"58",2,27,2000,10,1994,-10.8,2002,2.7,1973,-23.3
"59",2,28,2000,13.6,1982,-11,2000,6.7,1943,-25
"60",2,29,2000,13.2,2008,-8.5,2000,1.8,1928,-22.2
"61",3,1,1939,13.3,1992,-13.2,1998,1.2,1922,-25
"62",3,2,1991,10.7,1963,-8.9,1983,2.5,1922,-27.8
"63",3,3,2002,10.4,1944,-12.2,2004,1.2,1936,-21.1
"64",3,4,1999,10.5,1938,-11.1,1999,2.5,1938,-25
"65",3,5,1974,11.7,1948,-13.3,1932,3.9,1943,-26.1
"66",3,6,1943,15,1944,-10.6,1979,4.7,1948,-25.6
"67",3,7,1979,10,1989,-12,1979,6.5,1928,-24.4
"68",3,8,2012,15.3,1939,-11.7,2008,3.2,1935,-26.1
"69",3,9,2008,13.6,1997,-7.9,1932,1.7,1938,-22.8
"70",3,10,1977,12.9,1987,-10.8,1998,3.7,1938,-22.2
"71",3,11,1977,11.5,1929,-10,1999,2.9,1944,-21.1
"72",3,12,2006,13.3,1929,-12.2,1983,2,1929,-25.6
"73",3,13,1921,13.9,2015,-8,1936,5.6,1948,-27.2
"74",3,14,1934,12.8,1992,-5.2,2007,1.3,1948,-27.8
"75",3,15,1945,15.6,1993,-7.4,1984,5,1926,-25
"76",3,16,1984,15,1963,-7.8,1984,7.2,1923,-23.3
"77",3,17,2010,15.1,1979,-8.1,1936,5.6,1950,-18.9
"78",3,18,1945,14.4,1967,-9.4,1936,8.3,1922,-20.6
"79",3,19,2012,12.8,1944,-8.9,1936,7.2,1922,-19.4
"80",3,20,2012,20.8,1944,-5.6,1936,4.4,1941,-21.7
"81",3,21,2012,25.8,1986,-6.8,2012,9.5,1949,-18.9
"82",3,22,2012,27.2,1988,-3.9,2012,11.5,1988,-15
"83",3,23,1921,19.4,2015,-8.3,1936,5.6,1934,-16.1
"84",3,24,1921,19.4,2014,-6.4,1947,4.4,1934,-17.8
"85",3,25,1987,15.6,1935,-6.7,1947,3.3,1934,-14.4
"86",3,26,1993,16.7,1983,-4.6,1947,4.4,1934,-16.7
"87",3,27,1993,18,1990,-4.4,1936,6.7,1923,-27.8
"88",3,28,1989,19,1982,-9.6,1936,4.4,1974,-13.3
"89",3,29,1945,21.1,1938,-3.9,1999,6,1923,-23.3
"90",3,30,1977,15.9,1921,-5.6,1953,7.2,1939,-17.2
"91",3,31,1998,25.6,1997,-2.3,2010,7.1,1943,-13.9
"92",4,1,2006,16,1985,-2.4,2016,9.1,1923,-25
"93",4,2,1945,22.2,1997,-1.4,1945,5.6,1950,-13.9
"94",4,3,2010,21.3,1978,-3.3,2000,5.9,1927,-12.2
"95",4,4,2010,24.7,1967,-1.1,2000,5.9,1927,-11.7
"96",4,5,2010,20.2,2016,-2.3,1981,7.5,1995,-12.8
"97",4,6,1928,17.2,1927,-1.1,1984,6.2,1927,-12.8
"98",4,7,1928,21.1,1950,-1.7,1928,10,1921,-11.1
"99",4,8,1981,15.8,1972,-2.2,1922,10,1943,-11.7
"100",4,9,2008,17.9,1972,-2.8,1962,5,1927,-13.3
"101",4,10,1945,16.7,1977,-1.5,1921,6.1,1927,-12.2
"102",4,11,1945,25.6,1929,-1.1,1990,4.8,1938,-11.1
"103",4,12,2006,17.7,1967,-2.8,2016,6.1,1926,-11.1
"104",4,13,1949,21.1,1921,-0.6,2002,4.5,1927,-9.4
"105",4,14,1945,22.8,1972,0,2004,7.7,1927,-10
"106",4,15,2000,20,1926,0,2014,9.9,1923,-12.2
"107",4,16,1969,22.2,1939,0,1994,6.3,1945,-10
"108",4,17,1982,20.5,1975,1.7,1969,8.3,1926,-12.2
"109",4,18,1973,22.8,1961,1.1,1933,7.8,1926,-10
"110",4,19,1987,20.3,2001,0.2,1987,9.1,1926,-8.9
"111",4,20,1976,23.3,1969,1.1,2019,9.3,1926,-11.7
"112",4,21,1977,22.6,1981,0.5,2019,9.8,1922,-9.4
"113",4,22,1977,24.9,1984,0.9,1993,9.3,1928,-7.8
"114",4,23,2007,23.7,1940,2.2,1986,6.4,1944,-7.8
"115",4,24,1942,24.4,1963,1.1,2012,7.5,1926,-8.9
"116",4,25,1942,25.6,1992,3.2,1986,9.9,1930,-7.8
"117",4,26,1982,20.6,1992,0.9,1921,9.4,1926,-9.4
"118",4,27,1970,24.4,1993,1.9,1937,10,1926,-7.8
"119",4,28,2009,29.5,2015,2.8,2017,8.5,1926,-6.7
"120",4,29,1921,24.4,1982,1.3,2011,8.2,1939,-6.7
"121",4,30,2004,26.3,1941,-1.1,1983,8,1943,-7.2
"122",5,1,1998,23.9,2008,4.9,1983,9,1941,-7.8
"123",5,2,1936,25,2008,5.9,1946,12.8,1951,-5.6
"124",5,3,1930,26.1,1988,2.6,1937,10,1945,-8.9
"125",5,4,1949,24.4,1986,5,2001,9.9,1931,-5.6
"126",5,5,1944,25,1987,4.8,1999,12.8,1927,-6.7
"127",5,6,1999,22.9,1992,3.3,1946,12.8,1927,-3.9
"128",5,7,1964,25.6,1995,1.4,1999,11.6,1927,-5.6
"129",5,8,2001,26.5,1985,3,1998,10.1,1966,-4.4
"130",5,9,2007,27,1966,2.8,1931,10,1927,-5.6
"131",5,10,2007,28.1,1972,-0.6,1924,10,1941,-3.9
"132",5,11,1939,23.3,1963,1.7,1924,8.9,1972,-3.9
"133",5,12,1953,22.8,1922,5.6,2013,10.7,1941,-3.9
"134",5,13,1992,21.7,2005,4.4,1946,12.8,1931,-3.9
"135",5,14,1961,26.7,1930,4.4,1961,11.7,1928,-3.9
"136",5,15,1974,25,1938,5.6,2012,10.2,1939,-4.4
"137",5,16,1951,25,1952,6.7,1937,11.1,1928,-6.7
"138",5,17,1932,28.3,1983,4.8,1937,11.7,1922,-5
