"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1963,2.8,1957,-15.6,1963,0.6,1985,-32.3
"2",1,2,1945,5.6,1991,-21,1963,0.6,1985,-34.1
"3",1,3,1979,11.2,1972,-20.6,2010,-0.9,1983,-36.5
"4",1,4,1950,3.9,1976,-22.2,2010,0.8,1983,-34.7
"5",1,5,2007,4.2,1970,-21.7,2010,0.5,1968,-31.7
"6",1,6,1949,4.4,1988,-22.2,2007,-0.1,1984,-33.1
"7",1,7,2014,3.7,1980,-27,1955,-1.7,1960,-33.3
"8",1,8,1981,5.2,1982,-25.2,1955,0.6,1984,-34.5
"9",1,9,1997,1.9,1976,-25,1955,0,1984,-37.1
"10",1,10,1978,4.5,1970,-22.2,2011,0.5,1976,-36.1
"11",1,11,1983,5.5,1972,-23.3,1969,-1.1,1984,-35.7
"12",1,12,1983,7.7,1991,-22.3,1997,-1.5,1984,-36.1
"13",1,13,2013,4.1,1951,-25,1969,-3.9,1971,-36.1
"14",1,14,2013,4.7,1971,-23.3,1960,-1.7,1957,-35
"15",1,15,1966,1.7,1953,-24.4,1960,-1.1,1957,-38.9
"16",1,16,1962,5,1958,-26.7,1955,0,1957,-36.1
"17",1,17,1959,7.8,1953,-23.9,1955,1.1,1946,-35
"18",1,18,1958,7.8,1970,-25.6,1966,1.7,1981,-33.5
"19",1,19,1996,10.2,1971,-24.4,1958,2.2,1979,-36.1
"20",1,20,1996,11.1,1975,-23.3,1958,0,1975,-35.6
"21",1,21,1977,4.4,1984,-28.1,1956,-2.2,1994,-35.2
"22",1,22,1979,4.6,1990,-27.3,1956,-2.8,1950,-35.6
"23",1,23,1979,4.4,1989,-26.1,1979,0.5,2008,-34.8
"24",1,24,1996,3.7,1989,-27,1979,0.6,2005,-34.9
"25",1,25,1996,6.1,1972,-26.1,1979,0.2,1949,-33.9
"26",1,26,2010,4.6,1971,-25,1979,0,1957,-36.1
"27",1,27,1986,7.2,1947,-26.7,1979,0.4,1992,-34.2
"28",1,28,1986,10.1,2014,-28.7,1986,4.1,1957,-37.8
"29",1,29,1986,4.1,1983,-29.4,1979,0.5,1975,-36.1
"30",1,30,1979,2.1,1974,-25,1979,0,1975,-36.1
"31",1,31,2013,7.3,1960,-23.9,1979,-0.9,1993,-34.9
"32",2,1,2013,4.7,1980,-26.5,1979,-0.4,1946,-35.6
"33",2,2,1976,7.2,2015,-27.1,1945,-4.4,1990,-33.1
"34",2,3,1981,6.7,1960,-28.3,1958,0,1975,-35
"35",2,4,1970,9.4,1950,-29.4,1983,2.3,1985,-37
"36",2,5,1983,5.1,1976,-27.8,1968,0,2015,-34
"37",2,6,1947,3.9,1984,-29,1947,-1.1,1963,-35
"38",2,7,1951,6.1,1984,-30.4,1958,-0.6,2015,-36.3
"39",2,8,1951,10.6,1971,-28.3,1960,-0.6,1950,-36.1
"40",2,9,1971,3.9,1957,-28.3,1960,-2.2,1950,-34.4
"41",2,10,1968,5.6,1957,-30,1960,-1.7,1950,-34.4
"42",2,11,1981,5.8,1946,-29.4,1960,-0.6,1962,-35.6
"43",2,12,1981,10,1946,-27.2,1960,0.6,2003,-33.3
"44",2,13,1969,3.3,2013,-26.5,2010,1.6,2003,-33.2
"45",2,14,1960,6.1,1947,-26.7,1969,0,1975,-34.4
"46",2,15,1960,7.8,1946,-27.8,1960,3.3,1992,-33.8
"47",2,16,1969,5,1950,-29.4,1969,1.7,1973,-37.2
"48",2,17,2016,9.6,1963,-26.1,1969,1.1,1973,-39.4
"49",2,18,1996,8.4,2002,-24.9,2010,0.3,1943,-34.4
"50",2,19,1947,4.4,1950,-26.1,1947,1.7,1982,-30
"51",2,20,1951,8.3,1957,-27.2,1947,0,1963,-31.7
"52",2,21,1954,6.7,1992,-26.5,1981,0.5,1972,-32.2
"53",2,22,1955,6.7,1992,-24.9,1954,4.4,1943,-32.2
"54",2,23,2007,2.6,1957,-30.6,1981,-1,1983,-35.7
"55",2,24,1981,8,1957,-27.2,1947,-1.1,1983,-36.1
"56",2,25,1981,7.2,2002,-25.1,1978,-0.7,1983,-32.7
"57",2,26,1942,7.8,1993,-26,1954,1.7,1943,-33.3
"58",2,27,2000,8.1,1992,-24,2000,0.8,1945,-32.2
"59",2,28,2000,10.3,1975,-25,1954,0.6,1985,-32.1
"60",2,29,1952,2.2,1975,-26.7,1944,-1.1,1992,-28.9
"61",3,1,1954,6.1,1948,-27.8,1965,0,1972,-31.7
"62",3,2,1999,6.8,1950,-29.4,1954,1.7,1972,-32.2
"63",3,3,1954,6.7,1950,-26.7,1954,1.1,2014,-30
"64",3,4,1999,4.2,2015,-27.4,1981,0.5,1993,-29.5
"65",3,5,1999,6.8,1994,-27.7,1981,0.4,1993,-33
"66",3,6,1979,6.5,1948,-26.1,1979,1.6,1948,-35.6
"67",3,7,1991,5.3,1993,-24.2,1958,1.7,1968,-34.4
"68",3,8,1973,8.3,1959,-25,1958,0.6,1997,-27.2
"69",3,9,2005,9.8,1979,-25.1,1970,0,1964,-30.6
"70",3,10,1998,8.5,1979,-22.4,1998,1.5,1986,-33.6
"71",3,11,1998,7.7,2016,-22.2,1958,2.2,1976,-31.7
"72",3,12,2011,6.8,2004,-26.8,1958,1.7,1948,-33.3
"73",3,13,2013,7.4,1943,-27.2,1942,0,1993,-29.1
"74",3,14,2013,10,1973,-26.1,2013,3.6,1979,-31
"75",3,15,1957,7.2,1967,-22.8,1957,0,1964,-33.9
"76",3,16,1957,11.7,1944,-26.1,1977,1.2,1967,-29.4
"77",3,17,2011,4.7,1970,-20,2001,0.8,1976,-31.7
"78",3,18,2012,9.9,1970,-23.9,1972,3.3,2004,-29.6
"79",3,19,1975,10,1972,-22.2,1981,0,2008,-27.9
"80",3,20,1975,10,1972,-25.6,1966,0,1982,-26.7
"81",3,21,1976,10.6,1972,-20.6,1980,-0.5,1961,-30
"82",3,22,2000,10.8,1990,-21.1,1966,0.6,1982,-29.2
"83",3,23,1966,10.6,1990,-21.1,2013,0.3,1978,-29.1
"84",3,24,1979,16.3,2008,-18.8,1979,2,1978,-30.2
"85",3,25,1979,16.4,1982,-19,1979,3.2,2019,-26.5
"86",3,26,1991,10.7,1992,-19.1,1979,2.1,2019,-28.7
"87",3,27,1988,10.3,1976,-22.2,1988,1,1978,-27.9
"88",3,28,1999,13.7,1972,-22.2,1977,1.1,1960,-26.1
"89",3,29,1999,12.9,1944,-20.6,1977,0.4,1960,-26.1
"90",3,30,2004,14.5,2003,-19.8,1953,1.1,1943,-26.7
"91",3,31,1951,12.2,1948,-21.7,1987,2.5,1943,-26.7
"92",4,1,1987,14.4,1995,-20.5,1987,4.8,1994,-23.4
"93",4,2,2010,14.7,2007,-21.5,2010,4.7,1969,-24.4
"94",4,3,2010,14.5,1997,-19.9,1976,2.2,1994,-22.7
"95",4,4,2010,9.3,1986,-21.3,1953,1.1,1982,-22
"96",4,5,1949,12.2,1984,-17.9,2010,3.8,1984,-20.1
"97",4,6,1949,15.6,1948,-18.3,2006,0.8,2015,-20.6
"98",4,7,1988,13.7,1950,-16.7,1953,2.2,1986,-22.1
"99",4,8,1988,11.4,1979,-20,1959,1.1,1984,-25.4
"100",4,9,1993,13,1993,-18.2,2008,2.9,1984,-29.7
"101",4,10,1993,16.3,1993,-17.2,1993,4.6,1984,-24.2
"102",4,11,2011,14.7,1967,-17.2,1993,3.7,1960,-21.1
"103",4,12,1993,16.9,1976,-19.4,1986,0.8,1943,-25
"104",4,13,2006,17.2,1985,-15.5,2006,2.9,1954,-25.6
"105",4,14,1984,14.1,1944,-20.6,2006,3.1,1983,-24.2
"106",4,15,1964,13.3,1974,-17.2,1964,4.4,2011,-18.3
"107",4,16,1958,19.4,1974,-12.8,1958,5,1969,-19.4
"108",4,17,2005,17,1965,-15.6,1983,4.6,1981,-19.1
"109",4,18,1983,15.6,1978,-15,1987,6.3,2017,-16.2
"110",4,19,2006,18.3,1990,-13.8,1954,3.3,1974,-18.3
"111",4,20,1986,18.7,1948,-17.8,1987,3.2,1982,-16.7
"112",4,21,1987,19.4,2019,-14.6,1966,4.4,1943,-14.4
"113",4,22,2006,16.5,1990,-14,1986,5.7,1943,-15.6
"114",4,23,2006,17.5,1996,-13.4,1950,3.9,1982,-18
"115",4,24,2006,20.1,1960,-18.9,1943,5,1967,-14.4
"116",4,25,1986,21.2,1943,-11.7,2012,5.7,1982,-15.1
"117",4,26,1984,17.8,1946,-13.9,1983,4.2,1949,-16.1
"118",4,27,2000,18.3,1994,-12.9,1996,6.9,2016,-16
"119",4,28,2013,18.4,1994,-10,1979,9.3,1962,-13.9
"120",4,29,2013,20.9,1982,-11.1,1979,5,1947,-15
"121",4,30,2013,21.7,1954,-12.8,1963,6.1,1947,-14.4
"122",5,1,2006,20.4,2016,-11,1996,5.5,1972,-15
"123",5,2,2006,21.7,2016,-9.2,1996,5.6,1972,-13.9
"124",5,3,2013,21.8,1950,-10,1967,7.2,1947,-11.1
"125",5,4,1999,23.1,1984,-14.4,1949,7.2,1946,-9.4
"126",5,5,1999,25.8,1984,-11.8,1999,7.2,1992,-7.4
"127",5,6,1987,25,1969,-8.9,1998,5.2,1961,-9.4
"128",5,7,1999,28.4,1960,-12.8,1959,9.4,1972,-9.4
"129",5,8,1999,29.3,1947,-8.9,1989,7.2,1964,-7.8
"130",5,9,1999,28.2,1983,-9.7,1999,9.8,1993,-10.1
"131",5,10,1988,24.4,1976,-6.1,1961,6.7,1993,-11.2
"132",5,11,2006,23.6,1945,-6.7,2005,9.2,1993,-11.5
"133",5,12,2006,22.8,2003,-10.1,1973,7.2,1972,-6.7
"134",5,13,2006,24.9,2017,-5.9,1984,5.7,1989,-6.6
"135",5,14,2006,28.4,1982,-8.6,2006,9.3,1947,-11.1
"136",5,15,1986,27.7,1974,-4.4,2008,9.2,1947,-7.8
"137",5,16,1986,25.4,1960,-4.4,2012,9.6,1957,-6.7
"138",5,17,1986,30.8,1948,-4.4,1999,11.6,1957,-7.8
"139",5,18,1980,25.9,1948,-4.4,2014,10.4,1975,-6.7
"140",5,19,1979,31.8,1948,-4.4,1979,13.2,1972,-4.4
"141",5,20,1979,32.1,1949,-6.1,1979,14.2,1949,-5.6
"142",5,21,1979,30.7,2016,-3.9,1979,14.6,1956,-7.2
"143",5,22,2012,30.1,2016,-4.2,1958,10.6,1982,-4.2
