"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",12,18,1981,-3.6,1961,-36.7,1973,16.7,1969,-47.2
"2",12,19,1998,-7.9,1969,-43.9,2004,18,1969,-48.3
"3",12,20,1998,-1.4,1969,-42.8,2012,15.7,1969,-48.3
"4",12,21,1990,-2.1,1965,-45.6,1976,18.9,1965,-51.7
"5",12,22,2017,-1.7,1965,-45,2012,18.5,1965,-51.7
"6",12,23,1999,3.7,1983,-43.6,2006,15.1,1965,-51.2
"7",12,24,1985,2,1965,-45.6,2017,16.5,1965,-51.7
"8",12,25,1985,-2,1972,-44.4,1994,21.3,1972,-50.6
"9",12,26,1987,-3.6,1961,-43.3,2011,16.4,1965,-49.4
"10",12,27,1977,-5.6,1975,-40.6,2013,18.9,1975,-50
"11",12,28,2001,-3.6,1975,-42.8,2011,18,1975,-49.4
"12",12,29,1994,-4.8,1975,-45,1999,16,1975,-54.4
"13",12,30,1977,4.3,1966,-42.2,1960,17.2,1975,-54.4
"14",12,31,1973,5,1966,-41.7,2013,17.8,1966,-48.9
"15",1,1,2016,0.3,1966,-40,2013,17.1,1971,-47.2
"16",1,2,1974,0,1973,-42.2,2013,16.2,1973,-47.2
"17",1,3,2016,1.8,1966,-43.3,1994,17.2,1966,-46.7
"18",1,4,1974,-0.6,1989,-42.2,1994,13.7,1964,-46.7
"19",1,5,1974,2.8,1986,-43.4,1958,15.6,1986,-45.8
"20",1,6,1973,-0.6,1986,-42.8,1979,14.7,1986,-46.5
"21",1,7,1987,-2.8,1986,-38.3,1979,15.3,1963,-49.4
"22",1,8,1973,2.2,1989,-38.9,1979,15.4,1989,-44.9
"23",1,9,1993,2.4,1992,-37.1,1994,15.3,1964,-45.6
"24",1,10,2002,-3.4,1974,-39.4,2004,13.1,1974,-45.6
"25",1,11,1993,-2.5,1993,-35.1,1972,12.2,1990,-46.3
"26",1,12,1993,-1,1976,-40.6,1962,12.2,1976,-49.4
"27",1,13,1993,-1.7,1964,-40.6,2006,13.2,1976,-50
"28",1,14,1993,0.8,1990,-42.2,2012,10.8,1966,-48.9
"29",1,15,1981,5.4,1966,-43.9,1965,11.1,1966,-50.6
"30",1,16,2009,4.5,1966,-40,2005,12.5,1966,-50.6
"31",1,17,2009,6.9,1971,-38.3,1992,12.9,1984,-48
"32",1,18,2009,4.3,1984,-40.4,1994,13.5,1984,-49.1
"33",1,19,1962,1.7,1984,-42.3,1957,13.3,1968,-50.6
"34",1,20,2008,2.2,1990,-43.5,1957,13.3,1968,-53.3
"35",1,21,2008,1.9,1968,-45,1957,10,1968,-56.7
"36",1,22,2008,1.3,1990,-43,1978,9.6,1968,-55.6
"37",1,23,2008,2.2,1968,-40,1974,12.2,1968,-50.6
"38",1,24,2000,-0.2,1969,-42.8,1997,9.6,1965,-50.6
"39",1,25,2000,0.6,1965,-41.1,2012,8.8,1965,-52.2
"40",1,26,1991,0,1974,-40.6,1957,8.3,1965,-50.6
"41",1,27,1972,-3.9,1984,-37.1,2012,11,1971,-47.8
"42",1,28,1963,-3.9,1975,-41.1,2012,10,1975,-48.9
"43",1,29,1963,1.7,1975,-42.2,2006,10.1,1965,-51.2
"44",1,30,1963,-1.1,1972,-41.1,2019,9.5,1965,-52.2
"45",1,31,1976,-5,1985,-40.7,1985,11.1,1972,-47.8
"46",2,1,2017,-3.7,1985,-38.7,1989,10.3,1975,-48.3
"47",2,2,1981,-1.3,1985,-38.7,1989,14.1,1964,-46.7
"48",2,3,1981,1.5,1985,-38.9,2007,7.6,1985,-48.2
"49",2,4,1982,-1.8,1985,-39.9,2007,8,1968,-47.8
"50",2,5,1976,1.7,1976,-36.7,2017,8.4,1964,-46.7
"51",2,6,1995,1.4,1985,-36.1,2017,8.4,1964,-46.1
"52",2,7,2006,-2.9,1976,-35,2017,6.6,1976,-45.6
"53",2,8,1989,1.8,1995,-33.5,1982,10.1,1990,-44.6
"54",2,9,1989,2,2007,-34.2,2012,6.7,1961,-43.3
"55",2,10,1989,0.1,1976,-36.1,1975,7.8,1986,-44.8
"56",2,11,2012,-1,1976,-36.1,1976,6.1,1976,-47.8
"57",2,12,2019,-2.6,1983,-35.5,1998,11.5,1983,-46.8
"58",2,13,1989,-0.6,1983,-33.2,2016,7.9,1965,-45
"59",2,14,1959,-2.2,1994,-33.6,2016,6.8,1994,-42.2
"60",2,15,2001,0.2,2012,-33.4,2012,6.8,2004,-41.8
"61",2,16,2006,-0.2,1971,-33.9,2012,4.5,1983,-42.4
"62",2,17,2006,0.3,1971,-32.2,1958,2.8,1970,-42.2
"63",2,18,1989,-5.2,1979,-37.4,1979,3.2,1979,-47.6
"64",2,19,2006,0.8,1979,-35.9,1976,2.2,1979,-47.3
"65",2,20,2018,-2.7,1979,-34.4,1977,3.1,1962,-46.7
"66",2,21,2008,-1.6,2004,-34.1,1985,3.5,1961,-42.8
"67",2,22,1989,-3.7,1974,-32.2,2019,3,1962,-45.6
"68",2,23,1987,-4.3,1964,-31.1,1973,3.9,1964,-46.1
"69",2,24,2011,-1.8,1973,-33.9,2003,10.6,1964,-43.3
"70",2,25,1989,5.2,1966,-33.9,2003,3.8,1964,-46.7
"71",2,26,1988,1.1,1964,-32.2,1991,2.5,1964,-46.7
"72",2,27,1988,0.3,1995,-35.3,2017,2.7,1964,-47.8
"73",2,28,2015,-0.8,1964,-33.9,2012,3.2,1964,-47.2
"74",2,29,1968,2.8,2009,-33.9,1989,4,1964,-50.6
"75",3,1,2015,-0.9,2009,-33.2,1993,1.9,1982,-44.9
"76",3,2,2002,-5.7,1973,-33.3,1957,3.3,1973,-45
"77",3,3,1958,-0.6,2001,-31.5,1993,1.8,1969,-43.9
"78",3,4,1990,-0.7,2009,-28.8,1969,3.3,1963,-45.6
"79",3,5,1965,-2.8,1977,-31,1969,1.7,1977,-44.3
"80",3,6,1965,-1.7,2001,-31.8,1979,-1.7,2001,-42
"81",3,7,1965,-1.1,2001,-27.8,2013,0.8,2001,-41.4
"82",3,8,1965,-1.1,1969,-31.1,2013,1.4,1969,-44.4
"83",3,9,1965,6.1,1969,-28.9,2013,0.8,1969,-45.6
"84",3,10,1965,5.6,1969,-31.1,2013,0.5,1969,-43.9
"85",3,11,1988,2.6,1969,-28.3,2013,4.3,1969,-47.2
"86",3,12,1988,2.5,1977,-28.7,2013,2.4,1967,-43.9
"87",3,13,2005,1.4,1964,-27.8,2013,3.2,1964,-46.7
"88",3,14,2005,-0.7,1999,-27.7,2013,0.8,1982,-42
"89",3,15,2018,-4.5,1999,-27.1,2005,-0.2,1982,-40.8
"90",3,16,1990,1.6,1999,-25.3,1987,-2.6,1958,-40
"91",3,17,2019,8.7,1967,-25.6,1980,-2.1,1964,-37.8
"92",3,18,2019,8.7,1971,-28.9,1980,-3.1,1971,-46.1
"93",3,19,2019,4.3,1988,-27.5,1962,-5,1971,-43.9
"94",3,20,1992,3.6,1964,-25,2002,-5.5,1987,-38.7
"95",3,21,1998,4.2,1986,-24.1,2013,-2.7,1987,-38.3
"96",3,22,1998,4.1,1986,-28,2019,-2.1,1961,-39.4
"97",3,23,1992,2.3,1986,-26.3,2019,-1.5,1960,-40
"98",3,24,2019,2.6,1971,-27.2,2003,-2.6,1986,-40
"99",3,25,2019,3.3,1986,-24.6,1970,0,1961,-43.9
"100",3,26,2019,4.6,1964,-22.8,2017,-5.6,1967,-41.1
"101",3,27,2019,1,1964,-24.4,2017,-4.9,1961,-39.4
"102",3,28,2019,4.6,1964,-22.2,1998,-5.3,1964,-41.7
"103",3,29,1962,5.6,1961,-25,1998,-7.7,1964,-40
"104",3,30,1994,4.5,1964,-24.4,2003,-3.6,1961,-42.8
"105",3,31,1990,4.7,1979,-23.2,1998,-7.3,1964,-42.8
"106",4,1,1973,-1.1,1979,-19.9,1998,-7.1,1964,-38.3
"107",4,2,1968,-1.1,1961,-19.4,1997,-6.6,1979,-37.5
"108",4,3,1966,5.6,1959,-23.9,1997,-2.2,1961,-32.8
"109",4,4,1998,4.1,1959,-20.6,1997,0.2,1994,-31.4
"110",4,5,1998,5.5,1959,-18.9,1997,-1.7,1985,-35
"111",4,6,1982,7.5,1961,-18.9,1967,-1.1,1974,-28.9
"112",4,7,1982,7.1,1966,-18.9,1965,-7.8,1966,-35.6
"113",4,8,2004,4.7,1966,-16.7,2002,-9.9,1966,-39.4
"114",4,9,1959,8.9,1974,-17.2,1979,-10.7,1966,-28.9
"115",4,10,1989,6.8,1966,-17.2,1979,-8.4,1966,-28.9
"116",4,11,1959,8.3,1966,-17.8,1976,-10.6,1966,-32.2
"117",4,12,1959,7.2,1964,-15,1964,-11.1,1964,-31.7
"118",4,13,2010,6.2,2013,-16.1,2018,-9.5,1966,-28.9
"119",4,14,1998,7.4,2001,-12.7,2001,-11.8,1964,-27.8
"120",4,15,1988,9,2001,-13.2,1993,-6,1974,-26.1
"121",4,16,1998,9.3,2013,-14,2010,-13.7,1961,-31.7
"122",4,17,1998,11.4,2013,-16.5,2010,-13.6,1961,-24.4
"123",4,18,1998,12.8,2013,-15.7,2002,-11.1,1959,-27.2
"124",4,19,2010,12,1992,-16.6,2015,-8.2,1992,-26.6
"125",4,20,2010,12.4,1992,-15.9,2002,-5.3,2002,-24.4
"126",4,21,2010,8.2,2013,-10.7,2019,-6.8,1992,-25.4
"127",4,22,1983,8.3,1973,-8.3,2019,-9.1,1961,-27.8
"128",4,23,2005,12.5,1964,-12.2,2002,-6.3,1964,-19.4
"129",4,24,1960,13.3,1964,-16.7,2002,-7.9,1971,-22.8
"130",4,25,1989,12.8,1964,-15,2018,-8.3,1964,-23.3
"131",4,26,1995,13.5,1964,-10,2018,-9.1,1964,-25.6
"132",4,27,2009,14.9,1982,-8.5,2018,-9.8,1964,-21.7
"133",4,28,1998,12.4,1962,-8.9,2011,-8.8,1962,-25.6
"134",4,29,1998,12.3,2007,-9.3,2018,-12.1,1965,-21.1
"135",4,30,2009,12.8,1978,-10.1,2017,-13.7,1982,-18.8
"136",5,1,1981,12.5,1972,-8.3,1972,-7.8,1965,-22.8
"137",5,2,1994,12.9,1983,-7.7,1963,-6.1,1965,-24.4
"138",5,3,1967,14.4,1983,-8,2005,-10.6,1967,-16.7
"139",5,4,1991,17.7,1983,-7.2,2002,-9.7,1983,-14.6
"140",5,5,1991,19,1972,-6.7,2002,-12.7,1983,-13.5
"141",5,6,1991,17.4,1983,-7.9,1963,-14.4,1972,-14.4
"142",5,7,1995,17.3,1983,-7.4,2017,-13,1972,-13.3
"143",5,8,1995,22.6,1972,-4.4,2008,-12.8,1983,-19.7
"144",5,9,1995,22.5,1983,-2.4,1988,-9.4,1983,-10.2
"145",5,10,1995,23.9,2001,-2,1988,-9.2,1983,-11.5
"146",5,11,2016,20.1,1978,-3.9,1981,-12.6,1972,-10.6
"147",5,12,2016,21.7,1978,-4.6,1981,-10.1,2000,-8.8
"148",5,13,2014,20.2,1978,-5.1,1998,-9.6,1978,-9.5
"149",5,14,1995,14.3,1959,-4.4,2017,-9.2,1967,-7.8
"150",5,15,1991,19.9,1959,-2.8,2017,-10.5,1994,-8.3
"151",5,16,1998,20.8,1959,-1.1,2017,-11.5,1994,-9.6
"152",5,17,2017,22,1965,-1.7,1985,-6.2,1965,-10.6
"153",5,18,2015,28,1969,-3.3,1987,-11.3,1969,-5.6
"154",5,19,2015,25.3,1960,1.1,2005,-15.6,1969,-6.1
"155",5,20,1963,22.8,2000,0.6,2001,-14,1959,-5
"156",5,21,2015,27.2,1974,1.1,2001,-11.6,1959,-6.1
"157",5,22,2015,22.7,2013,0.4,2001,-14.1,1969,-5.6
"158",5,23,2011,21.4,1965,2.8,1977,-11.9,1992,-4.2
"159",5,24,2008,22.3,1992,3.2,1973,-8.9,1957,-5.6
"160",5,25,2011,24.2,1970,2.8,2019,-8.6,1959,-4.4
"161",5,26,1998,23.6,1990,3.2,2017,-5.2,1957,-3.9
"162",5,27,2010,24.8,2011,4.3,2017,-2.7,1964,-4.4
"163",5,28,2010,30.1,2011,3.6,2005,-7.1,1964,-2.8
"164",5,29,2010,24.3,1971,3.9,1974,-3.9,1957,-3.3
"165",5,30,1977,23.4,1957,5.6,1973,-11.1,1957,-4.4
"166",5,31,1989,24.9,2014,4.6,1993,-16,1957,-1.7
"167",6,1,1985,25.7,1982,4.5,1993,-6.4,1978,-1.4
"168",6,2,2007,23.3,1982,6,1973,-10.6,1961,-1.1
"169",6,3,2007,24.5,1982,3.9,2017,-10.9,1959,-3.9
"170",6,4,2007,25.7,1965,7.2,1993,-12.5,1982,-0.8
"171",6,5,1977,26.1,1964,7.8,1993,-10.5,1974,-2.2
"172",6,6,1961,27.2,1978,5.5,1993,-10.3,1963,-2.2
"173",6,7,1961,26.7,2001,6.4,1997,-15,1974,-2.8
"174",6,8,1995,27.8,1962,4.4,1981,-3.3,2001,-0.5
"175",6,9,1995,26.5,1978,6.3,2009,-2.2,2001,-1.1
"176",6,10,2006,28.1,1978,4.7,2009,1.4,1974,-1.1
"177",6,11,2010,27.1,1964,2.2,2018,-9.1,1974,-2.2
"178",6,12,1992,29.4,1964,4.4,1962,-5,1964,-0.6
"179",6,13,1969,29.4,1977,4.6,2008,-9.8,1964,0
"180",6,14,1999,31.4,1977,3.5,2008,-10,1967,-1.1
"181",6,15,1999,26.9,1977,3.8,2008,-5.8,1976,-0.6
"182",6,16,1993,26.9,1974,5,1961,-15,1974,0
"183",6,17,1999,32.8,1977,4.2,2000,-7.4,1974,-0.6
