"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1980,-3.8,2005,-33.1,2011,-10.7,1983,-40.9
"2",1,2,2011,0.1,1947,-39.4,2011,-7.3,1947,-41.7
"3",1,3,2011,0.9,1947,-38.9,2011,0,1984,-40.5
"4",1,4,2011,0.6,1947,-36.7,2011,-0.4,1983,-41.8
"5",1,5,2011,1.4,1947,-37.8,2011,-2.2,1984,-41.4
"6",1,6,2011,2.2,1978,-35.7,2011,-3.8,1952,-41.1
"7",1,7,2011,-0.2,1964,-34.4,1963,-5.6,1964,-40.6
"8",1,8,2003,-1,1987,-36.5,1955,-6.1,1984,-41.3
"9",1,9,1977,0.4,1993,-39.2,1977,-3.6,1993,-42
"10",1,10,1963,1.7,1993,-37.9,1955,-4.4,1993,-42.5
"11",1,11,1963,2.2,1984,-37,1963,-4.4,1993,-42
"12",1,12,1977,1.3,1957,-38.3,2016,-3.4,1957,-42.8
"13",1,13,1977,1.4,1957,-39.4,1977,-2.1,1957,-45
"14",1,14,1977,0.8,1979,-34.6,1977,-3.8,1957,-45
"15",1,15,1977,0.8,1975,-36.7,1977,-3.7,1952,-42.2
"16",1,16,1960,-1.7,1952,-40,1971,-11.1,1952,-43.9
"17",1,17,1985,2.7,1952,-38.9,1960,-8.9,1952,-43.9
"18",1,18,1985,2.5,1946,-37.8,1985,-6.2,1957,-42.8
"19",1,19,1958,-2.2,1949,-38.3,1960,-5,1946,-42.2
"20",1,20,1958,1.1,1946,-38.3,1958,-5,1946,-41.7
"21",1,21,1958,3.9,1946,-38.3,1958,-6.1,1953,-43.9
"22",1,22,1958,3.3,1957,-38.3,1958,-0.6,1991,-43.4
"23",1,23,1979,2.9,1950,-37.8,1958,-7.2,1991,-44.9
"24",1,24,1979,1.1,1953,-41.1,1980,-10.1,1953,-45
"25",1,25,1980,-4.1,1957,-38.3,1980,-10.8,1953,-44.4
"26",1,26,1979,-1.5,1957,-40.6,1979,-7.4,1992,-44.8
"27",1,27,1979,-1.8,1992,-40.4,1979,-6,1992,-44.7
"28",1,28,1977,-2.8,1951,-37.2,1977,-11.4,1992,-41.9
"29",1,29,1977,-0.7,1993,-35.5,1977,-8.4,1970,-43.3
"30",1,30,2008,-3.8,1970,-35.6,1947,-6.7,1991,-44.1
"31",1,31,2008,0.3,1993,-36.5,2008,-7.1,1975,-42.2
"32",2,1,2008,-7.1,1950,-38.9,2019,-10.4,1986,-44.2
"33",2,2,2019,-7,1986,-38.6,1966,-14.4,1986,-43.3
"34",2,3,1963,3.9,1984,-38,1963,-9.4,1986,-45.6
"35",2,4,1963,-1.7,1984,-39.6,1963,-15,1952,-43.9
"36",2,5,1963,2.8,1950,-37.2,1964,-3.3,1952,-42.8
"37",2,6,1958,0.6,1984,-38.5,1958,-5,1984,-43.3
"38",2,7,1969,2.2,1984,-38.3,1969,-11.7,1989,-42.6
"39",2,8,1969,1.7,1987,-39.3,1969,-6.7,1987,-43.3
"40",2,9,1963,-1.1,1987,-40,1958,-6.7,1987,-44.3
"41",2,10,1963,-0.6,1967,-40.6,1958,-11.1,1967,-45.6
"42",2,11,1978,-2.2,1992,-37.5,1978,-10.5,1967,-43.3
"43",2,12,1975,-1.1,1959,-36.7,1975,-7.8,1992,-43.1
"44",2,13,1960,0,1949,-36.7,1978,-10.5,1959,-42.8
"45",2,14,1960,0,1992,-35.7,1960,-4.4,1973,-45
"46",2,15,1960,1.1,1973,-37.8,1960,-7.8,1973,-45.6
"47",2,16,1960,1.7,1979,-37.9,1960,-6.7,1973,-44.4
"48",2,17,1960,0.6,1979,-38.1,1960,-1.1,1979,-44.7
"49",2,18,1966,1.7,1992,-38.5,1960,-5.6,1992,-44.1
"50",2,19,1947,2.8,1967,-37.2,1947,-0.6,1961,-43.3
"51",2,20,1947,1.7,1962,-36.1,1986,-4.3,1967,-42.8
"52",2,21,1968,0.6,1967,-37.2,1947,-11.1,1967,-44.4
"53",2,22,1965,4.4,1967,-34.4,1947,-6.7,1967,-41.1
"54",2,23,1965,1.1,1962,-33.3,1965,-6.1,1962,-40.6
"55",2,24,1965,-1.1,1995,-33,1956,-11.1,1983,-43.2
"56",2,25,2006,-0.2,1955,-37.2,2006,-13.5,1983,-44
"57",2,26,2006,4.2,1955,-36.7,1954,-7.8,1955,-44.4
"58",2,27,2006,5.7,1985,-37.7,2006,-0.8,1991,-44.7
"59",2,28,2006,3.1,1991,-36.6,2006,-2,1991,-44.5
"60",2,29,1952,-3.3,1972,-29.4,1960,-9.4,1972,-41.1
"61",3,1,2006,2.1,1991,-36,2006,-2.8,1991,-44.7
"62",3,2,2006,1.2,1964,-35,1962,-3.9,1997,-44
"63",3,3,2001,-3.3,1955,-37.2,1981,-7.7,1997,-40.9
"64",3,4,1981,2.4,1948,-35,1981,-0.7,1997,-43.2
"65",3,5,1981,0.3,1968,-32.2,1981,-4.6,1955,-41.1
"66",3,6,2005,-1.6,1984,-35.5,1981,-6,1955,-41.7
"67",3,7,1954,-1.7,1984,-33.4,1954,-6.7,1955,-41.1
"68",3,8,1958,0.6,1984,-33,1954,-5.6,1968,-40.6
"69",3,9,1958,-0.6,1986,-32.7,1958,-5.6,1967,-41.1
"70",3,10,2005,1.2,2004,-32.1,1958,-6.1,1967,-41.7
"71",3,11,2005,4,1964,-30,1958,-7.8,1964,-43.9
"72",3,12,1950,0.6,1964,-34.4,1958,-7.8,1964,-42.8
"73",3,13,1950,1.1,1964,-35.6,1950,-2.8,1964,-41.7
"74",3,14,2005,0.2,1976,-31.1,1950,-3.9,1964,-41.1
"75",3,15,1971,-1.1,1993,-30.5,1950,-6.1,1961,-39.4
"76",3,16,1971,-0.6,1993,-29.9,1971,-7.2,1993,-39.9
"77",3,17,1997,-0.1,1969,-28.3,1997,-6.8,2004,-37.8
"78",3,18,1955,1.1,1973,-30,1981,-4.9,1964,-37.2
"79",3,19,1955,3.9,1961,-29.4,1955,-2.2,1969,-37.8
"80",3,20,1955,2.2,1986,-29.2,1955,-1.7,1983,-40.2
"81",3,21,2013,1.5,2011,-28.4,1955,-2.8,1975,-36.7
"82",3,22,1951,0.6,1964,-28.3,1979,-6.7,1989,-36.5
"83",3,23,1965,0,1960,-32.8,1962,-8.3,1964,-37.8
"84",3,24,1962,-2.2,1960,-30,1962,-5.6,1960,-40
"85",3,25,1984,-2,1960,-29.4,1962,-5.6,1960,-40.6
"86",3,26,2010,1.2,1964,-31.1,1962,-6.1,1964,-40
"87",3,27,1984,-1,1973,-29.4,1962,-6.7,1973,-38.9
"88",3,28,1962,-1.1,1963,-28.3,1984,-8.9,1973,-37.2
"89",3,29,1985,0.3,1963,-26.1,1977,-6.4,1963,-35.6
"90",3,30,1955,0,1974,-23.9,1968,-7.8,1995,-34.5
"91",3,31,1966,-1.7,1964,-25,2000,-5.8,2005,-33.9
"92",4,1,1966,0.6,1978,-25.8,1968,-6.1,1963,-32.8
