"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1964,12.8,1950,-28.9,1918,4.4,1911,-39.4
"2",1,2,1918,15.6,1950,-31.7,1918,4.4,1950,-36.1
"3",1,3,1984,14,1966,-26.1,2001,7.5,1950,-42.8
"4",1,4,1984,16,1966,-28.3,2019,3.6,1950,-37.8
"5",1,5,2006,13,1965,-27.8,1984,5.5,1909,-38.9
"6",1,6,1903,13.3,1909,-29.4,2006,5.1,1909,-40.6
"7",1,7,2002,15.8,1909,-35,2003,6.7,1909,-42.8
"8",1,8,1902,14.4,1909,-28.9,2002,6.9,1989,-38.5
"9",1,9,1919,13.9,1909,-26.1,1928,5.6,1989,-37.6
"10",1,10,1928,15,1911,-30.4,1947,3.9,1909,-37.8
"11",1,11,1987,13.1,1911,-33.8,1987,7.5,1997,-38.9
"12",1,12,1902,16.7,1911,-33.3,1983,6,1911,-42.9
"13",1,13,1902,14.4,1911,-32.5,1986,5.5,1911,-38.9
"14",1,14,1942,13.3,1950,-32.8,1999,4.2,1950,-38.9
"15",1,15,1942,15,1954,-28.9,2004,3.5,1950,-42.2
"16",1,16,1965,13.3,1930,-28.3,1961,3.9,1950,-38.9
"17",1,17,1941,15.6,1935,-29.4,1976,5.6,1950,-40
"18",1,18,2009,12.9,1935,-30,2013,4.7,1950,-41.1
"19",1,19,1981,16.5,1943,-30,2005,6.3,1935,-35.6
"20",1,20,1981,16.5,1943,-31.7,1968,5.6,1954,-40.6
"21",1,21,1942,17.2,1943,-32.8,1968,2.8,1943,-41.1
"22",1,22,1942,15.6,1943,-30,1976,4.4,1943,-38.9
"23",1,23,2005,15.2,1943,-29.4,2005,10,1943,-42.8
"24",1,24,2005,17.2,1950,-31.7,1968,8.9,1969,-41.1
"25",1,25,2015,16.1,1916,-30,2015,8.5,1954,-41.1
"26",1,26,2015,20,1916,-30.6,2015,6.1,1954,-38.9
"27",1,27,2015,16.8,1916,-32.2,1986,7,1916,-40.6
"28",1,28,1940,13.9,1969,-28.9,1984,5.5,1929,-42.8
"29",1,29,1940,16.7,1969,-31.1,1931,9.4,1929,-42.8
"30",1,30,1962,16.1,1917,-31.1,2009,4.6,1969,-38.3
"31",1,31,1931,17.8,1917,-31.1,1962,7.8,1917,-41.1
"32",2,1,1931,16.1,1932,-28.3,1954,3.3,1917,-41.1
"33",2,2,1962,20,1947,-26.1,1962,9.4,1905,-41.7
"34",2,3,1935,17.2,1905,-27.8,2005,9.1,1905,-40
"35",2,4,1941,15,1907,-25,1964,5.6,1907,-39.4
"36",2,5,1984,18,1936,-26.1,1987,4.7,1914,-40
"37",2,6,1987,17.2,1936,-30.6,1984,7,1914,-39.4
"38",2,7,1954,19.4,1939,-29.4,2015,6.9,1936,-35.6
"39",2,8,1954,17.2,1939,-30,1954,6.7,1937,-37.2
"40",2,9,2016,18.3,1939,-31.1,1977,4.4,1939,-40
"41",2,10,1919,15.6,1936,-25,1987,3.9,1939,-38.3
"42",2,11,2005,16.5,1936,-27.2,1974,3.3,1905,-37.2
"43",2,12,1934,19.4,1936,-27.2,1924,7.2,1936,-37.2
"44",2,13,2015,17.1,1923,-26.7,1983,5.5,1936,-37.8
"45",2,14,2017,13.8,1923,-28.9,2016,3.5,1936,-38.3
"46",2,15,2017,15,1936,-25,1916,5,1936,-39.4
"47",2,16,1907,17.2,1936,-30,1997,6.5,1936,-40.6
"48",2,17,1907,16.1,1986,-24,1930,6.7,1927,-38.9
"49",2,18,1916,18.9,1949,-25.6,1930,7.8,1929,-36.7
"50",2,19,1916,18.3,1918,-25,1943,5,1986,-39
"51",2,20,1988,18.5,1917,-23.9,1984,6,1918,-40.6
"52",2,21,1973,16.1,1910,-25,1988,6.8,1917,-33.3
"53",2,22,1973,18.3,1904,-22.8,1981,4,1910,-37.8
"54",2,23,1983,16,1979,-21,1932,5.6,1942,-31.1
"55",2,24,1983,19.5,1919,-23.3,1932,5,1919,-32.2
"56",2,25,1988,17.4,1919,-24.4,1986,8,2019,-34.5
"57",2,26,1988,19.5,1919,-21.7,1926,5,1947,-32.8
"58",2,27,1932,18.3,1962,-23.3,1932,9.4,1955,-34.4
"59",2,28,1968,17.8,1919,-21.1,1986,5,1962,-32.2
"60",2,29,1968,16.1,1976,-19.4,1936,2.2,1912,-31.1
"61",3,1,1905,16.1,1919,-23.9,1923,3.9,1919,-37.2
"62",3,2,1905,17.8,1962,-23.3,1905,6.1,2019,-36.8
"63",3,3,1905,21.1,1962,-21.7,1931,3.3,1960,-33.9
"64",3,4,1905,18.9,1951,-18.3,1937,4.4,1955,-31.1
"65",3,5,1987,20.4,1951,-27.2,1929,6.1,1947,-37.8
"66",3,6,1905,18.3,1951,-27.8,1979,6.5,1920,-36.1
"67",3,7,2005,17.7,1951,-26.1,1979,4.5,1951,-35
"68",3,8,2004,18.9,1951,-24.4,2004,9.2,1951,-37.2
"69",3,9,1905,20.6,1951,-25,2012,5.4,1951,-33.9
"70",3,10,2015,19.1,1951,-21.7,1996,6.5,1951,-35
"71",3,11,2005,21.4,1967,-15,1916,8.3,1951,-35.6
"72",3,12,1910,18.3,1921,-19.4,2015,9.2,1951,-29.4
"73",3,13,2015,20.5,1921,-18.3,1927,5.6,1903,-35.6
"74",3,14,2015,19.3,1943,-16.7,2015,5.9,1925,-32.2
"75",3,15,1926,19.4,1943,-17.2,1972,4.4,1958,-28.9
"76",3,16,1910,21.1,1943,-15,1972,7.2,1943,-32.8
"77",3,17,1905,23.3,2002,-14.3,2007,9,1943,-30
"78",3,18,2017,18.3,1913,-15.6,1976,5.6,1965,-26.1
"79",3,19,1911,21.7,1913,-16.1,1988,8.7,1913,-27.8
"80",3,20,1910,23.3,1913,-17.8,1939,5.6,1913,-28.3
"81",3,21,1939,21.7,2002,-11.5,1939,8.3,2002,-27.1
"82",3,22,1939,23.3,1964,-13.3,1926,6.7,1913,-25.6
"83",3,23,1939,22.8,1964,-17.8,1939,3.9,1964,-23.3
"84",3,24,1939,21.1,1955,-18.3,1909,10,1955,-27.8
"85",3,25,1999,20.2,1913,-13.9,1997,5.9,1913,-30.6
"86",3,26,1946,20.6,1914,-16.1,1946,9.4,1913,-29.4
"87",3,27,2015,21,1914,-15,2015,8.5,1914,-26.7
"88",3,28,1966,20,1936,-13.3,1986,8,1954,-26.1
"89",3,29,1966,24.4,1936,-14.4,1981,5.5,1936,-21.1
"90",3,30,2004,27,1936,-12.2,2003,9.6,1936,-27.2
"91",3,31,1906,24.4,1936,-15.6,1987,6,1936,-22.2
"92",4,1,1906,23.9,1954,-12.8,1985,8,1975,-21.7
"93",4,2,2016,21.8,1954,-12.8,2016,5.5,1954,-22.2
"94",4,3,1944,24.4,1920,-10.6,1988,4.9,2018,-22
"95",4,4,1944,25.6,1911,-9.4,1915,5.6,1920,-20
"96",4,5,1908,25.6,1975,-8.3,1960,6.1,1975,-20.6
"97",4,6,1905,23.9,1920,-8.9,1952,11.7,1975,-19.4
"98",4,7,2005,24.5,1948,-5.6,1906,8.9,1923,-17.8
"99",4,8,2016,26.8,1935,-5,1996,11,1982,-13
"100",4,9,1996,24.2,1929,-5.6,1960,8.3,2018,-13.9
"101",4,10,1925,25.6,1940,-5,1904,10,1929,-15
"102",4,11,1925,23.9,1957,-3.9,1988,10.1,1940,-27.2
"103",4,12,1934,26.1,1986,-7.5,1925,10,1927,-12.8
"104",4,13,1913,27.2,1986,-4.5,1940,8.3,1968,-18.9
"105",4,14,1913,27.2,2000,-6.7,1985,9,1935,-16.1
"106",4,15,1926,27.8,2013,-2,1963,8.9,1953,-16.7
"107",4,16,1984,30,1964,-1.1,1981,8.5,1953,-12.2
"108",4,17,1906,27.8,1933,-2.8,1997,8.8,1953,-11.7
"109",4,18,1936,29.4,1951,-8.9,1952,8.3,1933,-15
"110",4,19,1910,29.4,1927,-6.7,1999,10.5,1951,-14.4
"111",4,20,1934,27.8,2008,-6.4,1986,10,1927,-13.3
"112",4,21,2016,26.7,1967,-2.2,1986,11,1967,-12.8
"113",4,22,1906,29.4,1967,-1.1,1906,6.7,1967,-18.3
"114",4,23,1906,33.9,2008,-1.8,1981,11,1967,-16.1
"115",4,24,1910,31.1,1967,-2.2,2012,10.2,1967,-13.3
"116",4,25,1910,31.1,1954,-1.7,1946,11.7,1909,-11.7
"117",4,26,1910,30,1954,-2.2,1946,10,1967,-12.2
"118",4,27,1987,29.4,1954,-2.8,2013,11,1960,-10.6
"119",4,28,1939,30,1954,-5,1978,9.5,1907,-15.6
"120",4,29,1939,28.9,1909,-3.9,1987,11.4,1909,-12.8
"121",4,30,1926,28.9,1954,-2.8,1926,10,1909,-16.1
"122",5,1,2000,25.1,1967,3.3,1987,10.3,1954,-12.8
"123",5,2,1957,27.2,1902,2.8,1970,8.9,1954,-11.1
"124",5,3,2016,29.5,1967,1.1,1916,10.6,1967,-7.8
"125",5,4,2016,29.3,1919,-2.2,2018,13,1967,-8.3
"126",5,5,1911,31.1,2010,0.5,1934,11.1,1917,-6.1
"127",5,6,1953,28.9,1979,1,1974,12.2,1919,-7.2
"128",5,7,1910,33.3,1996,1.4,2018,11.2,1914,-6.1
"129",5,8,1987,28.8,1996,1.3,2007,12.2,1943,-6.1
"130",5,9,1987,28.9,1967,1.7,1987,12,1925,-3.9
"131",5,10,1906,32.8,1967,-0.6,1906,11.7,1925,-11.1
"132",5,11,1906,31.7,1967,2.2,1906,12.2,1925,-4.4
"133",5,12,2013,29.2,1956,5,2013,12.7,1983,-6.5
"134",5,13,2001,27.2,1946,5.6,2001,13.2,1943,-5.6
"135",5,14,1936,31.7,1955,1.1,1903,12.8,1943,-4.4
"136",5,15,1931,31.1,1929,1.1,2008,13,1929,-4.4
"137",5,16,1988,31.8,1915,3.9,1924,12.2,1942,-4.4
"138",5,17,2008,32.1,1909,1.1,1939,12.8,1942,-3.3
"139",5,18,2006,31.8,1903,0,2008,14.5,1965,-5
"140",5,19,1964,29.4,1903,2.8,1980,13,2003,-4
"141",5,20,1919,31.7,1903,1.7,1980,15.5,1910,-2.8
"142",5,21,1980,31.5,1927,6.1,2000,14.4,1903,-3.3
"143",5,22,1928,30.6,1949,1.7,2000,14.6,1960,-4.4
"144",5,23,2001,32.8,1911,5,2006,14.8,1960,-4.4
"145",5,24,2001,33.3,1911,5.6,1908,15.6,1918,-1.1
"146",5,25,1934,31.1,1959,4.4,2018,15.7,1918,-2.2
"147",5,26,1928,33.3,1941,4.4,2018,14.3,1918,-6.1
"148",5,27,1936,31.7,1906,4.4,1979,13,1918,-1.7
"149",5,28,1986,31.5,1989,2.6,1939,14.4,1947,-4.4
"150",5,29,1936,32.8,2010,5.3,1986,15,1951,-1.7
"151",5,30,1986,33.5,1927,5.6,1934,13.9,1920,-3.3
"152",5,31,2017,31.9,1927,8.3,1986,17.5,1921,-1.1
"153",6,1,1986,33.5,1954,6.7,1956,15,1951,-3.3
"154",6,2,1914,33.3,1910,7.2,1986,15.5,1984,-2
"155",6,3,1970,32.8,1943,9.4,2006,15.4,1920,-1.7
"156",6,4,1970,33.9,1951,5.6,1952,16.7,1917,-0.6
"157",6,5,1961,31.1,1951,5.6,1926,15.6,1951,0
"158",6,6,1972,32.2,2009,6.9,1988,14.2,1912,-2.2
"159",6,7,2016,34,1936,7.2,1970,16.1,1951,0
"160",6,8,2015,33.8,1906,9.4,1977,15.6,1943,0
"161",6,9,1918,32.2,2002,8,1908,14.4,1926,0
"162",6,10,1956,32.8,1967,7.8,1987,15.2,1920,1.1
"163",6,11,2015,31.9,2008,8.5,1986,15.5,1973,0.6
"164",6,12,1959,31.7,1926,11.7,1961,15.6,1969,0
"165",6,13,1933,32.2,1976,9.4,1987,14.4,1969,1.7
"166",6,14,1933,35,1973,13.9,1941,13.9,1952,1.1
"167",6,15,1933,35.6,1939,10.6,1987,18.3,1979,1.5
"168",6,16,1961,33.9,1949,10,1909,19.4,1905,2.2
"169",6,17,1961,31.7,1902,10,1988,16.4,1926,2.2
"170",6,18,2003,32.7,1928,10,1963,15,1949,0
"171",6,19,1985,31.5,1902,8.3,2003,13.9,1902,0
"172",6,20,1988,32.8,1926,10.6,1961,16.1,1902,0
"173",6,21,1912,33.3,1984,10.5,1932,16.1,1951,2.2
"174",6,22,1919,35.6,1924,7.8,1977,16.1,1924,0.6
"175",6,23,1936,35.6,1905,11.7,1988,19.8,1905,0.6
"176",6,24,1912,35,1951,11.7,1988,17.3,1950,1.1
"177",6,25,1912,34.4,1942,11.1,1977,17.2,1920,1.7
"178",6,26,1912,35,1951,8.9,1988,18.8,1920,1.1
"179",6,27,1936,34.4,1945,11.7,1970,18.3,1951,-0.6
"180",6,28,2015,33.4,1969,12.2,2002,16.7,1971,2.2
"181",6,29,1984,34,1968,9.4,2006,17,1975,3.3
"182",6,30,2008,33.9,1968,12.2,1937,18.9,1946,3.3
"183",7,1,1904,33.9,1928,12.2,1904,17.2,1927,2.8
"184",7,2,2013,35.3,1928,12.2,2013,16.8,1976,4.4
"185",7,3,1924,33.9,1902,13.9,2013,18.3,1979,0
"186",7,4,2001,37.2,1902,12.2,2014,17.8,1918,1.7
"187",7,5,2007,36.1,1982,15.5,1975,17.8,1918,3.3
"188",7,6,2018,35.9,1958,13.9,2007,17.7,1908,1.1
"189",7,7,2017,36.7,1903,15,1975,17.2,1952,3.9
"190",7,8,2001,33,1902,12.8,2017,18.6,1971,3.3
"191",7,9,1968,35.6,1951,14.4,1916,17.8,1935,3.9
"192",7,10,1973,37.8,1987,15.5,1930,17.2,1951,4.4
"193",7,11,2002,35,1952,15,1973,16.7,1910,1.7
"194",7,12,2002,34.8,1976,17.8,1968,18.9,1910,1.1
"195",7,13,2000,36.2,1958,15.6,2012,18.1,1974,3.9
"196",7,14,1935,35,2009,15,2002,18.7,1912,2.2
"197",7,15,1935,35,1999,11,2007,17.8,1915,2.8
"198",7,16,1919,36.7,1999,12.9,1935,18.9,1999,4
"199",7,17,1910,37.2,1987,14.1,1941,17.8,1913,3.3
"200",7,18,1960,36.1,1972,11.7,2007,17.8,1962,3.9
"201",7,19,1960,37.8,1911,13.9,2007,19.1,1915,4.4
"202",7,20,1936,36.7,1930,13.3,1960,17.2,1933,2.2
