"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1937,13.3,1918,-18.3,1937,1.7,1918,-27.8
"2",1,2,1979,12.8,1918,-25,1979,4,1936,-31.7
"3",1,3,1979,14.2,1996,-17.5,1951,1.1,1934,-32.2
"4",1,4,2000,14,1981,-21.6,1950,6.7,1934,-31.7
"5",1,5,1993,10.7,1905,-18.9,1954,1.1,1981,-30.5
"6",1,6,1929,13.3,2015,-17.7,2007,4.5,1935,-26.7
"7",1,7,1930,15,1968,-15,1946,5,1972,-23.3
"8",1,8,1930,17.2,1942,-21.7,1962,1.7,1942,-26.1
"9",1,9,1999,12.9,1960,-17.8,1956,1.7,1942,-28.3
"10",1,10,1935,8.3,1947,-18.9,1956,0.6,1934,-31.7
"11",1,11,1983,12.3,1899,-19.4,1933,3.9,1934,-31.7
"12",1,12,2018,14.3,1912,-17.2,2018,7.7,1976,-31.1
"13",1,13,2018,16.7,1971,-20.6,1932,6.1,1971,-27.2
"14",1,14,2005,15.7,1957,-22.2,2006,3.5,1957,-32.2
"15",1,15,1995,14.2,1965,-21.7,1937,2.2,1957,-31.1
"16",1,16,1995,13.6,1907,-22.2,1953,0,2009,-30.7
"17",1,17,1924,9.4,1911,-21.1,1958,0.6,1923,-34.4
"18",1,18,1915,11.1,1982,-20.8,1958,2.2,1925,-35.6
"19",1,19,1929,15,1903,-20.6,1915,7.2,1904,-33.9
"20",1,20,1907,11.7,1943,-17.2,1986,0,1904,-28.9
"21",1,21,1951,11.7,1970,-18.3,1923,0,1934,-30
"22",1,22,1959,12.8,2003,-16.3,1910,4.4,1934,-31.1
"23",1,23,1906,13.3,1922,-18.9,1906,3.3,1934,-30.6
"24",1,24,1999,16.1,1948,-19.4,1999,2.2,1905,-31.1
"25",1,25,1953,11.1,2004,-18.3,1953,3.9,1920,-28.9
"26",1,26,1990,14.3,1994,-23.8,1990,1.4,1994,-30.9
"27",1,27,1986,13.4,1924,-22.2,1986,6.1,1994,-30.6
"28",1,28,1986,11.7,1925,-15.6,1979,0,1925,-31.7
"29",1,29,1950,10.6,1962,-15.6,1979,0,1935,-30
"30",1,30,2008,8.3,1934,-19.4,1924,0.6,1920,-30
"31",1,31,1913,12.2,1993,-20.9,1906,1.7,1934,-32.2
"32",2,1,1951,12.2,1962,-19.4,1988,0.4,1909,-30.6
