"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1966,11.7,2018,-19.1,1970,10.6,1981,-27.3
"2",1,2,2011,7.9,2014,-22.3,1970,8.3,1968,-27.8
"3",1,3,1950,11.1,1981,-26.8,2016,6.8,1981,-31.4
"4",1,4,1950,12.2,1935,-23.3,1951,11.7,1981,-32.9
"5",1,5,2007,8.8,1959,-20,1958,10,1935,-27.2
"6",1,6,2007,11.9,1994,-21.3,1960,9.4,1989,-26
"7",1,7,1933,8.3,1973,-18.9,1957,6.7,1996,-28.9
"8",1,8,2008,9,1968,-25,1931,7.8,1968,-29.4
"9",1,9,2008,10.5,1968,-21.7,1954,10,1968,-29.4
"10",1,10,2016,8.5,1954,-21.7,1954,12.2,1976,-28.9
"11",1,11,1980,10.8,1981,-22,1952,6.7,1976,-32.2
"12",1,12,2018,11.3,1982,-20.1,1931,8.3,1938,-30.6
"13",1,13,1932,12.2,1981,-19.3,1934,9.4,1981,-30.2
"14",1,14,1932,11.7,2004,-24,2014,6.7,1957,-33.9
"15",1,15,1995,13.9,1957,-23.9,2001,11.4,1957,-35
"16",1,16,1953,9.4,1994,-22.9,1979,5.4,2009,-30.3
"17",1,17,1990,7.6,1954,-20,1979,5.1,1974,-30.6
"18",1,18,1996,9.7,1976,-22.2,1990,8.1,1982,-31.3
"19",1,19,1996,12.6,1994,-20,1934,10,1976,-31.7
"20",1,20,1964,6.1,1975,-18.3,2006,4.2,1934,-32.2
"21",1,21,1959,9.4,2005,-21.5,2016,4.8,1934,-28.3
"22",1,22,1957,7.8,1954,-20,1970,4.4,1934,-30
"23",1,23,1999,8.4,1976,-23.9,2009,4.4,1976,-30.6
"24",1,24,1999,8.6,1936,-20.6,2012,3.1,1931,-36.1
"25",1,25,1964,10,2004,-18.9,1951,6.7,1931,-34.4
"26",1,26,1950,12.2,1994,-24.9,1951,9.4,1994,-32.3
"27",1,27,1996,9.8,1935,-20,1951,6.1,1994,-34.7
"28",1,28,1994,8.3,1971,-20,1951,3.3,2003,-28.9
"29",1,29,1950,7.8,1934,-23.9,1966,1.7,1971,-26.1
"30",1,30,2013,9.8,1935,-21.1,2015,5.9,1935,-30.6
"31",1,31,2013,10,1973,-20.6,2015,7.5,1973,-30.6
"32",2,1,1988,8.1,1962,-22.8,2015,3.7,1962,-32.2
"33",2,2,1968,8.3,1971,-20,2006,3.6,1962,-32.8
"34",2,3,2016,8.6,1971,-17.8,2006,3.6,1971,-30.6
"35",2,4,2016,8.4,1970,-17.2,2011,3,1963,-33.9
"36",2,5,1991,8,1934,-16.7,1996,0.5,1978,-28.4
"37",2,6,1953,3.9,1995,-22.3,1996,2.5,1934,-31.7
"38",2,7,2009,6.4,1993,-18.3,1996,2,1993,-32.6
"39",2,8,2019,6.6,1934,-27.2,2012,0.4,1934,-35
"40",2,9,1990,6.4,1934,-22.8,1957,6.7,1934,-33.3
"41",2,10,2001,8.2,1979,-18.3,1957,5.6,1951,-33.3
"42",2,11,1981,12.2,1979,-20.7,1949,5,1931,-28.3
"43",2,12,1999,9.9,1967,-22.8,2015,2.2,1967,-29.4
"44",2,13,1976,6.7,2003,-19.5,2015,7,1967,-30.6
"45",2,14,1984,9.2,1987,-20.3,1964,5.6,1987,-29.6
