"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1918,10,1972,6.7,1992,3.8,1928,-49.4
"2",1,2,1918,9.4,1924,5.6,2007,1.3,1950,-50
"3",1,3,1939,6.7,1926,5,1939,4.4,1950,-40.6
"4",1,4,2012,7.9,1934,3.9,2012,2.5,1950,-37.2
"5",1,5,2006,9.4,1972,4.4,2001,2.4,1991,-42.2
"6",1,6,2003,9.2,1951,1.1,2003,5.6,1991,-44.7
"7",1,7,2003,11.3,1972,1.1,2002,4.6,1991,-42.8
"8",1,8,1928,8.3,1951,3.3,1928,3.3,1991,-46.1
"9",1,9,1928,9.4,1961,4.4,1928,3.3,1991,-41.5
"10",1,10,1941,10.6,1953,3.9,1986,2.8,1913,-44.4
"11",1,11,1996,10.2,1961,3.9,1996,4.9,1913,-43.9
"12",1,12,1996,9,1974,4.4,1996,4.7,1913,-48.9
"13",1,13,1986,8.4,2018,5,1920,2.8,1953,-43.3
"14",1,14,1968,10.6,1954,2.2,1968,5.6,1953,-48.3
"15",1,15,1968,8.9,1957,1.1,1920,2.8,1979,-41.2
"16",1,16,1958,7.2,1957,-1.7,1942,1.7,1950,-48.3
"17",1,17,1977,8.2,1957,-0.6,1991,1.2,1950,-48.3
"18",1,18,1971,8.3,1957,2.2,2017,3.4,1935,-44.4
"19",1,19,1981,9.1,1970,3.9,1944,3.9,1935,-46.7
"20",1,20,1968,12.8,1959,0.6,2005,0.2,1935,-47.8
"21",1,21,1981,11.5,2016,1.2,1981,0.5,1969,-38.3
"22",1,22,1981,12.8,1972,-1.1,2015,1.3,1920,-41.7
"23",1,23,1968,10,1959,1.1,1968,6.1,1950,-46.7
"24",1,24,2005,10,2009,-0.3,2007,3.8,1950,-49.4
"25",1,25,2006,8.7,2009,2,1998,1.3,1950,-45.6
"26",1,26,1934,10,1992,0.8,1924,3.3,1950,-45.6
"27",1,27,1934,11.7,1930,-2.2,1934,4.4,1950,-42.2
"28",1,28,1940,12.2,1930,-3.9,1962,4.4,1950,-43.9
"29",1,29,1931,12.2,1930,-5,1931,6.7,1929,-45.6
"30",1,30,1935,12.2,1951,-3.3,1962,4.4,1917,-48.9
"31",1,31,1935,11.7,2004,-1.2,1935,4.4,1947,-46.7
"32",2,1,1935,11.1,2004,-3.5,2005,4.1,1917,-40
"33",2,2,1935,8.9,1933,-2.2,1991,4.5,1916,-37.8
"34",2,3,1992,10.7,1933,-5.6,1992,6,1929,-41.7
"35",2,4,1941,14.4,1919,-6.1,1991,2.9,1937,-40.6
