"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1876,6.7,1918,-20.6,2011,0.9,1918,-30.6
"2",1,2,1890,7.2,1904,-23.9,1979,0,2014,-32.6
"3",1,3,1950,7.2,1981,-30,1950,0,1981,-33.5
"4",1,4,1950,10.6,1904,-23.3,1950,0.6,1981,-35.5
"5",1,5,1899,7.8,1896,-24.4,2007,2.8,1896,-31.1
"6",1,6,1946,8.9,1896,-23.9,2007,2.6,1883,-31.1
"7",1,7,1915,6.7,1912,-23.3,1946,2.2,1912,-31.1
"8",1,8,1989,6,2004,-22.1,2008,0.9,1878,-31.1
"9",1,9,1978,7.8,1973,-21.1,2008,0,1890,-31.7
"10",1,10,2016,6.1,1890,-25,1956,0,1890,-36.7
"11",1,11,1980,9,1981,-22,1975,-0.6,1995,-32
"12",1,12,2018,11.5,1886,-23.9,2006,-0.3,1886,-33.3
"13",1,13,1932,7.8,1912,-23.9,1932,2.2,1886,-32.8
"14",1,14,2005,9.4,1988,-27,1932,4.4,1957,-32.2
"15",1,15,1995,8,2004,-23.8,1932,0.6,1957,-35.6
"16",1,16,1953,8.9,1992,-27,1933,-1.7,2009,-32.6
"17",1,17,1889,7.8,1982,-27,1913,0,1907,-34.4
"18",1,18,1996,7.5,1911,-24.4,1913,1.1,1982,-34.5
"19",1,19,1996,12.5,1994,-26,1999,0.4,1897,-32.8
"20",1,20,1907,7.2,1975,-22.8,1900,0.6,1994,-31.5
"21",1,21,1944,3.9,1928,-22.2,2017,-0.8,1975,-30
"22",1,22,1910,8.3,1888,-23.3,1910,-0.6,1885,-32.2
"23",1,23,1906,10.6,1976,-24.4,1906,0,2013,-28.9
"24",1,24,1999,7.5,1882,-23.9,2012,-0.4,1886,-32.8
"25",1,25,1938,9.4,1991,-26,1983,0,1897,-31.1
"26",1,26,1950,11.1,1927,-23.9,1958,0.6,2009,-33.8
"27",1,27,1986,7,1924,-26.1,1976,0.6,1924,-32.2
"28",1,28,1974,5.6,1885,-22.2,1974,0.6,1925,-30.6
"29",1,29,1950,6.1,1934,-24.4,1979,0,1885,-30
"30",1,30,1938,6.7,1934,-25.6,1927,1.7,1898,-30.6
"31",1,31,1974,8.9,1920,-23.9,2013,2,1920,-33.3
"32",2,1,2016,6.6,1955,-20.6,1916,-2.8,1920,-32.8
"33",2,2,1981,5,1900,-20,1933,-2.2,1904,-31.1
"34",2,3,1999,5.1,1917,-25,1935,-2.8,1885,-30.6
"35",2,4,1999,4.6,1908,-21.7,1984,1.5,1923,-33.3
"36",2,5,1991,4,1918,-24.4,1984,0,1886,-33.3
"37",2,6,1953,2.2,1995,-25,1943,-2.2,1886,-33.3
"38",2,7,2005,6.6,1910,-19.4,1877,0.6,1993,-31.5
"39",2,8,2019,4.8,1934,-27.8,2005,0.7,1934,-31.1
"40",2,9,1949,5,1951,-23.3,1996,-1,1959,-31.7
"41",2,10,1881,6.1,1888,-20,1881,-0.6,1888,-35.6
"42",2,11,1981,11,1914,-25.6,1925,-1.7,1914,-35
"43",2,12,1932,5.6,1954,-22.8,1998,0.2,1914,-32.2
"44",2,13,1882,5.6,2003,-20.5,1984,1,1914,-28.9
"45",2,14,1984,7,2016,-20.4,1985,0,2003,-29.5
"46",2,15,1984,7,1943,-26.1,1984,3,1943,-32.2
"47",2,16,1981,6,1888,-19.4,2012,-1.4,1943,-31.7
"48",2,17,1883,6.7,1896,-22.8,1981,1,1896,-31.1
"49",2,18,1880,6.7,2006,-18.1,1981,2,1896,-30.6
"50",2,19,2004,6.9,1936,-17.8,1981,2,1979,-27.8
"51",2,20,1994,10,1926,-17.2,1981,2.5,1916,-27.8
"52",2,21,1953,11.7,1916,-21.7,1981,5,1916,-31.1
"53",2,22,1981,11.5,2001,-18.6,1981,4.5,1918,-27.2
"54",2,23,1930,8.3,1907,-18.9,1985,1,1889,-33.3
"55",2,24,1906,6.1,1894,-23.3,1930,0.6,1894,-31.1
"56",2,25,1891,6.7,1928,-22.2,1981,0.5,1894,-28.9
"57",2,26,1891,6.7,1907,-18.3,1998,-0.6,2003,-27.2
"58",2,27,2000,12,1900,-18.9,1998,1.4,1973,-29.4
"59",2,28,2004,10.6,1907,-15,1998,0.9,1879,-26.7
"60",2,29,2004,10.9,1992,-16,1896,-1.1,2008,-28.1
"61",3,1,1903,5.6,1886,-18.9,1999,0.6,1886,-30.6
"62",3,2,1946,6.1,1920,-14.4,1985,2,1920,-27.8
"63",3,3,1946,7.2,1950,-20,1921,2.2,1950,-28.9
"64",3,4,1999,9.6,1884,-15.6,1958,0,2003,-25.9
"65",3,5,1979,6.7,1883,-17.8,1934,1.1,1887,-28.9
"66",3,6,1894,13.3,2007,-16.1,1894,2.8,1883,-27.2
"67",3,7,1922,10,1913,-16.1,1974,1.7,1989,-30
"68",3,8,1973,11.1,2007,-16.4,1973,2.2,1989,-28
"69",3,9,1898,7.8,1880,-12.2,1998,0,2003,-26.1
"70",3,10,1977,10.6,1933,-15.6,1977,1.7,1886,-25.6
"71",3,11,2004,11.1,2017,-18.2,1992,2.5,2005,-25.6
"72",3,12,1977,11.1,1984,-17,1936,5,1984,-25.5
"73",3,13,1996,9,1992,-15,1898,3.9,1885,-29.4
"74",3,14,1996,12,1932,-13.3,1946,2.2,1906,-25
"75",3,15,1945,11.1,1892,-13.9,1945,2.8,2003,-22.8
