"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1964,5.6,1885,-35,2006,-4.1,1885,-50
"2",1,2,2007,4.3,1911,-34.4,1964,-2.2,1887,-43.3
"3",1,3,2007,4.6,1884,-37.2,2007,-4.6,1884,-41.1
"4",1,4,1898,5,1884,-36.1,1953,-6.1,1884,-43.9
"5",1,5,1914,7.2,1884,-33.3,2012,0.5,1909,-42.8
"6",1,6,1902,4.4,1887,-35,1963,-2.2,1909,-46.7
"7",1,7,2002,8.2,1909,-35,1963,-2.2,1909,-45.6
"8",1,8,2002,10.4,1886,-36.1,2002,0.6,1886,-45.6
"9",1,9,2012,5.7,1886,-35.6,2002,-5.4,1888,-45.5
"10",1,10,1990,5.2,1888,-34.7,1928,-1.7,1974,-41.1
"11",1,11,1987,5.9,1912,-40,1986,-2.2,1912,-43.9
"12",1,12,1987,7.6,1916,-36.7,1928,-2.8,1916,-47.2
"13",1,13,1980,4.6,1888,-35.6,1942,-4.4,1916,-44.4
"14",1,14,1986,4.1,1911,-33.3,1943,-2.2,1888,-43.3
"15",1,15,1973,5.6,1907,-34.4,1973,-2.8,1911,-42.8
"16",1,16,1973,6.1,1930,-31.7,1961,-0.6,1885,-40.6
"17",1,17,1926,7.2,1907,-32.8,2015,-5.6,1962,-39.4
"18",1,18,2017,5.4,1963,-30,1944,-2.2,1950,-40.6
"19",1,19,1899,8.9,1886,-35.6,1899,-4.4,1886,-42.2
"20",1,20,1919,7.2,1886,-33.3,1944,-2.8,1913,-45
"21",1,21,1908,4.4,1886,-35,1968,-2.2,1885,-45
"22",1,22,2015,4,1935,-31.7,2015,-3.8,1886,-41.7
"23",1,23,1944,7.2,1952,-28.3,2015,-4.1,1943,-43.3
"24",1,24,1973,5.6,1920,-31.7,1968,-1.7,1920,-41.1
"25",1,25,1973,5.6,1972,-35,1981,-4.2,1972,-41.7
"26",1,26,2015,5.5,1950,-33.3,2015,-1.3,1950,-45.6
"27",1,27,1976,5,1966,-31.7,2015,-3.9,1950,-43.3
"28",1,28,1924,3.9,1966,-31.7,1992,-3,2004,-41.9
"29",1,29,2017,5.8,1918,-34.4,2016,-2.2,1950,-41.7
"30",1,30,1931,5,1887,-35,1931,-1.7,1937,-43.3
"31",1,31,1931,8.9,1917,-38.3,1976,-1.1,1938,-42.2
"32",2,1,1992,6.1,1917,-34.4,1992,-3.9,1947,-43.3
"33",2,2,1991,7.8,1886,-31.1,1962,-0.6,1886,-43.9
"34",2,3,1991,6.6,1887,-36.7,1991,0.3,1887,-42.8
"35",2,4,1954,4.4,1907,-32.8,1998,-3.5,1887,-44.4
"36",2,5,1991,7.5,1907,-31.7,1991,-1,1907,-43.9
"37",2,6,2016,9,1884,-31.1,2016,-6.3,1914,-40
"38",2,7,1991,8.5,1886,-33.3,1991,-3.8,1886,-41.7
"39",2,8,1945,5.6,1887,-33.3,1987,-3.5,1899,-43.3
"40",2,9,1976,4.4,1885,-29.4,1954,-2.2,1937,-40
"41",2,10,1926,7.2,1884,-33.9,1977,-3,1899,-42.2
"42",2,11,1928,6.1,1884,-33.9,1977,-2.6,1884,-45
"43",2,12,1983,5.6,1936,-32.2,1921,-3.3,1936,-44.4
"44",2,13,1931,6.1,1936,-27.8,1924,-3.3,1922,-42.8
"45",2,14,1931,11.1,1936,-33.3,1934,-1.7,1936,-45.6
"46",2,15,1931,6.7,1936,-33.3,1984,-4.3,1936,-45.6
"47",2,16,2017,9.2,1936,-31.1,1981,0.5,1936,-47.8
"48",2,17,1981,6.9,1967,-25.6,2017,0.4,1927,-38.9
"49",2,18,1931,11.7,1885,-27.8,1998,-0.5,1903,-41.1
"50",2,19,1931,11.1,1885,-27.8,1931,0,1941,-37.8
"51",2,20,1991,7.7,1918,-26.7,1981,0.1,1941,-41.7
"52",2,21,1984,8.5,1917,-25.6,1984,-0.6,1918,-36.7
"53",2,22,1931,8.9,1917,-25.6,1984,-1.1,1937,-34.4
"54",2,23,1954,8.9,1899,-26.1,1984,-0.6,2003,-37.6
"55",2,24,1958,6.1,1904,-23.3,1954,-0.6,2003,-38.9
"56",2,25,1988,9.1,1919,-28.9,1958,0,2019,-37.2
"57",2,26,2016,13.2,1962,-28.3,1932,1.7,1936,-40
"58",2,27,1988,11.3,1962,-30,1932,1.1,1962,-39.4
"59",2,28,1932,15.6,1919,-25.6,1932,0.6,1962,-38.9
"60",2,29,1988,9.4,1916,-21.7,1924,-1.1,1980,-30.6
"61",3,1,1931,10,2014,-27.5,1934,0.6,2014,-38.8
"62",3,2,2000,13,2014,-22.9,1934,-1.7,1972,-39.4
"63",3,3,1905,16.1,1887,-23.3,1934,0,1917,-40
"64",3,4,2000,11.3,1962,-22.2,1987,0,1920,-36.7
"65",3,5,2016,17.3,1884,-21.1,1987,1,1943,-37.2
"66",3,6,1987,16.8,1951,-25,2000,2.6,1955,-37.2
"67",3,7,1977,14.3,1951,-23.9,1968,0,1943,-35.6
"68",3,8,1977,11.3,2003,-23.4,1990,-0.2,2003,-36.3
"69",3,9,1973,11.7,1948,-26.7,2016,-1.5,1948,-34.4
"70",3,10,2016,13.8,2009,-23.2,1989,-0.8,1948,-40.6
"71",3,11,2016,14.8,1951,-21.1,1995,1.4,2009,-36
"72",3,12,2016,13.4,1951,-17.8,2007,0.8,1951,-34.4
"73",3,13,2016,12.9,1967,-17.2,1945,0.6,1967,-31.1
"74",3,14,1981,13.2,1997,-18.3,2015,0.5,1903,-31.7
"75",3,15,1992,14.6,1955,-17.8,2015,1.3,1997,-30.1
"76",3,16,2012,16.9,1941,-17.2,2012,0.2,1939,-31.1
"77",3,17,1905,16.7,1902,-22.8,1938,1.1,1902,-32.8
"78",3,18,1910,17.8,1912,-15,2012,2.4,1923,-31.7
"79",3,19,1910,17.8,1965,-16.1,1994,0.6,1903,-32.8
"80",3,20,1945,17.2,1899,-20.6,1985,0.7,1912,-33.3
"81",3,21,1910,18.9,1899,-17.8,1991,1.4,1913,-31.1
"82",3,22,1928,21.1,1899,-20,1973,1.1,1965,-32.8
"83",3,23,1910,24.4,1974,-18.9,1945,3.3,1974,-34.4
"84",3,24,2007,19.5,1955,-18.3,1945,2.8,1974,-30.6
"85",3,25,2007,18.5,1964,-15.6,1993,3,1974,-27.8
"86",3,26,1946,17.8,1899,-15,1968,2.8,1913,-32.2
"87",3,27,1986,18.7,1899,-13.3,1918,5,1898,-33.3
"88",3,28,1929,18.9,1969,-16.7,1963,3.3,1898,-31.7
"89",3,29,1978,17.8,1969,-15,1981,1.5,1898,-33.3
"90",3,30,2012,22.2,1936,-14.4,2017,3.1,1969,-28.3
"91",3,31,2004,19.7,1936,-13.3,1958,2.2,1970,-24.4
"92",4,1,2012,19.3,1954,-15,2012,4.1,1975,-26.1
"93",4,2,2016,22.3,1954,-13.3,1991,1.8,1899,-28.9
