"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1918,3.3,1928,-31.1,1927,-2.2,1937,-39.4
"2",1,2,2007,4.8,1928,-31.1,1962,-4.4,1943,-41.1
"3",1,3,1985,7.3,1950,-30,2007,-0.2,1950,-41.1
"4",1,4,1984,5.5,1966,-30,1987,-6.3,2009,-41.4
"5",1,5,2012,6.4,1909,-32.8,2012,-3.3,1950,-42.2
"6",1,6,1963,5,1909,-33.3,2001,-2.8,1909,-43.9
"7",1,7,1963,5,1909,-35.6,1963,-0.6,1909,-42.8
"8",1,8,2012,6.8,1909,-35.6,2002,-2,1909,-44.4
"9",1,9,1928,5.6,1930,-33.9,1928,-3.3,1909,-42.8
"10",1,10,1928,6.7,1912,-34.4,1928,-1.7,1912,-44.4
"11",1,11,1986,6.2,1912,-36.7,1986,-1.6,1912,-48.3
"12",1,12,1987,5,1916,-35.6,1987,-2.7,1916,-46.1
"13",1,13,1942,6.1,1911,-35.6,1942,-1.7,1916,-45.6
"14",1,14,1986,5.6,1911,-35,1943,-3.9,1907,-44.4
"15",1,15,2014,7.5,1907,-35,2014,-3.4,1907,-43.9
"16",1,16,1942,4.4,1930,-33.3,1961,-1.7,1907,-43.3
"17",1,17,2018,5.4,1950,-34.4,2017,-4.8,1950,-45.6
"18",1,18,2017,6.7,1935,-34.4,2017,-1.7,1996,-41.5
"19",1,19,2017,4.3,1943,-37.2,2017,-4.1,1943,-46.1
"20",1,20,1975,3.9,1943,-34.4,1944,-2.8,1943,-47.8
"21",1,21,1993,5,1943,-35,2017,-2.9,1943,-43.9
"22",1,22,1942,6.7,1935,-34.4,2015,-4,1922,-42.2
"23",1,23,1968,5.6,1922,-31.7,1968,-2.8,1943,-46.7
"24",1,24,1968,6.7,1941,-36.1,1968,-0.6,1943,-43.9
"25",1,25,2015,4.6,1950,-36.7,2015,-4.3,1972,-46.1
"26",1,26,1982,5.5,1950,-35.6,1990,-2.2,1950,-45.6
"27",1,27,1976,6.1,1966,-33.3,2015,-3.7,1950,-45.6
"28",1,28,1941,4.4,1966,-34.4,1992,-3.8,2004,-44.9
"29",1,29,1913,5,2008,-31.7,1989,-3.7,1950,-45.6
"30",1,30,1931,10,1969,-33.9,2017,-1.7,1969,-42.8
"31",1,31,1931,6.1,1917,-32.2,1976,-1.1,1969,-42.8
"32",2,1,1931,7.8,1989,-33.3,1993,-3.3,1947,-44.4
"33",2,2,1924,7.8,1917,-34.4,1991,1.7,1917,-42.8
"34",2,3,1954,6.1,1907,-32.2,1954,-1.1,1914,-42.8
"35",2,4,1931,6.7,1914,-30.6,1954,-4.4,1907,-42.8
"36",2,5,1963,6.7,1936,-29.4,1991,-0.1,1907,-42.2
"37",2,6,1991,8,1936,-31.1,2016,-2.7,2019,-42.5
"38",2,7,1991,5.8,1939,-35,1961,-1.1,1994,-43.2
"39",2,8,1976,4.4,1909,-31.1,1984,-4.1,1994,-40.2
"40",2,9,1976,3.9,1909,-28.9,1954,-3.3,1949,-38.9
"41",2,10,1918,5,1936,-28.9,1984,-3.7,1939,-40.6
"42",2,11,1926,3.9,1905,-28.9,1934,-1.7,1905,-38.9
"43",2,12,1934,6.1,1936,-30,1920,-2.8,1936,-43.3
"44",2,13,1924,6.7,1936,-29.4,1924,-2.2,1936,-41.1
"45",2,14,1931,8.3,1936,-31.7,1934,-1.7,1936,-45
"46",2,15,1931,9.4,1936,-33.9,1934,-2.2,1903,-44.4
"47",2,16,2017,7.5,1903,-28.9,2017,-0.6,1903,-43.3
"48",2,17,1954,7.8,1900,-30,2017,0.3,1903,-40
"49",2,18,1931,7.2,1941,-28.9,2016,-2.9,1903,-38.3
"50",2,19,1931,12.8,1941,-28.3,2017,0,1949,-40.6
"51",2,20,1930,6.1,1918,-29.4,2017,-0.1,1918,-40
"52",2,21,1931,10,1910,-27.2,2017,-0.5,1918,-40
"53",2,22,1931,10,1910,-27.2,1931,-3.9,1910,-38.9
"54",2,23,1954,5.6,1922,-25,1905,-4.4,1940,-37.2
"55",2,24,1905,4.4,1919,-25,1908,-2.2,1919,-40.6
"56",2,25,1938,6.7,1919,-23.9,1921,0,2011,-37.2
"57",2,26,1988,7.4,1919,-29.4,1992,-0.3,1919,-44.4
"58",2,27,1921,8.3,1962,-28.9,1992,0.4,1962,-40
"59",2,28,1905,7.8,1962,-26.7,1932,0,1962,-40
"60",2,29,1968,6.7,1916,-18.9,1992,-1.8,1916,-34.4
"61",3,1,1921,7.2,1916,-25,1923,0.6,1962,-37.8
"62",3,2,1931,10,1972,-23.9,1934,0,1972,-37.2
"63",3,3,1905,11.1,1952,-21.1,1934,0,1917,-36.7
"64",3,4,1987,8.3,1955,-22.8,1968,-0.6,2003,-35
