"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",4,22,1986,20.2,1925,-15.6,1918,3.3,1880,-19.4
"2",4,23,1986,22.8,2014,-13.4,1904,1.1,2014,-18.4
"3",4,24,1986,24.1,1901,-12.8,1886,3.3,2014,-18.3
"4",4,25,1942,21.7,1926,-13.3,1896,4.4,1947,-18.9
"5",4,26,1986,20.9,1890,-10.6,2018,8.4,1901,-19.4
"6",4,27,1913,22.2,1957,-11.1,1892,2.2,1876,-18.9
"7",4,28,1889,21.7,1972,-11.1,2006,5.4,1978,-18.3
"8",4,29,1913,21.1,1991,-15.1,1956,2.8,1991,-17.9
"9",4,30,1883,20.6,1950,-12.2,1956,1.7,1912,-16.7
"10",5,1,1918,21.1,1950,-12.2,1958,2.8,1913,-18.9
"11",5,2,1918,21.1,1980,-13.4,1889,3.3,1980,-19.7
"12",5,3,1949,20.6,1995,-11.1,1891,7.2,1890,-18.9
"13",5,4,1949,21.1,1974,-13.9,1915,2.2,1971,-21.1
"14",5,5,1999,23.5,1971,-15,1976,1.7,1971,-21.1
"15",5,6,1878,20.6,1905,-12.2,1957,2.8,1882,-24.4
"16",5,7,1999,23,1928,-12.2,1910,1.7,1957,-20.6
"17",5,8,2016,21.4,1911,-18.3,1901,3.9,1911,-23.3
"18",5,9,1999,23.2,1882,-18.9,1951,7.8,1911,-23.3
"19",5,10,1999,23,1947,-15,2000,4.3,1882,-24.4
"20",5,11,1903,22.8,1993,-12.7,1986,6.8,1947,-20
"21",5,12,1939,21.7,1897,-13.3,1889,5.6,1897,-18.9
"22",5,13,1912,26.1,1992,-14.3,1910,7.2,1890,-20.6
"23",5,14,1992,22.5,1898,-14.4,1971,2.8,1898,-19.4
"24",5,15,1986,23.9,1922,-17.8,2016,0.5,1890,-22.8
"25",5,16,1986,25.4,1920,-13.9,2003,3.7,1890,-26.7
"26",5,17,1999,24.4,1920,-15.6,1906,1.7,1890,-23.3
"27",5,18,1932,24.4,1972,-13.3,1970,3.9,1877,-21.1
"28",5,19,1979,22.2,1992,-13.6,1984,9.6,1884,-25
"29",5,20,1988,23.7,1957,-18.3,1999,3.8,1957,-23.3
"30",5,21,1889,27.2,1957,-15,1901,0.6,1920,-23.9
"31",5,22,2012,26.4,1975,-15.6,1901,0.6,1890,-28.3
"32",5,23,1889,25,1920,-18.9,1915,2.8,1898,-26.1
"33",5,24,2016,23.5,1975,-18.3,1917,1.1,1920,-23.9
"34",5,25,1938,23.9,1990,-16.1,1969,0.6,1975,-23.3
"35",5,26,1988,24.6,1975,-20,1970,1.1,1899,-23.9
"36",5,27,1910,23.3,1975,-16.1,1925,2.2,1876,-23.9
"37",5,28,1912,23.9,1923,-15.6,1886,4.4,1876,-24.4
"38",5,29,1948,23.3,1913,-20,1969,1.7,1913,-22.2
"39",5,30,1972,25.6,1874,-15.6,1939,5,1994,-22.2
"40",5,31,1960,23.9,1994,-13.7,1908,3.9,1994,-22.4
"41",6,1,1999,26.8,1883,-24.4,1898,1.7,1880,-22.8
"42",6,2,1876,25.6,1923,-14.4,1898,1.1,1883,-28.9
"43",6,3,2005,26.2,1884,-14.4,1920,1.1,1884,-22.8
"44",6,4,1967,27.2,1923,-15,1955,0,1894,-22.8
"45",6,5,1912,28.9,1923,-13.9,1989,3,1894,-23.3
"46",6,6,1967,28.9,1883,-16.7,1954,4.4,1891,-25
"47",6,7,2007,25.9,1875,-17.2,1996,7.8,1875,-29.4
"48",6,8,1915,30.6,1989,-12.6,1996,2.9,1990,-21.8
"49",6,9,1900,27.2,1990,-18.8,2016,3.6,1990,-23.8
"50",6,10,1908,26.7,1967,-12.8,1970,5.6,1875,-20.6
"51",6,11,1921,27.8,1944,-16.1,1970,4.4,1891,-23.9
"52",6,12,1979,26,1904,-16.1,1908,1.7,1904,-28.3
"53",6,13,1999,27.8,1928,-14.4,1903,3.3,1980,-19.7
"54",6,14,1933,26.7,1922,-14.4,1970,1.7,1972,-22.2
"55",6,15,1881,27.2,1961,-14.4,2009,8.8,1972,-22.2
"56",6,16,1917,29.4,1907,-15.6,1909,4.4,1889,-24.4
"57",6,17,1976,27.8,1922,-14.4,1909,3.9,1889,-23.3
"58",6,18,1983,27.4,1990,-13.6,1901,7.2,1990,-21.2
"59",6,19,1983,29.3,1892,-12.2,1979,5.9,1983,-19.4
"60",6,20,1876,27.8,1928,-8.9,1979,9.7,1920,-15.6
"61",6,21,1876,28.3,1982,-14.6,1995,4.4,1874,-25.6
"62",6,22,1894,26.7,1874,-15,1949,3.3,1874,-24.4
"63",6,23,1986,26.9,1974,-12.8,1949,2.2,1974,-17.8
"64",6,24,1947,29.4,1938,-12.8,1949,5,2014,-17.8
"65",6,25,1887,28.3,1963,-12.8,1898,2.8,1935,-20
"66",6,26,1937,27.8,1912,-15,1898,5.6,1912,-21.7
"67",6,27,1937,27.2,2003,-11.2,1910,8.3,1882,-22.8
"68",6,28,1918,26.7,1882,-15,1910,2.8,1985,-22.5
"69",6,29,1944,29.4,1997,-13,1984,4.4,1882,-21.7
"70",6,30,1947,28.9,1986,-13,1936,3.3,1986,-23.8
"71",7,1,1901,28.3,1964,-10,1936,2.8,1875,-21.1
"72",7,2,1887,30,1880,-14.4,1968,5,1880,-20
"73",7,3,1923,28.3,1880,-13.9,1936,5,1885,-20.6
"74",7,4,2018,28.6,1880,-13.9,1936,7.8,1948,-20.6
"75",7,5,1908,27.8,1923,-13.3,1936,3.3,1923,-20.6
"76",7,6,1983,31.5,2003,-12.1,1992,3.5,2003,-19.2
"77",7,7,1985,30.3,1905,-11.1,1878,3.3,1882,-20.6
"78",7,8,1982,29.7,1880,-7.8,1920,6.1,1905,-15
"79",7,9,1895,30.6,1992,-9.7,1920,7.8,1935,-17.8
"80",7,10,1895,30,1992,-7.6,1988,4.2,1992,-15.8
"81",7,11,1912,30,1905,-6.7,1992,3.3,1989,-15.3
"82",7,12,1891,28.3,1965,-7.8,1877,3.9,1884,-18.3
"83",7,13,1896,28.9,1894,-9.4,2003,7.3,1894,-17.8
"84",7,14,1963,30.6,1893,-6.7,2016,2.3,1875,-17.2
"85",7,15,1920,32.2,2008,-6.3,1932,5.6,1875,-16.1
"86",7,16,1892,29.4,2017,-6.8,1976,6.1,1948,-17.8
"87",7,17,1967,28.9,2019,-4.4,1932,3.3,1978,-15.1
"88",7,18,1877,28.9,1973,-6.7,1903,7.2,1973,-13.3
"89",7,19,1883,30,1923,-8.9,1981,6.1,1923,-14.4
"90",7,20,1877,30.6,1989,-6.3,1994,5,1957,-14.4
"91",7,21,2014,29.4,2008,-6.6,1900,3.9,1957,-15
"92",7,22,1916,28.3,1914,-7.8,1928,3.3,1874,-15
"93",7,23,1947,29.4,1946,-3.3,2008,3.3,1882,-15
"94",7,24,1961,28.9,1882,-3.3,1904,6.7,1893,-14.4
"95",7,25,2013,28.3,2003,-4.6,1915,3.3,1978,-14.8
"96",7,26,1921,30,1935,-3.9,1915,8.9,1882,-13.3
"97",7,27,1882,29.4,1882,-11.7,1915,6.1,1882,-18.3
"98",7,28,2007,29.6,1921,-8.9,2004,10.1,1882,-18.3
"99",7,29,2007,27.7,1893,-5,1964,5.6,1921,-12.2
"100",7,30,2014,29.5,2015,-2.4,1915,5.6,1942,-13.9
"101",7,31,2014,29.4,1906,-3.9,1956,6.7,1875,-11.7
"102",8,1,2018,29.3,1884,-2.2,1956,4.4,1983,-11
"103",8,2,1880,30.6,1929,-3.3,2013,7,1886,-11.1
"104",8,3,2014,27.9,1947,-3.3,1884,7.8,1897,-10.6
"105",8,4,1979,29.6,1960,-3.3,1993,9.1,1874,-13.3
"106",8,5,1909,31.7,1960,-1.7,1986,8.8,1906,-11.1
"107",8,6,1909,30.6,2015,-3.4,1986,11.1,1981,-8.8
"108",8,7,1996,31,2003,-4.8,1958,11.1,1978,-13.2
"109",8,8,1937,30,1985,-1.8,1986,8.8,1978,-12.9
"110",8,9,1937,31.7,2016,-1.4,1933,5.6,1978,-8.7
"111",8,10,1908,31.1,1947,-1.1,1902,10,2000,-6.9
"112",8,11,1995,29.2,1973,-1.1,1913,9.4,2001,-6.9
"113",8,12,1989,28.3,1943,-2.2,1913,7.2,2001,-6.9
"114",8,13,1944,30,1992,-1.3,1907,7.8,2013,-7.3
"115",8,14,1876,33.9,1992,-2.9,1981,9.8,1966,-6.7
"116",8,15,1876,30,1965,-2.2,1911,10,1992,-7.9
"117",8,16,2002,29.1,1979,-0.8,1949,9.4,1992,-8.4
"118",8,17,1967,28.3,1958,-0.6,1983,10.7,1890,-7.2
"119",8,18,1938,28.9,1944,-1.7,2006,10,1997,-5.6
"120",8,19,1924,26.7,1941,-2.8,1890,11.1,1997,-6.1
"121",8,20,1935,31.7,2001,-1.4,1987,10.2,1947,-7.2
"122",8,21,1995,27.2,1945,-0.6,1987,9.8,1875,-6.7
"123",8,22,1875,28.3,1945,-1.7,1987,10.3,1972,-6.7
"124",8,23,1891,28.3,1993,-0.9,1876,9.4,1886,-6.1
"125",8,24,1877,30,1956,0,1928,8.9,1886,-6.7
"126",8,25,1917,27.8,1876,-0.6,2013,14,1964,-6.7
"127",8,26,1999,26.7,1904,0,1992,12.3,1964,-5.6
"128",8,27,1875,27.2,1990,1.6,1984,10,1978,-6.1
"129",8,28,1875,28.9,1964,-1.1,1897,12.8,1964,-5.6
"130",8,29,1891,28.9,1964,0,2012,11.6,1985,-5.7
"131",8,30,1977,28.5,1993,-2.9,1937,12.8,1993,-5.4
"132",8,31,2007,26.3,1959,0,2009,13.8,1993,-6.5
"133",9,1,1902,26.7,1963,1.1,1937,12.2,1993,-6.7
"134",9,2,1949,25.6,1989,1.9,1889,15.6,1989,-6.1
"135",9,3,1999,28.6,1958,0.6,1954,15.6,1989,-5.8
"136",9,4,1900,28.9,1985,0.2,1889,15,1947,-5
"137",9,5,1895,25.6,1909,1.7,1914,11.1,1954,-4.4
"138",9,6,1880,25.6,1990,2.1,2013,15.5,1905,-3.3
"139",9,7,1948,27.8,1973,1.1,1897,12.8,1876,-5
"140",9,8,1953,26.1,1945,0.6,2011,15,1989,-4.8
"141",9,9,2001,25.5,1950,1.1,1910,15,1903,-5.6
"142",9,10,2001,29.5,1950,1.7,1958,12.8,1949,-2.8
"143",9,11,2001,29.2,1974,1.1,1948,13.9,1957,-3.3
"144",9,12,1989,27,1991,0.8,1981,12.6,1987,-3.5
"145",9,13,1937,26.1,1990,1.5,1984,14,1957,-4.4
"146",9,14,2003,26.7,1975,1.7,1986,15.2,1994,-3.5
"147",9,15,1937,26.1,1983,2.6,1876,15.6,1995,-2.6
"148",9,16,2003,28.5,1967,2.2,1938,13.9,1991,-3.9
"149",9,17,1889,26.1,1943,1.7,1916,14.4,1991,-4
"150",9,18,1889,25.6,1991,2.3,1916,15.6,1908,-3.3
"151",9,19,2012,23.2,1991,1.5,1889,15.6,1982,-3
"152",9,20,1926,24.4,1991,2.6,1915,15.6,1940,-2.2
"153",9,21,1918,25.6,1987,2.8,1915,16.7,1970,-3.3
"154",9,22,1938,25,1919,2.2,2007,14.1,1970,-3.3
"155",9,23,1914,27.8,2018,3.3,1893,14.4,1875,-2.8
"156",9,24,1961,26.7,1909,2.8,1936,16.7,1970,-1.1
"157",9,25,1892,25.6,1970,3.9,1939,13.9,1970,-1.1
"158",9,26,1961,23.9,1991,2.2,1875,16.1,1973,-1.1
"159",9,27,1961,23.3,1974,1.7,1999,14.5,1982,-2.2
"160",9,28,1942,25.6,1974,3.3,1953,15.6,1999,-2
"161",9,29,1891,25.6,1974,3.3,1917,16.7,1956,-2.8
"162",9,30,1874,25.6,1975,1.1,1997,17.6,1999,-1.5
"163",10,1,1921,23.9,1907,4.4,1997,16.6,1874,-0.6
"164",10,2,2013,23.1,1976,3.3,1970,16.1,1884,-1.7
"165",10,3,1932,30.6,1976,3.3,1876,16.1,1982,-0.8
"166",10,4,1987,24.6,1944,4.4,1972,15.6,1982,-1.1
"167",10,5,1913,23.3,1901,4.4,1954,15,1887,-1.7
"168",10,6,1932,22.8,1963,5,1922,17.8,1984,-0.7
"169",10,7,1932,22.2,1932,4.4,1887,17.2,2018,-1.3
"170",10,8,1987,21.2,1956,4.4,1973,16.1,2018,-1.7
"171",10,9,1895,23.3,1956,5.6,1937,16.7,1919,-2.2
"172",10,10,1958,21.7,1939,5.6,1988,18.2,1956,-1.1
"173",10,11,1979,21.3,1939,4.4,1876,18.3,1947,-0.6
"174",10,12,1931,20.6,1939,5,2016,18,1975,0
"175",10,13,1909,21.1,1923,5.6,1954,18.9,1948,1.1
