"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1992,-2,1968,-35,1992,-8.4,1974,-47.8
"2",1,2,2016,-2.7,1968,-35.6,1992,-8.2,1968,-44.4
"3",1,3,1985,2.9,1968,-37.8,2003,-7.6,1968,-48.3
"4",1,4,1985,2.8,1968,-34.4,2007,-9.8,1981,-43.9
"5",1,5,2016,-5.9,1968,-37.8,2006,-11.3,1968,-43.3
"6",1,6,2003,-3.2,1968,-35,2008,-10.5,1968,-45.6
"7",1,7,2003,5.7,1968,-35,2003,-3.8,1968,-48.3
"8",1,8,2003,-0.2,1968,-34.4,2002,-10.5,1968,-48.9
"9",1,9,2012,-3.3,1974,-32.8,2002,-11.6,1995,-43.6
"10",1,10,1987,-2.5,1974,-32.2,2002,-11.2,1989,-45.3
"11",1,11,1987,1.5,1999,-31.5,2002,-7.9,1977,-44.2
"12",1,12,1987,-2.7,1988,-31.5,1987,-9.6,1977,-47.2
"13",1,13,1989,-4.4,1994,-32.6,2010,-13.7,1999,-44.7
"14",1,14,1973,-7.8,2005,-34,1973,-15.6,1977,-46.8
"15",1,15,2017,-4.3,1982,-33.6,1969,-8.9,1977,-45.6
"16",1,16,2017,-2.9,1994,-35,1999,-8.5,1979,-44.7
"17",1,17,2017,1.5,1994,-33.9,2017,-3.4,1982,-44
"18",1,18,2017,1.3,1985,-35.2,2017,-0.2,1982,-44.7
"19",1,19,1968,-1.1,1982,-33,1993,-11.3,1982,-45.7
"20",1,20,1993,-0.3,2002,-35,2017,-3.2,1982,-46.8
"21",1,21,1981,4.6,1982,-31.4,2017,-3.5,1975,-48.3
"22",1,22,1981,-0.5,1969,-31.1,2017,-5.3,1969,-43.9
"23",1,23,2015,-0.7,1991,-28.7,2010,-9,1969,-44.4
"24",1,24,1973,2.2,1972,-36.7,2017,-10.1,1987,-45.4
"25",1,25,1973,0.6,1972,-31.7,2012,-13.4,1994,-45.7
"26",1,26,1989,-2.1,1971,-28.9,1989,-10.7,1977,-42.8
"27",1,27,1989,4.1,1991,-31.7,1989,-9.1,1991,-42.5
"28",1,28,2000,-3.3,2004,-30.9,2000,-10.1,2002,-46.1
"29",1,29,1989,0.8,2019,-32.7,1999,-13.4,1974,-45
"30",1,30,1993,8.1,1990,-29.9,2000,-8.4,1991,-46.8
"31",1,31,1993,-2.8,1996,-38.2,2006,-12.2,1996,-45.7
"32",2,1,1993,3.8,1970,-32.8,2005,-4.7,1974,-47.8
"33",2,2,1993,3.8,1989,-30.8,1991,-9.3,1974,-47.8
"34",2,3,1991,-0.1,1988,-29.2,2011,-6.5,1974,-43.3
"35",2,4,2012,2.7,1972,-30,1986,-6.8,1982,-43.8
"36",2,5,1991,-0.1,1994,-27.9,1987,-12,1983,-43.1
"37",2,6,1991,4.3,1994,-30.7,1991,-10.6,2013,-42.9
"38",2,7,1991,5.1,1983,-27.5,1976,-9.4,1979,-44.5
"39",2,8,1991,3.1,1975,-28.9,1997,-9.1,1983,-46.2
"40",2,9,1976,1.7,1979,-28.4,1980,-11.7,1975,-46.7
"41",2,10,2005,-3,1967,-30.6,2009,-9.1,1974,-43.3
"42",2,11,1977,-1.2,1981,-27.1,1977,-5.2,1981,-43.7
"43",2,12,2013,-0.5,1974,-30,2009,-15.1,1979,-42.7
"44",2,13,2017,2.1,1979,-31.8,2017,-11.2,2014,-42.9
"45",2,14,1984,-2.5,1967,-30.6,1998,-6.2,1973,-45
"46",2,15,1981,4.4,1972,-28.9,1998,-3.3,2008,-42
"47",2,16,1981,2.8,1968,-26.7,1998,-3.5,1986,-43.6
"48",2,17,2017,1.2,2015,-23.5,1998,-2.1,1995,-38.3
"49",2,18,1998,2.5,2018,-28,1998,-0.2,2018,-43.2
"50",2,19,1975,4.4,1968,-25.6,1998,-1.5,1986,-44.5
"51",2,20,1998,3.2,2001,-24,1998,-1.4,1986,-42.5
"52",2,21,1970,3.9,2015,-26,1981,-6.8,1968,-40
"53",2,22,2000,5.1,1967,-23.9,1971,-6.7,1993,-43.6
"54",2,23,1971,5,2003,-26,1998,-7.9,2003,-40.1
"55",2,24,1975,5.6,1973,-22.8,1975,-7.8,1979,-43.7
"56",2,25,1992,4.3,2009,-26,2000,-2.1,1995,-40
"57",2,26,1999,0.6,1972,-25,1999,-4.9,2009,-42.6
"58",2,27,1988,2.4,2014,-23.6,1999,-5.1,2009,-39
"59",2,28,1993,8.2,2014,-29,1986,-5,2003,-39.3
"60",2,29,1968,3.3,1972,-26.7,2004,-10.7,1972,-41.7
"61",3,1,1986,6.2,1989,-27.4,2010,-4.3,1972,-48.3
"62",3,2,1994,8,2019,-21.1,1986,-4.7,2003,-43.9
"63",3,3,2000,7.2,1995,-27.5,2000,-5.2,1972,-43.9
"64",3,4,2000,5.6,1995,-24.1,1993,-4.9,1995,-41.6
"65",3,5,2000,9.6,2008,-22.6,2000,-5.9,1995,-44.8
"66",3,6,2010,9.5,1967,-25,1973,-3.3,1995,-42.2
"67",3,7,2010,11,2003,-23.8,1968,-2.8,1982,-41.6
"68",3,8,2010,10.1,2003,-21.7,1990,0.1,1995,-43.3
"69",3,9,2004,7.4,2017,-22.6,2010,-1.6,1976,-39.4
"70",3,10,2012,6.3,2009,-22.1,1973,0,2009,-41.8
"71",3,11,1996,10.6,2011,-18.4,2016,-2.4,1980,-42.3
"72",3,12,1995,10.7,1984,-20.8,1995,-1.8,2003,-38.2
"73",3,13,2016,10.1,1984,-22.3,2016,-1.6,1984,-38.6
"74",3,14,1972,10,1984,-20.7,1972,1.1,1984,-42.2
"75",3,15,1972,10.6,2000,-18.5,1972,-4.4,2014,-40.4
"76",3,16,2010,8.9,1993,-20.2,1987,-2.2,1984,-40.6
"77",3,17,1985,10.5,1982,-16.8,1987,-2.6,2007,-32.6
"78",3,18,2019,6.9,2002,-18.5,1987,-1.1,1980,-34.1
"79",3,19,2003,8.4,2002,-16.6,1987,-0.3,1986,-33.5
"80",3,20,2003,10.9,2002,-15.4,1987,0.3,1993,-37.2
"81",3,21,1987,15.9,2014,-15.5,1987,0,1974,-36.7
"82",3,22,1991,9.2,1974,-22.2,1987,-3.8,1974,-34.4
"83",3,23,1988,10.7,1974,-19.4,1995,-2.2,1974,-39.4
"84",3,24,1993,13.7,1975,-15,2000,1,1986,-34.3
"85",3,25,1968,11.7,1996,-16.9,1985,-1,1996,-35
"86",3,26,1999,10.9,1970,-16.7,1999,-0.6,1996,-36.4
"87",3,27,1986,12.4,1969,-20.6,1999,2.1,2014,-34.9
