"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,28,1890,5,1974,-24.4,1951,-1.1,2014,-37.5
"2",1,29,1906,5.6,1879,-24.4,1992,0.2,2014,-39
"3",1,30,2016,4.5,1981,-25.1,1992,0.5,2014,-35.7
"4",1,31,1892,6.7,1896,-24.4,1926,-0.6,1883,-36.1
"5",2,1,1935,5.6,1912,-24.4,2007,0.2,1896,-36.1
"6",2,2,1935,10,1968,-27.2,1946,-1.1,1912,-36.7
"7",2,3,1878,6.7,1968,-26.7,1965,0,1912,-37.8
"8",2,4,2005,8.1,1899,-28.3,1928,-1.1,1968,-38.3
"9",2,5,2012,4.8,1982,-29.5,1928,-1.1,1899,-38.3
"10",2,6,1991,6.1,1912,-27.2,1975,-0.6,1982,-36.7
"11",2,7,1991,9.5,1912,-26.7,2013,1.1,1912,-36.7
"12",2,8,1991,9.6,1912,-24.4,1932,-0.6,1909,-38.3
"13",2,9,1976,9.4,1929,-24.4,1932,2.2,1885,-35.6
"14",2,10,1966,5,1963,-27.2,1906,-1.7,1881,-38.3
"15",2,11,1908,3.9,1888,-26.1,1906,-1.1,1888,-38.3
"16",2,12,1935,5,1982,-27.5,1980,-0.4,1979,-39
"17",2,13,2017,6.3,1982,-25.5,1894,-0.6,1982,-40.4
"18",2,14,1984,5.4,1885,-25.6,1973,0,1948,-38.3
"19",2,15,1981,6.6,1985,-27.7,1988,-1.6,1963,-38.3
"20",2,16,1981,9.1,1943,-27.2,2017,-1.8,1888,-37.8
"21",2,17,1981,8,1963,-26.7,2017,0.8,1888,-38.3
"22",2,18,2017,11.3,1963,-27.2,1934,1.1,2013,-39.5
"23",2,19,1930,10,1987,-25.7,2010,0.3,2011,-37.3
"24",2,20,1906,8.3,1897,-23.9,2010,0.2,1948,-37.2
"25",2,21,1930,9.4,1927,-23.9,1944,0.6,1957,-38.3
"26",2,22,1984,9.7,1885,-25,1944,0.6,1927,-35.6
"27",2,23,1958,9.4,1885,-25.6,2006,-0.9,1885,-40
"28",2,24,1976,10,1965,-25.6,2013,-2.7,1951,-37.2
"29",2,25,1976,12.2,1951,-27.2,1983,-1.4,1951,-40
"30",2,26,1976,10,1899,-26.1,2016,-2.8,1951,-41.1
"31",2,27,1895,11.1,1938,-23.9,1940,-4.4,1951,-36.7
"32",2,28,1985,10.3,1985,-25.4,2005,-2.2,1951,-40
"33",2,29,1964,8.9,1893,-23.3,2012,-2.4,1893,-37.2
"34",3,1,1993,8.5,1923,-25.6,2005,-0.6,1970,-40
"35",3,2,1878,7.8,1895,-23.9,1964,-2.2,1886,-37.2
"36",3,3,1878,9.4,1895,-26.1,1991,-0.8,1895,-37.2
"37",3,4,1934,9.4,1895,-21.7,1991,-0.4,1982,-35.2
"38",3,5,1889,8.3,1933,-22.2,1925,-1.1,1899,-36.7
"39",3,6,1974,9.4,1899,-24.4,1991,-0.3,1962,-36.7
"40",3,7,1987,15.9,1888,-28.3,1966,0.6,1888,-39.4
"41",3,8,1968,10,1914,-24.4,2009,0.4,1914,-38.3
"42",3,9,1977,12.4,1914,-22.8,2009,0.7,1885,-35
"43",3,10,2015,10.9,1914,-22.8,1984,0.2,1967,-39.4
"44",3,11,2007,14.3,1943,-20,1984,0.6,1951,-36.7
"45",3,12,2016,16,1946,-18.3,1984,1.2,1951,-33.9
"46",3,13,2007,15.6,1967,-20,1984,0.5,2015,-37.4
"47",3,14,2010,16.5,1936,-21.1,1983,-0.3,1979,-35
"48",3,15,2010,17.4,1966,-22.8,1899,0,1979,-38.6
"49",3,16,2010,14.2,1966,-22.2,1981,0.6,1967,-35.6
"50",3,17,2010,16.5,1939,-20,1915,0,1966,-32.8
"51",3,18,2012,15.7,1918,-19.4,1930,0.6,2015,-33.4
"52",3,19,2012,18.9,1963,-18.9,1990,0.7,1939,-34.4
"53",3,20,2012,21.1,1889,-21.7,1981,0.3,1889,-34.4
"54",3,21,1910,18.3,1889,-22.2,1906,0,1889,-35.6
"55",3,22,1910,16.7,1900,-17.2,1958,0,1965,-33.9
"56",3,23,1889,17.2,1900,-17.8,1951,0,2003,-34.1
"57",3,24,2003,15.4,1879,-21.1,1902,-0.6,2015,-32.7
"58",3,25,1925,15,2014,-20.1,1932,0,1879,-35
"59",3,26,2007,20.4,1980,-20.5,1932,-1.7,1891,-32.8
"60",3,27,1946,19.4,1884,-18.9,2012,-1.8,1884,-33.3
"61",3,28,1946,22.8,1925,-18.3,2004,0.2,1962,-31.7
"62",3,29,1910,15.6,2003,-18.6,2004,0.3,1943,-36.7
"63",3,30,1918,15.6,2019,-15.3,1934,0.6,2003,-33.4
"64",3,31,2010,23.8,1887,-15.6,1889,0.6,1887,-31.1
"65",4,1,2010,17.9,1901,-20,1992,0.1,1890,-34.4
"66",4,2,2004,16.7,1984,-15,1983,2.1,1890,-32.2
"67",4,3,1906,16.7,1939,-15.6,1983,1.2,1953,-32.8
"68",4,4,1967,18.3,1950,-15,2016,1.1,1943,-33.9
"69",4,5,1991,22.3,2003,-14.8,1878,2.8,2005,-29.3
"70",4,6,1987,22,1948,-16.7,1878,1.1,1880,-33.9
"71",4,7,1991,19.3,1984,-15.6,2010,2.7,1969,-28.9
"72",4,8,1987,16,1888,-13.9,2010,2.8,2009,-30.5
"73",4,9,2017,20.9,1923,-13.3,2010,3,1976,-27.2
"74",4,10,2003,21.5,1939,-13.3,1990,1.9,1895,-28.3
"75",4,11,1930,21.1,1939,-16.7,1990,2.8,1950,-29.4
"76",4,12,1968,22.8,1885,-18.3,1945,1.1,1885,-33.3
"77",4,13,1969,19.4,1939,-17.8,1966,1.1,1976,-29.4
"78",4,14,1958,26.7,1883,-15,2012,3.4,1939,-36.1
"79",4,15,2010,23.1,1885,-15.6,1979,1.2,1944,-28.3
"80",4,16,1906,21.7,1885,-16.7,2012,4.6,1885,-33.3
"81",4,17,1952,23.9,1934,-12.2,2012,3.4,1885,-33.9
"82",4,18,1952,25.6,1906,-16.1,1953,1.7,1906,-28.3
"83",4,19,1952,25.6,1974,-15.6,2012,5.3,1888,-32.2
"84",4,20,1987,27.4,1888,-11.7,2012,4.8,1965,-30
"85",4,21,1942,20,1923,-10,1945,2.2,1974,-27.2
"86",4,22,1980,26.6,1931,-8.3,1945,3.3,2014,-26.8
"87",4,23,1982,25.7,1923,-14.4,1945,2.8,1965,-23.3
"88",4,24,1942,28.3,1923,-9.4,1910,2.8,1885,-25
"89",4,25,1915,25,1887,-7.2,1910,3.3,1954,-26.7
"90",4,26,1891,25.6,1923,-11.1,1910,2.8,1975,-22.2
"91",4,27,1941,25,1923,-6.7,2010,3.1,1923,-25.6
"92",4,28,1899,23.3,1885,-6.7,1981,1.1,1923,-21.1
"93",4,29,1965,28.3,1954,-12.2,2010,6.4,1954,-21.1
"94",4,30,1955,25.6,1954,-6.7,2010,4.2,1954,-21.1
"95",5,1,1980,25,2007,-7.1,1910,4.4,1954,-22.2
"96",5,2,1980,28.7,1982,-4,1928,2.8,1982,-20.5
"97",5,3,2015,27.9,1939,-7.8,1921,3.3,1936,-23.3
"98",5,4,1980,32.6,1950,-6.7,1921,3.3,1982,-19.4
"99",5,5,1930,26.7,1928,-7.8,1895,2.2,1950,-21.1
"100",5,6,1957,27.8,1980,-3.5,1931,3.9,1979,-17.3
"101",5,7,1896,32.2,1909,-3.3,1878,3.3,1909,-16.7
"102",5,8,1953,32.8,1939,-3.9,2006,3.9,1940,-13.9
"103",5,9,1896,31.7,1950,-6.7,2006,6.7,1950,-15.6
"104",5,10,2007,29.8,1923,-2.8,1984,4.8,1928,-14.4
"105",5,11,1991,30.3,1880,-2.8,1941,5.6,1926,-17.2
"106",5,12,1977,33,1935,-6.7,1976,6.1,1928,-15
"107",5,13,1958,27.2,2018,-2.9,1976,5,2014,-14.1
"108",5,14,1931,28.9,1953,-2.8,1976,5.6,1983,-18.4
"109",5,15,1931,32.2,1928,-2.8,1938,6.7,1983,-16.4
"110",5,16,1977,30.1,2013,-2.1,1952,6.7,1897,-16.7
"111",5,17,1962,30,1941,0,2006,7.3,1914,-12.8
"112",5,18,1984,30.5,1936,0.6,2008,5.1,2013,-16.4
"113",5,19,1972,30.6,2015,-0.4,1926,6.1,1936,-10
"114",5,20,1992,31.2,1887,-0.6,1985,6.5,1909,-10.6
"115",5,21,1980,32.5,1892,0.6,1957,5,1936,-11.7
"116",5,22,1980,34.8,1950,1.1,1990,6.9,1907,-9.4
"117",5,23,1980,29.5,2017,-2.2,1990,7.6,1907,-10
"118",5,24,1951,29.4,2017,-3.4,1948,6.7,2004,-9.5
"119",5,25,2014,30.9,1909,0.6,1942,7.2,1909,-11.1
"120",5,26,1948,31.7,1958,-0.6,1949,13.9,1958,-10.6
"121",5,27,1986,30.6,1940,-1.1,1941,9.4,2003,-7.2
"122",5,28,1969,33.9,1909,-0.6,1942,8.9,1903,-8.9
"123",5,29,1986,34.2,1967,0.6,2012,7.7,1958,-8.9
"124",5,30,1986,35.2,1954,-4.4,1937,11.1,1967,-8.3
"125",5,31,1948,28.9,1954,-3.3,1949,6.7,1954,-8.9
"126",6,1,1948,30,1954,2.2,1941,8.3,1954,-7.8
"127",6,2,1948,31.1,1989,1.1,1957,9.4,1954,-6.7
"128",6,3,1976,31.1,1907,3.3,1957,8.9,1907,-8.9
"129",6,4,1961,30.6,1966,1.7,1896,8.9,1907,-7.2
"130",6,5,1988,34.5,1902,2.8,1896,8.3,1966,-7.2
"131",6,6,1988,34.8,1970,3.3,1896,11.7,1966,-6.7
"132",6,7,1972,31.7,1953,2.2,1930,10.6,1907,-6.7
"133",6,8,1894,31.7,1953,1.7,1947,13.3,1923,-6.1
"134",6,9,1956,30.6,1888,2.8,1991,8.8,1953,-6.1
"135",6,10,1976,31.1,1921,1.7,1989,10,1937,-6.1
"136",6,11,1988,32.9,1929,0.6,1951,11.7,1942,-7.2
"137",6,12,1956,35.6,1932,3.3,1917,13.9,1929,-7.2
"138",6,13,1910,31.7,1959,6.1,1926,11.7,1983,-5.9
"139",6,14,1891,32.8,1924,3.3,1962,11.1,1950,-4.4
"140",6,15,1913,32.2,1987,6.4,1977,10.5,1924,-5.6
