"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1876,14.4,1860,-12.2,1931,19.4,2018,-21.3
"2",1,2,2000,12.2,1887,-16.7,1993,21.1,1887,-25.6
"3",1,3,1950,13.9,1981,-19.7,1915,20,1887,-27.2
"4",1,4,1874,14.4,1884,-15,2018,19.6,1981,-31.3
"5",1,5,2007,11.1,2018,-15,2018,20,1904,-23.3
"6",1,6,1946,13.9,2018,-16.4,1948,20.6,1945,-26.1
"7",1,7,2008,14.9,1866,-21.1,1882,19.4,1940,-26.1
"8",1,8,2008,15.5,1968,-18.9,2002,21.4,1968,-26.1
"9",1,9,2008,11.6,1859,-22.2,1965,20.6,1943,-27.2
"10",1,10,1950,9.4,1954,-16.7,2019,20.8,1859,-32.8
"11",1,11,2018,12.6,1981,-19.8,2017,17.7,1893,-27.8
"12",1,12,2013,14.8,1861,-18.3,2017,19.4,1982,-26.4
"13",1,13,2005,17.6,1914,-18.9,1958,22.2,1914,-30
"14",1,14,1932,13.3,1970,-16.7,2017,20,1941,-25.6
"15",1,15,1953,10.6,1994,-21,1959,18.9,1994,-28.4
"16",1,16,1949,11.1,1965,-17.8,2015,18.3,1994,-31
"17",1,17,1913,11.1,1982,-19.2,1959,18.3,1857,-27.2
"18",1,18,1996,12,1857,-17.8,1927,16.7,1976,-30
"19",1,19,1933,12.8,1994,-18.8,2002,19.4,1994,-25
"20",1,20,1921,11.7,2019,-14.2,1898,17.8,1975,-23.3
"21",1,21,1906,13.3,1943,-17.8,1898,17.8,1970,-25.6
"22",1,22,1906,13.9,1857,-23.9,1898,17.8,1857,-28.9
"23",1,23,1967,11.7,1882,-18.9,1910,17.2,1976,-31.1
"24",1,24,1909,13.9,1884,-16.7,1990,17.8,1970,-27.8
"25",1,25,1950,16.7,1945,-16.7,2017,16.8,1945,-28.3
"26",1,26,1944,12.8,1927,-20,1862,17.8,1945,-29.4
"27",1,27,2002,11.2,1925,-17.8,1879,17.2,1935,-23.9
"28",1,28,2002,11.2,1885,-15.6,2018,19.1,1873,-25
"29",1,29,1914,12.2,1873,-16.1,1949,16.1,1873,-27.8
"30",1,30,2013,14,1948,-15.6,1954,16.1,1948,-26.1
"31",1,31,1988,14,2019,-14.4,1954,14.4,1920,-27.8
"32",2,1,1989,10,1971,-15,1915,15,1962,-23.3
"33",2,2,1920,7.8,1955,-16.7,1878,13.9,1885,-26.1
"34",2,3,2016,16,1886,-17.8,2016,17.2,1855,-26.1
"35",2,4,2019,12.7,1886,-19.4,1928,16.1,1863,-28.9
"36",2,5,1890,12.2,1871,-18.3,1947,13.3,1855,-31.7
"37",2,6,1938,9.4,1855,-21.1,2007,15.3,1855,-31.7
"38",2,7,1857,10.6,1895,-20.6,1979,14.5,1875,-26.1
"39",2,8,1925,10,1934,-25,1979,15.3,1934,-29.4
"40",2,9,1938,10.6,1934,-17.8,1979,15.1,1934,-28.3
"41",2,10,1965,10.6,1912,-17.2,2017,14.3,1912,-28.3
"42",2,11,1932,10.6,1885,-17.8,2001,13.8,1979,-27.2
"43",2,12,1999,13.2,1914,-19.4,1991,13.7,1856,-28.3
"44",2,13,1990,11.6,1979,-16.9,1991,14.8,1856,-28.3
"45",2,14,1984,8,1875,-15.6,1920,13.3,2016,-24
"46",2,15,1954,12.2,2015,-19.1,1918,11.1,1943,-31.1
"47",2,16,1921,11.7,1904,-17.8,1854,12.2,1896,-25
"48",2,17,2011,11.3,1979,-19.2,1946,16.1,1896,-27.2
"49",2,18,2017,11.9,1852,-14.4,1974,15,1979,-27.7
"50",2,19,1994,12.5,2015,-14.6,1956,13.9,1944,-28.3
"51",2,20,2018,16.5,1950,-16.1,1860,13.9,1950,-25.6
"52",2,21,2018,14.6,1918,-14.4,1956,11.7,1916,-22.8
"53",2,22,1981,11.8,1868,-14.4,1994,11.2,1868,-23.3
"54",2,23,2017,17.7,2015,-15.2,1994,11.4,1868,-24.4
"55",2,24,1930,12.2,1894,-15.6,1948,11.7,1855,-24.4
"56",2,25,2002,14.5,1928,-13.3,1924,10.6,1959,-23.9
"57",2,26,2000,11.1,1900,-13.9,1945,12.2,1846,-24.4
"58",2,27,2000,14.8,1886,-13.9,1867,10.6,1846,-26.7
"59",2,28,2018,16.2,1875,-12.8,2002,12.3,1846,-27.2
"60",2,29,2004,10.7,1884,-14.4,1882,11.1,1980,-23.9
"61",3,1,2017,14,1886,-12.8,1970,8.3,1886,-21.7
"62",3,2,1991,15.5,1868,-12.8,2011,8.9,1980,-23
"63",3,3,1974,16.1,1938,-15,1989,9.8,1868,-26.7
"64",3,4,1840,15,1895,-12.8,2001,10.5,1950,-28.9
"65",3,5,2004,18.5,1872,-13.9,1960,8.9,1948,-25
"66",3,6,2009,18.9,2007,-12.3,1930,10,1948,-27.8
"67",3,7,1860,17.2,1984,-12.4,1930,9.4,1984,-20.8
"68",3,8,2000,21.8,1856,-11.7,1853,11.7,1856,-25.6
"69",3,9,2000,21.4,1856,-13.9,1941,12.8,1943,-25.6
"70",3,10,1977,15.5,2003,-11.1,1931,12.2,1856,-24.4
"71",3,11,2012,17.7,1948,-9.4,2010,8.5,1885,-18.9
"72",3,12,2016,17.1,1888,-9.4,1979,10.5,1948,-21.7
"73",3,13,1990,21.4,1888,-12.2,1931,12.2,1948,-18.3
"74",3,14,1995,20.1,1895,-12.2,1867,8.9,1895,-18.9
"75",3,15,1995,20.9,1848,-8.9,1908,8.3,1900,-18.9
"76",3,16,2012,19.3,1885,-11.1,1960,10,1885,-19.4
"77",3,17,1945,19.4,1885,-13.3,1934,6.7,1885,-22.2
"78",3,18,2012,19.9,1861,-12.2,1934,7.2,1967,-22.8
"79",3,19,2012,22.8,1883,-10.6,1998,7,1939,-20
"80",3,20,2012,21.9,1885,-11.7,1914,8.3,1949,-20
"81",3,21,2012,23.3,1885,-11.7,1914,8.9,1885,-20.6
"82",3,22,2012,26,1934,-10,1982,7.8,1885,-22.2
"83",3,23,1935,20,1888,-10.6,1999,8.1,1940,-18.9
"84",3,24,1928,21.7,1888,-7.2,2001,9.8,1940,-17.8
"85",3,25,2000,20.9,1866,-8.9,1960,7.2,1983,-15.8
"86",3,26,1921,21.1,1923,-5,1966,7.8,1960,-15.6
"87",3,27,1998,22.6,1982,-6.5,1966,12.8,1873,-14.4
"88",3,28,1946,25.6,1923,-10,1946,7.2,1923,-15
"89",3,29,1946,24.4,1887,-6.7,1952,7.2,1923,-15.6
"90",3,30,1998,25.3,1964,-3.9,1911,10.6,1954,-12.2
"91",3,31,1998,25.4,1923,-7.8,2006,4.4,1923,-16.1
"92",4,1,1986,25.8,1919,-3.3,2001,6.2,1923,-15
"93",4,2,2010,24.3,1881,-1.1,2015,6,1857,-14.4
"94",4,3,1981,22.2,1896,-3.9,1862,7.2,1954,-12.2
"95",4,4,1981,23.1,1975,-4.4,1928,4.4,1874,-12.2
"96",4,5,1921,23.9,1881,-3.9,2012,5.1,1868,-12.8
"97",4,6,1929,23.3,1982,-4,1889,3.3,1972,-11.7
"98",4,7,1991,27.6,1972,-5,1931,4.4,1972,-17.2
"99",4,8,2001,25.2,1972,-3.3,1957,5,1972,-13.3
"100",4,9,1871,22.2,2016,-0.7,1957,5,1972,-9.4
"101",4,10,1922,25.6,1909,-1.7,1918,6.1,2016,-7.5
"102",4,11,1977,26.8,1880,-1.7,2015,4.5,1909,-8.9
"103",4,12,2001,25.8,1940,-2.8,1931,6.1,1990,-14.3
"104",4,13,1977,27.1,1950,-2.8,1932,7.2,1950,-8.9
"105",4,14,1941,23.9,1943,-1.7,1936,4.4,1973,-7.8
"106",4,15,2003,27.5,1849,-2.8,1936,6.7,1926,-8.9
"107",4,16,2002,29.6,1849,-1.1,2018,2.7,1875,-8.3
"108",4,17,2002,28.5,1875,-3.3,2003,6,1965,-11.1
"109",4,18,1976,28.3,1875,-1.7,1965,3.3,1875,-12.2
"110",4,19,2005,27.5,1847,-0.6,1965,4.4,1926,-6.1
"111",4,20,1923,27.2,1875,-1.1,1848,5.6,1904,-7.2
"112",4,21,1985,29.2,1875,-1.1,1897,2.8,1981,-6.9
"113",4,22,1842,32.2,1986,1.4,1998,4.8,1986,-4.7
"114",4,23,2001,27.2,1862,1.1,1993,7.3,1938,-5
"115",4,24,1960,28.3,1883,2.8,2007,7.4,1892,-6.1
"116",4,25,1990,31.1,1919,-0.6,1998,3.6,1892,-6.7
"117",4,26,1990,30.4,1966,3.3,2008,6.9,1967,-3.9
"118",4,27,1990,30.3,1966,2.8,2008,11.3,1874,-3.9
"119",4,28,1962,28.3,1874,4.4,1876,3.9,1847,-5
"120",4,29,1942,26.1,1909,2.2,2000,2.8,1968,-3.3
"121",4,30,1942,26.7,1876,4.4,2018,4.5,1978,-5.3
"122",5,1,1913,28.3,1875,3.9,2013,4.6,1881,-2.8
"123",5,2,1913,30.6,1867,3.3,1932,6.7,1974,-2.8
"124",5,3,2001,30.6,1867,4.4,1932,6.7,1867,-3.9
"125",5,4,1949,32.2,1954,6.7,1906,2.8,1978,-2.8
"126",5,5,1949,30.6,1891,3.9,1913,2.8,1968,-3.9
"127",5,6,1949,32.8,1854,3.9,1913,4.4,1968,-3.9
"128",5,7,1930,30.6,1976,4.4,1973,3.9,1966,-5.6
"129",5,8,1936,32.2,1947,5,1986,2,1966,-3.3
"130",5,9,1896,31.7,1966,6.1,1995,3.5,1966,-2.2
"131",5,10,1896,31.1,1945,5,1906,4.4,1947,-3.9
"132",5,11,1987,29.6,1857,3.3,1906,6.7,1966,-4.4
"133",5,12,1881,32.2,1966,5.6,1909,3.3,1907,-3.3
"134",5,13,1991,29.2,1910,7.2,1909,6.7,1895,-2.2
"135",5,14,1900,30.6,1895,5,1916,4.4,1950,-1.1
"136",5,15,1962,33.3,1959,6.7,1858,5,1910,0
"137",5,16,1962,34.4,1956,5,1944,3.3,1967,-0.6
"138",5,17,1962,34.4,1858,6.1,1914,2.2,1983,-1.6
"139",5,18,1962,33.9,1853,7.2,2006,2.9,1843,-1.1
"140",5,19,1962,32.2,1894,7.2,2013,5.5,1973,-1.1
"141",5,20,1962,32.2,1850,5,1988,8,1895,-1.1
"142",5,21,1941,32.2,1860,7.2,1968,1.1,1924,-1.1
"143",5,22,1927,32.2,1883,7.2,1973,1.7,1895,-1.7
"144",5,23,1964,31.7,1956,8.3,1847,2.8,1967,-0.6
"145",5,24,2007,31,1925,7.8,2019,5.6,1963,-1.7
"146",5,25,2012,31.3,1849,8.9,1909,2.2,1956,-1.7
"147",5,26,2010,31.7,1961,8.3,1857,2.2,1969,-0.6
"148",5,27,1939,31.7,1906,11.1,1857,4.4,1969,0.6
"149",5,28,1911,32.8,1889,10,1900,2.8,1949,-0.6
"150",5,29,2006,34.1,1856,7.8,1925,3.3,1889,-0.6
"151",5,30,1895,33.9,1845,6.7,1852,2.2,1845,-1.1
"152",5,31,1895,33.3,2015,11.1,2009,6.5,1854,0.6
"153",6,1,1925,33.3,1843,8.3,1932,2.8,1945,1.1
"154",6,2,1934,34.4,1945,9.4,1937,2.2,1843,-2.2
"155",6,3,1919,34.4,1945,10.6,1851,2.2,1850,1.1
"156",6,4,1930,32.8,1859,8.3,1954,4.4,1964,1.1
"157",6,5,1925,34.4,1910,8.9,1891,1.7,1859,0
"158",6,6,1925,35,1843,11.7,1981,2.6,1842,1.1
"159",6,7,1999,33.6,1894,12.2,1981,4.5,1864,1.7
"160",6,8,2011,33.4,1924,13.9,1981,3.8,1949,0.6
"161",6,9,2008,34.1,1966,12.8,1930,3.9,1980,2
"162",6,10,1920,33.9,1859,11.1,1930,4.4,1842,-2.2
"163",6,11,1949,33.3,1859,12.8,2017,3.1,1972,0.6
"164",6,12,2017,33.1,1963,13.3,2000,4.4,1980,2.7
"165",6,13,1956,33.9,1858,12.8,1961,3.9,1848,2.8
"166",6,14,1987,34.9,1847,12.8,1936,4.4,1875,2.8
"167",6,15,1919,33.9,1847,12.8,1842,2.2,1843,3.9
"168",6,16,1913,35,1857,13.9,2000,4,1964,2.8
"169",6,17,1957,33.9,1875,13.9,1903,3.3,1980,2.3
"170",6,18,1994,36.2,1969,13.9,1932,0.6,1950,2.8
"171",6,19,1995,35.5,1855,13.3,1860,3.3,1970,4.4
"172",6,20,2016,34.6,1992,10,2004,3.7,1940,3.3
"173",6,21,2012,34.4,1992,10.7,1961,3.9,1969,3.3
"174",6,22,1910,33.9,1972,13.9,1979,3,1940,4.4
"175",6,23,1983,32.8,1979,13.4,1894,3.3,1992,4.6
"176",6,24,1952,35.6,1972,13.9,1878,2.8,1853,3.9
"177",6,25,1952,36.7,1968,17.2,2017,5,1902,5.6
"178",6,26,1949,36.1,1874,16.7,1983,3.9,1965,5.6
"179",6,27,1901,35.6,1869,16.1,2016,4.6,1965,7.8
"180",6,28,1991,34.4,1956,15.6,2016,2.9,1988,7.2
"181",6,29,1927,34.4,1914,15.6,2010,5.1,1988,5
"182",6,30,2018,35.4,1902,13.9,1902,6.7,1871,5
"183",7,1,1931,36.7,1845,15.6,1927,5.6,1943,6.7
"184",7,2,1911,38.3,1845,14.4,1990,7.1,1945,5.6
"185",7,3,1911,39.4,1892,14.4,1990,6.2,1841,4.4
"186",7,4,1919,36.7,1859,15.6,1945,6.7,1844,4.4
"187",7,5,1921,36.7,1956,17.8,2012,5.6,1972,5.6
"188",7,6,2012,36.3,1969,18.3,2012,7.2,1965,5.6
"189",7,7,1988,37.6,1984,16.4,2012,9.3,1969,7.8
"190",7,8,1936,40.6,1894,16.7,2012,8.8,1984,7.1
"191",7,9,1936,40.6,1848,15.6,2012,10,1842,7.2
"192",7,10,1936,40.6,1848,18.3,2012,10.3,1942,8.9
"193",7,11,1936,35.6,1861,16.1,2012,11.9,1945,5
"194",7,12,2005,34.7,1858,16.1,2012,6.5,1843,3.9
"195",7,13,1936,37.8,1926,17.8,1963,7.2,1854,7.2
"196",7,14,1995,36.8,1967,16.1,2004,9,1950,7.8
"197",7,15,1983,35.7,1945,17.2,1998,11.1,1967,6.7
"198",7,16,1887,36.1,1853,16.7,1989,12.6,1853,6.1
"199",7,17,2012,36.8,1848,16.7,1945,11.1,1939,6.1
"200",7,18,1942,34.4,1886,17.2,1910,10,1971,7.8
"201",7,19,1854,36.1,1970,17.2,1910,8.3,1965,7.8
"202",7,20,2011,35.8,1855,17.8,1999,9.5,1965,6.1
"203",7,21,2011,37.9,1869,17.8,1945,8.9,1965,5.6
"204",7,22,1955,35.6,1947,17.2,2010,7.2,1992,7.9
"205",7,23,2012,35,1962,17.8,1981,12,1981,8.6
"206",7,24,1999,34.7,1923,18.3,2010,9.9,1860,6.7
"207",7,25,1941,35,1876,18.9,1991,10.3,1976,7.2
"208",7,26,1916,35,1859,17.2,1991,15.6,1853,5.6
"209",7,27,1941,36.1,1847,17.2,1991,15.1,1847,6.1
"210",7,28,1964,34.4,1926,18.3,1871,9.4,1847,6.7
"211",7,29,1917,36.7,1847,18.3,2017,10.2,1968,6.7
"212",7,30,1916,37.8,1841,16.7,1930,8.3,1968,3.9
"213",7,31,1975,36.1,1992,15.4,1977,11.2,1965,6.7
"214",8,1,1955,36.7,1875,17.8,1968,10,1947,6.7
"215",8,2,2007,34.8,1912,18.3,1941,15,1843,6.7
"216",8,3,1936,36.1,1875,17.2,1941,13.9,1845,5.6
"217",8,4,1944,35,1869,16.1,1976,13.3,1972,7.2
"218",8,5,1955,35,1885,18.3,2002,16.3,1972,4.4
"219",8,6,1900,36.7,1885,17.8,2002,14.2,1964,6.7
"220",8,7,1918,38.3,1989,17.1,1914,12.2,1948,6.7
"221",8,8,2001,37.9,1976,17.2,1973,11.1,1989,6.9
"222",8,9,1949,37.2,1847,16.7,1957,13.3,1851,6.1
"223",8,10,2016,35.6,2008,17,1985,13.7,1879,7.8
"224",8,11,1944,36.1,1865,17.8,2001,11.6,1965,7.2
