"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1940,11.7,1928,-3.9,1918,10,1979,-11.2
"2",1,2,2007,12.3,1950,-8.3,1940,8.3,1950,-14.4
"3",1,3,1934,11.7,1950,-5.6,1918,7.8,1899,-14.4
"4",1,4,2003,13,1899,-6.1,2012,8.1,1899,-16.7
"5",1,5,2001,11.7,1982,-5.5,1945,7.2,1982,-11.9
"6",1,6,2006,12.8,1899,-4.4,2006,7.7,1993,-14.1
"7",1,7,1945,13.3,1909,-6.7,2002,11,1909,-13.3
"8",1,8,1959,11.7,1909,-10.6,2002,7.5,1909,-14.4
"9",1,9,1959,11.7,1909,-11.7,1959,7.2,1901,-15
"10",1,10,1941,13.3,1909,-6.1,2019,8.2,1909,-14.4
"11",1,11,2010,13.8,1911,-6.1,2010,9.4,1916,-16.7
"12",1,12,2010,13.4,1971,-6.7,2010,9.3,1909,-15.6
"13",1,13,2014,12.1,1950,-11.1,1994,8.4,1911,-17.2
"14",1,14,1968,13.3,1950,-10.6,1968,8.9,1950,-17.8
"15",1,15,1974,12.8,1950,-7.8,1961,9.4,1907,-15.6
"16",1,16,2011,14,1950,-7.8,1958,8.3,1950,-14.4
"17",1,17,2018,11.8,1950,-9.4,1977,8.5,1950,-13.9
"18",1,18,2010,11.7,1950,-7.2,2005,8.4,1950,-16.7
"19",1,19,2005,14.6,1935,-7.8,2005,10.5,1935,-17.8
"20",1,20,1981,15.3,1935,-8.3,1968,8.9,1935,-15.6
"21",1,21,1981,15.3,1943,-10,1981,9.6,1943,-13.9
"22",1,22,1981,14.7,1943,-8.3,2005,10.6,1943,-16.1
"23",1,23,2005,14.1,1969,-5.6,2005,10.9,1969,-16.1
"24",1,24,2005,13.3,1950,-10.6,2015,10.2,1950,-15
"25",1,25,2015,14.1,1950,-5.6,2003,8.4,1950,-17.2
"26",1,26,2003,13.7,1950,-6.1,2003,9.8,1957,-11.7
"27",1,27,2016,12.2,1969,-7.2,2016,9.2,1929,-13.9
"28",1,28,1941,13.9,1969,-7.8,1992,8.2,1969,-16.1
"29",1,29,1940,13.3,1929,-7.2,1992,7.4,1969,-16.1
"30",1,30,1935,14.4,1929,-10,1992,8.9,1929,-16.7
"31",1,31,1992,14.8,1950,-6.7,1995,8.7,1916,-16.7
"32",2,1,1941,13.3,1950,-5,1941,8.9,1950,-16.1
"33",2,2,1991,13.8,1989,-7,1991,9.1,1929,-12.8
"34",2,3,1992,15.3,1899,-6.7,2005,7.3,1950,-15
"35",2,4,2011,13.4,1899,-5,1991,8.8,1929,-12.2
"36",2,5,1993,13.3,1899,-2.2,1961,8.3,1899,-12.2
"37",2,6,1987,14.5,1899,-1.7,2015,10.5,1929,-10
"38",2,7,1998,15.8,1936,-6.7,2015,9.9,1936,-13.9
"39",2,8,1963,14.4,1933,-3.9,2015,9,1929,-10.6
"40",2,9,1926,13.9,1933,-5.6,1926,8.9,1933,-11.1
"41",2,10,1987,13.3,2019,-1.5,1977,8.2,1929,-10.6
"42",2,11,1983,13.4,2019,-1.4,1924,7.8,1905,-8.3
"43",2,12,2016,13.6,1949,-1.1,1983,8.6,1949,-9.4
"44",2,13,1962,12.8,1923,-4.4,2015,7.8,1936,-12.2
"45",2,14,1991,12.9,1923,-7.8,1991,8,1936,-11.7
"46",2,15,1997,12.6,1956,-5,2017,7.5,1956,-13.3
"47",2,16,1996,16,1956,-3.9,1981,8,1936,-12.2
"48",2,17,1943,15,1990,-0.3,1930,8.9,1990,-11
"49",2,18,1965,14.4,1986,0,1996,8.7,1990,-10.7
"50",2,19,1968,14.4,1990,-4.5,1968,7.8,1936,-10.6
"51",2,20,1977,13.4,1917,1.1,1998,7.6,1910,-6.7
"52",2,21,1958,12.8,1917,-1.7,1978,6.7,1910,-10
