"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1963,12.2,1924,-2.8,1918,9.4,1979,-10.8
"2",1,2,1994,13.2,1950,-7.2,1996,8.4,1950,-10
"3",1,3,1962,11.7,1959,-5,1927,7.8,1950,-10
"4",1,4,1984,15.4,2004,-2.8,1984,7.3,1959,-8.9
"5",1,5,2006,12.4,1982,-3.8,1918,6.7,1950,-9.4
"6",1,6,2002,14.8,1937,-2.8,2006,7.6,1982,-12.1
"7",1,7,2002,15.2,1973,-0.6,2002,9.6,1973,-9.4
"8",1,8,2002,13.4,1949,0.6,1959,7.8,1979,-6.5
"9",1,9,1996,12.7,1980,-1.8,1961,6.7,1949,-8.3
"10",1,10,1945,13.9,1916,-4.4,1983,8.5,1980,-10.3
"11",1,11,1983,13.5,1916,-3.9,2010,8.8,1916,-8.9
"12",1,12,2010,12.2,1971,-3.3,2010,8,1963,-9.4
"13",1,13,2014,13.2,1950,-11.1,2014,9.4,1950,-13.3
"14",1,14,2011,14.6,1950,-7.8,1968,9.4,1947,-15
"15",1,15,1974,14.4,1950,-7.2,1961,8.9,1947,-13.9
"16",1,16,2011,14.9,1950,-7.2,2011,7.7,1950,-13.3
"17",1,17,1977,13.3,1950,-6.1,1977,7.7,1950,-10
"18",1,18,2005,14.7,1935,-8.9,1941,7.8,1943,-12.2
"19",1,19,2005,16.1,1935,-7.8,2005,7.3,1935,-11.1
"20",1,20,1968,15,1943,-3.9,2005,7.4,1937,-11.1
"21",1,21,1970,14.4,1943,-8.9,1981,8.2,1943,-12.8
"22",1,22,1981,14.2,1969,-4.4,2005,8.4,1969,-11.1
"23",1,23,2003,12.9,1957,-3.9,2005,8.2,1969,-12.8
"24",1,24,2015,15.1,1950,-6.7,2015,9.2,1957,-13.9
"25",1,25,1951,12.8,1972,-5,2003,8.5,1950,-11.1
"26",1,26,2003,14.9,1972,-4.4,2003,9.9,1957,-12.8
"27",1,27,1984,13.7,1969,-7.8,2016,8.3,1950,-12.2
"28",1,28,1988,14.1,1969,-6.7,1931,8.3,1950,-15.6
"29",1,29,1995,13.1,1929,-5.6,1992,8.4,1950,-14.4
"30",1,30,1995,14,1916,-5.6,1992,9.2,1950,-11.1
