"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1962,6.7,1991,-39,1963,12.8,1950,-46.7
"2",1,2,1985,5,1991,-40.4,1945,11.1,1991,-43.4
"3",1,3,1906,4.4,1991,-42.6,1994,11.3,1965,-45
"4",1,4,1981,3.5,1966,-40.6,1990,12.3,1909,-45.6
"5",1,5,1958,5,1966,-43.3,2009,10.8,1966,-46.7
"6",1,6,1958,7.8,1975,-41.1,1967,13.3,1975,-48.9
"7",1,7,1943,3.3,1975,-40,1957,12.2,1909,-47.2
"8",1,8,1943,3.3,1975,-39.4,1952,11.7,1975,-47.2
"9",1,9,1987,3.2,1975,-43.9,1951,13.3,1975,-49.4
"10",1,10,1949,8.3,1983,-37.2,1951,12.8,1975,-48.3
"11",1,11,1949,7.2,1953,-39.4,1942,13.3,1972,-45
"12",1,12,1943,4.4,1953,-40,2017,13.2,1911,-48.3
"13",1,13,2015,5.9,2005,-41.7,2017,12.5,1906,-46.7
"14",1,14,2013,9,1969,-37.2,2013,14.3,1909,-47.2
"15",1,15,2013,7.1,1969,-38.3,1995,12.2,1909,-46.7
"16",1,16,2014,7.2,1969,-40,2007,12.7,1974,-47.2
"17",1,17,1965,8.9,1969,-40,1989,10.9,1909,-47.2
"18",1,18,2009,10,1969,-37.2,1960,12.2,1909,-50
"19",1,19,1963,8.3,1943,-40.6,1974,10.6,1943,-47.2
"20",1,20,1942,5,1906,-40,1956,11.7,1906,-52.8
"21",1,21,1942,3.9,1906,-45.6,1974,11.1,1906,-56.2
"22",1,22,1980,5.3,1906,-48.3,1951,11.1,1906,-54.4
"23",1,23,2014,9.2,1906,-45.6,2019,8.9,1906,-52.8
"24",1,24,2014,6.9,1906,-44.4,1951,12.8,1909,-51.2
"25",1,25,2019,7.5,1941,-39.4,1947,10.6,1941,-51.2
"26",1,26,1977,9,1951,-35.6,1975,10,1911,-50.6
"27",1,27,1976,2.8,1947,-40,2012,9.6,1911,-49.4
"28",1,28,1941,3.3,1947,-38.3,1995,13,2004,-44.7
"29",1,29,1984,3.4,1947,-42.8,1995,13,1947,-48.3
"30",1,30,1993,3.7,1947,-42.8,2012,8,1947,-47.8
"31",1,31,1976,2.8,1947,-43.9,2005,8.6,1947,-52.2
"32",2,1,2011,4.6,1947,-42.8,1947,10,1947,-48.3
"33",2,2,1977,6.2,1947,-44.4,1957,9.4,1968,-51.2
"34",2,3,2000,4.7,1947,-42.2,1957,11.1,1968,-51.2
"35",2,4,1941,5.6,1947,-37.2,1942,7.8,1947,-45.6
"36",2,5,1954,6.7,1947,-32.8,2015,9.8,1947,-44.4
"37",2,6,1941,7.8,1943,-31.7,1959,8.9,1951,-41.7
"38",2,7,1974,6.1,1943,-32.8,2003,7.8,1951,-43.3
"39",2,8,1995,6.9,1943,-33.9,1959,7.2,1943,-46.1
"40",2,9,1963,7.8,1943,-36.1,1988,7.8,1943,-49.4
"41",2,10,1968,5.6,1979,-32.8,2003,10.2,1979,-43.4
"42",2,11,1907,7.2,1979,-31.8,1952,6.7,1979,-45
"43",2,12,2006,4.3,1979,-34.4,2012,7.5,1979,-45.2
"44",2,13,2017,5.5,1979,-33.6,1978,6.3,1909,-45
"45",2,14,1942,8.9,1979,-29.8,1964,8.3,1909,-44.4
"46",2,15,1947,5,1950,-26.7,1979,7,1954,-35
"47",2,16,1944,6.1,1954,-24.4,2006,8.1,1954,-40
"48",2,17,2015,4.7,1954,-27.2,1979,6.7,1948,-37.8
"49",2,18,1988,5.5,1972,-26.1,1957,5.6,1948,-41.7
"50",2,19,1964,6.7,1956,-27.8,1944,8.9,1907,-43.9
"51",2,20,1964,7.2,1907,-29.4,1981,6.8,1907,-45.6
"52",2,21,1962,5.6,1907,-26.7,1981,4.5,1907,-45
"53",2,22,1943,10.6,1982,-26.5,2018,5.7,1910,-41.1
"54",2,23,1963,8.9,1982,-26.4,2015,5.6,1907,-42.2
"55",2,24,1970,6.1,1982,-25.2,1999,4.8,1907,-48.3
"56",2,25,1992,8.2,1907,-24.4,2002,6.3,1910,-42.8
"57",2,26,1992,11.5,1954,-23.9,2002,6.9,1910,-41.7
"58",2,27,1968,11.7,1954,-26.1,2002,4.1,1941,-40
"59",2,28,1968,10,1982,-21.5,1906,3.9,1910,-46.1
"60",2,29,1968,7.8,1972,-18.3,1986,3.6,1972,-27.8
"61",3,1,1968,7.8,2007,-24.8,1974,4.4,1910,-42.2
"62",3,2,1958,7.8,2007,-24.5,1962,5.6,1955,-38.3
"63",3,3,1990,6.6,1956,-23.3,2003,2.4,1987,-38
"64",3,4,1984,8.3,1951,-24.4,1940,3.3,2007,-37.8
"65",3,5,1967,7.8,1951,-24.4,1957,3.3,1910,-40
"66",3,6,1963,7.2,1910,-22.2,1952,5,1910,-42.2
"67",3,7,1976,7.2,1972,-23.3,1970,2.8,1974,-35.6
"68",3,8,1965,8.9,1972,-22.8,1970,3.3,1972,-40.6
"69",3,9,1965,10,1972,-22.2,1954,3.9,1951,-36.7
"70",3,10,1965,11.1,1966,-20.6,1970,3.3,1951,-36.1
"71",3,11,1941,8.3,1951,-17.2,1974,3.3,1966,-37.2
"72",3,12,2005,10.5,2006,-16.8,1957,3.3,2011,-34
"73",3,13,2018,10.9,2003,-20.6,1952,1.7,1955,-34.4
"74",3,14,2018,8.6,1964,-20.6,1952,2.2,1959,-31.7
"75",3,15,1947,9.4,1964,-18.9,1905,3.9,1964,-37.8
"76",3,16,1910,9.4,2006,-18.7,1905,5.6,2006,-34.3
"77",3,17,1910,8.9,2006,-18.1,1905,5.6,2006,-37.3
"78",3,18,2019,10.7,1964,-15.6,1905,3.9,1964,-36.1
"79",3,19,2019,13.1,1964,-16.7,1976,4.4,1964,-37.2
"80",3,20,2019,13.8,1959,-16.1,1976,4.4,1907,-31.1
"81",3,21,2019,12.8,2001,-13.6,1976,3.3,2013,-29
"82",3,22,2019,13.7,1948,-16.1,1940,1.7,1964,-31.7
"83",3,23,2019,11.7,1995,-17.9,1905,1.1,1942,-35
"84",3,24,2019,10,1907,-20.6,1979,1,1907,-35
"85",3,25,2019,9.9,1907,-16.7,2005,3,1995,-34
"86",3,26,1994,8.5,1967,-11.1,2005,1.6,1967,-30.6
"87",3,27,2019,9.9,1989,-11.1,1964,2.8,1948,-26.7
"88",3,28,2019,11.4,1963,-17.2,2019,0.8,1907,-37.8
"89",3,29,2016,12.7,1907,-16.1,1967,3.3,1907,-36.1
"90",3,30,2016,10,1907,-11.7,1947,1.7,1907,-30.6
"91",3,31,2016,16.8,1944,-18.3,2005,2.8,1944,-27.8
"92",4,1,2016,15.5,1944,-15,2005,2.5,2002,-26.9
"93",4,2,1977,13.6,1944,-12.8,1956,2.2,1907,-30.6
"94",4,3,1977,11.2,1963,-10,2002,1.4,1963,-26.1
"95",4,4,1977,10.4,1945,-10.6,1956,2.8,1982,-26.2
"96",4,5,1958,10,1945,-10.6,1956,4.4,2002,-24.1
