"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",3,1,1903,13.3,1918,-15.6,1937,5.6,1956,-22.2
"2",3,2,1991,14.5,2014,-15,1923,3.3,1904,-21.7
"3",3,3,2002,12.9,1904,-15.6,1911,7.2,1956,-23.3
"4",3,4,1999,13.9,1934,-13.3,1950,5.6,1904,-22.8
"5",3,5,1974,13.9,1904,-17.8,1993,7,1981,-25.5
"6",3,6,2011,13.2,2018,-13.4,1992,7,1972,-22.2
"7",3,7,1974,13.9,1878,-12.8,1930,6.1,1989,-24
"8",3,8,2012,15.6,1973,-15,1962,3.9,1941,-24.4
"9",3,9,2012,14.1,1968,-13.3,1956,7.2,1942,-27.8
"10",3,10,1921,14.4,1947,-15,1917,3.9,1943,-21.7
"11",3,11,1936,14.4,1968,-15.6,1956,4.4,1943,-24.4
"12",3,12,2006,12.8,1912,-14.4,1933,10,1945,-28.9
"13",3,13,1946,15.6,1971,-17.2,1932,11.1,1971,-21.7
"14",3,14,2007,17.1,2004,-19.6,1956,4.4,1947,-26.7
"15",3,15,1945,15,1965,-17.8,2006,12.1,1971,-25.6
"16",3,16,2000,18.2,1994,-17,1995,8,1957,-31.7
"17",3,17,1936,18.3,1974,-16.1,1995,7.5,1946,-27.8
"18",3,18,2012,17.3,1911,-19.4,1996,2,1923,-25.6
"19",3,19,1936,17.2,1925,-16.1,2015,2.4,1925,-28.9
"20",3,20,2012,20.4,1904,-17.2,1986,7,1971,-25
"21",3,21,2012,25.7,1917,-16.1,1951,1.7,1946,-28.9
"22",3,22,2012,25.7,1982,-14,1957,2.8,1961,-30.6
"23",3,23,1913,15,1994,-14.5,1957,7.2,1961,-25.6
"24",3,24,1976,13.9,1922,-17.2,1906,6.1,1961,-22.2
"25",3,25,1920,21.1,1922,-17.8,1996,4.5,1905,-25.6
"26",3,26,1986,18,1994,-19.5,1990,5,1920,-26.1
"27",3,27,1920,18.9,1874,-20,1910,1.7,1912,-25.6
"28",3,28,1993,16.5,1924,-18.9,1976,5.6,1948,-25.6
"29",3,29,1945,21.7,1918,-13.9,1934,1.1,1925,-28.3
"30",3,30,1945,21.1,1926,-15,1910,2.2,1954,-26.1
"31",3,31,1998,25,1915,-15.6,1938,4.4,1993,-29
"32",4,1,2006,22,1920,-21.7,1913,6.7,1920,-30.6
"33",4,2,1945,22.2,1920,-15.6,1916,0.6,1955,-30.6
"34",4,3,2010,22.5,1971,-18.3,1907,1.1,1993,-25
"35",4,4,1981,24,1917,-17.8,1983,7,1971,-28.3
"36",4,5,1991,22,1923,-16.1,1984,4,1971,-28.3
"37",4,6,1991,20,1993,-19,2006,2.5,1948,-30
"38",4,7,1910,21.7,1874,-15,1915,1.7,1993,-32.5
"39",4,8,1981,19,1994,-15,1953,4.4,1950,-26.1
"40",4,9,1981,21,1934,-17.8,1929,0.6,1934,-29.4
"41",4,10,1945,20.6,1948,-15.6,1990,3,1948,-27.8
"42",4,11,1945,26.7,1912,-13.9,1925,2.2,1948,-31.1
"43",4,12,1945,20.6,1912,-15.6,1955,7.8,1914,-26.1
"44",4,13,1968,20,1914,-20.6,1925,4.4,1961,-26.1
"45",4,14,1945,23.9,2003,-18.4,1971,2.8,1954,-32.2
"46",4,15,2014,23,2003,-17.1,1937,4.4,1916,-31.7
"47",4,16,1973,20.6,2003,-13.8,1908,8.3,1943,-28.3
"48",4,17,1973,23.3,1973,-12.8,2002,1.5,1961,-28.3
"49",4,18,1969,23.3,1922,-16.1,1936,1.7,1922,-30.6
"50",4,19,2013,23.6,1966,-12.2,1997,1.8,1967,-24.4
"51",4,20,1976,23.3,1905,-15,1998,2,1905,-26.7
"52",4,21,1957,24.4,1966,-18.3,1994,5.5,1928,-24.4
"53",4,22,1957,22.8,1916,-16.1,1906,4.4,1914,-28.3
"54",4,23,2007,26.8,1972,-17.8,1990,7.5,1935,-25
"55",4,24,1942,25,1907,-15.6,1996,5,1946,-26.1
"56",4,25,1942,26.1,1914,-13.3,2016,6.4,1914,-26.7
"57",4,26,1982,22.5,1982,-15,1915,3.3,1962,-26.1
"58",4,27,1913,26.1,1907,-11.7,2002,3.5,1990,-24.5
"59",4,28,2009,30.1,1982,-11.5,2000,9.5,1943,-26.1
"60",4,29,1921,26.7,1920,-8.9,2000,6.7,1956,-20.6
"61",4,30,2004,27.4,1907,-10.6,1903,3.9,1973,-24.4
"62",5,1,1998,25.5,1906,-11.7,1998,2.4,1948,-24.4
"63",5,2,1970,27.8,1938,-11.7,1991,2,1920,-23.9
"64",5,3,2001,26.4,1950,-10,2002,3.2,1950,-22.2
"65",5,4,1942,26.1,1948,-16.7,1909,2.2,1943,-25.6
"66",5,5,1944,25.6,1883,-12.2,1919,4.4,1948,-26.7
"67",5,6,1999,25.6,2007,-11.2,1921,2.8,1911,-22.2
"68",5,7,1964,25.6,2007,-10.3,1930,4.4,1935,-22.2
"69",5,8,1957,28.9,1997,-7.7,1903,4.4,1948,-22.8
"70",5,9,1957,28.3,1929,-11.1,1921,6.1,1923,-23.9
"71",5,10,2007,25.8,1929,-11.1,2006,4.1,1929,-20.6
"72",5,11,2007,25.3,1974,-10,1936,4.4,1959,-24.4
"73",5,12,1991,26,1872,-10,1936,7.2,1948,-24.4
"74",5,13,1959,25,1906,-8.3,1927,5,1948,-28.9
"75",5,14,1961,26.1,1923,-10.6,2007,9.3,1905,-21.1
"76",5,15,2004,28.6,1872,-7.8,1984,6.5,1956,-20.6
"77",5,16,1951,26.1,2014,-7,1936,4.4,1960,-20.6
"78",5,17,1932,31.7,1993,-10,1936,6.7,1956,-17.8
"79",5,18,2017,30.5,1916,-8.9,1936,9.4,1956,-25
"80",5,19,1918,31.1,1944,-5,1936,5.6,1941,-21.7
"81",5,20,1918,27.2,1988,-9,1913,7.8,1949,-20.6
"82",5,21,2009,29.6,1912,-3.9,2012,12,1956,-17.8
"83",5,22,1992,33,2015,-6.2,2007,5.4,1989,-15
"84",5,23,1992,34,2014,-6.1,1920,6.7,1939,-18.3
"85",5,24,2010,28.5,1874,-8.9,1913,8.3,1911,-13.3
"86",5,25,1991,28,2014,-3.3,1920,5.6,1956,-23.3
"87",5,26,1944,28.9,1975,-5.6,1988,7.5,1923,-21.7
"88",5,27,2015,28.6,1982,-9,1934,6.7,1982,-16
"89",5,28,1972,28.3,1923,-5,1999,5.1,1923,-22.2
"90",5,29,1929,32.2,1923,-8.3,2003,8.4,1939,-15.6
"91",5,30,1960,28.3,1964,-1.7,1998,9.9,1943,-13.3
"92",5,31,1937,30.6,1874,-2.8,2016,11.6,1946,-15.6
"93",6,1,1937,32.8,1923,-5.6,1932,7.2,1923,-18.3
"94",6,2,1990,29,1905,-2.8,2010,9.1,1880,-11.7
"95",6,3,1940,30,1904,-5.6,1903,8.9,1948,-12.2
"96",6,4,1930,30,1995,-7.5,1981,13,1954,-11.1
"97",6,5,1925,30.6,1903,-6.1,1989,7.5,2015,-13.2
"98",6,6,1930,32.8,1907,-2.8,1957,7.2,1940,-8.3
"99",6,7,1919,30.6,1950,-2.2,1910,7.8,1943,-11.7
"100",6,8,1950,30.6,1950,-2.8,2000,9.3,1967,-9.4
"101",6,9,1984,33.5,1912,-2.2,2002,7.5,1939,-12.2
"102",6,10,2005,29.6,1967,-2.2,1904,7.2,1938,-8.3
"103",6,11,1942,31.7,1976,-1.7,1919,11.1,1911,-10.6
"104",6,12,1942,31.7,1874,-2.8,1915,7.8,1874,-8.9
"105",6,13,1984,30,1874,-1.7,1909,7.2,1946,-11.7
"106",6,14,1999,30,1923,0.6,2014,14.4,1972,-8.3
"107",6,15,1930,32.8,1962,1.1,1921,7.2,1981,-9
