"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1880,4.4,1885,-34.4,1964,-2.2,1885,-43.3
"2",1,2,1889,3.3,1888,-28.3,1964,-2.8,1885,-40.6
"3",1,3,2007,5.8,1884,-33.9,1927,-1.1,1884,-42.8
"4",1,4,2007,2.6,1896,-31.1,2007,-1.3,1896,-42.8
"5",1,5,2012,6.7,2014,-30.2,2012,-5.2,1896,-40
"6",1,6,1949,4.4,1909,-33.3,2008,-2.5,1968,-40.6
"7",1,7,2003,6.1,1899,-29.4,2003,-1.2,1899,-41.7
"8",1,8,2002,5.3,1886,-32.2,2002,-2.2,1875,-43.3
"9",1,9,1958,5.6,1886,-33.9,2002,-0.3,1886,-42.8
"10",1,10,2012,5.1,1912,-33.3,1928,-1.1,1905,-39.4
"11",1,11,1986,7.3,1912,-31.7,1928,-0.6,1888,-43.3
"12",1,12,1987,5.7,1885,-31.1,1928,1.1,1916,-40.6
"13",1,13,1987,5.3,1888,-32.8,1894,-3.9,1881,-40
"14",1,14,1942,3.3,1892,-33.9,1894,0,1877,-42.8
"15",1,15,2014,3.3,1892,-32.2,1969,-4.4,1877,-44.4
"16",1,16,2010,4.1,1954,-30,2010,-5.1,1890,-39.4
"17",1,17,1923,5.6,1885,-30.6,1928,-3.9,1890,-39.4
"18",1,18,1991,2.4,1892,-33.3,1944,-2.8,1892,-42.2
"19",1,19,1908,5.6,1943,-32.2,1908,-4.4,1888,-40
"20",1,20,1944,5,1883,-33.3,2017,-1.3,1883,-43.9
"21",1,21,1900,5,1883,-32.2,2017,0.9,1883,-43.9
"22",1,22,1942,6.7,1935,-35.6,2017,-0.1,1886,-42.2
"23",1,23,1942,7.8,1966,-31.1,2010,-0.2,1936,-41.7
"24",1,24,1973,5.6,1904,-31.7,1919,-2.2,1894,-43.3
"25",1,25,1968,3.3,1972,-31.7,1973,-4.4,1874,-42.2
"26",1,26,1990,3.1,1893,-32.2,2006,-5.7,1893,-41.7
