"","LOCAL_MONTH","LOCAL_DAY","YEAR_HIGH_MAX","TEMP_HIGH_MAX","YEAR_LOW_MAX","TEMP_LOW_MAX","YEAR_HIGH_MIN","TEMP_LOW_MIN","YEAR_LOW_MIN","TEMP_LOW_MIN"
"1",1,1,1975,-1.1,1954,-42.8,2006,-6.6,1952,-45
"2",1,2,2006,-2.2,1954,-42.2,2006,-4.6,1966,-45.6
"3",1,3,1985,3.4,1966,-41.1,2006,-4.4,1949,-43.3
"4",1,4,2016,-3.3,1954,-42.8,2016,-9.2,1974,-46.7
"5",1,5,2003,-4.2,1966,-42.2,2003,-9.5,1971,-43.9
"6",1,6,2003,1.5,1972,-38.3,2003,-8.8,1951,-44.4
"7",1,7,1958,2.8,1991,-38.1,2003,-10.3,1982,-47.4
"8",1,8,1958,-1.7,1969,-38.3,1951,-15,1990,-48.2
"9",1,9,1943,2.8,1966,-40,1987,-6.8,1960,-48.9
"10",1,10,1987,0.3,1965,-40.6,1987,-9.2,1971,-47.8
"11",1,11,2002,-5.7,1975,-40.6,2002,-15.4,1953,-47.2
"12",1,12,2002,-7.3,1994,-41.4,1949,-16.1,1947,-51.2
"13",1,13,2002,-7.3,1946,-41.1,1945,-14.4,1947,-51.2
"14",1,14,1984,-7.1,1952,-41.7,1986,-11.9,1947,-46.1
"15",1,15,1957,-1.1,1994,-39.2,1981,-11.6,1947,-48.9
"16",1,16,1957,-1.1,1967,-40,1957,-10,1947,-51.2
"17",1,17,1965,1.7,1953,-39.4,1957,-10,1979,-45.7
"18",1,18,1965,-3.3,1982,-39.5,2009,-11.5,1965,-42.8
"19",1,19,2009,-1.6,1982,-39.1,2009,-8.8,1947,-45.6
"20",1,20,1981,0.6,1952,-38.9,1981,-5.2,1979,-44.6
"21",1,21,1981,-0.7,1952,-39.4,1981,-12.9,1979,-44.7
"22",1,22,1981,0.7,1950,-38.3,1981,-8.7,1967,-45.6
"23",1,23,1981,-0.8,1950,-38.9,1981,-4,1946,-48.3
"24",1,24,1981,-3.5,1971,-40,1944,-13.3,1947,-45.6
"25",1,25,2007,-7.7,1950,-39.4,1995,-16,1979,-46.8
"26",1,26,1981,-9.2,1966,-40,1981,-14.4,1979,-45.9
"27",1,27,1944,-2.2,1990,-41,1981,-13.1,1965,-43.9
"28",1,28,2000,2.1,1971,-41.7,2000,-8.2,1970,-46.1
"29",1,29,1944,-2.2,1971,-40.6,2000,-10.7,1965,-43.9
"30",1,30,2000,-5.1,1953,-40,2000,-8.3,1950,-45
"31",1,31,2000,-3.2,1947,-43.9,2000,-9.1,1968,-41.1
"32",2,1,1993,-3,1947,-42.8,2000,-12.7,2003,-41.7
"33",2,2,1964,-0.6,1947,-42.2,1964,-16.1,1961,-42.2
"34",2,3,2012,3,1947,-41.1,2012,-9.6,1957,-43.3
"35",2,4,2012,3.9,1979,-37.4,2012,-6.9,1957,-46.7
"36",2,5,1954,-0.6,1979,-38.2,1989,-8.7,1957,-41.7
"37",2,6,1954,6.1,1979,-37.9,1961,-8.3,1985,-45.1
"38",2,7,1991,-0.2,1979,-36,1980,-9.4,1962,-42.2
"39",2,8,1980,-0.9,1979,-37.6,2006,-8.2,1962,-41.7
"40",2,9,1989,-0.5,1979,-33.8,1963,-10,1954,-41.7
"41",2,10,1989,0.3,1946,-37.2,2010,-10.2,1972,-42.2
"42",2,11,1989,-1.4,1946,-35.6,1989,-8.4,1964,-42.8
"43",2,12,1989,-4.3,1979,-36.7,1968,-12.2,1955,-43.3
"44",2,13,1998,-5.6,1967,-35,2010,-13.1,1995,-43.1
"45",2,14,2010,-5.5,1967,-35.6,1977,-12.6,1989,-42.2
"46",2,15,2017,-2.9,1970,-35.6,2017,-11.1,1991,-41.1
"47",2,16,2017,-4.5,1970,-35,2017,-7.4,1982,-41.2
"48",2,17,1987,-4.6,1949,-33.9,1987,-8,2003,-41.7
"49",2,18,1943,-6.1,1958,-33.3,2006,-11.7,1974,-42.2
"50",2,19,1982,-6.3,1962,-30,1982,-10.1,2017,-39.7
