"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1881-10-01,1881,10,1,NA,NA,NA
"2",1881-10-02,1881,10,2,NA,NA,NA
"3",1881-10-03,1881,10,3,NA,NA,NA
"4",1881-10-04,1881,10,4,NA,NA,NA
"5",1881-10-05,1881,10,5,NA,NA,NA
"6",1881-10-06,1881,10,6,NA,NA,NA
"7",1881-10-07,1881,10,7,NA,NA,NA
"8",1881-10-08,1881,10,8,NA,NA,NA
"9",1881-10-09,1881,10,9,NA,NA,NA
"10",1881-10-10,1881,10,10,NA,NA,NA
"11",1881-10-11,1881,10,11,NA,NA,NA
"12",1881-10-12,1881,10,12,NA,NA,NA
"13",1881-10-13,1881,10,13,NA,NA,NA
"14",1881-10-14,1881,10,14,NA,NA,NA
"15",1881-10-15,1881,10,15,NA,NA,NA
"16",1881-10-16,1881,10,16,NA,NA,NA
"17",1881-10-17,1881,10,17,NA,NA,NA
"18",1881-10-18,1881,10,18,NA,NA,NA
"19",1881-10-19,1881,10,19,NA,NA,NA
"20",1881-10-20,1881,10,20,NA,NA,NA
"21",1881-10-21,1881,10,21,NA,NA,NA
"22",1881-10-22,1881,10,22,NA,NA,NA
"23",1881-10-23,1881,10,23,NA,NA,NA
"24",1881-10-24,1881,10,24,NA,NA,NA
"25",1881-10-25,1881,10,25,NA,NA,NA
"26",1881-10-26,1881,10,26,-17.8,11.7,-3
"27",1881-10-27,1881,10,27,-3.9,11.7,3.9
"28",1881-10-28,1881,10,28,-4.4,11.1,3.3
"29",1881-10-29,1881,10,29,-4.4,10.6,3.1
"30",1881-10-30,1881,10,30,-5,10.6,2.8
"31",1881-10-31,1881,10,31,-1.7,8.3,3.3
"32",1881-11-01,1881,11,1,-6.7,4.4,-1.1
"33",1881-11-02,1881,11,2,-8.9,9.4,0.2
"34",1881-11-03,1881,11,3,-3.9,11.1,3.6
"35",1881-11-04,1881,11,4,-2.8,12.2,4.7
"36",1881-11-05,1881,11,5,-2.2,11.7,4.8
"37",1881-11-06,1881,11,6,-1.7,6.1,2.2
"38",1881-11-07,1881,11,7,-5,6.1,0.6
"39",1881-11-08,1881,11,8,-4.4,2.8,-0.8
"40",1881-11-09,1881,11,9,-10,0,-5
"41",1881-11-10,1881,11,10,-11.1,6.1,-2.5
"42",1881-11-11,1881,11,11,-1.7,6.1,2.2
"43",1881-11-12,1881,11,12,-7.8,0,-3.9
"44",1881-11-13,1881,11,13,-17.2,-12.2,-14.7
"45",1881-11-14,1881,11,14,-17.2,-13.3,-15.2
"46",1881-11-15,1881,11,15,-25.6,-18.9,-22.2
"47",1881-11-16,1881,11,16,-26.7,-18.9,-22.8
"48",1881-11-17,1881,11,17,-26.1,-16.7,-21.4
"49",1881-11-18,1881,11,18,-27.2,-10,-18.6
"50",1881-11-19,1881,11,19,-15.6,1.7,-7
"51",1881-11-20,1881,11,20,-6.7,2.8,-2
"52",1881-11-21,1881,11,21,-7.8,6.1,-0.8
"53",1881-11-22,1881,11,22,-13.3,0,-6.7
"54",1881-11-23,1881,11,23,-18.9,3.3,-7.8
"55",1881-11-24,1881,11,24,-6.7,11.7,2.5
"56",1881-11-25,1881,11,25,-3.3,6.7,1.7
"57",1881-11-26,1881,11,26,-3.9,12.2,4.2
"58",1881-11-27,1881,11,27,0.6,10,5.3
"59",1881-11-28,1881,11,28,-11.1,-1.7,-6.4
"60",1881-11-29,1881,11,29,-11.7,2.8,-4.5
"61",1881-11-30,1881,11,30,-14.4,-3.9,-9.2
"62",1881-12-01,1881,12,1,-18.3,-5,-11.7
"63",1881-12-02,1881,12,2,-13.3,-2.2,-7.8
"64",1881-12-03,1881,12,3,-12.8,3.3,-4.8
"65",1881-12-04,1881,12,4,-15.6,3.3,-6.1
"66",1881-12-05,1881,12,5,-13.3,3.3,-5
"67",1881-12-06,1881,12,6,-18.3,-2.8,-10.6
"68",1881-12-07,1881,12,7,-11.7,-1.1,-6.4
"69",1881-12-08,1881,12,8,-22.2,-2.2,-12.2
"70",1881-12-09,1881,12,9,-20.6,0,-10.3
"71",1881-12-10,1881,12,10,-17.8,-6.1,-12
"72",1881-12-11,1881,12,11,-17.2,-13.9,-15.6
"73",1881-12-12,1881,12,12,-27.2,-19.4,-23.3
"74",1881-12-13,1881,12,13,-30.6,0.6,-15
"75",1881-12-14,1881,12,14,-15.6,7.2,-4.2
"76",1881-12-15,1881,12,15,-13.9,4.4,-4.8
"77",1881-12-16,1881,12,16,-19.4,1.7,-8.9
"78",1881-12-17,1881,12,17,-13.9,7.2,-3.4
"79",1881-12-18,1881,12,18,-5,3.9,-0.6
"80",1881-12-19,1881,12,19,-11.1,0.6,-5.2
"81",1881-12-20,1881,12,20,-3.9,8.9,2.5
"82",1881-12-21,1881,12,21,-10,0,-5
"83",1881-12-22,1881,12,22,-13.3,6.7,-3.3
"84",1881-12-23,1881,12,23,-6.7,12.8,3.1
"85",1881-12-24,1881,12,24,-8.3,6.1,-1.1
"86",1881-12-25,1881,12,25,-18.3,0,-9.2
"87",1881-12-26,1881,12,26,-16.1,0.6,-7.8
"88",1881-12-27,1881,12,27,-16.1,1.7,-7.2
"89",1881-12-28,1881,12,28,-9.4,1.1,-4.2
"90",1881-12-29,1881,12,29,-17.2,-4.4,-10.8
"91",1881-12-30,1881,12,30,-10,5,-2.5
"92",1881-12-31,1881,12,31,-12.2,-8.9,-10.6
"93",1882-01-01,1882,1,1,-11.1,6.1,-2.5
"94",1882-01-02,1882,1,2,-15,1.1,-7
"95",1882-01-03,1882,1,3,-8.9,2.8,-3
"96",1882-01-04,1882,1,4,-13.3,0.6,-6.4
"97",1882-01-05,1882,1,5,-7.2,6.1,-0.5
"98",1882-01-06,1882,1,6,-7.8,1.7,-3
"99",1882-01-07,1882,1,7,NA,NA,NA
