"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1872-11-01,1872,11,1,6.1,9.4,7.8
"2",1872-11-02,1872,11,2,3.9,7.2,5.5
"3",1872-11-03,1872,11,3,0,3.9,2
"4",1872-11-04,1872,11,4,-0.6,5,2.2
"5",1872-11-05,1872,11,5,-1.1,6.1,2.5
"6",1872-11-06,1872,11,6,-1.7,7.8,3
"7",1872-11-07,1872,11,7,5,11.1,8.1
"8",1872-11-08,1872,11,8,4.4,11.1,7.8
"9",1872-11-09,1872,11,9,5,7.2,6.1
"10",1872-11-10,1872,11,10,3.3,6.7,5
"11",1872-11-11,1872,11,11,1.1,4.4,2.8
"12",1872-11-12,1872,11,12,-1.7,6.7,2.5
"13",1872-11-13,1872,11,13,5,12.2,8.6
"14",1872-11-14,1872,11,14,-1.1,5,2
"15",1872-11-15,1872,11,15,2.2,13.9,8.1
"16",1872-11-16,1872,11,16,-1.1,5,2
"17",1872-11-17,1872,11,17,-2.8,1.1,-0.8
"18",1872-11-18,1872,11,18,-3.9,3.3,-0.3
"19",1872-11-19,1872,11,19,-1.7,2.2,0.3
"20",1872-11-20,1872,11,20,-2.2,4.4,1.1
"21",1872-11-21,1872,11,21,-8.3,0,-4.2
"22",1872-11-22,1872,11,22,-2.8,4.4,0.8
"23",1872-11-23,1872,11,23,-2.8,1.7,-0.6
"24",1872-11-24,1872,11,24,-6.1,-0.6,-3.4
"25",1872-11-25,1872,11,25,-6.1,4.4,-0.8
"26",1872-11-26,1872,11,26,0.6,6.7,3.6
"27",1872-11-27,1872,11,27,-6.1,1.7,-2.2
"28",1872-11-28,1872,11,28,-7.2,0.6,-3.3
"29",1872-11-29,1872,11,29,-9.4,4.4,-2.5
"30",1872-11-30,1872,11,30,-1.7,6.7,2.5
"31",1872-12-01,1872,12,1,-7.2,-1.7,-4.5
"32",1872-12-02,1872,12,2,-3.3,5,0.8
"33",1872-12-03,1872,12,3,0.6,6.1,3.4
"34",1872-12-04,1872,12,4,-4.4,1.7,-1.4
"35",1872-12-05,1872,12,5,-8.3,-4.4,-6.4
"36",1872-12-06,1872,12,6,-7.2,-1.7,-4.5
"37",1872-12-07,1872,12,7,-9.4,-5.6,-7.5
"38",1872-12-08,1872,12,8,-13.3,-3.9,-8.6
"39",1872-12-09,1872,12,9,-8.3,3.9,-2.2
"40",1872-12-10,1872,12,10,-7.8,4.4,-1.7
"41",1872-12-11,1872,12,11,-8.9,-6.7,-7.8
"42",1872-12-12,1872,12,12,-13.3,-8.3,-10.8
"43",1872-12-13,1872,12,13,-10.6,-2.8,-6.7
"44",1872-12-14,1872,12,14,-10.6,-2.2,-6.4
"45",1872-12-15,1872,12,15,-6.7,1.7,-2.5
"46",1872-12-16,1872,12,16,-8.9,1.7,-3.6
"47",1872-12-17,1872,12,17,-8.9,-2.8,-5.9
"48",1872-12-18,1872,12,18,-11.1,-5,-8.1
"49",1872-12-19,1872,12,19,-12.2,-2.8,-7.5
"50",1872-12-20,1872,12,20,-12.8,-1.7,-7.2
"51",1872-12-21,1872,12,21,-9.4,0.6,-4.4
"52",1872-12-22,1872,12,22,-12.2,-1.7,-7
"53",1872-12-23,1872,12,23,-14.4,-3.3,-8.8
"54",1872-12-24,1872,12,24,-21.1,-4.4,-12.8
"55",1872-12-25,1872,12,25,-24.4,-18.3,-21.4
"56",1872-12-26,1872,12,26,-19.4,-11.7,-15.6
"57",1872-12-27,1872,12,27,-11.7,0,-5.9
"58",1872-12-28,1872,12,28,-20,-7.8,-13.9
"59",1872-12-29,1872,12,29,-21.7,-15.6,-18.6
"60",1872-12-30,1872,12,30,-16.1,-11.7,-13.9
"61",1872-12-31,1872,12,31,-19.4,-13.9,-16.7
"62",1873-01-01,1873,1,1,-16.7,-11.1,-13.9
"63",1873-01-02,1873,1,2,-15,-8.9,-11.9
"64",1873-01-03,1873,1,3,-16.1,2.2,-7
"65",1873-01-04,1873,1,4,-1.1,2.8,0.8
"66",1873-01-05,1873,1,5,-5.6,0,-2.8
"67",1873-01-06,1873,1,6,-5.6,6.7,0.5
"68",1873-01-07,1873,1,7,-13.3,-5.6,-9.5
"69",1873-01-08,1873,1,8,-16.7,-7.2,-11.9
"70",1873-01-09,1873,1,9,-14.4,2.8,-5.8
"71",1873-01-10,1873,1,10,-10.6,1.1,-4.8
"72",1873-01-11,1873,1,11,-15,-10,-12.5
"73",1873-01-12,1873,1,12,-19.4,-15,-17.2
"74",1873-01-13,1873,1,13,-19.4,-8.9,-14.2
"75",1873-01-14,1873,1,14,-8.9,3.3,-2.8
"76",1873-01-15,1873,1,15,-17.2,-8.3,-12.8
"77",1873-01-16,1873,1,16,-17.8,3.9,-7
"78",1873-01-17,1873,1,17,-1.1,8.9,3.9
"79",1873-01-18,1873,1,18,-7.2,-1.1,-4.2
"80",1873-01-19,1873,1,19,-3.3,2.2,-0.6
"81",1873-01-20,1873,1,20,-7.2,2.2,-2.5
"82",1873-01-21,1873,1,21,-7.2,-0.6,-3.9
"83",1873-01-22,1873,1,22,-4.4,3.9,-0.3
"84",1873-01-23,1873,1,23,-15.6,-4.4,-10
"85",1873-01-24,1873,1,24,-19.4,-10,-14.7
"86",1873-01-25,1873,1,25,-10,0,-5
"87",1873-01-26,1873,1,26,-12.8,-8.3,-10.6
"88",1873-01-27,1873,1,27,-15.6,-3.9,-9.8
"89",1873-01-28,1873,1,28,-9.4,-4.4,-6.9
"90",1873-01-29,1873,1,29,-20.6,-8.3,-14.5
"91",1873-01-30,1873,1,30,-24.4,-17.8,-21.1
"92",1873-01-31,1873,1,31,-20.6,-4.4,-12.5
