"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1908-06-01,1908,6,1,15.6,28.3,21.9
"2",1908-06-02,1908,6,2,21.1,26.7,23.9
"3",1908-06-03,1908,6,3,26.1,26.7,26.4
"4",1908-06-04,1908,6,4,26.7,26.7,26.7
"5",1908-06-05,1908,6,5,26.7,27.2,26.9
"6",1908-06-06,1908,6,6,26.1,26.7,26.4
"7",1908-06-07,1908,6,7,26.1,26.7,26.4
"8",1908-06-08,1908,6,8,25.6,27.2,26.4
"9",1908-06-09,1908,6,9,27.2,27.8,27.5
"10",1908-06-10,1908,6,10,26.7,26.7,26.7
"11",1908-06-11,1908,6,11,26.1,26.7,26.4
"12",1908-06-12,1908,6,12,26.7,31.7,29.2
"13",1908-06-13,1908,6,13,21.7,22.8,22.2
"14",1908-06-14,1908,6,14,18.3,21.1,19.7
"15",1908-06-15,1908,6,15,22.8,26.1,24.5
"16",1908-06-16,1908,6,16,22.2,22.8,22.5
"17",1908-06-17,1908,6,17,22.8,26.7,24.8
"18",1908-06-18,1908,6,18,26.1,26.1,26.1
"19",1908-06-19,1908,6,19,22.8,27.2,25
"20",1908-06-20,1908,6,20,23.9,25,24.5
"21",1908-06-21,1908,6,21,22.2,22.8,22.5
"22",1908-06-22,1908,6,22,21.1,22.2,21.6
"23",1908-06-23,1908,6,23,19.4,23.3,21.4
"24",1908-06-24,1908,6,24,23.9,24.4,24.2
"25",1908-06-25,1908,6,25,24.4,25,24.7
"26",1908-06-26,1908,6,26,20,21.1,20.6
"27",1908-06-27,1908,6,27,21.1,21.7,21.4
"28",1908-06-28,1908,6,28,23.9,25.6,24.8
"29",1908-06-29,1908,6,29,22.2,25,23.6
"30",1908-06-30,1908,6,30,25.6,28.3,27
"31",1909-09-01,1909,9,1,13.3,23.9,18.6
"32",1909-09-02,1909,9,2,18.3,23.9,21.1
"33",1909-09-03,1909,9,3,11.1,18.3,14.7
"34",1909-09-04,1909,9,4,7.2,24.4,15.8
"35",1909-09-05,1909,9,5,18.3,23.9,21.1
"36",1909-09-06,1909,9,6,12.8,23.9,18.4
"37",1909-09-07,1909,9,7,12.8,18.3,15.6
"38",1909-09-08,1909,9,8,18.3,18.3,18.3
"39",1909-09-09,1909,9,9,7.2,15.6,11.4
"40",1909-09-10,1909,9,10,7.2,12.8,10
"41",1909-09-11,1909,9,11,7.2,15.6,11.4
"42",1909-09-12,1909,9,12,10,15.6,12.8
"43",1909-09-13,1909,9,13,12.8,18.3,15.6
"44",1909-09-14,1909,9,14,10,18.3,14.2
"45",1909-09-15,1909,9,15,7.2,15.6,11.4
"46",1909-09-16,1909,9,16,7.2,26.7,16.9
"47",1909-09-17,1909,9,17,12.8,21.1,17
"48",1909-09-18,1909,9,18,18.3,21.1,19.7
"49",1909-09-19,1909,9,19,12.8,22.2,17.5
"50",1909-09-20,1909,9,20,12.8,18.3,15.6
"51",1909-09-21,1909,9,21,12.8,15.6,14.2
"52",1909-09-22,1909,9,22,1.7,3.3,2.5
"53",1909-09-23,1909,9,23,7.2,10,8.6
"54",1909-09-24,1909,9,24,7.2,26.7,16.9
"55",1909-09-25,1909,9,25,4.4,21.1,12.8
"56",1909-09-26,1909,9,26,8.3,15.6,11.9
"57",1909-09-27,1909,9,27,2.2,23.9,13.1
"58",1909-09-28,1909,9,28,18.3,27.8,23.1
"59",1909-09-29,1909,9,29,18.3,27.8,23.1
"60",1909-09-30,1909,9,30,10,22.2,16.1
"61",1909-10-01,1909,10,1,4.4,12.8,8.6
"62",1909-10-02,1909,10,2,7.2,18.3,12.8
"63",1909-10-03,1909,10,3,7.2,23.9,15.6
"64",1909-10-04,1909,10,4,1.7,18.3,10
"65",1909-10-05,1909,10,5,1.1,18.3,9.7
"66",1909-10-06,1909,10,6,10,15.6,12.8
"67",1909-10-07,1909,10,7,7.2,15.6,11.4
"68",1909-10-08,1909,10,8,5.6,7.2,6.4
"69",1909-10-09,1909,10,9,-3.9,4.4,0.3
"70",1909-10-10,1909,10,10,-2.2,-1.1,-1.7
"71",1909-10-11,1909,10,11,-9.4,-1.1,-5.2
"72",1909-10-12,1909,10,12,-6.7,1.7,-2.5
"73",1909-10-13,1909,10,13,1.7,7.2,4.5
"74",1909-10-14,1909,10,14,7.2,10,8.6
"75",1909-10-15,1909,10,15,1.7,10,5.8
"76",1909-10-16,1909,10,16,1.1,4.4,2.8
"77",1909-10-17,1909,10,17,4.4,5,4.7
"78",1909-10-18,1909,10,18,1.7,4.4,3.1
"79",1909-10-19,1909,10,19,-6.1,-6.1,-6.1
"80",1909-10-20,1909,10,20,-6.1,1.1,-2.5
"81",1909-10-21,1909,10,21,0,2.8,1.4
"82",1909-10-22,1909,10,22,-1.1,4.4,1.7
"83",1909-10-23,1909,10,23,1.7,7.2,4.5
"84",1909-10-24,1909,10,24,-1.1,7.2,3
"85",1909-10-25,1909,10,25,1.7,7.2,4.5
"86",1909-10-26,1909,10,26,-2.2,1.7,-0.3
