"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1871-12-01,1871,12,1,-16.1,-10,-13.1
"2",1871-12-02,1871,12,2,-16.1,-10.6,-13.4
"3",1871-12-03,1871,12,3,-15.6,-5,-10.3
"4",1871-12-04,1871,12,4,-10.6,5,-2.8
"5",1871-12-05,1871,12,5,-17.2,5.6,-5.8
"6",1871-12-06,1871,12,6,-19.4,-16.1,-17.8
"7",1871-12-07,1871,12,7,-20,-3.9,-11.9
"8",1871-12-08,1871,12,8,-7.8,-1.1,-4.5
"9",1871-12-09,1871,12,9,-12.8,-5,-8.9
"10",1871-12-10,1871,12,10,-22.8,-10,-16.4
"11",1871-12-11,1871,12,11,-21.1,-3.3,-12.2
"12",1871-12-12,1871,12,12,-11.7,-3.9,-7.8
"13",1871-12-13,1871,12,13,-21.1,-8.9,-15
"14",1871-12-14,1871,12,14,-11.7,-5.6,-8.7
"15",1871-12-15,1871,12,15,-13.3,-7.2,-10.2
"16",1871-12-16,1871,12,16,-15,-8.9,-11.9
"17",1871-12-17,1871,12,17,-18.3,-6.7,-12.5
"18",1871-12-18,1871,12,18,-16.1,-2.2,-9.2
"19",1871-12-19,1871,12,19,-5,-1.7,-3.4
"20",1871-12-20,1871,12,20,-13.3,-3.3,-8.3
"21",1871-12-21,1871,12,21,-26.1,-13.3,-19.7
"22",1871-12-22,1871,12,22,-28.9,-12.2,-20.6
"23",1871-12-23,1871,12,23,-20.6,-5,-12.8
"24",1871-12-24,1871,12,24,-5.6,8.3,1.4
"25",1871-12-25,1871,12,25,-2.8,5,1.1
"26",1871-12-26,1871,12,26,-7.8,2.8,-2.5
"27",1871-12-27,1871,12,27,-9.4,-2.8,-6.1
"28",1871-12-28,1871,12,28,-17.8,-7.8,-12.8
"29",1871-12-29,1871,12,29,-20.6,-7.2,-13.9
"30",1871-12-30,1871,12,30,-20.6,-11.1,-15.9
"31",1871-12-31,1871,12,31,-19.4,-12.8,-16.1
"32",1872-01-01,1872,1,1,-13.3,1.1,-6.1
"33",1872-01-02,1872,1,2,-17.2,-9.4,-13.3
