"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1937-01-01,1937,1,1,NA,NA,NA
"2",1937-01-02,1937,1,2,NA,NA,NA
"3",1937-01-03,1937,1,3,NA,NA,NA
"4",1937-01-04,1937,1,4,NA,NA,NA
"5",1937-01-05,1937,1,5,NA,NA,NA
"6",1937-01-06,1937,1,6,NA,NA,NA
"7",1937-01-07,1937,1,7,NA,NA,NA
"8",1937-01-08,1937,1,8,NA,NA,NA
"9",1937-01-09,1937,1,9,NA,NA,NA
"10",1937-01-10,1937,1,10,NA,NA,NA
"11",1937-01-11,1937,1,11,NA,NA,NA
"12",1937-01-12,1937,1,12,NA,NA,NA
"13",1937-01-13,1937,1,13,NA,NA,NA
"14",1937-01-14,1937,1,14,NA,NA,NA
"15",1937-01-15,1937,1,15,NA,NA,NA
"16",1937-01-16,1937,1,16,NA,NA,NA
"17",1937-01-17,1937,1,17,NA,NA,NA
"18",1937-01-18,1937,1,18,NA,NA,NA
"19",1937-01-19,1937,1,19,NA,NA,NA
"20",1937-01-20,1937,1,20,NA,NA,NA
"21",1937-01-21,1937,1,21,-19.4,-8.9,-14.2
"22",1937-01-22,1937,1,22,-13.9,-6.7,-10.3
"23",1937-01-23,1937,1,23,-20.6,-12.2,-16.4
"24",1937-01-24,1937,1,24,-18.9,-12.8,-15.9
"25",1937-01-25,1937,1,25,NA,NA,NA
"26",1937-01-26,1937,1,26,NA,NA,NA
"27",1937-01-27,1937,1,27,NA,NA,NA
"28",1937-01-28,1937,1,28,-22.2,NA,NA
"29",1937-01-29,1937,1,29,-21.1,NA,NA
"30",1937-01-30,1937,1,30,-15.6,NA,NA
"31",1937-01-31,1937,1,31,-10,NA,NA
"32",1937-02-01,1937,2,1,-6.7,NA,NA
"33",1937-02-02,1937,2,2,-5.6,NA,NA
"34",1937-02-03,1937,2,3,-11.1,NA,NA
"35",1937-02-04,1937,2,4,-16.7,NA,NA
"36",1937-02-05,1937,2,5,-17.2,NA,NA
"37",1937-02-06,1937,2,6,-21.7,NA,NA
"38",1937-02-07,1937,2,7,-13.3,NA,NA
"39",1937-02-08,1937,2,8,-1.7,NA,NA
"40",1937-02-09,1937,2,9,-2.8,NA,NA
"41",1937-02-10,1937,2,10,-6.7,NA,NA
"42",1937-02-11,1937,2,11,-15.6,NA,NA
"43",1937-02-12,1937,2,12,-21.7,NA,NA
"44",1937-02-13,1937,2,13,-22.8,NA,NA
"45",1937-02-14,1937,2,14,-13.9,-3.9,-8.9
"46",1937-02-15,1937,2,15,-15,5.6,-4.7
"47",1937-02-16,1937,2,16,-7.8,1.1,-3.3
"48",1937-02-17,1937,2,17,-16.7,-9.4,-13.1
"49",1937-02-18,1937,2,18,-12.8,-7.8,-10.3
"50",1937-02-19,1937,2,19,-13.3,-5.6,-9.5
"51",1937-02-20,1937,2,20,-8.3,-1.1,-4.7
"52",1937-02-21,1937,2,21,-4.4,-0.6,-2.5
"53",1937-02-22,1937,2,22,-3.3,0.6,-1.4
"54",1937-02-23,1937,2,23,-2.8,3.9,0.5
"55",1937-02-24,1937,2,24,-6.1,0,-3.1
"56",1937-02-25,1937,2,25,-5.6,0.6,-2.5
"57",1937-02-26,1937,2,26,-2.2,1.7,-0.3
"58",1937-02-27,1937,2,27,-7.8,-1.1,-4.5
"59",1937-02-28,1937,2,28,-12.2,-3.3,-7.8
"60",1937-03-01,1937,3,1,-12.8,-2.2,-7.5
"61",1937-03-02,1937,3,2,-10.6,0.6,-5
"62",1937-03-03,1937,3,3,-14.4,-1.7,-8.1
"63",1937-03-04,1937,3,4,-16.7,-8.3,-12.5
"64",1937-03-05,1937,3,5,-14.4,-3.3,-8.8
"65",1937-03-06,1937,3,6,-9.4,-0.6,-5
"66",1937-03-07,1937,3,7,-18.3,-2.8,-10.6
"67",1937-03-08,1937,3,8,-15.6,-2.8,-9.2
"68",1937-03-09,1937,3,9,-12.8,-3.3,-8.1
"69",1937-03-10,1937,3,10,-10.6,0,-5.3
"70",1937-03-11,1937,3,11,-10.6,-1.7,-6.1
"71",1937-03-12,1937,3,12,-11.1,0,-5.5
"72",1937-03-13,1937,3,13,-5.6,1.1,-2.2
"73",1937-03-14,1937,3,14,-11.1,0,-5.5
"74",1937-03-15,1937,3,15,-12.8,1.7,-5.6
"75",1937-03-16,1937,3,16,-18.9,3.9,-7.5
"76",1937-03-17,1937,3,17,-5.6,2.8,-1.4
"77",1937-03-18,1937,3,18,-0.6,6.1,2.8
"78",1937-03-19,1937,3,19,-2.2,2.8,0.3
"79",1937-03-20,1937,3,20,-6.1,0.6,-2.8
"80",1937-03-21,1937,3,21,-10,3.3,-3.3
"81",1937-03-22,1937,3,22,-4.4,0,-2.2
"82",1937-03-23,1937,3,23,-4.4,0.6,-1.9
"83",1937-03-24,1937,3,24,-3.9,-3.3,-3.6
"84",1937-03-25,1937,3,25,-8.9,0.6,-4.2
"85",1937-03-26,1937,3,26,-6.7,-2.2,-4.5
"86",1937-03-27,1937,3,27,-8.9,-0.6,-4.8
"87",1937-03-28,1937,3,28,-9.4,-2.2,-5.8
"88",1937-03-29,1937,3,29,-10.6,1.7,-4.5
"89",1937-03-30,1937,3,30,-5.6,2.2,-1.7
"90",1937-03-31,1937,3,31,-5.6,2.2,-1.7
"91",1937-04-01,1937,4,1,-5.6,-0.6,-3.1
"92",1937-04-02,1937,4,2,-7.2,-2.2,-4.7
"93",1937-04-03,1937,4,3,-8.9,-3.3,-6.1
"94",1937-04-04,1937,4,4,-11.7,-2.8,-7.3
"95",1937-04-05,1937,4,5,-8.9,-3.3,-6.1
"96",1937-04-06,1937,4,6,-7.8,7.2,-0.3
"97",1937-04-07,1937,4,7,-2.2,7.2,2.5
"98",1937-04-08,1937,4,8,0.6,2.2,1.4
"99",1937-04-09,1937,4,9,-1.7,5.6,2
"100",1937-04-10,1937,4,10,-5.6,2.2,-1.7
"101",1937-04-11,1937,4,11,-1.7,1.7,0
"102",1937-04-12,1937,4,12,-3.9,0,-2
"103",1937-04-13,1937,4,13,-10.6,4.4,-3.1
"104",1937-04-14,1937,4,14,-2.8,10.6,3.9
"105",1937-04-15,1937,4,15,0.6,5.6,3.1
"106",1937-04-16,1937,4,16,-0.6,6.1,2.8
"107",1937-04-17,1937,4,17,-2.8,5.6,1.4
"108",1937-04-18,1937,4,18,-4.4,3.3,-0.6
"109",1937-04-19,1937,4,19,-2.8,2.2,-0.3
"110",1937-04-20,1937,4,20,-2.8,2.8,0
"111",1937-04-21,1937,4,21,-3.3,3.9,0.3
"112",1937-04-22,1937,4,22,-4.4,1.1,-1.7
"113",1937-04-23,1937,4,23,-10.6,0.6,-5
"114",1937-04-24,1937,4,24,-5.6,0.6,-2.5
"115",1937-04-25,1937,4,25,-3.9,0.6,-1.6
"116",1937-04-26,1937,4,26,-1.7,1.7,0
"117",1937-04-27,1937,4,27,-1.7,4.4,1.4
"118",1937-04-28,1937,4,28,-3.9,11.1,3.6
"119",1937-04-29,1937,4,29,-5,3.9,-0.6
"120",1937-04-30,1937,4,30,-5,6.1,0.6
"121",1937-05-01,1937,5,1,-3.3,7.2,2
"122",1937-05-02,1937,5,2,-3.9,17.8,7
"123",1937-05-03,1937,5,3,-1.7,15.6,7
"124",1937-05-04,1937,5,4,-0.6,7.2,3.3
"125",1937-05-05,1937,5,5,0,7.8,3.9
"126",1937-05-06,1937,5,6,-3.3,16.7,6.7
"127",1937-05-07,1937,5,7,-5,9.4,2.2
"128",1937-05-08,1937,5,8,-1.7,17.8,8.1
"129",1937-05-09,1937,5,9,0.6,14.4,7.5
"130",1937-05-10,1937,5,10,7.8,16.1,12
"131",1937-05-11,1937,5,11,0.6,18.9,9.8
"132",1937-05-12,1937,5,12,3.9,17.8,10.8
"133",1937-05-13,1937,5,13,2.8,21.7,12.2
"134",1937-05-14,1937,5,14,0.6,13.9,7.2
"135",1937-05-15,1937,5,15,-4.4,10,2.8
"136",1937-05-16,1937,5,16,1.1,11.1,6.1
