"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1920-07-01,1920,7,1,NA,NA,NA
"2",1920-07-02,1920,7,2,NA,NA,NA
"3",1920-07-03,1920,7,3,NA,NA,NA
"4",1920-07-04,1920,7,4,NA,NA,NA
"5",1920-07-05,1920,7,5,NA,NA,NA
"6",1920-07-06,1920,7,6,NA,NA,NA
"7",1920-07-07,1920,7,7,NA,NA,NA
"8",1920-07-08,1920,7,8,NA,NA,NA
"9",1920-07-09,1920,7,9,NA,NA,NA
"10",1920-07-10,1920,7,10,10,26.1,18.1
"11",1920-07-11,1920,7,11,11.1,26.1,18.6
"12",1920-07-12,1920,7,12,13.3,27.8,20.6
"13",1920-07-13,1920,7,13,15.6,20.6,18.1
"14",1920-07-14,1920,7,14,13.9,26.1,20
"15",1920-07-15,1920,7,15,16.1,30,23.1
"16",1920-07-16,1920,7,16,13.9,22.8,18.4
"17",1920-07-17,1920,7,17,7.2,25.6,16.4
"18",1920-07-18,1920,7,18,5,24.4,14.7
"19",1920-07-19,1920,7,19,4.4,25,14.7
"20",1920-07-20,1920,7,20,12.8,19.4,16.1
"21",1920-07-21,1920,7,21,10,22.8,16.4
"22",1920-07-22,1920,7,22,10.6,26.7,18.6
"23",1920-07-23,1920,7,23,9.4,25.6,17.5
"24",1920-07-24,1920,7,24,11.1,20.6,15.9
"25",1920-07-25,1920,7,25,11.1,20,15.6
"26",1920-07-26,1920,7,26,4.4,22.2,13.3
"27",1920-07-27,1920,7,27,4.4,21.1,12.8
"28",1920-07-28,1920,7,28,2.2,22.2,12.2
"29",1920-07-29,1920,7,29,3.9,23.9,13.9
"30",1920-07-30,1920,7,30,7.2,24.4,15.8
"31",1920-07-31,1920,7,31,11.7,23.3,17.5
"32",1920-08-01,1920,8,1,14.4,20.6,17.5
"33",1920-08-02,1920,8,2,14.4,21.1,17.8
"34",1920-08-03,1920,8,3,13.9,22.8,18.4
"35",1920-08-04,1920,8,4,13.3,21.7,17.5
"36",1920-08-05,1920,8,5,8.9,23.3,16.1
"37",1920-08-06,1920,8,6,7.2,22.2,14.7
"38",1920-08-07,1920,8,7,5.6,27.2,16.4
"39",1920-08-08,1920,8,8,10,26.1,18.1
"40",1920-08-09,1920,8,9,10,29.4,19.7
"41",1920-08-10,1920,8,10,12.8,31.1,22
"42",1920-08-11,1920,8,11,16.7,29.4,23.1
"43",1920-08-12,1920,8,12,16.1,22.8,19.5
"44",1920-08-13,1920,8,13,16.7,20.6,18.6
"45",1920-08-14,1920,8,14,15,23.3,19.1
"46",1920-08-15,1920,8,15,16.1,23.9,20
"47",1920-08-16,1920,8,16,17.8,20.6,19.2
"48",1920-08-17,1920,8,17,15.6,26.7,21.1
"49",1920-08-18,1920,8,18,13.3,25,19.1
"50",1920-08-19,1920,8,19,0.6,20.6,10.6
"51",1920-08-20,1920,8,20,0,21.1,10.6
"52",1920-08-21,1920,8,21,5,25.6,15.3
"53",1920-08-22,1920,8,22,16.1,24.4,20.2
"54",1920-08-23,1920,8,23,13.3,25.6,19.5
"55",1920-08-24,1920,8,24,13.3,23.9,18.6
"56",1920-08-25,1920,8,25,6.7,22.8,14.8
"57",1920-08-26,1920,8,26,3.9,25,14.4
"58",1920-08-27,1920,8,27,5.6,22.2,13.9
"59",1920-08-28,1920,8,28,11.1,31.1,21.1
"60",1920-08-29,1920,8,29,5.6,27.8,16.7
"61",1920-08-30,1920,8,30,10,28.9,19.5
"62",1920-08-31,1920,8,31,6.1,26.1,16.1
"63",1920-09-01,1920,9,1,10.6,22.2,16.4
"64",1920-09-02,1920,9,2,7.8,11.7,9.8
"65",1920-09-03,1920,9,3,3.9,15,9.4
"66",1920-09-04,1920,9,4,2.2,19.4,10.8
"67",1920-09-05,1920,9,5,0.6,22.2,11.4
"68",1920-09-06,1920,9,6,3.3,22.8,13.1
"69",1920-09-07,1920,9,7,13.3,21.7,17.5
"70",1920-09-08,1920,9,8,14.4,21.1,17.8
"71",1920-09-09,1920,9,9,13.3,16.7,15
"72",1920-09-10,1920,9,10,13.3,23.9,18.6
"73",1920-09-11,1920,9,11,7.8,19.4,13.6
"74",1920-09-12,1920,9,12,4.4,18.3,11.4
"75",1920-09-13,1920,9,13,3.3,16.7,10
"76",1920-09-14,1920,9,14,15,17.2,16.1
"77",1920-09-15,1920,9,15,11.1,12.2,11.7
"78",1920-09-16,1920,9,16,11.7,15.6,13.7
"79",1920-09-17,1920,9,17,11.1,16.7,13.9
"80",1920-09-18,1920,9,18,10,15.6,12.8
"81",1920-09-19,1920,9,19,1.7,15,8.3
"82",1920-09-20,1920,9,20,0.6,15.6,8.1
"83",1920-09-21,1920,9,21,-1.7,18.3,8.3
"84",1920-09-22,1920,9,22,-1.1,17.8,8.3
"85",1920-09-23,1920,9,23,-1.1,20.6,9.8
"86",1920-09-24,1920,9,24,4.4,24.4,14.4
"87",1920-09-25,1920,9,25,12.2,28.9,20.6
"88",1920-09-26,1920,9,26,10,20.6,15.3
"89",1920-09-27,1920,9,27,7.2,20.6,13.9
"90",1920-09-28,1920,9,28,9.4,16.7,13.1
"91",1920-09-29,1920,9,29,13.9,19.4,16.7
"92",1920-09-30,1920,9,30,13.9,18.3,16.1
"93",1920-10-01,1920,10,1,16.7,20.6,18.6
"94",1920-10-02,1920,10,2,12.2,21.7,16.9
"95",1920-10-03,1920,10,3,4.4,21.1,12.8
"96",1920-10-04,1920,10,4,-0.6,19.4,9.4
"97",1920-10-05,1920,10,5,4.4,22.2,13.3
"98",1920-10-06,1920,10,6,2.2,17.8,10
"99",1920-10-07,1920,10,7,-0.6,10.6,5
"100",1920-10-08,1920,10,8,-0.6,17.2,8.3
"101",1920-10-09,1920,10,9,2.2,16.7,9.4
"102",1920-10-10,1920,10,10,7.8,18.9,13.4
"103",1920-10-11,1920,10,11,5.6,18.3,12
"104",1920-10-12,1920,10,12,-2.8,11.1,4.1
"105",1920-10-13,1920,10,13,1.1,10.6,5.8
"106",1920-10-14,1920,10,14,-2.2,13.3,5.6
"107",1920-10-15,1920,10,15,1.7,10,5.8
"108",1920-10-16,1920,10,16,3.3,11.1,7.2
"109",1920-10-17,1920,10,17,2.2,13.9,8.1
"110",1920-10-18,1920,10,18,6.7,15.6,11.2
"111",1920-10-19,1920,10,19,-1.7,15.6,7
"112",1920-10-20,1920,10,20,-1.1,17.2,8
"113",1920-10-21,1920,10,21,-0.6,15,7.2
"114",1920-10-22,1920,10,22,-4.4,11.1,3.3
"115",1920-10-23,1920,10,23,4.4,11.7,8.1
"116",1920-10-24,1920,10,24,-2.8,12.2,4.7
"117",1920-10-25,1920,10,25,6.1,17.2,11.7
"118",1920-10-26,1920,10,26,2.8,16.7,9.8
"119",1920-10-27,1920,10,27,0,15,7.5
"120",1920-10-28,1920,10,28,7.8,13.3,10.6
"121",1920-10-29,1920,10,29,8.3,17.2,12.8
"122",1920-10-30,1920,10,30,6.1,20.6,13.4
"123",1920-10-31,1920,10,31,0.6,11.7,6.2
"124",1920-11-01,1920,11,1,1.7,7.8,4.8
"125",1920-11-02,1920,11,2,-2.8,-0.6,-1.7
"126",1920-11-03,1920,11,3,1.1,14.4,7.8
"127",1920-11-04,1920,11,4,-1.1,15,7
"128",1920-11-05,1920,11,5,-3.9,9.4,2.8
"129",1920-11-06,1920,11,6,1.1,10,5.5
"130",1920-11-07,1920,11,7,-3.9,16.1,6.1
"131",1920-11-08,1920,11,8,-9.4,6.1,-1.6
"132",1920-11-09,1920,11,9,1.1,12.8,7
"133",1920-11-10,1920,11,10,-1.1,11.7,5.3
"134",1920-11-11,1920,11,11,-5,14.4,4.7
"135",1920-11-12,1920,11,12,-11.1,1.1,-5
"136",1920-11-13,1920,11,13,-6.1,3.9,-1.1
"137",1920-11-14,1920,11,14,-8.9,2.8,-3
"138",1920-11-15,1920,11,15,0.6,4.4,2.5
"139",1920-11-16,1920,11,16,-7.8,5.6,-1.1
"140",1920-11-17,1920,11,17,-7.8,-0.6,-4.2
"141",1920-11-18,1920,11,18,-1.7,10,4.2
"142",1920-11-19,1920,11,19,-2.2,3.9,0.8
"143",1920-11-20,1920,11,20,-6.1,2.2,-2
"144",1920-11-21,1920,11,21,-12.8,2.2,-5.3
"145",1920-11-22,1920,11,22,-11.1,1.7,-4.7
"146",1920-11-23,1920,11,23,-7.8,1.7,-3
"147",1920-11-24,1920,11,24,-2.2,1.1,-0.6
"148",1920-11-25,1920,11,25,-1.7,0.6,-0.6
"149",1920-11-26,1920,11,26,-1.1,0,-0.6
"150",1920-11-27,1920,11,27,-6.1,0,-3.1
"151",1920-11-28,1920,11,28,-11.1,1.1,-5
"152",1920-11-29,1920,11,29,-15,1.1,-7
"153",1920-11-30,1920,11,30,-10,0,-5
"154",1920-12-01,1920,12,1,-8.9,1.7,-3.6
"155",1920-12-02,1920,12,2,-2.2,11.7,4.8
"156",1920-12-03,1920,12,3,-10.6,4.4,-3.1
"157",1920-12-04,1920,12,4,-11.1,6.1,-2.5
"158",1920-12-05,1920,12,5,-5.6,8.9,1.6
"159",1920-12-06,1920,12,6,3.9,11.7,7.8
"160",1920-12-07,1920,12,7,0,5.6,2.8
"161",1920-12-08,1920,12,8,-3.9,2.2,-0.8
"162",1920-12-09,1920,12,9,-3.3,-2.2,-2.8
"163",1920-12-10,1920,12,10,-5,2.2,-1.4
"164",1920-12-11,1920,12,11,0.6,4.4,2.5
"165",1920-12-12,1920,12,12,-1.1,4.4,1.7
"166",1920-12-13,1920,12,13,-5,5.6,0.3
"167",1920-12-14,1920,12,14,-5.6,-1.7,-3.7
"168",1920-12-15,1920,12,15,-4.4,1.7,-1.4
"169",1920-12-16,1920,12,16,-1.1,5.6,2.2
"170",1920-12-17,1920,12,17,-6.7,3.3,-1.7
"171",1920-12-18,1920,12,18,-5,0.6,-2.2
"172",1920-12-19,1920,12,19,-6.7,2.2,-2.2
"173",1920-12-20,1920,12,20,-10.6,1.7,-4.5
"174",1920-12-21,1920,12,21,-7.2,-1.1,-4.2
"175",1920-12-22,1920,12,22,-7.8,-3.9,-5.8
