"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1941-12-01,1941,12,1,-23.3,-5.6,-14.5
"2",1941-12-02,1941,12,2,-23.3,-11.1,-17.2
"3",1941-12-03,1941,12,3,-22.2,-10,-16.1
"4",1941-12-04,1941,12,4,-19.4,1.7,-8.9
"5",1941-12-05,1941,12,5,-6.1,5.6,-0.2
"6",1941-12-06,1941,12,6,0,8.3,4.2
"7",1941-12-07,1941,12,7,-6.1,1.7,-2.2
"8",1941-12-08,1941,12,8,-11.1,-8.3,-9.7
"9",1941-12-09,1941,12,9,-11.1,-5.6,-8.3
"10",1941-12-10,1941,12,10,-8.9,-6.1,-7.5
"11",1941-12-11,1941,12,11,-11.1,-6.1,-8.6
"12",1941-12-12,1941,12,12,-19.4,-9.4,-14.4
"13",1941-12-13,1941,12,13,-17.2,-10,-13.6
"14",1941-12-14,1941,12,14,-20,-5.6,-12.8
"15",1941-12-15,1941,12,15,-10.6,-2.8,-6.7
"16",1941-12-16,1941,12,16,-14.4,-10.6,-12.5
"17",1941-12-17,1941,12,17,-22.2,-15.6,-18.9
"18",1941-12-18,1941,12,18,-25,-18.3,-21.6
"19",1941-12-19,1941,12,19,-28.3,-14.4,-21.4
"20",1941-12-20,1941,12,20,-21.1,-10.6,-15.9
"21",1941-12-21,1941,12,21,-15,0,-7.5
"22",1941-12-22,1941,12,22,-8.3,-1.1,-4.7
"23",1941-12-23,1941,12,23,-8.9,-5,-7
"24",1941-12-24,1941,12,24,-6.7,-4.4,-5.6
"25",1941-12-25,1941,12,25,-10,-2.2,-6.1
"26",1941-12-26,1941,12,26,-8.3,0.6,-3.9
"27",1941-12-27,1941,12,27,-5.6,-1.7,-3.7
"28",1941-12-28,1941,12,28,-15.6,-2.2,-8.9
"29",1941-12-29,1941,12,29,-25.6,-16.7,-21.1
"30",1941-12-30,1941,12,30,-28.9,-17.2,-23.1
"31",1941-12-31,1941,12,31,-28.9,-10,-19.5
"32",1942-01-01,1942,1,1,-20.6,-8.9,-14.8
"33",1942-01-02,1942,1,2,-23.3,4.4,-9.4
"34",1942-01-03,1942,1,3,-13.3,5,-4.2
"35",1942-01-04,1942,1,4,-27.8,-22.2,-25
"36",1942-01-05,1942,1,5,-25.6,-16.7,-21.1
"37",1942-01-06,1942,1,6,-25,-17.8,-21.4
"38",1942-01-07,1942,1,7,-27.2,-21.1,-24.1
"39",1942-01-08,1942,1,8,-29.4,-16.1,-22.8
"40",1942-01-09,1942,1,9,-33.3,-21.1,-27.2
"41",1942-01-10,1942,1,10,-30,-15.6,-22.8
"42",1942-01-11,1942,1,11,-27.2,-16.7,-21.9
"43",1942-01-12,1942,1,12,-25,-15,-20
"44",1942-01-13,1942,1,13,-24.4,-18.3,-21.4
"45",1942-01-14,1942,1,14,-25,-20.6,-22.8
"46",1942-01-15,1942,1,15,-25.6,-17.8,-21.7
"47",1942-01-16,1942,1,16,-31.7,-23.9,-27.8
"48",1942-01-17,1942,1,17,-31.1,-18.3,-24.7
"49",1942-01-18,1942,1,18,-23.3,-13.9,-18.6
"50",1942-01-19,1942,1,19,-26.1,-12.2,-19.2
"51",1942-01-20,1942,1,20,-16.1,-8.9,-12.5
"52",1942-01-21,1942,1,21,-20,-11.1,-15.6
"53",1942-01-22,1942,1,22,-23.9,-16.7,-20.3
"54",1942-01-23,1942,1,23,-26.1,-16.7,-21.4
"55",1942-01-24,1942,1,24,-30,-15,-22.5
"56",1942-01-25,1942,1,25,-28.9,-9.4,-19.2
"57",1942-01-26,1942,1,26,-25.6,-14.4,-20
"58",1942-01-27,1942,1,27,-21.7,-5.6,-13.7
"59",1942-01-28,1942,1,28,-22.8,-15,-18.9
"60",1942-01-29,1942,1,29,-26.7,-17.2,-21.9
"61",1942-01-30,1942,1,30,-28.9,-14.4,-21.7
"62",1942-01-31,1942,1,31,-27.2,-14.4,-20.8
"63",1942-02-01,1942,2,1,-25.6,-7.2,-16.4
"64",1942-02-02,1942,2,2,-13.9,-3.9,-8.9
"65",1942-02-03,1942,2,3,-23.3,-17.2,-20.2
"66",1942-02-04,1942,2,4,-28.3,-17.8,-23.1
"67",1942-02-05,1942,2,5,-20.6,-13.3,-17
"68",1942-02-06,1942,2,6,-23.9,-10,-17
"69",1942-02-07,1942,2,7,-17.2,-5,-11.1
"70",1942-02-08,1942,2,8,-10,-1.7,-5.8
"71",1942-02-09,1942,2,9,-6.1,0,-3.1
"72",1942-02-10,1942,2,10,-13.3,-8.3,-10.8
"73",1942-02-11,1942,2,11,-13.9,-8.3,-11.1
"74",1942-02-12,1942,2,12,-10,0.6,-4.7
"75",1942-02-13,1942,2,13,-8.9,0.6,-4.2
"76",1942-02-14,1942,2,14,-10.6,-7.2,-8.9
"77",1942-02-15,1942,2,15,-20,-12.2,-16.1
"78",1942-02-16,1942,2,16,-26.7,-21.1,-23.9
"79",1942-02-17,1942,2,17,-30.6,-11.1,-20.9
"80",1942-02-18,1942,2,18,-19.4,-9.4,-14.4
"81",1942-02-19,1942,2,19,-15,-9.4,-12.2
"82",1942-02-20,1942,2,20,-14.4,1.7,-6.4
"83",1942-02-21,1942,2,21,-8.9,2.2,-3.4
"84",1942-02-22,1942,2,22,-13.3,0.6,-6.4
"85",1942-02-23,1942,2,23,-5,1.7,-1.6
"86",1942-02-24,1942,2,24,-5.6,0,-2.8
"87",1942-02-25,1942,2,25,-10,2.8,-3.6
"88",1942-02-26,1942,2,26,-3.9,7.8,2
"89",1942-02-27,1942,2,27,-0.6,2.8,1.1
"90",1942-02-28,1942,2,28,-5.6,0.6,-2.5
"91",1942-03-01,1942,3,1,-12.2,-2.2,-7.2
"92",1942-03-02,1942,3,2,-12.8,0,-6.4
"93",1942-03-03,1942,3,3,-13.9,1.1,-6.4
"94",1942-03-04,1942,3,4,-8.9,-1.7,-5.3
"95",1942-03-05,1942,3,5,-5,1.7,-1.6
"96",1942-03-06,1942,3,6,-13.9,3.9,-5
"97",1942-03-07,1942,3,7,-8.3,-1.7,-5
"98",1942-03-08,1942,3,8,-9.4,-3.3,-6.4
"99",1942-03-09,1942,3,9,-12.8,1.7,-5.6
"100",1942-03-10,1942,3,10,-8.3,3.3,-2.5
"101",1942-03-11,1942,3,11,-1.1,3.3,1.1
