"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1957-03-01,1957,3,1,-23.9,-6.7,-15.3
"2",1957-03-02,1957,3,2,-35,-12.2,-23.6
"3",1957-03-03,1957,3,3,-23.3,-9.4,-16.4
"4",1957-03-04,1957,3,4,-16.1,-6.7,-11.4
"5",1957-03-05,1957,3,5,-23.3,-8.3,-15.8
"6",1957-03-06,1957,3,6,-25.6,-9.4,-17.5
"7",1957-03-07,1957,3,7,-31.7,-18.9,-25.3
"8",1957-03-08,1957,3,8,-30,-16.7,-23.4
"9",1957-03-09,1957,3,9,-26.7,-18.3,-22.5
"10",1957-03-10,1957,3,10,-37.8,-21.1,-29.5
"11",1957-03-11,1957,3,11,-43.3,-27.2,-35.2
"12",1957-03-12,1957,3,12,-42.8,-26.1,-34.5
"13",1957-03-13,1957,3,13,-36.7,-21.7,-29.2
"14",1957-03-14,1957,3,14,-28.3,-17.8,-23.1
"15",1957-03-15,1957,3,15,-30.6,-17.8,-24.2
"16",1957-03-16,1957,3,16,-17.8,-11.7,-14.8
"17",1957-03-17,1957,3,17,-16.7,-5.6,-11.2
"18",1957-03-18,1957,3,18,-6.1,-5,-5.6
"19",1957-03-19,1957,3,19,-19.4,-5.6,-12.5
"20",1957-03-20,1957,3,20,-21.1,-14.4,-17.8
"21",1957-03-21,1957,3,21,-22.2,-20,-21.1
"22",1957-03-22,1957,3,22,-30.6,-21.1,-25.9
"23",1957-03-23,1957,3,23,-30,-21.1,-25.6
"24",1957-03-24,1957,3,24,-24.4,-13.9,-19.2
"25",1957-03-25,1957,3,25,-30.6,-10.6,-20.6
"26",1957-03-26,1957,3,26,-37.8,-20.6,-29.2
"27",1957-03-27,1957,3,27,-36.1,-18.9,-27.5
"28",1957-03-28,1957,3,28,-35.6,-17.2,-26.4
"29",1957-03-29,1957,3,29,-36.7,-18.3,-27.5
"30",1957-03-30,1957,3,30,-25,-10.6,-17.8
"31",1957-03-31,1957,3,31,-19.4,-7.2,-13.3
"32",1957-04-01,1957,4,1,-20,-7.2,-13.6
"33",1957-04-02,1957,4,2,-26.7,-10.6,-18.6
"34",1957-04-03,1957,4,3,-22.8,-15.6,-19.2
"35",1957-04-04,1957,4,4,-22.8,-15.6,-19.2
"36",1957-04-05,1957,4,5,-23.3,-8.9,-16.1
"37",1957-04-06,1957,4,6,-17.8,-6.1,-12
"38",1957-04-07,1957,4,7,-18.9,-1.7,-10.3
"39",1957-04-08,1957,4,8,-19.4,0.6,-9.4
"40",1957-04-09,1957,4,9,-11.1,1.7,-4.7
"41",1957-04-10,1957,4,10,-12.8,1.7,-5.6
"42",1957-04-11,1957,4,11,-16.1,-1.1,-8.6
"43",1957-04-12,1957,4,12,-14.4,3.3,-5.5
"44",1957-04-13,1957,4,13,-3.3,5.6,1.2
"45",1957-04-14,1957,4,14,-7.8,5.6,-1.1
"46",1957-04-15,1957,4,15,-4.4,3.3,-0.6
"47",1957-04-16,1957,4,16,-10.6,5,-2.8
"48",1957-04-17,1957,4,17,-5,6.1,0.6
"49",1957-04-18,1957,4,18,-10.6,-2.2,-6.4
"50",1957-04-19,1957,4,19,-16.7,-2.8,-9.8
"51",1957-04-20,1957,4,20,-15,-6.1,-10.6
"52",1957-04-21,1957,4,21,-17.2,-6.1,-11.7
"53",1957-04-22,1957,4,22,-24.4,-6.7,-15.6
"54",1957-04-23,1957,4,23,-26.1,-10.6,-18.4
"55",1957-04-24,1957,4,24,-20.6,-5.6,-13.1
"56",1957-04-25,1957,4,25,-12.2,0,-6.1
"57",1957-04-26,1957,4,26,-13.9,-0.6,-7.2
"58",1957-04-27,1957,4,27,-11.7,-5.6,-8.7
"59",1957-04-28,1957,4,28,-17.2,-10,-13.6
"60",1957-04-29,1957,4,29,-19.4,-12.2,-15.8
"61",1957-04-30,1957,4,30,-18.3,-5.6,-12
"62",1957-05-01,1957,5,1,-17.2,-11.7,-14.4
"63",1957-05-02,1957,5,2,-20.6,-10,-15.3
"64",1957-05-03,1957,5,3,-16.7,0.6,-8
"65",1957-05-04,1957,5,4,-4.4,0.6,-1.9
"66",1957-05-05,1957,5,5,-5.6,-1.1,-3.4
"67",1957-05-06,1957,5,6,-13.9,5,-4.5
"68",1957-05-07,1957,5,7,-2.2,6.1,2
"69",1957-05-08,1957,5,8,-1.1,5,2
"70",1957-05-09,1957,5,9,-8.9,-0.6,-4.8
"71",1957-05-10,1957,5,10,-17.2,-5.6,-11.4
"72",1957-05-11,1957,5,11,-17.2,-5,-11.1
"73",1957-05-12,1957,5,12,-15.6,-5.6,-10.6
"74",1957-05-13,1957,5,13,-15.6,-6.1,-10.8
"75",1957-05-14,1957,5,14,-11.7,-2.2,-7
"76",1957-05-15,1957,5,15,-8.3,3.9,-2.2
"77",1957-05-16,1957,5,16,-3.9,6.1,1.1
"78",1957-05-17,1957,5,17,-0.6,8.3,3.9
"79",1957-05-18,1957,5,18,-2.2,10,3.9
"80",1957-05-19,1957,5,19,0.6,10,5.3
"81",1957-05-20,1957,5,20,-1.7,11.7,5
"82",1957-05-21,1957,5,21,3.3,14.4,8.8
"83",1957-05-22,1957,5,22,-2.2,14.4,6.1
"84",1957-05-23,1957,5,23,1.1,10,5.5
"85",1957-05-24,1957,5,24,-4.4,7.8,1.7
"86",1957-05-25,1957,5,25,-1.7,8.3,3.3
"87",1957-05-26,1957,5,26,-1.1,8.3,3.6
"88",1957-05-27,1957,5,27,-2.2,6.7,2.2
"89",1957-05-28,1957,5,28,-0.6,8.3,3.9
"90",1957-05-29,1957,5,29,2.2,7.8,5
"91",1957-05-30,1957,5,30,2.2,17.2,9.7
"92",1957-05-31,1957,5,31,0,17.8,8.9
"93",1957-06-01,1957,6,1,-1.7,11.1,4.7
"94",1957-06-02,1957,6,2,1.7,11.1,6.4
"95",1957-06-03,1957,6,3,-1.1,12.2,5.6
"96",1957-06-04,1957,6,4,1.7,17.8,9.8
"97",1957-06-05,1957,6,5,6.1,18.3,12.2
"98",1957-06-06,1957,6,6,1.1,8.9,5
"99",1957-06-07,1957,6,7,-5.6,5.6,0
"100",1957-06-08,1957,6,8,-2.8,10.6,3.9
"101",1957-06-09,1957,6,9,-3.9,8.3,2.2
"102",1957-06-10,1957,6,10,1.1,12.8,7
"103",1957-06-11,1957,6,11,1.7,16.1,8.9
"104",1957-06-12,1957,6,12,-3.3,15.6,6.1
"105",1957-06-13,1957,6,13,-4.4,5.6,0.6
"106",1957-06-14,1957,6,14,-1.7,7.2,2.8
"107",1957-06-15,1957,6,15,-1.1,15,7
"108",1957-06-16,1957,6,16,5.6,14.4,10
"109",1957-06-17,1957,6,17,5,25,15
"110",1957-06-18,1957,6,18,13.3,25,19.1
"111",1957-06-19,1957,6,19,2.2,21.7,11.9
"112",1957-06-20,1957,6,20,-1.1,7.2,3
"113",1957-06-21,1957,6,21,2.2,8.3,5.2
"114",1957-06-22,1957,6,22,0.6,7.2,3.9
"115",1957-06-23,1957,6,23,0.6,9.4,5
"116",1957-06-24,1957,6,24,3.3,18.9,11.1
"117",1957-06-25,1957,6,25,6.1,18.9,12.5
"118",1957-06-26,1957,6,26,7.2,26.7,16.9
"119",1957-06-27,1957,6,27,19.4,26.7,23.1
"120",1957-06-28,1957,6,28,4.4,26.7,15.6
"121",1957-06-29,1957,6,29,3.3,20,11.7
"122",1957-06-30,1957,6,30,6.7,20,13.3
"123",1957-07-01,1957,7,1,4.4,17.8,11.1
"124",1957-07-02,1957,7,2,8.9,26.1,17.5
"125",1957-07-03,1957,7,3,12.8,25,18.9
"126",1957-07-04,1957,7,4,5.6,24.4,15
"127",1957-07-05,1957,7,5,8.9,22.2,15.6
"128",1957-07-06,1957,7,6,12.2,25,18.6
"129",1957-07-07,1957,7,7,12.2,25,18.6
"130",1957-07-08,1957,7,8,7.2,23.3,15.2
"131",1957-07-09,1957,7,9,2.2,17.8,10
"132",1957-07-10,1957,7,10,7.8,18.3,13.1
"133",1957-07-11,1957,7,11,8.9,17.8,13.4
"134",1957-07-12,1957,7,12,11.7,26.1,18.9
"135",1957-07-13,1957,7,13,7.8,21.1,14.5
"136",1957-07-14,1957,7,14,8.3,20,14.2
"137",1957-07-15,1957,7,15,8.9,15.6,12.2
