"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1946-01-01,1946,1,1,-31.1,-21.7,-26.4
"2",1946-01-02,1946,1,2,-31.1,-26.7,-28.9
"3",1946-01-03,1946,1,3,-32.8,-22.8,-27.8
"4",1946-01-04,1946,1,4,-36.1,-32.2,-34.2
"5",1946-01-05,1946,1,5,-35,-32.2,-33.6
"6",1946-01-06,1946,1,6,-36.1,-30.6,-33.4
"7",1946-01-07,1946,1,7,-30,-23.3,-26.6
"8",1946-01-08,1946,1,8,-34.4,-27.8,-31.1
"9",1946-01-09,1946,1,9,-35.6,-31.1,-33.4
"10",1946-01-10,1946,1,10,-34.4,-30.6,-32.5
"11",1946-01-11,1946,1,11,-31.7,-27.2,-29.4
"12",1946-01-12,1946,1,12,-30.6,-27.8,-29.2
"13",1946-01-13,1946,1,13,-30,-26.7,-28.4
"14",1946-01-14,1946,1,14,-35.6,-27.2,-31.4
"15",1946-01-15,1946,1,15,-38.3,-34.4,-36.4
"16",1946-01-16,1946,1,16,-39.4,-33.9,-36.6
"17",1946-01-17,1946,1,17,-40.6,-38.3,-39.5
"18",1946-01-18,1946,1,18,-41.7,-37.8,-39.8
"19",1946-01-19,1946,1,19,-42.2,-36.7,-39.5
"20",1946-01-20,1946,1,20,-41.7,-38.3,-40
"21",1946-01-21,1946,1,21,-42.2,-38.3,-40.2
"22",1946-01-22,1946,1,22,-41.1,-37.2,-39.2
"23",1946-01-23,1946,1,23,-38.3,-34.4,-36.4
"24",1946-01-24,1946,1,24,-33.9,-25,-29.4
"25",1946-01-25,1946,1,25,-35,-27.2,-31.1
"26",1946-01-26,1946,1,26,-32.8,-15.6,-24.2
"27",1946-01-27,1946,1,27,-17.8,-9.4,-13.6
"28",1946-01-28,1946,1,28,-17.8,-8.3,-13.1
"29",1946-01-29,1946,1,29,-20,-13.9,-16.9
"30",1946-01-30,1946,1,30,-23.3,-16.7,-20
"31",1946-01-31,1946,1,31,-31.1,-23.3,-27.2
"32",1946-02-01,1946,2,1,-33.9,-29.4,-31.6
"33",1946-02-02,1946,2,2,-32.2,-26.1,-29.2
"34",1946-02-03,1946,2,3,-27.8,-23.9,-25.9
"35",1946-02-04,1946,2,4,-29.4,-26.1,-27.8
"36",1946-02-05,1946,2,5,-32.8,-28.9,-30.9
"37",1946-02-06,1946,2,6,-33.3,-16.7,-25
"38",1946-02-07,1946,2,7,-20.6,-16.1,-18.4
"39",1946-02-08,1946,2,8,-32.8,-21.1,-26.9
"40",1946-02-09,1946,2,9,-33.3,-28.3,-30.8
"41",1946-02-10,1946,2,10,-33.3,-26.1,-29.7
"42",1946-02-11,1946,2,11,-34.4,-26.1,-30.2
"43",1946-02-12,1946,2,12,-31.1,-19.4,-25.2
"44",1946-02-13,1946,2,13,-38.3,-31.1,-34.7
"45",1946-02-14,1946,2,14,-38.3,-31.1,-34.7
"46",1946-02-15,1946,2,15,-33.9,-13.3,-23.6
"47",1946-02-16,1946,2,16,-31.7,-16.7,-24.2
"48",1946-02-17,1946,2,17,-33.3,-28.9,-31.1
"49",1946-02-18,1946,2,18,-33.9,-27.8,-30.9
"50",1946-02-19,1946,2,19,-36.7,-30,-33.4
"51",1946-02-20,1946,2,20,-32.8,-18.3,-25.5
"52",1946-02-21,1946,2,21,-23.9,-16.7,-20.3
"53",1946-02-22,1946,2,22,-20,-8.9,-14.4
"54",1946-02-23,1946,2,23,-12.8,-0.6,-6.7
"55",1946-02-24,1946,2,24,-20,-6.1,-13.1
"56",1946-02-25,1946,2,25,-27.2,-20,-23.6
"57",1946-02-26,1946,2,26,-23.3,3.3,-10
"58",1946-02-27,1946,2,27,-22.2,0,-11.1
"59",1946-02-28,1946,2,28,-25,-19.4,-22.2
"60",1946-05-01,1946,5,1,-21.1,-10,-15.6
"61",1946-05-02,1946,5,2,-18.3,-11.7,-15
"62",1946-05-03,1946,5,3,-13.9,-5.6,-9.8
"63",1946-05-04,1946,5,4,-11.1,-3.9,-7.5
"64",1946-05-05,1946,5,5,-16.1,-2.2,-9.2
"65",1946-05-06,1946,5,6,-8.9,-1.7,-5.3
"66",1946-05-07,1946,5,7,-10,-1.1,-5.5
"67",1946-05-08,1946,5,8,-12.8,-2.8,-7.8
"68",1946-05-09,1946,5,9,-5.6,3.9,-0.9
"69",1946-05-10,1946,5,10,-5,5,0
"70",1946-05-11,1946,5,11,-0.6,1.7,0.6
"71",1946-05-12,1946,5,12,-1.1,1.7,0.3
"72",1946-05-13,1946,5,13,-1.1,2.8,0.8
"73",1946-05-14,1946,5,14,-1.7,3.3,0.8
"74",1946-05-15,1946,5,15,-1.7,2.2,0.3
"75",1946-05-16,1946,5,16,-2.2,1.7,-0.3
"76",1946-05-17,1946,5,17,-2.8,0,-1.4
"77",1946-05-18,1946,5,18,-3.9,2.2,-0.8
"78",1946-05-19,1946,5,19,-3.9,0.6,-1.6
"79",1946-05-20,1946,5,20,-3.3,0.6,-1.4
"80",1946-05-21,1946,5,21,-3.9,1.7,-1.1
"81",1946-05-22,1946,5,22,-3.9,2.8,-0.5
"82",1946-05-23,1946,5,23,-5.6,1.7,-2
"83",1946-05-24,1946,5,24,-4.4,1.1,-1.7
"84",1946-05-25,1946,5,25,-6.1,1.1,-2.5
"85",1946-05-26,1946,5,26,-3.9,0,-2
"86",1946-05-27,1946,5,27,-3.3,3.9,0.3
"87",1946-05-28,1946,5,28,-1.7,6.1,2.2
"88",1946-05-29,1946,5,29,1.1,8.3,4.7
"89",1946-05-30,1946,5,30,0,8.3,4.2
"90",1946-05-31,1946,5,31,-1.7,11.1,4.7
"91",1946-06-01,1946,6,1,-1.1,10,4.5
"92",1946-06-02,1946,6,2,-2.2,3.3,0.6
"93",1946-06-03,1946,6,3,0,3.3,1.7
"94",1946-06-04,1946,6,4,-3.9,0.6,-1.6
"95",1946-06-05,1946,6,5,-3.9,0,-2
"96",1946-06-06,1946,6,6,-2.2,0,-1.1
"97",1946-06-07,1946,6,7,-0.6,2.8,1.1
"98",1946-06-08,1946,6,8,-1.7,2.8,0.6
"99",1946-06-09,1946,6,9,-1.1,3.3,1.1
"100",1946-06-10,1946,6,10,-3.3,5,0.8
"101",1946-06-11,1946,6,11,-3.3,8.3,2.5
"102",1946-06-12,1946,6,12,1.7,4.4,3.1
"103",1946-06-13,1946,6,13,0.6,6.1,3.4
"104",1946-06-14,1946,6,14,1.1,9.4,5.2
"105",1946-06-15,1946,6,15,-0.6,3.3,1.4
"106",1946-06-16,1946,6,16,-1.1,4.4,1.7
"107",1946-06-17,1946,6,17,0,8.3,4.2
"108",1946-06-18,1946,6,18,1.7,7.8,4.8
"109",1946-06-19,1946,6,19,0.6,8.3,4.5
"110",1946-06-20,1946,6,20,-0.6,5.6,2.5
"111",1946-06-21,1946,6,21,0,6.7,3.4
"112",1946-06-22,1946,6,22,0,8.9,4.5
"113",1946-06-23,1946,6,23,1.7,7.2,4.5
"114",1946-06-24,1946,6,24,1.1,3.9,2.5
"115",1946-06-25,1946,6,25,-0.6,4.4,1.9
"116",1946-06-26,1946,6,26,0.6,6.7,3.6
"117",1946-06-27,1946,6,27,1.7,10,5.8
