"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1902-01-01,1902,1,1,-7.2,8.3,0.6
"2",1902-01-02,1902,1,2,-8.3,-3.9,-6.1
"3",1902-01-03,1902,1,3,-6.7,7.2,0.2
"4",1902-01-04,1902,1,4,2.2,10,6.1
"5",1902-01-05,1902,1,5,-1.7,7.8,3
"6",1902-01-06,1902,1,6,3.3,12.2,7.8
"7",1902-01-07,1902,1,7,-2.8,12.2,4.7
"8",1902-01-08,1902,1,8,1.7,14.4,8.1
"9",1902-01-09,1902,1,9,-5.6,10,2.2
"10",1902-01-10,1902,1,10,-9.4,2.8,-3.3
"11",1902-01-11,1902,1,11,0.6,11.1,5.8
"12",1902-01-12,1902,1,12,2.2,16.7,9.4
"13",1902-01-13,1902,1,13,1.7,14.4,8.1
"14",1902-01-14,1902,1,14,-2.2,11.7,4.8
"15",1902-01-15,1902,1,15,-1.1,13.3,6.1
"16",1902-01-16,1902,1,16,1.7,13.3,7.5
"17",1902-01-17,1902,1,17,-5,8.9,2
"18",1902-01-18,1902,1,18,-3.9,5.6,0.9
"19",1902-01-19,1902,1,19,-8.9,7.8,-0.6
"20",1902-01-20,1902,1,20,-11.1,0,-5.5
"21",1902-01-21,1902,1,21,-10,3.9,-3
"22",1902-01-22,1902,1,22,-15,1.7,-6.7
"23",1902-01-23,1902,1,23,-13.3,-0.6,-7
"24",1902-01-24,1902,1,24,-28.3,-12.2,-20.2
"25",1902-01-25,1902,1,25,-33.9,-26.7,-30.3
"26",1902-01-26,1902,1,26,-30,-13.9,-21.9
"27",1902-01-27,1902,1,27,-27.2,-16.7,-21.9
"28",1902-01-28,1902,1,28,-25,-11.1,-18.1
"29",1902-01-29,1902,1,29,-23.3,-9.4,-16.4
"30",1902-01-30,1902,1,30,-17.8,-6.1,-12
"31",1902-01-31,1902,1,31,-22.8,-11.7,-17.2
"32",1902-02-01,1902,2,1,-28.3,-13.9,-21.1
"33",1902-02-02,1902,2,2,-26.7,-8.3,-17.5
"34",1902-02-03,1902,2,3,-21.7,-12.8,-17.2
"35",1902-02-04,1902,2,4,-21.1,-10,-15.6
"36",1902-02-05,1902,2,5,-16.7,-6.7,-11.7
"37",1902-02-06,1902,2,6,-21.7,-12.2,-16.9
"38",1902-02-07,1902,2,7,-20.6,-9.4,-15
"39",1902-02-08,1902,2,8,-20.6,-14.4,-17.5
"40",1902-02-09,1902,2,9,-28.3,-15,-21.6
"41",1902-02-10,1902,2,10,-19.4,3.9,-7.8
"42",1902-02-11,1902,2,11,-9.4,4.4,-2.5
"43",1902-02-12,1902,2,12,-8.3,2.8,-2.8
"44",1902-02-13,1902,2,13,-10.6,-3.9,-7.2
"45",1902-02-14,1902,2,14,-21.1,-5.6,-13.4
"46",1902-02-15,1902,2,15,-15,-6.7,-10.8
"47",1902-02-16,1902,2,16,-13.3,-6.7,-10
"48",1902-02-17,1902,2,17,-12.2,2.8,-4.7
"49",1902-02-18,1902,2,18,-3.9,8.3,2.2
"50",1902-02-19,1902,2,19,-1.7,7.8,3
"51",1902-02-20,1902,2,20,1.7,6.7,4.2
"52",1902-02-21,1902,2,21,1.7,7.8,4.8
"53",1902-02-22,1902,2,22,-5.6,7.8,1.1
"54",1902-02-23,1902,2,23,-6.1,7.8,0.8
"55",1902-02-24,1902,2,24,-1.1,10,4.5
"56",1902-02-25,1902,2,25,-4.4,12.2,3.9
"57",1902-02-26,1902,2,26,-5,10,2.5
"58",1902-02-27,1902,2,27,-5,-1.7,-3.4
"59",1902-02-28,1902,2,28,-5.6,0.6,-2.5
"60",1902-03-01,1902,3,1,-8.9,-2.2,-5.6
"61",1902-03-02,1902,3,2,-7.2,9.4,1.1
"62",1902-03-03,1902,3,3,-6.1,7.2,0.5
"63",1902-03-04,1902,3,4,-7.2,0,-3.6
"64",1902-03-05,1902,3,5,-5.6,10,2.2
"65",1902-03-06,1902,3,6,-10.6,-5.6,-8.1
