"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1881-07-01,1881,7,1,NA,NA,NA
"2",1881-07-02,1881,7,2,NA,NA,NA
"3",1881-07-03,1881,7,3,NA,NA,NA
"4",1881-07-04,1881,7,4,NA,NA,NA
"5",1881-07-05,1881,7,5,NA,NA,NA
"6",1881-07-06,1881,7,6,NA,NA,NA
"7",1881-07-07,1881,7,7,NA,NA,NA
"8",1881-07-08,1881,7,8,NA,NA,NA
"9",1881-07-09,1881,7,9,NA,NA,NA
"10",1881-07-10,1881,7,10,NA,NA,NA
"11",1881-07-11,1881,7,11,NA,NA,NA
"12",1881-07-12,1881,7,12,NA,NA,NA
"13",1881-07-13,1881,7,13,NA,NA,NA
"14",1881-07-14,1881,7,14,NA,NA,NA
"15",1881-07-15,1881,7,15,NA,NA,NA
"16",1881-07-16,1881,7,16,NA,NA,NA
"17",1881-07-17,1881,7,17,NA,NA,NA
"18",1881-07-18,1881,7,18,NA,NA,NA
"19",1881-07-19,1881,7,19,NA,NA,NA
"20",1881-07-20,1881,7,20,NA,NA,NA
"21",1881-07-21,1881,7,21,NA,NA,NA
"22",1881-07-22,1881,7,22,16.1,32.8,24.4
"23",1881-07-23,1881,7,23,12.8,13.9,13.4
"24",1881-07-24,1881,7,24,11.1,12.8,11.9
"25",1881-07-25,1881,7,25,12.8,24.4,18.6
"26",1881-07-26,1881,7,26,15,20.6,17.8
"27",1881-07-27,1881,7,27,15.6,18.9,17.2
"28",1881-07-28,1881,7,28,15,17.2,16.1
"29",1881-07-29,1881,7,29,16.1,21.1,18.6
"30",1881-07-30,1881,7,30,16.7,25.6,21.1
"31",1881-07-31,1881,7,31,18.3,26.7,22.5
"32",1881-08-01,1881,8,1,17.8,28.9,23.4
"33",1881-08-02,1881,8,2,18.3,26.1,22.2
"34",1881-08-03,1881,8,3,17.2,23.9,20.6
"35",1881-08-04,1881,8,4,17.2,26.1,21.6
"36",1881-08-05,1881,8,5,19.4,29.4,24.4
"37",1881-08-06,1881,8,6,19.4,26.7,23.1
"38",1881-08-07,1881,8,7,18.9,23.9,21.4
"39",1881-08-08,1881,8,8,14.4,18.3,16.4
"40",1881-08-09,1881,8,9,13.3,19.4,16.4
"41",1881-08-10,1881,8,10,15.6,19.4,17.5
"42",1881-08-11,1881,8,11,15,21.7,18.4
"43",1881-08-12,1881,8,12,15,22.8,18.9
"44",1881-08-13,1881,8,13,15.6,20,17.8
"45",1881-08-14,1881,8,14,16.7,21.7,19.2
"46",1881-08-15,1881,8,15,13.3,16.7,15
"47",1881-08-16,1881,8,16,10.6,14.4,12.5
"48",1881-08-17,1881,8,17,12.2,16.7,14.4
"49",1881-08-18,1881,8,18,14.4,17.8,16.1
"50",1881-08-19,1881,8,19,20.6,24.4,22.5
"51",1881-08-20,1881,8,20,18.9,23.9,21.4
"52",1881-08-21,1881,8,21,17.2,20.6,18.9
"53",1881-08-22,1881,8,22,18.9,23.3,21.1
"54",1881-08-23,1881,8,23,16.7,18.9,17.8
"55",1881-08-24,1881,8,24,11.7,17.2,14.4
"56",1881-08-25,1881,8,25,12.8,18.3,15.6
"57",1881-08-26,1881,8,26,12.2,22.8,17.5
"58",1881-08-27,1881,8,27,13.3,22.8,18.1
"59",1881-08-28,1881,8,28,15,21.1,18.1
"60",1881-08-29,1881,8,29,11.1,19.4,15.2
"61",1881-08-30,1881,8,30,13.9,18.3,16.1
"62",1881-08-31,1881,8,31,16.1,25,20.6
"63",1881-09-01,1881,9,1,15,21.1,18.1
"64",1881-09-02,1881,9,2,9.4,19.4,14.4
"65",1881-09-03,1881,9,3,11.1,21.1,16.1
"66",1881-09-04,1881,9,4,12.8,17.2,15
"67",1881-09-05,1881,9,5,12.8,17.2,15
"68",1881-09-06,1881,9,6,13.9,17.2,15.6
"69",1881-09-07,1881,9,7,19.4,24.4,21.9
"70",1881-09-08,1881,9,8,10,21.1,15.6
"71",1881-09-09,1881,9,9,3.9,13.9,8.9
"72",1881-09-10,1881,9,10,7.2,17.8,12.5
"73",1881-09-11,1881,9,11,9.4,17.2,13.3
"74",1881-09-12,1881,9,12,14.4,18.9,16.7
"75",1881-09-13,1881,9,13,12.2,20.6,16.4
"76",1881-09-14,1881,9,14,9.4,17.2,13.3
"77",1881-09-15,1881,9,15,10,18.3,14.2
"78",1881-09-16,1881,9,16,11.7,18.3,15
"79",1881-09-17,1881,9,17,9.4,20,14.7
"80",1881-09-18,1881,9,18,13.9,20.6,17.2
"81",1881-09-19,1881,9,19,12.2,16.7,14.4
"82",1881-09-20,1881,9,20,12.2,18.3,15.2
"83",1881-09-21,1881,9,21,3.3,12.2,7.8
"84",1881-09-22,1881,9,22,3.3,12.2,7.8
"85",1881-09-23,1881,9,23,12.8,18.3,15.6
"86",1881-09-24,1881,9,24,9.4,16.1,12.8
"87",1881-09-25,1881,9,25,11.7,16.7,14.2
"88",1881-09-26,1881,9,26,13.3,23.3,18.3
"89",1881-09-27,1881,9,27,10.6,15,12.8
"90",1881-09-28,1881,9,28,17.2,22.8,20
"91",1881-09-29,1881,9,29,4.4,15.6,10
"92",1881-09-30,1881,9,30,10,15.6,12.8
"93",1881-10-01,1881,10,1,15.6,23.9,19.8
"94",1881-10-02,1881,10,2,8.3,17.2,12.8
"95",1881-10-03,1881,10,3,8.3,14.4,11.4
"96",1881-10-04,1881,10,4,6.1,11.1,8.6
"97",1881-10-05,1881,10,5,-1.7,4.4,1.4
"98",1881-10-06,1881,10,6,1.1,5.6,3.4
"99",1881-10-07,1881,10,7,5.6,16.1,10.9
"100",1881-10-08,1881,10,8,7.2,15,11.1
"101",1881-10-09,1881,10,9,8.3,17.8,13.1
"102",1881-10-10,1881,10,10,4.4,8.3,6.4
"103",1881-10-11,1881,10,11,-1.7,4.4,1.4
"104",1881-10-12,1881,10,12,-0.6,7.2,3.3
"105",1881-10-13,1881,10,13,10,13.9,11.9
"106",1881-10-14,1881,10,14,1.7,8.9,5.3
"107",1881-10-15,1881,10,15,-1.7,5,1.6
"108",1881-10-16,1881,10,16,8.9,13.9,11.4
"109",1881-10-17,1881,10,17,0,6.7,3.4
"110",1881-10-18,1881,10,18,1.1,2.2,1.7
"111",1881-10-19,1881,10,19,1.7,5,3.4
"112",1881-10-20,1881,10,20,-0.6,7.2,3.3
"113",1881-10-21,1881,10,21,-1.7,8.3,3.3
"114",1881-10-22,1881,10,22,2.2,10.6,6.4
"115",1881-10-23,1881,10,23,6.1,11.7,8.9
"116",1881-10-24,1881,10,24,-1.1,6.7,2.8
"117",1881-10-25,1881,10,25,3.9,7.8,5.8
"118",1881-10-26,1881,10,26,-0.6,3.3,1.4
