"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1928-08-01,1928,8,1,13.3,27.2,20.2
"2",1928-08-02,1928,8,2,11.7,25,18.4
"3",1928-08-03,1928,8,3,16.1,24.4,20.2
"4",1928-08-04,1928,8,4,16.7,26.1,21.4
"5",1928-08-05,1928,8,5,NA,NA,NA
"6",1928-08-06,1928,8,6,12.2,24.4,18.3
"7",1928-08-07,1928,8,7,12.2,20,16.1
"8",1928-08-08,1928,8,8,16.7,27.2,21.9
"9",1928-08-09,1928,8,9,16.7,27.8,22.2
"10",1928-08-10,1928,8,10,11.7,29.4,20.6
"11",1928-08-11,1928,8,11,13.9,27.2,20.6
"12",1928-08-12,1928,8,12,NA,NA,NA
"13",1928-08-13,1928,8,13,12.8,31.1,22
"14",1928-08-14,1928,8,14,15,32.2,23.6
"15",1928-08-15,1928,8,15,16.1,31.1,23.6
"16",1928-08-16,1928,8,16,16.1,32.2,24.2
"17",1928-08-17,1928,8,17,20,32.2,26.1
"18",1928-08-18,1928,8,18,19.4,27.2,23.3
"19",1928-08-19,1928,8,19,NA,NA,NA
"20",1928-08-20,1928,8,20,14.4,26.7,20.6
"21",1928-08-21,1928,8,21,12.2,27.2,19.7
"22",1928-08-22,1928,8,22,16.1,23.9,20
"23",1928-08-23,1928,8,23,11.7,27.8,19.8
"24",1928-08-24,1928,8,24,14.4,26.7,20.6
"25",1928-08-25,1928,8,25,17.8,25.6,21.7
"26",1928-08-26,1928,8,26,12.2,27.8,20
"27",1928-08-27,1928,8,27,11.1,33.3,22.2
"28",1928-08-28,1928,8,28,15.6,31.1,23.4
"29",1928-08-29,1928,8,29,17.2,27.2,22.2
"30",1928-08-30,1928,8,30,16.7,27.8,22.2
"31",1928-08-31,1928,8,31,11.1,20.6,15.9
"32",1928-09-01,1928,9,1,3.9,20.6,12.2
"33",1928-09-02,1928,9,2,9.4,23.9,16.7
"34",1928-09-03,1928,9,3,13.3,17.8,15.6
"35",1928-09-04,1928,9,4,12.2,20,16.1
"36",1928-09-05,1928,9,5,10.6,20.6,15.6
"37",1928-09-06,1928,9,6,6.1,24.4,15.3
"38",1928-09-07,1928,9,7,6.1,26.1,16.1
"39",1928-09-08,1928,9,8,6.7,24.4,15.6
"40",1928-09-09,1928,9,9,12.2,18.9,15.6
"41",1928-09-10,1928,9,10,0.6,19.4,10
"42",1928-09-11,1928,9,11,6.7,13.3,10
"43",1928-09-12,1928,9,12,6.7,12.8,9.8
"44",1928-09-13,1928,9,13,9.4,26.1,17.8
"45",1928-09-14,1928,9,14,11.1,15,13.1
"46",1928-09-15,1928,9,15,11.7,21.7,16.7
"47",1928-09-16,1928,9,16,14.4,22.2,18.3
"48",1928-09-17,1928,9,17,11.7,21.1,16.4
"49",1928-09-18,1928,9,18,11.7,16.7,14.2
"50",1928-09-19,1928,9,19,1.7,19.4,10.6
"51",1928-09-20,1928,9,20,6.1,25,15.6
"52",1928-09-21,1928,9,21,10.6,18.3,14.4
"53",1928-09-22,1928,9,22,10.6,16.7,13.6
"54",1928-09-23,1928,9,23,7.2,12.2,9.7
"55",1928-09-24,1928,9,24,-0.6,13.9,6.7
"56",1928-09-25,1928,9,25,1.1,11.7,6.4
"57",1928-09-26,1928,9,26,4.4,11.7,8.1
"58",1928-09-27,1928,9,27,2.2,12.2,7.2
"59",1928-09-28,1928,9,28,3.9,11.7,7.8
"60",1928-09-29,1928,9,29,0.6,11.1,5.8
"61",1928-09-30,1928,9,30,-2.2,16.7,7.2
"62",1928-10-01,1928,10,1,-1.7,19.4,8.9
"63",1928-10-02,1928,10,2,1.7,15,8.3
"64",1928-10-03,1928,10,3,9.4,20,14.7
"65",1928-10-04,1928,10,4,8.3,25,16.6
"66",1928-10-05,1928,10,5,6.7,22.2,14.4
"67",1928-10-06,1928,10,6,8.9,16.7,12.8
"68",1928-10-07,1928,10,7,9.4,12.2,10.8
"69",1928-10-08,1928,10,8,-1.7,15,6.7
"70",1928-10-09,1928,10,9,2.8,19.4,11.1
"71",1928-10-10,1928,10,10,5,12.2,8.6
"72",1928-10-11,1928,10,11,3.3,10,6.7
"73",1928-10-12,1928,10,12,5,23.9,14.5
"74",1928-10-13,1928,10,13,4.4,10,7.2
"75",1928-10-14,1928,10,14,-2.2,10,3.9
"76",1928-10-15,1928,10,15,0,12.2,6.1
"77",1928-10-16,1928,10,16,5.6,13.9,9.8
"78",1928-10-17,1928,10,17,10.6,20,15.3
"79",1928-10-18,1928,10,18,4.4,7.2,5.8
"80",1928-10-19,1928,10,19,3.9,17.2,10.5
"81",1928-10-20,1928,10,20,NA,NA,NA
"82",1928-10-21,1928,10,21,3.3,11.7,7.5
"83",1928-10-22,1928,10,22,3.3,16.1,9.7
"84",1928-10-23,1928,10,23,10.6,17.2,13.9
"85",1928-10-24,1928,10,24,5,7.8,6.4
"86",1928-10-25,1928,10,25,1.7,6.1,3.9
"87",1928-10-26,1928,10,26,-0.6,3.3,1.4
"88",1928-10-27,1928,10,27,-3.3,5.6,1.2
"89",1928-10-28,1928,10,28,-1.7,8.3,3.3
"90",1928-10-29,1928,10,29,-2.8,0,-1.4
"91",1928-10-30,1928,10,30,-7.2,1.7,-2.8
"92",1928-10-31,1928,10,31,-3.9,6.7,1.4
"93",1928-11-01,1928,11,1,1.1,7.2,4.2
"94",1928-11-02,1928,11,2,0,6.7,3.4
"95",1928-11-03,1928,11,3,-2.2,4.4,1.1
"96",1928-11-04,1928,11,4,0,10.6,5.3
"97",1928-11-05,1928,11,5,-4.4,2.2,-1.1
"98",1928-11-06,1928,11,6,-3.3,10.6,3.6
"99",1928-11-07,1928,11,7,0.6,6.1,3.4
"100",1928-11-08,1928,11,8,-4.4,4.4,0
"101",1928-11-09,1928,11,9,-1.7,5,1.6
"102",1928-11-10,1928,11,10,-4.4,7.8,1.7
"103",1928-11-11,1928,11,11,-4.4,7.2,1.4
"104",1928-11-12,1928,11,12,-5.6,4.4,-0.6
"105",1928-11-13,1928,11,13,-5.6,7.8,1.1
"106",1928-11-14,1928,11,14,0,12.8,6.4
"107",1928-11-15,1928,11,15,0.6,16.7,8.7
"108",1928-11-16,1928,11,16,8.3,11.7,10
"109",1928-11-17,1928,11,17,3.9,6.1,5
"110",1928-11-18,1928,11,18,3.3,7.2,5.2
"111",1928-11-19,1928,11,19,2.8,6.1,4.5
"112",1928-11-20,1928,11,20,-2.2,-1.1,-1.7
"113",1928-11-21,1928,11,21,-5,1.1,-2
"114",1928-11-22,1928,11,22,-3.3,0.6,-1.4
"115",1928-11-23,1928,11,23,-2.2,1.1,-0.6
"116",1928-11-24,1928,11,24,-2.8,4.4,0.8
"117",1928-11-25,1928,11,25,-3.9,-2.2,-3
"118",1928-11-26,1928,11,26,-8.9,-4.4,-6.7
"119",1928-11-27,1928,11,27,-8.3,-0.6,-4.5
