"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1872-03-01,1872,3,1,NA,NA,NA
"2",1872-03-02,1872,3,2,NA,NA,NA
"3",1872-03-03,1872,3,3,NA,NA,NA
"4",1872-03-04,1872,3,4,NA,NA,NA
"5",1872-03-05,1872,3,5,NA,NA,NA
"6",1872-03-06,1872,3,6,NA,NA,NA
"7",1872-03-07,1872,3,7,NA,NA,NA
"8",1872-03-08,1872,3,8,NA,NA,NA
"9",1872-03-09,1872,3,9,NA,NA,NA
"10",1872-03-10,1872,3,10,NA,NA,NA
"11",1872-03-11,1872,3,11,NA,NA,NA
"12",1872-03-12,1872,3,12,NA,NA,NA
"13",1872-03-13,1872,3,13,NA,-1.1,NA
"14",1872-03-14,1872,3,14,NA,3.3,NA
"15",1872-03-15,1872,3,15,NA,-8.3,NA
"16",1872-03-16,1872,3,16,NA,-0.6,NA
"17",1872-03-17,1872,3,17,NA,NA,NA
"18",1872-03-18,1872,3,18,NA,-5.6,NA
"19",1872-03-19,1872,3,19,NA,-0.6,NA
"20",1872-03-20,1872,3,20,NA,-12.8,NA
"21",1872-03-21,1872,3,21,NA,-7.8,NA
"22",1872-03-22,1872,3,22,NA,-1.7,NA
"23",1872-03-23,1872,3,23,NA,0.6,NA
"24",1872-03-24,1872,3,24,NA,-1.7,NA
"25",1872-03-25,1872,3,25,NA,4.4,NA
"26",1872-03-26,1872,3,26,NA,2.8,NA
"27",1872-03-27,1872,3,27,NA,5,NA
"28",1872-03-28,1872,3,28,-11.7,2.8,-4.5
"29",1872-03-29,1872,3,29,-5.6,3.9,-0.9
"30",1872-03-30,1872,3,30,-7.2,2.8,-2.2
"31",1872-03-31,1872,3,31,-6.7,-2.8,-4.8
"32",1872-04-01,1872,4,1,-5,-0.6,-2.8
"33",1872-04-02,1872,4,2,-8.9,5,-2
"34",1872-04-03,1872,4,3,-8.3,5,-1.7
"35",1872-04-04,1872,4,4,-3.3,7.8,2.2
"36",1872-04-05,1872,4,5,-5,8.9,2
"37",1872-04-06,1872,4,6,0.6,10,5.3
"38",1872-04-07,1872,4,7,-1.7,10.6,4.5
"39",1872-04-08,1872,4,8,2.2,9.4,5.8
"40",1872-04-09,1872,4,9,3.3,8.3,5.8
"41",1872-04-10,1872,4,10,1.7,8.3,5
"42",1872-04-11,1872,4,11,0,6.1,3.1
"43",1872-04-12,1872,4,12,-3.9,7.2,1.7
"44",1872-04-13,1872,4,13,0,11.1,5.5
"45",1872-04-14,1872,4,14,-1.1,3.9,1.4
"46",1872-04-15,1872,4,15,-5,2.8,-1.1
"47",1872-04-16,1872,4,16,-5,7.8,1.4
"48",1872-04-17,1872,4,17,-3.3,12.2,4.5
"49",1872-04-18,1872,4,18,-3.3,13.3,5
"50",1872-04-19,1872,4,19,-1.7,17.2,7.8
"51",1872-04-20,1872,4,20,0,15,7.5
"52",1872-04-21,1872,4,21,2.2,21.7,11.9
"53",1872-04-22,1872,4,22,-2.2,0.6,-0.8
"54",1872-04-23,1872,4,23,-5,7.8,1.4
"55",1872-04-24,1872,4,24,-5,13.9,4.5
"56",1872-04-25,1872,4,25,1.1,17.2,9.2
"57",1872-04-26,1872,4,26,4.4,23.3,13.9
"58",1872-04-27,1872,4,27,3.3,13.9,8.6
"59",1872-04-28,1872,4,28,0.6,12.2,6.4
"60",1872-04-29,1872,4,29,-0.6,17.2,8.3
"61",1872-04-30,1872,4,30,4.4,22.2,13.3
"62",1872-05-01,1872,5,1,11.1,19.4,15.2
"63",1872-05-02,1872,5,2,7.8,15.6,11.7
"64",1872-05-03,1872,5,3,1.1,13.3,7.2
"65",1872-05-04,1872,5,4,3.3,12.2,7.8
"66",1872-05-05,1872,5,5,0,12.8,6.4
"67",1872-05-06,1872,5,6,0.6,20,10.3
"68",1872-05-07,1872,5,7,2.8,26.7,14.8
"69",1872-05-08,1872,5,8,4.4,18.3,11.4
"70",1872-05-09,1872,5,9,10,24.4,17.2
"71",1872-05-10,1872,5,10,5.6,18.3,12
"72",1872-05-11,1872,5,11,9.4,23.3,16.4
"73",1872-05-12,1872,5,12,10.6,16.7,13.6
"74",1872-05-13,1872,5,13,5,16.1,10.6
"75",1872-05-14,1872,5,14,3.9,17.8,10.8
"76",1872-05-15,1872,5,15,5,18.3,11.7
"77",1872-05-16,1872,5,16,3.9,17.8,10.8
"78",1872-05-17,1872,5,17,6.7,21.7,14.2
"79",1872-05-18,1872,5,18,7.2,24.4,15.8
"80",1872-05-19,1872,5,19,9.4,16.7,13.1
"81",1872-05-20,1872,5,20,11.1,21.7,16.4
"82",1872-05-21,1872,5,21,12.2,20.6,16.4
"83",1872-05-22,1872,5,22,8.3,23.3,15.8
"84",1872-05-23,1872,5,23,12.2,18.3,15.2
"85",1872-05-24,1872,5,24,7.8,18.9,13.4
"86",1872-05-25,1872,5,25,10,16.7,13.3
"87",1872-05-26,1872,5,26,8.9,22.2,15.6
"88",1872-05-27,1872,5,27,9.4,16.7,13.1
"89",1872-05-28,1872,5,28,8.3,13.3,10.8
"90",1872-05-29,1872,5,29,7.2,15,11.1
"91",1872-05-30,1872,5,30,6.7,16.1,11.4
"92",1872-05-31,1872,5,31,11.1,22.2,16.6
"93",1872-06-01,1872,6,1,7.8,17.2,12.5
"94",1872-06-02,1872,6,2,5,20,12.5
"95",1872-06-03,1872,6,3,7.2,22.2,14.7
"96",1872-06-04,1872,6,4,9.4,14.4,11.9
"97",1872-06-05,1872,6,5,7.8,25.6,16.7
"98",1872-06-06,1872,6,6,12.8,28.3,20.6
"99",1872-06-07,1872,6,7,12.8,24.4,18.6
"100",1872-06-08,1872,6,8,13.9,17.2,15.6
"101",1872-06-09,1872,6,9,15,23.9,19.5
"102",1872-06-10,1872,6,10,15,23.3,19.1
"103",1872-06-11,1872,6,11,13.3,28.9,21.1
"104",1872-06-12,1872,6,12,17.2,26.7,21.9
"105",1872-06-13,1872,6,13,10,21.7,15.8
"106",1872-06-14,1872,6,14,12.8,23.3,18.1
"107",1872-06-15,1872,6,15,13.3,23.9,18.6
"108",1872-06-16,1872,6,16,11.7,24.4,18.1
"109",1872-06-17,1872,6,17,13.3,26.7,20
"110",1872-06-18,1872,6,18,11.7,27.8,19.8
"111",1872-06-19,1872,6,19,15.6,28.9,22.2
"112",1872-06-20,1872,6,20,18.3,33.9,26.1
"113",1872-06-21,1872,6,21,22.2,33.3,27.8
"114",1872-06-22,1872,6,22,16.7,27.8,22.2
"115",1872-06-23,1872,6,23,14.4,28.3,21.4
"116",1872-06-24,1872,6,24,16.7,28.3,22.5
"117",1872-06-25,1872,6,25,13.9,27.2,20.6
"118",1872-06-26,1872,6,26,16.1,28.3,22.2
"119",1872-06-27,1872,6,27,16.1,29.4,22.8
"120",1872-06-28,1872,6,28,17.2,32.2,24.7
"121",1872-06-29,1872,6,29,20,32.2,26.1
"122",1872-06-30,1872,6,30,19.4,33.3,26.4
"123",1872-07-01,1872,7,1,20,34.4,27.2
"124",1872-07-02,1872,7,2,20,30,25
"125",1872-07-03,1872,7,3,20,32.8,26.4
"126",1872-07-04,1872,7,4,22.2,30.6,26.4
"127",1872-07-05,1872,7,5,18.3,27.2,22.8
"128",1872-07-06,1872,7,6,15.6,28.3,21.9
"129",1872-07-07,1872,7,7,15,29.4,22.2
"130",1872-07-08,1872,7,8,17.2,31.1,24.1
"131",1872-07-09,1872,7,9,16.1,32.8,24.4
"132",1872-07-10,1872,7,10,21.1,27.8,24.5
"133",1872-07-11,1872,7,11,18.3,28.3,23.3
"134",1872-07-12,1872,7,12,15.6,30.6,23.1
"135",1872-07-13,1872,7,13,13.9,25,19.4
"136",1872-07-14,1872,7,14,11.1,29.4,20.2
"137",1872-07-15,1872,7,15,17.8,34.4,26.1
"138",1872-07-16,1872,7,16,18.9,34.4,26.6
"139",1872-07-17,1872,7,17,22.2,32.8,27.5
"140",1872-07-18,1872,7,18,21.7,28.9,25.3
"141",1872-07-19,1872,7,19,15.6,26.7,21.1
"142",1872-07-20,1872,7,20,13.9,26.7,20.3
"143",1872-07-21,1872,7,21,17.2,22.8,20
"144",1872-07-22,1872,7,22,16.1,23.9,20
"145",1872-07-23,1872,7,23,12.2,24.4,18.3
"146",1872-07-24,1872,7,24,13.9,25.6,19.8
"147",1872-07-25,1872,7,25,12.8,27.8,20.3
"148",1872-07-26,1872,7,26,15,20,17.5
"149",1872-07-27,1872,7,27,12.8,25,18.9
"150",1872-07-28,1872,7,28,NA,NA,NA
"151",1872-07-29,1872,7,29,12.2,26.7,19.4
"152",1872-07-30,1872,7,30,12.8,23.3,18.1
"153",1872-07-31,1872,7,31,12.8,23.3,18.1
"154",1872-08-01,1872,8,1,11.7,26.1,18.9
"155",1872-08-02,1872,8,2,12.8,22.8,17.8
"156",1872-08-03,1872,8,3,14.4,23.3,18.9
"157",1872-08-04,1872,8,4,10,27.2,18.6
"158",1872-08-05,1872,8,5,12.8,28.3,20.6
"159",1872-08-06,1872,8,6,16.7,30,23.4
"160",1872-08-07,1872,8,7,16.1,31.7,23.9
"161",1872-08-08,1872,8,8,20,33.9,26.9
"162",1872-08-09,1872,8,9,18.9,33.9,26.4
"163",1872-08-10,1872,8,10,21.1,31.7,26.4
"164",1872-08-11,1872,8,11,16.7,24.4,20.6
"165",1872-08-12,1872,8,12,16.1,29.4,22.8
"166",1872-08-13,1872,8,13,19.4,28.9,24.2
"167",1872-08-14,1872,8,14,19.4,28.3,23.9
"168",1872-08-15,1872,8,15,20.6,26.1,23.4
"169",1872-08-16,1872,8,16,14.4,26.7,20.6
"170",1872-08-17,1872,8,17,17.8,30,23.9
"171",1872-08-18,1872,8,18,18.3,25,21.6
"172",1872-08-19,1872,8,19,17.2,27.8,22.5
"173",1872-08-20,1872,8,20,15.6,30.6,23.1
"174",1872-08-21,1872,8,21,18.3,31.1,24.7
"175",1872-08-22,1872,8,22,21.1,32.2,26.7
"176",1872-08-23,1872,8,23,17.2,28.3,22.8
"177",1872-08-24,1872,8,24,13.9,31.1,22.5
"178",1872-08-25,1872,8,25,16.1,31.1,23.6
"179",1872-08-26,1872,8,26,17.8,28.9,23.4
"180",1872-08-27,1872,8,27,17.8,24.4,21.1
"181",1872-08-28,1872,8,28,14.4,23.9,19.2
"182",1872-08-29,1872,8,29,8.3,26.1,17.2
"183",1872-08-30,1872,8,30,9.4,18.9,14.2
"184",1872-08-31,1872,8,31,9.4,17.8,13.6
"185",1872-09-01,1872,9,1,10,22.2,16.1
"186",1872-09-02,1872,9,2,9.4,22.2,15.8
"187",1872-09-03,1872,9,3,5.6,15,10.3
"188",1872-09-04,1872,9,4,5,20.6,12.8
"189",1872-09-05,1872,9,5,11.1,18.3,14.7
"190",1872-09-06,1872,9,6,14.4,27.2,20.8
"191",1872-09-07,1872,9,7,18.3,33.3,25.8
"192",1872-09-08,1872,9,8,17.2,27.8,22.5
"193",1872-09-09,1872,9,9,14.4,21.7,18.1
"194",1872-09-10,1872,9,10,11.1,21.1,16.1
"195",1872-09-11,1872,9,11,17.2,28.3,22.8
"196",1872-09-12,1872,9,12,17.2,25.6,21.4
"197",1872-09-13,1872,9,13,13.3,24.4,18.9
"198",1872-09-14,1872,9,14,10,18.9,14.5
"199",1872-09-15,1872,9,15,6.7,21.7,14.2
"200",1872-09-16,1872,9,16,6.7,21.1,13.9
"201",1872-09-17,1872,9,17,10,20,15
"202",1872-09-18,1872,9,18,9.4,21.7,15.6
"203",1872-09-19,1872,9,19,12.2,16.1,14.2
"204",1872-09-20,1872,9,20,9.4,12.8,11.1
"205",1872-09-21,1872,9,21,5,21.1,13.1
"206",1872-09-22,1872,9,22,8.3,22.2,15.2
"207",1872-09-23,1872,9,23,12.8,17.8,15.3
"208",1872-09-24,1872,9,24,12.2,24.4,18.3
"209",1872-09-25,1872,9,25,15,25,20
"210",1872-09-26,1872,9,26,8.3,20.6,14.5
"211",1872-09-27,1872,9,27,8.3,15.6,11.9
"212",1872-09-28,1872,9,28,5,16.7,10.8
"213",1872-09-29,1872,9,29,NA,NA,NA
"214",1872-09-30,1872,9,30,7.8,17.2,12.5
"215",1872-10-01,1872,10,1,7.8,14.4,11.1
"216",1872-10-02,1872,10,2,5,11.1,8.1
"217",1872-10-03,1872,10,3,5,12.8,8.9
"218",1872-10-04,1872,10,4,3.3,11.7,7.5
"219",1872-10-05,1872,10,5,0,16.7,8.3
"220",1872-10-06,1872,10,6,10,23.9,17
"221",1872-10-07,1872,10,7,9.4,13.9,11.7
"222",1872-10-08,1872,10,8,6.7,13.3,10
"223",1872-10-09,1872,10,9,0,18.3,9.2
"224",1872-10-10,1872,10,10,6.1,15,10.6
"225",1872-10-11,1872,10,11,0,6.7,3.4
"226",1872-10-12,1872,10,12,-3.3,10,3.3
"227",1872-10-13,1872,10,13,3.3,7.8,5.5
"228",1872-10-14,1872,10,14,2.2,7.2,4.7
"229",1872-10-15,1872,10,15,1.7,7.2,4.5
"230",1872-10-16,1872,10,16,1.7,7.8,4.8
"231",1872-10-17,1872,10,17,-3.3,9.4,3
"232",1872-10-18,1872,10,18,3.3,11.7,7.5
"233",1872-10-19,1872,10,19,1.1,3.9,2.5
"234",1872-10-20,1872,10,20,NA,NA,NA
"235",1872-10-21,1872,10,21,-1.7,18.3,8.3
"236",1872-10-22,1872,10,22,6.7,20.6,13.7
"237",1872-10-23,1872,10,23,1.7,12.2,7
"238",1872-10-24,1872,10,24,-2.2,13.3,5.6
"239",1872-10-25,1872,10,25,-1.1,12.2,5.6
"240",1872-10-26,1872,10,26,7.2,11.1,9.2
"241",1872-10-27,1872,10,27,NA,NA,NA
"242",1872-10-28,1872,10,28,0,12.8,6.4
"243",1872-10-29,1872,10,29,-1.7,10.6,4.5
"244",1872-10-30,1872,10,30,-2.8,12.8,5
"245",1872-10-31,1872,10,31,1.1,8.3,4.7
"246",1872-11-01,1872,11,1,4.4,7.8,6.1
"247",1872-11-02,1872,11,2,5.6,10,7.8
"248",1872-11-03,1872,11,3,NA,NA,NA
"249",1872-11-04,1872,11,4,1.7,10,5.8
"250",1872-11-05,1872,11,5,-3.3,8.3,2.5
"251",1872-11-06,1872,11,6,3.3,10,6.7
"252",1872-11-07,1872,11,7,0.6,8.3,4.5
"253",1872-11-08,1872,11,8,0.6,5.6,3.1
"254",1872-11-09,1872,11,9,2.2,5.6,3.9
"255",1872-11-10,1872,11,10,NA,NA,NA
"256",1872-11-11,1872,11,11,-2.2,6.7,2.2
"257",1872-11-12,1872,11,12,2.8,7.2,5
"258",1872-11-13,1872,11,13,-1.7,6.1,2.2
"259",1872-11-14,1872,11,14,0,3.3,1.7
"260",1872-11-15,1872,11,15,-4.4,2.8,-0.8
"261",1872-11-16,1872,11,16,-6.7,1.1,-2.8
"262",1872-11-17,1872,11,17,NA,NA,NA
"263",1872-11-18,1872,11,18,-10,0.6,-4.7
"264",1872-11-19,1872,11,19,-8.3,1.1,-3.6
"265",1872-11-20,1872,11,20,-13.3,-2.8,-8.1
"266",1872-11-21,1872,11,21,-13.9,1.1,-6.4
"267",1872-11-22,1872,11,22,-3.3,1.7,-0.8
"268",1872-11-23,1872,11,23,-3.3,2.8,-0.2
"269",1872-11-24,1872,11,24,NA,NA,NA
"270",1872-11-25,1872,11,25,0,9.4,4.7
"271",1872-11-26,1872,11,26,-3.9,1.1,-1.4
"272",1872-11-27,1872,11,27,-8.3,-2.2,-5.2
"273",1872-11-28,1872,11,28,-10,-3.3,-6.7
"274",1872-11-29,1872,11,29,-8.9,-5,-7
"275",1872-11-30,1872,11,30,-12.8,-8.3,-10.6
"276",1872-12-01,1872,12,1,NA,NA,NA
"277",1872-12-02,1872,12,2,-11.1,-1.7,-6.4
"278",1872-12-03,1872,12,3,-3.3,1.1,-1.1
"279",1872-12-04,1872,12,4,-8.9,-1.7,-5.3
"280",1872-12-05,1872,12,5,-8.9,-5,-7
"281",1872-12-06,1872,12,6,-16.1,-4.4,-10.2
"282",1872-12-07,1872,12,7,-18.9,-8.3,-13.6
"283",1872-12-08,1872,12,8,NA,NA,NA
"284",1872-12-09,1872,12,9,-16.1,3.3,-6.4
"285",1872-12-10,1872,12,10,-16.1,-12.2,-14.2
"286",1872-12-11,1872,12,11,-19.4,-13.3,-16.4
"287",1872-12-12,1872,12,12,-17.2,-11.7,-14.4
"288",1872-12-13,1872,12,13,-13.9,-3.3,-8.6
"289",1872-12-14,1872,12,14,-10,-2.2,-6.1
"290",1872-12-15,1872,12,15,NA,NA,NA
"291",1872-12-16,1872,12,16,-17.8,2.8,-7.5
"292",1872-12-17,1872,12,17,-12.2,-3.9,-8.1
"293",1872-12-18,1872,12,18,-12.8,-7.2,-10
"294",1872-12-19,1872,12,19,-13.9,-6.7,-10.3
"295",1872-12-20,1872,12,20,-10.6,-5.6,-8.1
"296",1872-12-21,1872,12,21,-15.6,-5.6,-10.6
"297",1872-12-22,1872,12,22,NA,NA,NA
"298",1872-12-23,1872,12,23,-21.1,-7.8,-14.5
"299",1872-12-24,1872,12,24,-30.6,-17.2,-23.9
"300",1872-12-25,1872,12,25,-33.9,-22.2,-28
"301",1872-12-26,1872,12,26,-24.4,-19.4,-21.9
"302",1872-12-27,1872,12,27,-22.2,-18.3,-20.2
"303",1872-12-28,1872,12,28,-25,-17.2,-21.1
"304",1872-12-29,1872,12,29,-29.4,-16.7,-23.1
"305",1872-12-30,1872,12,30,-26.1,-15,-20.6
"306",1872-12-31,1872,12,31,-23.3,-12.2,-17.8
"307",1873-01-01,1873,1,1,-20.6,-5.6,-13.1
"308",1873-01-02,1873,1,2,-12.2,-5,-8.6
"309",1873-01-03,1873,1,3,-6.7,6.1,-0.3
"310",1873-01-04,1873,1,4,-4.4,3.9,-0.3
"311",1873-01-05,1873,1,5,NA,NA,NA
"312",1873-01-06,1873,1,6,-23.3,-3.3,-13.3
"313",1873-01-07,1873,1,7,-28.3,-13.3,-20.8
