"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1912-08-01,1912,8,1,10.6,28.3,19.4
"2",1912-08-02,1912,8,2,3.3,28.3,15.8
"3",1912-08-03,1912,8,3,4.4,27.2,15.8
"4",1912-08-04,1912,8,4,4.4,22.2,13.3
"5",1912-08-05,1912,8,5,1.7,22.2,11.9
"6",1912-08-06,1912,8,6,6.1,17.2,11.7
"7",1912-08-07,1912,8,7,6.1,27.2,16.6
"8",1912-08-08,1912,8,8,5.6,30,17.8
"9",1912-08-09,1912,8,9,12.8,21.1,17
"10",1912-08-10,1912,8,10,11.1,21.1,16.1
"11",1912-08-11,1912,8,11,9.4,20,14.7
"12",1912-08-12,1912,8,12,6.7,19.4,13.1
"13",1912-08-13,1912,8,13,2.8,23.9,13.4
"14",1912-08-14,1912,8,14,2.8,27.8,15.3
"15",1912-08-15,1912,8,15,6.1,29.4,17.8
"16",1912-08-16,1912,8,16,11.1,12.8,11.9
"17",1912-08-17,1912,8,17,8.9,25.6,17.2
"18",1912-08-18,1912,8,18,8.9,28.9,18.9
"19",1912-08-19,1912,8,19,10,26.1,18.1
"20",1912-08-20,1912,8,20,6.7,26.1,16.4
"21",1912-08-21,1912,8,21,7.2,31.1,19.2
"22",1912-08-22,1912,8,22,8.9,29.4,19.2
"23",1912-08-23,1912,8,23,8.9,21.1,15
"24",1912-08-24,1912,8,24,8.3,16.1,12.2
"25",1912-08-25,1912,8,25,1.7,16.1,8.9
"26",1912-08-26,1912,8,26,0.6,17.8,9.2
"27",1912-08-27,1912,8,27,4.4,16.7,10.6
"28",1912-08-28,1912,8,28,1.7,15.6,8.7
"29",1912-08-29,1912,8,29,-0.6,14.4,6.9
"30",1912-08-30,1912,8,30,7.2,12.8,10
"31",1912-08-31,1912,8,31,3.9,11.1,7.5
"32",1912-09-01,1912,9,1,6.1,14.4,10.2
"33",1912-09-02,1912,9,2,3.9,15,9.4
"34",1912-09-03,1912,9,3,-1.7,17.8,8.1
"35",1912-09-04,1912,9,4,3.9,17.8,10.8
"36",1912-09-05,1912,9,5,5.6,16.1,10.9
"37",1912-09-06,1912,9,6,1.1,16.7,8.9
"38",1912-09-07,1912,9,7,5,18.3,11.7
"39",1912-09-08,1912,9,8,5.6,17.8,11.7
"40",1912-09-09,1912,9,9,5.6,17.2,11.4
"41",1912-09-10,1912,9,10,3.9,23.9,13.9
"42",1912-09-11,1912,9,11,1.1,22.8,12
"43",1912-09-12,1912,9,12,1.7,22.8,12.2
"44",1912-09-13,1912,9,13,1.7,23.9,12.8
"45",1912-09-14,1912,9,14,3.9,25,14.4
"46",1912-09-15,1912,9,15,0,23.9,12
"47",1912-09-16,1912,9,16,-1.1,23.3,11.1
"48",1912-09-17,1912,9,17,5.6,20.6,13.1
"49",1912-09-18,1912,9,18,5.6,16.1,10.9
"50",1912-09-19,1912,9,19,-1.1,17.2,8
"51",1912-09-20,1912,9,20,-3.3,17.2,6.9
"52",1912-09-21,1912,9,21,1.7,17.2,9.4
"53",1912-09-22,1912,9,22,-3.3,15.6,6.1
"54",1912-09-23,1912,9,23,-6.1,12.2,3.1
"55",1912-09-24,1912,9,24,-2.2,12.8,5.3
"56",1912-09-25,1912,9,25,0,13.3,6.7
"57",1912-09-26,1912,9,26,2.2,12.8,7.5
"58",1912-09-27,1912,9,27,2.8,11.7,7.3
"59",1912-09-28,1912,9,28,-3.3,18.3,7.5
"60",1912-09-29,1912,9,29,0,17.8,8.9
"61",1912-09-30,1912,9,30,-1.1,13.9,6.4
"62",1912-10-01,1912,10,1,5,12.8,8.9
"63",1912-10-02,1912,10,2,5.6,10.6,8.1
"64",1912-10-03,1912,10,3,2.8,11.1,7
"65",1912-10-04,1912,10,4,-4.4,7.8,1.7
"66",1912-10-05,1912,10,5,-6.1,10,1.9
"67",1912-10-06,1912,10,6,-2.8,16.7,6.9
"68",1912-10-07,1912,10,7,4.4,11.1,7.8
"69",1912-10-08,1912,10,8,1.7,11.1,6.4
"70",1912-10-09,1912,10,9,-3.3,7.2,2
"71",1912-10-10,1912,10,10,2.2,11.1,6.7
"72",1912-10-11,1912,10,11,3.9,12.2,8.1
"73",1912-10-12,1912,10,12,-0.6,12.2,5.8
"74",1912-10-13,1912,10,13,0.6,13.3,7
"75",1912-10-14,1912,10,14,-1.7,11.7,5
"76",1912-10-15,1912,10,15,-2.2,15.6,6.7
"77",1912-10-16,1912,10,16,-2.8,12.2,4.7
"78",1912-10-17,1912,10,17,-0.6,12.8,6.1
"79",1912-10-18,1912,10,18,-2.8,9.4,3.3
"80",1912-10-19,1912,10,19,-5.6,6.1,0.2
"81",1912-10-20,1912,10,20,-10,5.6,-2.2
"82",1912-10-21,1912,10,21,-1.1,5.6,2.2
"83",1912-10-22,1912,10,22,-3.9,6.7,1.4
"84",1912-10-23,1912,10,23,-3.9,5.6,0.9
"85",1912-10-24,1912,10,24,-11.7,6.1,-2.8
"86",1912-10-25,1912,10,25,-2.8,10,3.6
"87",1912-10-26,1912,10,26,0,9.4,4.7
"88",1912-10-27,1912,10,27,-7.8,8.9,0.6
"89",1912-10-28,1912,10,28,-9.4,4.4,-2.5
"90",1912-10-29,1912,10,29,-12.8,0.6,-6.1
"91",1912-10-30,1912,10,30,-12.2,4.4,-3.9
"92",1912-10-31,1912,10,31,-10,2.2,-3.9
"93",1912-11-01,1912,11,1,-9.4,6.7,-1.4
"94",1912-11-02,1912,11,2,-2.8,7.2,2.2
"95",1912-11-03,1912,11,3,-1.7,7.8,3
"96",1912-11-04,1912,11,4,-1.1,3.3,1.1
"97",1912-11-05,1912,11,5,-4.4,4.4,0
"98",1912-11-06,1912,11,6,-3.9,1.7,-1.1
"99",1912-11-07,1912,11,7,-2.8,0.6,-1.1
"100",1912-11-08,1912,11,8,-3.3,3.3,0
"101",1912-11-09,1912,11,9,-6.1,2.2,-2
"102",1912-11-10,1912,11,10,-7.2,0.6,-3.3
"103",1912-11-11,1912,11,11,-6.7,1.7,-2.5
"104",1912-11-12,1912,11,12,-7.8,1.1,-3.3
"105",1912-11-13,1912,11,13,-4.4,6.7,1.1
"106",1912-11-14,1912,11,14,-11.1,5.6,-2.7
"107",1912-11-15,1912,11,15,-13.9,-1.1,-7.5
"108",1912-11-16,1912,11,16,-3.3,11.1,3.9
"109",1912-11-17,1912,11,17,-0.6,9.4,4.4
"110",1912-11-18,1912,11,18,-2.2,8.9,3.4
"111",1912-11-19,1912,11,19,-0.6,6.7,3.1
"112",1912-11-20,1912,11,20,-1.1,5,2
"113",1912-11-21,1912,11,21,-5,3.3,-0.8
"114",1912-11-22,1912,11,22,-6.7,4.4,-1.1
"115",1912-11-23,1912,11,23,-8.9,2.8,-3
"116",1912-11-24,1912,11,24,-9.4,3.9,-2.8
"117",1912-11-25,1912,11,25,-10.6,6.7,-1.9
"118",1912-11-26,1912,11,26,-11.1,-0.6,-5.8
"119",1912-11-27,1912,11,27,-5,3.9,-0.6
"120",1912-11-28,1912,11,28,-6.1,1.7,-2.2
"121",1912-11-29,1912,11,29,-9.4,-1.1,-5.2
"122",1912-11-30,1912,11,30,-17.8,-3.3,-10.6
"123",1912-12-01,1912,12,1,-19.4,-8.3,-13.9
"124",1912-12-02,1912,12,2,-12.8,-1.1,-7
"125",1912-12-03,1912,12,3,-6.7,1.7,-2.5
"126",1912-12-04,1912,12,4,-11.7,1.1,-5.3
"127",1912-12-05,1912,12,5,-3.9,1.1,-1.4
"128",1912-12-06,1912,12,6,-0.6,1.7,0.6
"129",1912-12-07,1912,12,7,-2.8,4.4,0.8
"130",1912-12-08,1912,12,8,-15,0,-7.5
"131",1912-12-09,1912,12,9,-9.4,1.1,-4.2
