"","MAX_TEMPERATURE","MIN_TEMPERATURE","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY"
"1",-2.8,-10,1874-01-01,1874,1,1
"2",-3.9,-12.8,1874-01-02,1874,1,2
"3",2.8,-12.2,1874-01-03,1874,1,3
"4",2.8,-1.7,1874-01-04,1874,1,4
"5",4.4,-1.7,1874-01-05,1874,1,5
"6",7.2,-3.3,1874-01-06,1874,1,6
"7",-2.2,-11.1,1874-01-07,1874,1,7
"8",6.1,-9.4,1874-01-08,1874,1,8
"9",2.8,-2.2,1874-01-09,1874,1,9
"10",9.4,-0.6,1874-01-10,1874,1,10
"11",8.9,2.8,1874-01-11,1874,1,11
"12",5.6,-0.6,1874-01-12,1874,1,12
"13",1.1,-3.9,1874-01-13,1874,1,13
"14",0,-5.6,1874-01-14,1874,1,14
"15",5.6,-6.1,1874-01-15,1874,1,15
"16",6.1,-5,1874-01-16,1874,1,16
"17",-0.6,-7.8,1874-01-17,1874,1,17
"18",2.8,-3.9,1874-01-18,1874,1,18
"19",-1.7,-6.1,1874-01-19,1874,1,19
"20",2.8,-3.3,1874-01-20,1874,1,20
"21",5,-13.3,1874-01-21,1874,1,21
"22",-7.8,-15,1874-01-22,1874,1,22
"23",-0.6,-8.9,1874-01-23,1874,1,23
"24",8.9,-1.1,1874-01-24,1874,1,24
"25",8.9,-8.9,1874-01-25,1874,1,25
"26",-0.6,-9.4,1874-01-26,1874,1,26
"27",-3.9,-16.1,1874-01-27,1874,1,27
"28",-10.6,-15.6,1874-01-28,1874,1,28
"29",5.6,-11.7,1874-01-29,1874,1,29
"30",6.7,-5,1874-01-30,1874,1,30
"31",-3.9,-15,1874-01-31,1874,1,31
"32",-7.8,-16.1,1874-02-01,1874,2,1
"33",-3.9,-21.1,1874-02-02,1874,2,2
"34",-13.3,-20.6,1874-02-03,1874,2,3
"35",-5.6,-16.7,1874-02-04,1874,2,4
"36",0.6,-6.1,1874-02-05,1874,2,5
"37",1.1,-12.8,1874-02-06,1874,2,6
"38",-10.6,-22.2,1874-02-07,1874,2,7
"39",-15.6,-20.6,1874-02-08,1874,2,8
"40",-7.8,-17.8,1874-02-09,1874,2,9
"41",-3.9,-10,1874-02-10,1874,2,10
"42",-1.1,-10.6,1874-02-11,1874,2,11
"43",2.8,-2.2,1874-02-12,1874,2,12
"44",-1.1,-3.3,1874-02-13,1874,2,13
"45",0,-6.7,1874-02-14,1874,2,14
"46",6.1,-2.2,1874-02-15,1874,2,15
"47",3.3,-7.8,1874-02-16,1874,2,16
"48",3.3,-7.8,1874-02-17,1874,2,17
"49",5,-1.7,1874-02-18,1874,2,18
"50",0.6,-7.2,1874-02-19,1874,2,19
"51",-0.6,-6.7,1874-02-20,1874,2,20
"52",5,-3.9,1874-02-21,1874,2,21
"53",2.8,-3.9,1874-02-22,1874,2,22
"54",1.1,-10,1874-02-23,1874,2,23
"55",0,-9.4,1874-02-24,1874,2,24
"56",1.1,-11.1,1874-02-25,1874,2,25
"57",-8.9,-15,1874-02-26,1874,2,26
"58",-10,-15.6,1874-02-27,1874,2,27
"59",-7.8,-15,1874-02-28,1874,2,28
"60",-2.8,-25.6,1874-03-01,1874,3,1
"61",-15,-24.4,1874-03-02,1874,3,2
"62",-5.6,-15.6,1874-03-03,1874,3,3
"63",2.8,-11.1,1874-03-04,1874,3,4
"64",7.8,-1.7,1874-03-05,1874,3,5
"65",4.4,0,1874-03-06,1874,3,6
"66",3.9,0,1874-03-07,1874,3,7
"67",3.3,0.6,1874-03-08,1874,3,8
"68",3.3,0.6,1874-03-09,1874,3,9
"69",6.1,0,1874-03-10,1874,3,10
"70",6.1,-2.2,1874-03-11,1874,3,11
"71",3.9,-1.7,1874-03-12,1874,3,12
"72",3.9,-1.1,1874-03-13,1874,3,13
"73",2.8,-1.7,1874-03-14,1874,3,14
"74",2.8,-2.2,1874-03-15,1874,3,15
"75",1.7,-3.9,1874-03-16,1874,3,16
"76",6.1,-5,1874-03-17,1874,3,17
"77",6.1,-3.9,1874-03-18,1874,3,18
"78",4.4,-7.2,1874-03-19,1874,3,19
"79",7.8,-2.8,1874-03-20,1874,3,20
"80",8.3,-7.2,1874-03-21,1874,3,21
"81",2.8,-6.7,1874-03-22,1874,3,22
"82",2.8,-6.7,1874-03-23,1874,3,23
"83",0,-12.8,1874-03-24,1874,3,24
"84",-4.4,-13.3,1874-03-25,1874,3,25
"85",2.2,-11.7,1874-03-26,1874,3,26
"86",2.2,-6.7,1874-03-27,1874,3,27
"87",1.7,-8.3,1874-03-28,1874,3,28
"88",0,-7.2,1874-03-29,1874,3,29
"89",0,-13.3,1874-03-30,1874,3,30
"90",0,-7.8,1874-03-31,1874,3,31
"91",-3.9,-15,1874-04-01,1874,4,1
"92",-1.1,-15,1874-04-02,1874,4,2
"93",-2.2,-13.3,1874-04-03,1874,4,3
"94",1.7,-6.1,1874-04-04,1874,4,4
"95",2.8,-10,1874-04-05,1874,4,5
"96",1.7,-6.1,1874-04-06,1874,4,6
"97",3.9,-2.8,1874-04-07,1874,4,7
"98",6.1,-1.7,1874-04-08,1874,4,8
"99",2.8,-2.8,1874-04-09,1874,4,9
"100",1.1,-6.7,1874-04-10,1874,4,10
"101",-0.6,-6.7,1874-04-11,1874,4,11
"102",0.6,-11.1,1874-04-12,1874,4,12
"103",0.6,-10,1874-04-13,1874,4,13
"104",1.1,-13.3,1874-04-14,1874,4,14
"105",3.3,-5,1874-04-15,1874,4,15
"106",4.4,-2.8,1874-04-16,1874,4,16
"107",5.6,-1.7,1874-04-17,1874,4,17
"108",3.9,-5,1874-04-18,1874,4,18
"109",4.4,-5.6,1874-04-19,1874,4,19
"110",3.3,-3.9,1874-04-20,1874,4,20
"111",1.7,-6.7,1874-04-21,1874,4,21
"112",3.9,-4.4,1874-04-22,1874,4,22
"113",3.9,-1.7,1874-04-23,1874,4,23
"114",7.8,-1.7,1874-04-24,1874,4,24
"115",1.1,-1.7,1874-04-25,1874,4,25
"116",6.1,-3.3,1874-04-26,1874,4,26
"117",0.6,-3.9,1874-04-27,1874,4,27
