"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1966-10-01,1966,10,1,NA,NA,NA
"2",1966-10-02,1966,10,2,NA,NA,NA
"3",1966-10-03,1966,10,3,NA,NA,NA
"4",1966-10-04,1966,10,4,NA,NA,NA
"5",1966-10-05,1966,10,5,NA,NA,NA
"6",1966-10-06,1966,10,6,NA,NA,NA
"7",1966-10-07,1966,10,7,NA,NA,NA
"8",1966-10-08,1966,10,8,NA,NA,NA
"9",1966-10-09,1966,10,9,NA,NA,NA
"10",1966-10-10,1966,10,10,NA,NA,NA
"11",1966-10-11,1966,10,11,NA,NA,NA
"12",1966-10-12,1966,10,12,NA,NA,NA
"13",1966-10-13,1966,10,13,NA,NA,NA
"14",1966-10-14,1966,10,14,NA,NA,NA
"15",1966-10-15,1966,10,15,NA,NA,NA
"16",1966-10-16,1966,10,16,NA,NA,NA
"17",1966-10-17,1966,10,17,NA,NA,NA
"18",1966-10-18,1966,10,18,NA,NA,NA
"19",1966-10-19,1966,10,19,NA,NA,NA
"20",1966-10-20,1966,10,20,NA,NA,NA
"21",1966-10-21,1966,10,21,NA,NA,NA
"22",1966-10-22,1966,10,22,NA,NA,NA
"23",1966-10-23,1966,10,23,NA,NA,NA
"24",1966-10-24,1966,10,24,NA,NA,NA
"25",1966-10-25,1966,10,25,NA,NA,NA
"26",1966-10-26,1966,10,26,-2.2,3.3,0.6
"27",1966-10-27,1966,10,27,-12.2,-3.9,-8.1
"28",1966-10-28,1966,10,28,-10.6,-7.2,-8.9
"29",1966-10-29,1966,10,29,-18.9,-4.4,-11.7
"30",1966-10-30,1966,10,30,-7.2,-5.6,-6.4
"31",1966-10-31,1966,10,31,-16.7,-7.2,-11.9
"32",1966-11-01,1966,11,1,-25,-12.2,-18.6
"33",1966-11-02,1966,11,2,-26.7,-6.1,-16.4
"34",1966-11-03,1966,11,3,-7.8,-6.1,-7
"35",1966-11-04,1966,11,4,-12.8,-7.2,-10
"36",1966-11-05,1966,11,5,-19.5,-9.5,-14.5
"37",1966-11-06,1966,11,6,-24.5,-17.2,-20.9
"38",1966-11-07,1966,11,7,-26.7,-11.7,-19.2
"39",1966-11-08,1966,11,8,-24.5,-12.2,-18.4
"40",1966-11-09,1966,11,9,-22.8,-8.9,-15.9
"41",1966-11-10,1966,11,10,-22.2,-13.3,-17.8
"42",1966-11-11,1966,11,11,-26.7,-13.3,-20
"43",1966-11-12,1966,11,12,-27.2,-13.9,-20.6
"44",1966-11-13,1966,11,13,-29.5,-15,-22.2
"45",1966-11-14,1966,11,14,-26.7,-13.3,-20
"46",1966-11-15,1966,11,15,-26.7,-16.1,-21.4
"47",1966-11-16,1966,11,16,-30,-18.9,-24.5
"48",1966-11-17,1966,11,17,-31.1,-18.3,-24.7
"49",1966-11-18,1966,11,18,-27.2,-8.3,-17.8
"50",1966-11-19,1966,11,19,-20,-9.5,-14.8
"51",1966-11-20,1966,11,20,-20,-4.4,-12.2
"52",1966-11-21,1966,11,21,-11.1,-8.9,-10
"53",1966-11-22,1966,11,22,-18.9,-14.5,-16.7
"54",1966-11-23,1966,11,23,-25.6,-16.1,-20.9
"55",1966-11-24,1966,11,24,-22.2,-1.1,-11.7
"56",1966-11-25,1966,11,25,-21.1,1.7,-9.7
"57",1966-11-26,1966,11,26,-30,-22.2,-26.1
"58",1966-11-27,1966,11,27,-29.5,-20,-24.8
"59",1966-11-28,1966,11,28,-25.6,-15.6,-20.6
"60",1966-11-29,1966,11,29,-24.5,-17.2,-20.9
"61",1966-11-30,1966,11,30,-33.4,-23.4,-28.4
"62",1966-12-01,1966,12,1,-29.5,-18.3,-23.9
"63",1966-12-02,1966,12,2,-29.5,-21.1,-25.3
"64",1966-12-03,1966,12,3,-31.1,-15.6,-23.4
"65",1966-12-04,1966,12,4,-18.9,-14.5,-16.7
"66",1966-12-05,1966,12,5,-21.7,-15,-18.4
"67",1966-12-06,1966,12,6,-17.8,-15,-16.4
"68",1966-12-07,1966,12,7,-23.9,-17.2,-20.6
"69",1966-12-08,1966,12,8,-24.5,-21.7,-23.1
"70",1966-12-09,1966,12,9,-22.8,-20.6,-21.7
"71",1966-12-10,1966,12,10,-32.8,-22.8,-27.8
"72",1966-12-11,1966,12,11,-35,-20.6,-27.8
"73",1966-12-12,1966,12,12,-27.8,-21.7,-24.8
"74",1966-12-13,1966,12,13,-33.9,-20.6,-27.2
"75",1966-12-14,1966,12,14,-25,-15,-20
"76",1966-12-15,1966,12,15,-17.2,-11.7,-14.4
"77",1966-12-16,1966,12,16,-23.4,-18.9,-21.2
"78",1966-12-17,1966,12,17,-34.5,-25,-29.8
"79",1966-12-18,1966,12,18,-37.3,-13.3,-25.3
"80",1966-12-19,1966,12,19,-17.2,-13.3,-15.2
"81",1966-12-20,1966,12,20,-27.2,-21.7,-24.4
"82",1966-12-21,1966,12,21,-35,-24.5,-29.8
"83",1966-12-22,1966,12,22,-33.4,-13.3,-23.4
"84",1966-12-23,1966,12,23,-16.1,-13.3,-14.7
"85",1966-12-24,1966,12,24,-28.4,-19.5,-24
"86",1966-12-25,1966,12,25,-30.6,-23.9,-27.2
"87",1966-12-26,1966,12,26,-34.5,-17.8,-26.1
"88",1966-12-27,1966,12,27,-23.4,-14.5,-19
"89",1966-12-28,1966,12,28,-25,-14.5,-19.8
"90",1966-12-29,1966,12,29,-18.9,-12.8,-15.9
"91",1966-12-30,1966,12,30,-36.7,-30.6,-33.7
"92",1966-12-31,1966,12,31,-37.8,-21.7,-29.8
"93",1967-01-01,1967,1,1,-27.8,-18.9,-23.4
"94",1967-01-02,1967,1,2,-24.5,-20.6,-22.6
"95",1967-01-03,1967,1,3,-27.2,-18.9,-23.1
"96",1967-01-04,1967,1,4,-35,-22.2,-28.6
"97",1967-01-05,1967,1,5,-32.8,-23.9,-28.4
"98",1967-01-06,1967,1,6,-31.7,-22.8,-27.2
"99",1967-01-07,1967,1,7,-33.9,-19.5,-26.7
"100",1967-01-08,1967,1,8,-23.9,-13.3,-18.6
"101",1967-01-09,1967,1,9,-20,-14.5,-17.2
"102",1967-01-10,1967,1,10,-27.8,-11.1,-19.4
"103",1967-01-11,1967,1,11,-20,-1.1,-10.6
"104",1967-01-12,1967,1,12,-20.6,-12.8,-16.7
"105",1967-01-13,1967,1,13,-28.9,-21.1,-25
"106",1967-01-14,1967,1,14,-30,-21.7,-25.9
"107",1967-01-15,1967,1,15,-34.5,-28.9,-31.7
"108",1967-01-16,1967,1,16,-38.4,-31.7,-35
"109",1967-01-17,1967,1,17,-35.6,-28.4,-32
"110",1967-01-18,1967,1,18,-36.7,-31.1,-33.9
"111",1967-01-19,1967,1,19,-41.1,-31.7,-36.4
"112",1967-01-20,1967,1,20,-41.1,-30.6,-35.9
"113",1967-01-21,1967,1,21,-37.8,-26.1,-32
