"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1877-07-01,1877,7,1,11.1,27.2,19.1
"2",1877-07-02,1877,7,2,8.9,20.6,14.8
"3",1877-07-03,1877,7,3,9.4,23.3,16.4
"4",1877-07-04,1877,7,4,8.3,20,14.2
"5",1877-07-05,1877,7,5,8.3,20,14.2
"6",1877-07-06,1877,7,6,6.1,20.6,13.4
"7",1877-07-07,1877,7,7,12.2,21.7,16.9
"8",1877-07-08,1877,7,8,13.9,30,21.9
"9",1877-07-09,1877,7,9,13.3,26.1,19.7
"10",1877-07-10,1877,7,10,16.7,25.6,21.1
"11",1877-07-11,1877,7,11,11.7,29.4,20.6
"12",1877-07-12,1877,7,12,12.2,25,18.6
"13",1877-07-13,1877,7,13,11.1,19.4,15.2
"14",1877-07-14,1877,7,14,11.1,20.6,15.9
"15",1877-07-15,1877,7,15,11.7,22.8,17.2
"16",1877-07-16,1877,7,16,11.7,27.8,19.8
"17",1877-07-17,1877,7,17,12.8,23.3,18.1
"18",1877-07-18,1877,7,18,11.7,17.8,14.8
"19",1877-07-19,1877,7,19,9.4,14.4,11.9
"20",1877-07-20,1877,7,20,8.3,26.7,17.5
"21",1877-07-21,1877,7,21,13.9,23.3,18.6
"22",1877-07-22,1877,7,22,12.2,21.7,16.9
"23",1877-07-23,1877,7,23,10,23.3,16.6
"24",1877-07-24,1877,7,24,11.7,31.1,21.4
"25",1877-07-25,1877,7,25,13.3,24.4,18.9
"26",1877-07-26,1877,7,26,13.3,23.9,18.6
"27",1877-07-27,1877,7,27,13.3,22.8,18.1
"28",1877-07-28,1877,7,28,13.9,23.3,18.6
"29",1877-07-29,1877,7,29,13.9,27.8,20.9
"30",1877-07-30,1877,7,30,15,24.4,19.7
"31",1877-07-31,1877,7,31,13.9,23.9,18.9
"32",1877-08-01,1877,8,1,13.3,28.3,20.8
"33",1877-08-02,1877,8,2,15,22.2,18.6
"34",1877-08-03,1877,8,3,8.3,23.9,16.1
"35",1877-08-04,1877,8,4,8.3,21.7,15
"36",1877-08-05,1877,8,5,13.9,21.7,17.8
"37",1877-08-06,1877,8,6,17.2,30,23.6
"38",1877-08-07,1877,8,7,13.9,27.2,20.6
"39",1877-08-08,1877,8,8,11.1,22.8,16.9
"40",1877-08-09,1877,8,9,13.3,22.2,17.8
"41",1877-08-10,1877,8,10,15,25,20
"42",1877-08-11,1877,8,11,11.7,22.2,16.9
"43",1877-08-12,1877,8,12,12.2,21.1,16.7
"44",1877-08-13,1877,8,13,12.8,26.1,19.5
"45",1877-08-14,1877,8,14,11.1,27.2,19.1
"46",1877-08-15,1877,8,15,11.1,23.9,17.5
"47",1877-08-16,1877,8,16,10.6,26.7,18.6
"48",1877-08-17,1877,8,17,11.7,26.1,18.9
"49",1877-08-18,1877,8,18,13.9,27.2,20.6
"50",1877-08-19,1877,8,19,10,25,17.5
"51",1877-08-20,1877,8,20,13.3,29.4,21.4
"52",1877-08-21,1877,8,21,14.4,23.3,18.9
"53",1877-08-22,1877,8,22,7.2,22.8,15
"54",1877-08-23,1877,8,23,15,22.2,18.6
"55",1877-08-24,1877,8,24,5.6,23.9,14.8
"56",1877-08-25,1877,8,25,9.4,25,17.2
"57",1877-08-26,1877,8,26,11.1,22.8,16.9
"58",1877-08-27,1877,8,27,16.1,26.7,21.4
"59",1877-08-28,1877,8,28,11.1,22.2,16.6
"60",1877-08-29,1877,8,29,8.9,25,16.9
"61",1877-08-30,1877,8,30,13.3,24.4,18.9
"62",1877-08-31,1877,8,31,9.4,18.3,13.9
"63",1877-09-01,1877,9,1,5,16.1,10.6
"64",1877-09-02,1877,9,2,8.3,19.4,13.9
"65",1877-09-03,1877,9,3,5.6,25.6,15.6
