"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1840-03-01,1840,3,1,0,8.3,4.2
"2",1840-03-02,1840,3,2,1.1,7.8,4.5
"3",1840-03-03,1840,3,3,2.2,11.1,6.7
"4",1840-03-04,1840,3,4,-3.9,15,5.5
"5",1840-03-05,1840,3,5,-1.1,6.7,2.8
"6",1840-03-06,1840,3,6,-3.9,11.7,3.9
"7",1840-03-07,1840,3,7,-10,-3.3,-6.7
"8",1840-03-08,1840,3,8,-3.9,5.6,0.9
"9",1840-03-09,1840,3,9,-10,5.6,-2.2
"10",1840-03-10,1840,3,10,-12.8,-5,-8.9
"11",1840-03-11,1840,3,11,-7.2,-1.1,-4.2
"12",1840-03-12,1840,3,12,-7.8,2.2,-2.8
"13",1840-03-13,1840,3,13,-1.7,4.4,1.4
"14",1840-03-14,1840,3,14,-2.2,3.3,0.6
"15",1840-03-15,1840,3,15,-6.1,2.8,-1.7
"16",1840-03-16,1840,3,16,0,5,2.5
"17",1840-03-17,1840,3,17,-2.2,4.4,1.1
"18",1840-03-18,1840,3,18,1.1,10.6,5.8
"19",1840-03-19,1840,3,19,2.2,5,3.6
"20",1840-03-20,1840,3,20,0,10,5
"21",1840-03-21,1840,3,21,NA,NA,NA
"22",1840-03-22,1840,3,22,-2.2,0.6,-0.8
"23",1840-03-23,1840,3,23,-1.1,2.8,0.8
"24",1840-03-24,1840,3,24,-4.4,0,-2.2
"25",1840-03-25,1840,3,25,-10.6,4.4,-3.1
"26",1840-03-26,1840,3,26,0,4.4,2.2
"27",1840-03-27,1840,3,27,1.7,6.1,3.9
"28",1840-03-28,1840,3,28,2.8,5.6,4.2
"29",1840-03-29,1840,3,29,0.6,9.4,5
"30",1840-03-30,1840,3,30,-1.7,8.9,3.6
"31",1840-03-31,1840,3,31,-5,3.9,-0.6
"32",1840-04-01,1840,4,1,-3.9,3.3,-0.3
"33",1840-04-02,1840,4,2,1.1,5.6,3.4
"34",1840-04-03,1840,4,3,3.3,11.1,7.2
"35",1840-04-04,1840,4,4,-0.6,11.7,5.6
"36",1840-04-05,1840,4,5,-1.7,8.9,3.6
"37",1840-04-06,1840,4,6,-3.9,6.7,1.4
"38",1840-04-07,1840,4,7,-3.9,5.6,0.9
"39",1840-04-08,1840,4,8,-3.3,4.4,0.6
"40",1840-04-09,1840,4,9,0.6,10.6,5.6
"41",1840-04-10,1840,4,10,6.7,13.9,10.3
"42",1840-04-11,1840,4,11,NA,NA,NA
"43",1840-04-12,1840,4,12,0.6,13.9,7.2
"44",1840-04-13,1840,4,13,1.1,8.3,4.7
"45",1840-04-14,1840,4,14,2.2,6.7,4.5
"46",1840-04-15,1840,4,15,-1.1,10,4.5
"47",1840-04-16,1840,4,16,7.2,11.7,9.5
"48",1840-04-17,1840,4,17,9.4,17.8,13.6
"49",1840-04-18,1840,4,18,-1.7,10,4.2
"50",1840-04-19,1840,4,19,-0.6,7.8,3.6
"51",1840-04-20,1840,4,20,-1.1,10,4.5
"52",1840-04-21,1840,4,21,3.9,10.6,7.2
"53",1840-04-22,1840,4,22,8.3,16.7,12.5
"54",1840-04-23,1840,4,23,7.2,20.6,13.9
"55",1840-04-24,1840,4,24,7.8,15,11.4
"56",1840-04-25,1840,4,25,10,20,15
"57",1840-04-26,1840,4,26,-1.7,13.3,5.8
"58",1840-04-27,1840,4,27,1.7,5.6,3.7
"59",1840-04-28,1840,4,28,4.4,11.7,8.1
"60",1840-04-29,1840,4,29,6.1,11.1,8.6
"61",1840-04-30,1840,4,30,7.2,18.3,12.8
"62",1840-05-01,1840,5,1,0,12.2,6.1
"63",1840-05-02,1840,5,2,5,16.1,10.6
"64",1840-05-03,1840,5,3,5,12.8,8.9
"65",1840-05-04,1840,5,4,2.8,12.2,7.5
"66",1840-05-05,1840,5,5,-0.6,11.1,5.2
"67",1840-05-06,1840,5,6,3.3,10.6,7
"68",1840-05-07,1840,5,7,6.1,13.3,9.7
"69",1840-05-08,1840,5,8,5,9.4,7.2
"70",1840-05-09,1840,5,9,4.4,10.6,7.5
"71",1840-05-10,1840,5,10,2.8,13.9,8.3
"72",1840-05-11,1840,5,11,6.1,15.6,10.8
"73",1840-05-12,1840,5,12,3.3,15.6,9.4
"74",1840-05-13,1840,5,13,3.9,13.9,8.9
"75",1840-05-14,1840,5,14,11.1,21.1,16.1
"76",1840-05-15,1840,5,15,8.3,20,14.2
"77",1840-05-16,1840,5,16,7.2,17.8,12.5
"78",1840-05-17,1840,5,17,7.2,24.4,15.8
"79",1840-05-18,1840,5,18,12.8,24.4,18.6
"80",1840-05-19,1840,5,19,12.2,18.9,15.6
"81",1840-05-20,1840,5,20,12.2,17.8,15
"82",1840-05-21,1840,5,21,6.7,16.1,11.4
"83",1840-05-22,1840,5,22,7.2,18.9,13.1
"84",1840-05-23,1840,5,23,11.1,17.8,14.4
"85",1840-05-24,1840,5,24,12.8,19.4,16.1
"86",1840-05-25,1840,5,25,9.4,20,14.7
"87",1840-05-26,1840,5,26,9.4,22.2,15.8
"88",1840-05-27,1840,5,27,10.6,24.4,17.5
"89",1840-05-28,1840,5,28,16.7,24.4,20.6
"90",1840-05-29,1840,5,29,8.9,19.4,14.2
"91",1840-05-30,1840,5,30,13.3,19.4,16.4
"92",1840-05-31,1840,5,31,10,18.9,14.5
"93",1840-06-01,1840,6,1,7.8,11.1,9.4
"94",1840-06-02,1840,6,2,6.7,13.3,10
"95",1840-06-03,1840,6,3,12.2,17.8,15
"96",1840-06-04,1840,6,4,7.8,20.6,14.2
"97",1840-06-05,1840,6,5,12.8,19.4,16.1
"98",1840-06-06,1840,6,6,5.6,19.4,12.5
"99",1840-06-07,1840,6,7,2.8,16.7,9.8
"100",1840-06-08,1840,6,8,5.6,17.2,11.4
"101",1840-06-09,1840,6,9,6.1,19.4,12.8
"102",1840-06-10,1840,6,10,9.4,21.1,15.2
"103",1840-06-11,1840,6,11,16.1,24.4,20.2
"104",1840-06-12,1840,6,12,14.4,26.1,20.2
"105",1840-06-13,1840,6,13,8.9,21.1,15
"106",1840-06-14,1840,6,14,6.1,18.9,12.5
"107",1840-06-15,1840,6,15,5.6,16.7,11.2
"108",1840-06-16,1840,6,16,8.3,19.4,13.9
"109",1840-06-17,1840,6,17,13.3,20.6,17
"110",1840-06-18,1840,6,18,8.9,21.1,15
"111",1840-06-19,1840,6,19,10.6,20.6,15.6
"112",1840-06-20,1840,6,20,14.4,25.6,20
"113",1840-06-21,1840,6,21,13.9,23.9,18.9
"114",1840-06-22,1840,6,22,8.9,21.7,15.3
"115",1840-06-23,1840,6,23,11.7,23.3,17.5
"116",1840-06-24,1840,6,24,17.8,26.1,22
"117",1840-06-25,1840,6,25,16.1,22.8,19.5
"118",1840-06-26,1840,6,26,15,19.4,17.2
"119",1840-06-27,1840,6,27,14.4,18.3,16.4
"120",1840-06-28,1840,6,28,16.7,23.9,20.3
"121",1840-06-29,1840,6,29,16.1,26.7,21.4
"122",1840-06-30,1840,6,30,11.1,22.8,16.9
"123",1840-07-01,1840,7,1,10,20,15
