"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1900-07-01,1900,7,1,NA,NA,NA
"2",1900-07-02,1900,7,2,NA,NA,NA
"3",1900-07-03,1900,7,3,NA,NA,NA
"4",1900-07-04,1900,7,4,NA,NA,NA
"5",1900-07-05,1900,7,5,NA,NA,NA
"6",1900-07-06,1900,7,6,NA,NA,NA
"7",1900-07-07,1900,7,7,NA,NA,NA
"8",1900-07-08,1900,7,8,NA,NA,NA
"9",1900-07-09,1900,7,9,NA,NA,NA
"10",1900-07-10,1900,7,10,NA,NA,NA
"11",1900-07-11,1900,7,11,NA,NA,NA
"12",1900-07-12,1900,7,12,NA,NA,NA
"13",1900-07-13,1900,7,13,NA,NA,NA
"14",1900-07-14,1900,7,14,NA,NA,NA
"15",1900-07-15,1900,7,15,NA,NA,NA
"16",1900-07-16,1900,7,16,15.6,30.6,23.1
"17",1900-07-17,1900,7,17,8.3,32.2,20.2
"18",1900-07-18,1900,7,18,11.1,21.1,16.1
"19",1900-07-19,1900,7,19,7.2,11.1,9.2
"20",1900-07-20,1900,7,20,3.9,26.1,15
"21",1900-07-21,1900,7,21,14.4,26.7,20.6
"22",1900-07-22,1900,7,22,10.6,21.1,15.9
"23",1900-07-23,1900,7,23,8.3,26.7,17.5
"24",1900-07-24,1900,7,24,11.7,28.3,20
"25",1900-07-25,1900,7,25,10.6,28.3,19.4
"26",1900-07-26,1900,7,26,11.1,25.6,18.4
"27",1900-07-27,1900,7,27,6.7,28.9,17.8
"28",1900-07-28,1900,7,28,11.7,26.1,18.9
"29",1900-07-29,1900,7,29,11.1,22.2,16.6
"30",1900-07-30,1900,7,30,6.7,26.1,16.4
"31",1900-07-31,1900,7,31,5,26.1,15.6
"32",1900-08-01,1900,8,1,5,17.8,11.4
"33",1900-08-02,1900,8,2,5.6,23.9,14.8
"34",1900-08-03,1900,8,3,8.3,22.2,15.2
"35",1900-08-04,1900,8,4,7.8,16.7,12.2
"36",1900-08-05,1900,8,5,7.2,18.3,12.8
"37",1900-08-06,1900,8,6,4.4,19.4,11.9
"38",1900-08-07,1900,8,7,11.1,21.1,16.1
"39",1900-08-08,1900,8,8,9.4,25.6,17.5
"40",1900-08-09,1900,8,9,11.7,21.7,16.7
"41",1900-08-10,1900,8,10,9.4,21.1,15.2
"42",1900-08-11,1900,8,11,7.2,16.1,11.7
"43",1900-08-12,1900,8,12,2.2,15.6,8.9
"44",1900-08-13,1900,8,13,5,17.8,11.4
"45",1900-08-14,1900,8,14,6.1,16.7,11.4
