"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1872-03-01,1872,3,1,-17.2,-3.9,-10.5
"2",1872-03-02,1872,3,2,-12.8,-2.2,-7.5
"3",1872-03-03,1872,3,3,-20,-15,-17.5
"4",1872-03-04,1872,3,4,-31.1,-14.4,-22.8
"5",1872-03-05,1872,3,5,-18.3,-8.9,-13.6
"6",1872-03-06,1872,3,6,-10,-2.8,-6.4
"7",1872-03-07,1872,3,7,-6.1,-1.7,-3.9
"8",1872-03-08,1872,3,8,-6.7,-2.8,-4.8
"9",1872-03-09,1872,3,9,-8.9,-2.8,-5.9
"10",1872-03-10,1872,3,10,-12.8,-6.7,-9.8
"11",1872-03-11,1872,3,11,-15,-8.3,-11.7
"12",1872-03-12,1872,3,12,-13.9,-3.9,-8.9
"13",1872-03-13,1872,3,13,-22.8,-5.6,-14.2
"14",1872-03-14,1872,3,14,-30.6,-10,-20.3
"15",1872-03-15,1872,3,15,-25.6,-7.2,-16.4
"16",1872-03-16,1872,3,16,-23.3,-6.1,-14.7
"17",1872-03-17,1872,3,17,-26.7,-10.6,-18.6
"18",1872-03-18,1872,3,18,-23.3,-8.3,-15.8
"19",1872-03-19,1872,3,19,-26.7,-16.1,-21.4
"20",1872-03-20,1872,3,20,-30.6,-11.1,-20.9
"21",1872-03-21,1872,3,21,-27.8,-8.9,-18.4
"22",1872-03-22,1872,3,22,-15.6,-6.1,-10.8
"23",1872-03-23,1872,3,23,-25.6,-7.2,-16.4
"24",1872-03-24,1872,3,24,-21.1,-6.7,-13.9
"25",1872-03-25,1872,3,25,-19.4,-4.4,-11.9
"26",1872-03-26,1872,3,26,-16.7,-6.7,-11.7
"27",1872-03-27,1872,3,27,-24.4,-5,-14.7
"28",1872-03-28,1872,3,28,-14.4,0,-7.2
"29",1872-03-29,1872,3,29,-20,-6.1,-13.1
"30",1872-03-30,1872,3,30,-19.4,-3.9,-11.7
"31",1872-03-31,1872,3,31,-22.2,-1.7,-11.9
"32",1872-04-01,1872,4,1,-13.3,-1.1,-7.2
"33",1872-04-02,1872,4,2,-18.3,-2.2,-10.2
"34",1872-04-03,1872,4,3,-18.9,-1.7,-10.3
"35",1872-04-04,1872,4,4,-3.9,3.3,-0.3
"36",1872-04-05,1872,4,5,-3.9,11.1,3.6
"37",1872-04-06,1872,4,6,1.1,9.4,5.2
"38",1872-04-07,1872,4,7,0.6,5.6,3.1
"39",1872-04-08,1872,4,8,-2.2,1.7,-0.3
"40",1872-04-09,1872,4,9,-5,2.2,-1.4
"41",1872-04-10,1872,4,10,-9.4,4.4,-2.5
"42",1872-04-11,1872,4,11,-4.4,0.6,-1.9
"43",1872-04-12,1872,4,12,-6.1,0,-3.1
"44",1872-04-13,1872,4,13,-8.3,2.2,-3.1
