"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1942-07-01,1942,7,1,12.2,23.9,18.1
"2",1942-07-02,1942,7,2,13.3,17.8,15.6
"3",1942-07-03,1942,7,3,11.7,17.8,14.8
"4",1942-07-04,1942,7,4,10,20,15
"5",1942-07-05,1942,7,5,9.4,20.6,15
"6",1942-07-06,1942,7,6,11.7,22.2,16.9
"7",1942-07-07,1942,7,7,14.4,21.1,17.8
"8",1942-07-08,1942,7,8,14.4,25,19.7
"9",1942-07-09,1942,7,9,13.3,21.1,17.2
"10",1942-07-10,1942,7,10,12.2,21.1,16.7
"11",1942-07-11,1942,7,11,10.6,22.2,16.4
"12",1942-07-12,1942,7,12,11.7,22.8,17.2
"13",1942-07-13,1942,7,13,11.1,20.6,15.9
"14",1942-07-14,1942,7,14,12.8,23.3,18.1
"15",1942-07-15,1942,7,15,14.4,24.4,19.4
"16",1942-07-16,1942,7,16,15,22.2,18.6
"17",1942-07-17,1942,7,17,13.9,20.6,17.2
"18",1942-07-18,1942,7,18,14.4,22.8,18.6
"19",1942-07-19,1942,7,19,13.9,23.3,18.6
"20",1942-07-20,1942,7,20,14.4,23.9,19.2
"21",1942-07-21,1942,7,21,13.9,22.2,18.1
"22",1942-07-22,1942,7,22,13.3,16.7,15
"23",1942-07-23,1942,7,23,11.7,18.9,15.3
"24",1942-07-24,1942,7,24,12.2,16.7,14.4
"25",1942-07-25,1942,7,25,11.1,22.2,16.6
"26",1942-07-26,1942,7,26,12.2,23.9,18.1
"27",1942-07-27,1942,7,27,13.3,23.3,18.3
"28",1942-07-28,1942,7,28,10,18.3,14.2
"29",1942-07-29,1942,7,29,10.6,18.9,14.8
"30",1942-07-30,1942,7,30,11.7,17.2,14.4
"31",1942-07-31,1942,7,31,8.3,14.4,11.4
"32",1942-08-01,1942,8,1,7.8,16.1,12
"33",1942-08-02,1942,8,2,5,11.7,8.4
"34",1942-08-03,1942,8,3,9.4,18.9,14.2
"35",1942-08-04,1942,8,4,12.8,19.4,16.1
"36",1942-08-05,1942,8,5,9.4,12.8,11.1
"37",1942-08-06,1942,8,6,9.4,23.9,16.7
"38",1942-08-07,1942,8,7,10,20,15
