"Environment and Climate Change Canada"
"Monthly Values for August - 2019"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","19.8","0",NA,"29.5","0","13.0","0","0.0","0",NA,"20.3","0",NA,"0.0","5","","",NA,"2.4","59.2","1011500"
"DISCOVERY ISLAND","48.425","-123.226","BC","15.7","0",NA,"25.4","0","11.1","0","",,NA,"",,NA,"","","",,NA,"74.0","3.8","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","16.7","0",NA,"24.5","0","11.8","0","",,NA,"16.6","0",NA,"","5","",,NA,"42.4","2.2","1012710"
"GALIANO NORTH","48.985","-123.573","BC","19.4","13",NA,"29.0","13","10.0","13","0.0","13",NA,"13.8","13",NA,"0.0","3","","",NA,"3.2","27.8","10130MN"
"MALAHAT","48.575","-123.530","BC","19.0","0",NA,"28.8","0","11.4","0","",,NA,"",,NA,"","","",,NA,"14.6","45.1","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","19",NA,"5.4","19",NA,"","2","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0",NA,"11.2","0","37.0","0.0","4","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","19.1","0",NA,"31.4","0","8.3","0","",,NA,"8.8","0",NA,"","4","",,NA,"8.6","41.8","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","19.4","4",NA,"31.0","4","10.5","4","0.0","4",NA,"13.8","4",NA,"0.0","5","","",NA,"8.4","45.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","15.7","0",NA,"25.1","0","9.9","0","",,NA,"",,NA,"","","",,NA,"75.8","3.9","1016640"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","20.0","1","1.6","28.5","1","13.5","1","0.0","1",NA,"14.2","1",NA,"0.0","5","","",NA,"1.7","60.5","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","30",NA,"3.2","30",NA,"","1","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","18.0","0",NA,"27.9","0","10.4","0","",,NA,"14.0","0",NA,"","3","",,NA,"30.3","29.1","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","17.9","0",NA,"25.9","0","12.5","0","",,NA,"12.2","0",NA,"","3","",,NA,"19.8","16.1","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","19.1","0","1.2","30.5","0","10.0","0","0.0","0",NA,"26.1","0","94.0","0.0","4","","",NA,"6.6","40.6","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","15.2","0",NA,"23.9","0","9.4","0","",,NA,"21.2","0",NA,"","4","",,NA,"88.4","0.9","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","17.7","0",NA,"28.3","0","9.9","0","",,NA,"16.9","0",NA,"","4","",,NA,"24.6","14.7","1018598"
"VICTORIA GONZALES CS","48.413","-123.325","BC","16.9","1",NA,"27.8","1","11.7","1","",,NA,"20.2","1",NA,"","6","",,NA,"40.9","6.8","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","17.5","0",NA,"27.8","0","10.5","0","0.0","0",NA,"12.0","0",NA,"","4","",,NA,"29.7","14.5","1018621"
"VICTORIA HARBOUR A","48.423","-123.388","BC","16.5","0",NA,"25.3","0","11.8","0","",,NA,"",,NA,"","","",,NA,"50.2","2.5","1018633"
"BALLENAS ISLAND","49.350","-124.160","BC","18.9","1",NA,"25.1","1","14.4","1","",,NA,"15.4","1",NA,"","4","",,NA,"4.8","31.1","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","17.7","0","0.5","30.0","0","7.0","0","0.0","0",NA,"44.7","0","100.0","0.0","3","","",NA,"27.4","18.8","1021261"
"CAMPBELL RIVER A","49.952","-125.273","BC","17.7","0",NA,"30.2","0","7.0","0","",,NA,"",,NA,"","","",,NA,"28.7","19.2","1021270"
"CAPE MUDGE","49.998","-125.195","BC","18.3","0","1.1","28.0","0","12.0","0","0.0","0",NA,"43.6","0","96.0","0.0","6","","",NA,"12.4","21.3","1021330"
"CHROME ISLAND","49.472","-124.683","BC","19.1","4",NA,"28.5","4","12.5","4","0.0","4",NA,"36.0","4",NA,"0.0","2","","",NA,"4.4","33.2","1021500"
"COMOX A","49.717","-124.900","BC","18.9","0","1.0","28.4","0","12.3","0","0.0","0",NA,"27.6","0","95.0","","3","",,NA,"7.5","34.2","1021830"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","19.8","13",NA,"31.0","9","9.0","8","0.0","9",NA,"35.8","9",NA,"","3","","",NA,"1.2","33.1","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","19.5","1",NA,"26.2","1","15.2","1","",,NA,"17.6","0",NA,"","4","",,NA,"3.1","47.5","1022689"
"HERIOT BAY SE","50.099","-125.203","BC","18.3","0",NA,"27.5","0","11.0","0","0.0","0",NA,"60.6","0",NA,"0.0","5","","",NA,"12.1","21.2","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","17.6","18","1.2","29.0","18","7.0","18","0.0","18",NA,"20.0","18",NA,"","2","","",NA,"9.7","4.8","1024638"
