,LOCAL_DAY,LOCAL_MONTH,RECORD_HIGH_MAX_TEMP,RECORD_HIGH_MAX_TEMP_YR
1,1,1,11.7,1940
2,2,1,12.3,2007
3,3,1,11.7,1934
4,4,1,13,2003
5,5,1,11.7,2001
6,6,1,12.8,2006
7,7,1,13.3,1945
8,8,1,11.7,1959
9,9,1,11.7,1959
10,10,1,13.3,1941
11,11,1,13.8,2010
12,12,1,13.4,2010
13,13,1,11.6,2011
14,14,1,13.3,1968
15,15,1,12.8,1974
16,16,1,14,2011
17,17,1,11.8,2018
18,18,1,11.7,2010
19,19,1,14.6,2005
20,20,1,15.3,1981
21,21,1,15.3,1981
22,22,1,14.7,1981
23,23,1,14.1,2005
24,24,1,13.3,2005
25,25,1,14.1,2015
26,26,1,13.7,2003
27,27,1,12.2,2016
28,28,1,13.9,1941
29,29,1,13.3,1940
30,30,1,14.4,1935
31,31,1,14.8,1992
32,1,2,13.3,1941
33,2,2,13.8,1991
34,3,2,15.3,1992
35,4,2,13.4,2011
36,5,2,13.3,1993
37,6,2,14.5,1987
38,7,2,15.8,1998
39,8,2,14.4,1963
40,9,2,13.9,1926
41,10,2,13.3,1987
42,11,2,13.4,1983
43,12,2,13.6,2016
44,13,2,12.8,1962
45,14,2,12.9,1991
46,15,2,12.6,1997
47,16,2,16,1996
48,17,2,15,1943
49,18,2,14.4,1965
50,19,2,14.4,1968
51,20,2,13.4,1977
52,21,2,12.8,1958
53,22,2,14.4,1973
54,23,2,14.7,1983
55,24,2,15,1958
56,25,2,14.9,1986
57,26,2,14.6,1986
58,27,2,18.4,1986
59,28,2,14.4,1943
60,29,2,14.4,1968
61,1,3,14.3,1986
62,2,3,14.4,1975
63,3,3,14.4,1941
64,4,3,17.2,1937
65,5,3,16.5,2016
66,6,3,16.5,2007
67,7,3,15.6,1941
68,8,3,15.6,1937
69,9,3,15.7,1995
70,10,3,15.3,2005
71,11,3,16.4,1998
72,12,3,17.2,2015
73,13,3,15,1970
74,14,3,15.4,1979
75,15,3,15.6,1933
76,16,3,17.1,1983
77,17,3,14.4,1995
78,18,3,16.8,1981
79,19,3,15.4,2019
80,20,3,17.2,1986
81,21,3,17.8,1939
82,22,3,18.9,1939
83,23,3,15.9,2006
84,24,3,16.1,1960
85,25,3,19.4,1960
86,26,3,18.8,2015
87,27,3,16.9,2015
88,28,3,18.3,1947
89,29,3,18.5,2004
90,30,3,18.9,1941
91,31,3,17.1,2016
92,1,4,17.7,2016
93,2,4,22.1,1992
94,3,4,17.6,2004
95,4,4,17.2,1960
96,5,4,17.8,1950
97,6,4,19.1,1977
98,7,4,22.7,1977
99,8,4,18.6,1996
100,9,4,18.9,1949
101,10,4,20,1942
102,11,4,21.5,2004
103,12,4,22.8,1940
104,13,4,20.6,1943
105,14,4,20,1934
106,15,4,21.7,1926
107,16,4,22.8,1947
108,17,4,21.7,1939
109,18,4,24.4,2016
110,19,4,21.7,1934
111,20,4,22.2,1934
112,21,4,20,1956
113,22,4,22.2,1934
114,23,4,21.1,1934
115,24,4,21.7,1905
116,25,4,19.5,1977
117,26,4,24.4,1947
118,27,4,25,1987
119,28,4,21.7,1976
120,29,4,23.9,1976
121,30,4,23.9,1976
122,1,5,24.3,2004
123,2,5,24.5,2016
124,3,5,22.2,1946
125,4,5,22.2,1898
126,5,5,23.1,1990
127,6,5,21.6,2013
128,7,5,22.8,1957
129,8,5,23.3,1920
130,9,5,23.3,1975
131,10,5,22.9,2019
132,11,5,22.9,1994
133,12,5,23.9,1988
134,13,5,26.1,1926
135,14,5,25.6,1934
136,15,5,24.2,1997
137,16,5,28.3,2006
138,17,5,29,2008
139,18,5,26.2,1993
140,19,5,25.6,1961
141,20,5,23.9,1963
142,21,5,28.9,1963
143,22,5,24.4,1958
144,23,5,25,1969
145,24,5,28.3,1947
146,25,5,26.1,1947
147,26,5,26.1,1958
148,27,5,25.5,2005
149,28,5,25.9,2017
150,29,5,30.4,1983
151,30,5,27.8,1956
152,31,5,24.3,2007
153,1,6,28.3,1970
154,2,6,30.6,1970
155,3,6,27.4,2007
156,4,6,25.8,2009
