"","LOCAL_DAY","LOCAL_MONTH","RECORD_LOW_MIN_TEMP","RECORD_LOW_MIN_TEMP_YR"
"1",1,1,-11.2,1979
"2",2,1,-14.4,1950
"3",3,1,-14.4,1899
"4",4,1,-16.7,1899
"5",5,1,-11.9,1982
"6",6,1,-14.1,1993
"7",7,1,-13.3,1909
"8",8,1,-14.4,1909
"9",9,1,-15,1901
"10",10,1,-14.4,1909
"11",11,1,-16.7,1916
"12",12,1,-15.6,1909
"13",13,1,-17.2,1911
"14",14,1,-17.8,1950
"15",15,1,-15.6,1907
"16",16,1,-14.4,1950
"17",17,1,-13.9,1950
"18",18,1,-16.7,1950
"19",19,1,-17.8,1935
"20",20,1,-15.6,1935
"21",21,1,-13.9,1943
"22",22,1,-16.1,1943
"23",23,1,-16.1,1969
"24",24,1,-15,1950
"25",25,1,-17.2,1950
"26",26,1,-11.7,1957
"27",27,1,-13.9,1929
"28",28,1,-16.1,1969
"29",29,1,-16.1,1969
"30",30,1,-16.7,1929
"31",31,1,-16.7,1916
"32",1,2,-16.1,1950
"33",2,2,-12.8,1929
"34",3,2,-15,1950
"35",4,2,-12.2,1929
"36",5,2,-12.2,1899
"37",6,2,-10,1929
"38",7,2,-13.9,1936
"39",8,2,-10.6,1929
"40",9,2,-11.1,1933
"41",10,2,-10.6,1929
"42",11,2,-8.3,1905
"43",12,2,-9.4,1949
"44",13,2,-12.2,1936
"45",14,2,-11.7,1936
"46",15,2,-13.3,1956
"47",16,2,-12.2,1936
"48",17,2,-11,1990
"49",18,2,-10.7,1990
"50",19,2,-10.6,1936
"51",20,2,-6.7,1910
"52",21,2,-10,1910
"53",22,2,-12.8,1910
"54",23,2,-7.8,1917
"55",24,2,-10,1917
"56",25,2,-8.1,2011
"57",26,2,-7.8,1917
"58",27,2,-7.8,1955
"59",28,2,-8.3,1917
"60",29,2,-5,1896
"61",1,3,-8.9,1896
"62",2,3,-11.7,1896
"63",3,3,-11.1,1896
"64",4,3,-9.4,1955
"65",5,3,-7.8,1951
"66",6,3,-7.2,1951
"67",7,3,-5.6,1951
"68",8,3,-5.3,2002
"69",9,3,-5.6,1951
"70",10,3,-9.4,1951
"71",11,3,-7.8,1897
"72",12,3,-8.9,1897
"73",13,3,-9.4,1903
"74",14,3,-7.8,1906
"75",15,3,-5.6,1906
"76",16,3,-5,1903
"77",17,3,-4.1,2002
"78",18,3,-4.4,1965
"79",19,3,-4.4,1913
"80",20,3,-6.7,1913
"81",21,3,-5.6,1913
"82",22,3,-3.9,1912
"83",23,3,-3.9,1923
"84",24,3,-4.4,1965
"85",25,3,-5.6,1913
"86",26,3,-5,1898
"87",27,3,-2.2,1908
"88",28,3,-4.4,1954
"89",29,3,-3.9,1954
"90",30,3,-4.4,1936
"91",31,3,-3.3,1936
"92",1,4,-2.8,1936
"93",2,4,-2.8,1935
"94",3,4,-2.8,1936
"95",4,4,-3.3,1896
"96",5,4,-2.8,1912
"97",6,4,-2.2,1929
"98",7,4,-1.7,1921
"99",8,4,-1.1,1952
"100",9,4,-2.2,1903
"101",10,4,-2.2,1903
"102",11,4,-1.7,1903
"103",12,4,-1.1,1968
"104",13,4,-2.8,1911
"105",14,4,-1.7,1911
"106",15,4,-0.6,1911
"107",16,4,-0.6,1896
"108",17,4,-1.7,1909
"109",18,4,-1.7,1909
"110",19,4,-3.3,1951
"111",20,4,-1.7,1951
"112",21,4,-0.6,1914
"113",22,4,0.1,2008
"114",23,4,-0.6,1950
"115",24,4,0,1924
"116",25,4,-0.6,1924
"117",26,4,-0.6,1911
"118",27,4,-2.2,1907
"119",28,4,-0.6,1907
"120",29,4,0,1913
"121",30,4,-0.6,1954
"122",1,5,0,1915
"123",2,5,1.1,1899
"124",3,5,2,2011
"125",4,5,1.1,1930
"126",5,5,1.1,1952
"127",6,5,0.6,1906
"128",7,5,2.2,1965
"129",8,5,-0.6,1922
"130",9,5,0.6,1922
"131",10,5,1.1,1922
"132",11,5,1.1,1916
"133",12,5,2.2,1916
"134",13,5,2.2,1899
"135",14,5,-0.6,1899
"136",15,5,0,1899
"137",16,5,3.9,1974
"138",17,5,1.7,1903
"139",18,5,1.1,1905
"140",19,5,2.8,1905
"141",20,5,2.2,1910
"142",21,5,1.1,1909
"143",22,5,1.7,1909
"144",23,5,2.2,1916
"145",24,5,1.7,1905
"146",25,5,0.6,1920
"147",26,5,1.7,1918
"148",27,5,2.8,1897
"149",28,5,2.2,1914
"150",29,5,2.8,1914
"151",30,5,1.7,1899
"152",31,5,3.3,1920
"153",1,6,2.8,1933
"154",2,6,3.9,1933
"155",3,6,2.2,1912
"156",4,6,2.8,1911
"157",5,6,3.3,1911
"158",6,6,2.8,1902
"159",7,6,2.8,1910
"160",8,6,3.3,1901
"161",9,6,3.9,1933
"162",10,6,3.3,1933
"163",11,6,4.4,1917
"164",12,6,3.9,1904
"165",13,6,3.9,1909
"166",14,6,5,1914
"167",15,6,3.3,1901
"168",16,6,5,1901
"169",17,6,4.4,1932
"170",18,6,5,1933
"171",19,6,4.4,1911
"172",20,6,3.9,1911
"173",21,6,5,1907
"174",22,6,4.4,1899
"175",23,6,1.7,1911
"176",24,6,3.9,1904
"177",25,6,2.2,1911
"178",26,6,5,1949
"179",27,6,5.6,1931
"180",28,6,5,1903
"181",29,6,4.4,1912
"182",30,6,5,1899
"183",1,7,5,1919
"184",2,7,5,1909
"185",3,7,6.1,1930
"186",4,7,4.4,1910
"187",5,7,5.6,1908
"188",6,7,5.6,1932
"189",7,7,5,1902
"190",8,7,5.6,1912
"191",9,7,5.6,1933
"192",10,7,6.7,1898
"193",11,7,4.4,1911
"194",12,7,4.4,1901
"195",13,7,4.4,1902
"196",14,7,5.6,1909
"197",15,7,5.6,1903
"198",16,7,6.1,1910
"199",17,7,7.2,1902
"200",18,7,5,1924
"201",19,7,5,1909
"202",20,7,6.7,1933
"203",21,7,5.6,1909
"204",22,7,6.1,1922
"205",23,7,6.7,1917
"206",24,7,6.7,1898
"207",25,7,6.7,1896
"208",26,7,5.6,1896
"209",27,7,4.4,1910
"210",28,7,4.4,1914
"211",29,7,3.9,1908
"212",30,7,5.6,1914
"213",31,7,5.6,1897
"214",1,8,5.6,1897
"215",2,8,6.7,1909
"216",3,8,7.2,1930
"217",4,8,6.7,1916
"218",5,8,5.6,1909
"219",6,8,3.3,1909
"220",7,8,6.7,1909
"221",8,8,6.1,1906
"222",9,8,6.1,1901
"223",10,8,6.7,1911
"224",11,8,4.4,1904
"225",12,8,5.6,1904
"226",13,8,5.6,1908
"227",14,8,6.7,1923
"228",15,8,6.1,1906
"229",16,8,4.4,1911
"230",17,8,5,1909
"231",18,8,3.9,1907
"232",19,8,3.3,1907
"233",20,8,5,1916
"234",21,8,5.6,1901
"235",22,8,5,1905
"236",23,8,4.4,1919
"237",24,8,1.7,1910
"238",25,8,2.2,1910
"239",26,8,1.7,1900
"240",27,8,5,1910
"241",28,8,3.3,1909
"242",29,8,4.4,1900
"243",30,8,3.9,1907
"244",31,8,3.9,1907
"245",1,9,4.4,1914
"246",2,9,5,1932
"247",3,9,4.4,1912
"248",4,9,2.8,1903
"249",5,9,3.9,1914
"250",6,9,4.4,1901
"251",7,9,2.2,1896
"252",8,9,2.2,1928
"253",9,9,1.1,1904
"254",10,9,1.7,1910
"255",11,9,4.4,1904
"256",12,9,2.8,1904
"257",13,9,3.3,1970
"258",14,9,1.1,1896
"259",15,9,2.2,1903
"260",16,9,1.7,1901
"261",17,9,1.1,1902
"262",18,9,0.6,1904
"263",19,9,0.6,1904
"264",20,9,0.6,1902
"265",21,9,2.2,1955
"266",22,9,1.7,1902
"267",23,9,-0.6,1926
"268",24,9,-3.3,1908
"269",25,9,-3.9,1908
"270",26,9,-1.1,1908
"271",27,9,-0.6,1909
"272",28,9,0.6,1899
"273",29,9,0,1950
"274",30,9,-0.6,1900
"275",1,10,-0.6,1901
"276",2,10,-1.7,1900
"277",3,10,-1.1,1916
"278",4,10,-2.8,1916
"279",5,10,-2.2,1913
"280",6,10,-2.2,1898
"281",7,10,-1.7,1898
"282",8,10,-1.7,1898
"283",9,10,0,1916
"284",10,10,-0.6,1916
"285",11,10,-0.6,1972
"286",12,10,0,1930
"287",13,10,-2.2,1899
"288",14,10,-2.2,1899
"289",15,10,-1.1,1930
"290",16,10,-1.1,1938
"291",17,10,-2.2,1948
"292",18,10,-4.4,1905
"293",19,10,-3.9,1905
"294",20,10,-2.8,1949
"295",21,10,-2.8,1905
"296",22,10,-2.8,1916
"297",23,10,-1.7,1916
"298",24,10,-6.7,1928
"299",25,10,-3.3,1919
"300",26,10,-3.9,1919
"301",27,10,-1.7,1948
"302",28,10,-3.5,1991
"303",29,10,-4.7,1991
"304",30,10,-6.7,1935
"305",31,10,-7.2,1935
"306",1,11,-7.2,1935
"307",2,11,-8.9,1935
"308",3,11,-5.6,1935
"309",4,11,-5,1935
"310",5,11,-4.4,2003
"311",6,11,-4.6,2003
"312",7,11,-4.4,1936
"313",8,11,-6.7,1945
"314",9,11,-6.7,1911
"315",10,11,-10,1911
"316",11,11,-14.4,1911
"317",12,11,-11.7,1955
"318",13,11,-11.7,1955
"319",14,11,-12.2,1955
"320",15,11,-11.1,1955
"321",16,11,-8.3,1959
"322",17,11,-7.8,1955
"323",18,11,-6.7,1900
"324",19,11,-10,1896
"325",20,11,-11.1,1896
"326",21,11,-11.7,1900
"327",22,11,-10.1,1985
"328",23,11,-12.9,1985
"329",24,11,-10.6,1985
"330",25,11,-13.3,1896
"331",26,11,-11.7,1896
"332",27,11,-15,1896
"333",28,11,-15,1896
"334",29,11,-13.6,1985
"335",30,11,-9.8,1985
"336",1,12,-12.5,1985
"337",2,12,-5.6,1954
"338",3,12,-7.2,1919
"339",4,12,-10,1972
"340",5,12,-7.8,1909
"341",6,12,-12.2,1980
"342",7,12,-11.6,1980
"343",8,12,-11.1,1972
"344",9,12,-10.6,1932
