Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,11.7 °C,13.3 °C,14.3 °C,17.7 °C,24.3 °C,28.3 °C,30.6 °C,28.3 °C,28.7 °C,22.2 °C,17.1 °C,13.9 °C
2,12.3 °C,13.8 °C,14.4 °C,22.1 °C,24.5 °C,30.6 °C,27.5 °C,26.7 °C,27.2 °C,22.8 °C,16.7 °C,13.9 °C
3,11.7 °C,15.3 °C,14.4 °C,17.6 °C,22.2 °C,27.4 °C,30.0 °C,28.9 °C,29.3 °C,23.5 °C,16.7 °C,13.9 °C
4,13.0 °C,13.4 °C,17.2 °C,17.2 °C,22.2 °C,25.8 °C,27.2 °C,28.9 °C,27.2 °C,21.2 °C,18.4 °C,13.9 °C
5,11.7 °C,13.3 °C,16.5 °C,17.8 °C,23.1 °C,26.1 °C,27.8 °C,29.6 °C,28.9 °C,22.7 °C,16.5 °C,13.3 °C
6,12.8 °C,14.5 °C,16.5 °C,19.1 °C,21.6 °C,28.3 °C,28.3 °C,28.3 °C,27.6 °C,20.6 °C,16.4 °C,12.7 °C
7,13.3 °C,15.8 °C,15.6 °C,22.7 °C,22.8 °C,26.1 °C,28.9 °C,29.4 °C,26.1 °C,21.1 °C,15.6 °C,13.3 °C
8,11.7 °C,14.4 °C,15.6 °C,18.6 °C,23.3 °C,28.3 °C,28.1 °C,31.7 °C,26.2 °C,21.1 °C,19.4 °C,13.8 °C
9,11.7 °C,13.9 °C,15.7 °C,18.9 °C,23.3 °C,27.2 °C,28.8 °C,33.3 °C,25.9 °C,22.8 °C,15.0 °C,13.3 °C
10,13.3 °C,13.3 °C,15.3 °C,20.0 °C,22.9 °C,25.0 °C,28.0 °C,29.8 °C,26.1 °C,22.2 °C,15.3 °C,13.1 °C
11,13.8 °C,13.4 °C,16.4 °C,21.5 °C,22.9 °C,28.3 °C,29.4 °C,29.4 °C,28.9 °C,23.7 °C,16.3 °C,11.9 °C
12,13.4 °C,13.6 °C,17.2 °C,22.8 °C,23.9 °C,29.9 °C,30.6 °C,31.9 °C,25.4 °C,19.4 °C,14.5 °C,13.5 °C
13,11.6 °C,12.8 °C,15.0 °C,20.6 °C,26.1 °C,27.3 °C,31.7 °C,27.6 °C,23.5 °C,21.7 °C,14.4 °C,14.4 °C
14,13.3 °C,12.9 °C,15.4 °C,20.0 °C,25.6 °C,25.6 °C,27.8 °C,28.6 °C,26.1 °C,19.4 °C,15.5 °C,13.3 °C
15,12.8 °C,12.6 °C,15.6 °C,21.7 °C,24.2 °C,26.1 °C,28.3 °C,30.6 °C,25.6 °C,20.0 °C,16.1 °C,13.3 °C
16,14.0 °C,16.0 °C,17.1 °C,22.8 °C,28.3 °C,27.8 °C,29.4 °C,30.0 °C,27.3 °C,20.0 °C,14.4 °C,13.3 °C
17,11.8 °C,15.0 °C,14.4 °C,21.7 °C,29.0 °C,28.3 °C,31.0 °C,30.5 °C,24.5 °C,20.0 °C,15.8 °C,11.3 °C
18,11.7 °C,14.4 °C,16.8 °C,24.4 °C,26.2 °C,28.9 °C,28.5 °C,27.2 °C,24.4 °C,20.6 °C,15.0 °C,12.2 °C
19,14.6 °C,14.4 °C,15.4 °C,21.7 °C,25.6 °C,27.9 °C,28.3 °C,28.3 °C,22.6 °C,18.9 °C,15.6 °C,12.0 °C
20,15.3 °C,13.4 °C,17.2 °C,22.2 °C,23.9 °C,28.1 °C,29.4 °C,27.2 °C,24.5 °C,19.5 °C,17.0 °C,12.9 °C
21,15.3 °C,12.8 °C,17.8 °C,20.0 °C,28.9 °C,28.1 °C,28.9 °C,27.8 °C,23.3 °C,20.0 °C,13.9 °C,13.9 °C
22,14.7 °C,14.4 °C,18.9 °C,22.2 °C,24.4 °C,27.2 °C,29.7 °C,29.4 °C,25.5 °C,18.1 °C,16.1 °C,13.5 °C
23,14.1 °C,14.7 °C,15.9 °C,21.1 °C,25.0 °C,26.1 °C,29.8 °C,25.6 °C,27.8 °C,17.3 °C,14.4 °C,12.8 °C
24,13.3 °C,15.0 °C,16.1 °C,21.7 °C,28.3 °C,26.7 °C,27.8 °C,27.2 °C,24.8 °C,19.5 °C,15.0 °C,14.1 °C
25,14.1 °C,14.9 °C,19.4 °C,19.5 °C,26.1 °C,28.8 °C,31.5 °C,28.3 °C,22.9 °C,18.3 °C,15.0 °C,14.3 °C
26,13.7 °C,14.6 °C,18.8 °C,24.4 °C,26.1 °C,30.2 °C,29.2 °C,28.3 °C,22.4 °C,17.2 °C,15.0 °C,14.9 °C
27,12.2 °C,18.4 °C,16.9 °C,25.0 °C,25.5 °C,27.2 °C,29.9 °C,27.2 °C,24.4 °C,18.9 °C,14.5 °C,12.4 °C
28,13.9 °C,14.4 °C,18.3 °C,21.7 °C,25.9 °C,27.5 °C,31.9 °C,27.8 °C,22.8 °C,17.2 °C,13.1 °C,11.6 °C
29,13.3 °C,14.4 °C,18.5 °C,23.9 °C,30.4 °C,28.6 °C,34.0 °C,29.5 °C,22.6 °C,17.2 °C,14.4 °C,12.1 °C
30,14.4 °C,,18.9 °C,23.9 °C,27.8 °C,28.9 °C,34.4 °C,26.7 °C,24.2 °C,18.3 °C,15.0 °C,11.4 °C
31,14.8 °C,,17.1 °C,,24.3 °C,,29.4 °C,26.7 °C,,16.1 °C,,13.3 °C
