Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,10.0 °C,8.9 °C,10.3 °C,9.4 °C,10.7 °C,14.3 °C,17.6 °C,17.8 °C,16.0 °C,12.9 °C,11.1 °C,8.3 °C
2,8.3 °C,9.1 °C,8.9 °C,9.3 °C,12.8 °C,14.5 °C,17.8 °C,17.5 °C,17.8 °C,13.3 °C,11.0 °C,9.4 °C
3,7.8 °C,7.3 °C,8.3 °C,9.1 °C,13.0 °C,15.3 °C,16.7 °C,17.0 °C,16.1 °C,13.8 °C,11.0 °C,9.4 °C
4,8.1 °C,8.8 °C,9.4 °C,8.9 °C,10.9 °C,15.5 °C,16.7 °C,16.9 °C,16.0 °C,13.9 °C,11.7 °C,9.4 °C
5,7.2 °C,8.3 °C,9.1 °C,9.7 °C,12.9 °C,15.7 °C,17.2 °C,19.3 °C,17.8 °C,14.4 °C,11.7 °C,7.8 °C
6,7.7 °C,10.5 °C,8.8 °C,10.0 °C,12.8 °C,15.6 °C,17.2 °C,17.2 °C,17.7 °C,13.2 °C,11.4 °C,8.9 °C
7,11.0 °C,9.9 °C,9.4 °C,11.7 °C,12.0 °C,16.4 °C,17.8 °C,17.5 °C,16.1 °C,14.0 °C,11.3 °C,8.5 °C
8,7.5 °C,9.0 °C,8.4 °C,10.4 °C,11.7 °C,15.6 °C,15.6 °C,18.8 °C,16.6 °C,13.1 °C,12.2 °C,8.9 °C
9,7.2 °C,8.9 °C,9.9 °C,9.7 °C,12.2 °C,14.4 °C,16.7 °C,18.9 °C,16.7 °C,14.4 °C,11.8 °C,7.2 °C
10,8.2 °C,8.2 °C,9.2 °C,8.5 °C,13.3 °C,15.0 °C,18.3 °C,18.7 °C,15.6 °C,13.8 °C,10.9 °C,7.8 °C
11,9.4 °C,7.8 °C,9.1 °C,10.0 °C,12.7 °C,14.3 °C,18.3 °C,19.4 °C,15.6 °C,12.8 °C,12.3 °C,8.9 °C
12,9.3 °C,8.6 °C,8.3 °C,10.0 °C,13.4 °C,14.4 °C,18.9 °C,18.3 °C,16.1 °C,12.6 °C,11.4 °C,7.8 °C
13,8.4 °C,7.8 °C,9.8 °C,10.6 °C,13.1 °C,15.9 °C,18.3 °C,17.8 °C,15.6 °C,13.3 °C,10.1 °C,8.9 °C
14,8.9 °C,8.0 °C,9.2 °C,9.8 °C,13.5 °C,15.6 °C,18.9 °C,17.2 °C,15.8 °C,13.3 °C,10.6 °C,8.3 °C
15,9.4 °C,7.5 °C,8.7 °C,11.2 °C,13.4 °C,16.1 °C,17.8 °C,18.3 °C,16.2 °C,12.8 °C,10.6 °C,8.5 °C
16,8.3 °C,8.0 °C,10.0 °C,10.6 °C,13.0 °C,16.1 °C,20.0 °C,17.8 °C,14.4 °C,12.4 °C,10.0 °C,8.9 °C
17,8.5 °C,8.9 °C,9.4 °C,10.0 °C,13.3 °C,16.1 °C,20.0 °C,18.1 °C,15.5 °C,13.3 °C,11.1 °C,8.9 °C
18,8.4 °C,8.7 °C,8.9 °C,10.0 °C,13.0 °C,16.1 °C,21.1 °C,16.7 °C,14.7 °C,15.0 °C,10.6 °C,9.5 °C
19,10.5 °C,7.8 °C,9.7 °C,10.9 °C,15.2 °C,16.1 °C,18.3 °C,17.8 °C,14.8 °C,15.0 °C,10.2 °C,8.3 °C
20,8.9 °C,7.6 °C,8.9 °C,9.8 °C,13.9 °C,15.5 °C,17.8 °C,17.8 °C,15.9 °C,15.6 °C,9.3 °C,8.3 °C
21,9.6 °C,6.7 °C,8.9 °C,12.8 °C,12.6 °C,16.1 °C,18.0 °C,19.4 °C,15.0 °C,13.3 °C,11.7 °C,9.2 °C
22,10.6 °C,7.8 °C,9.0 °C,10.0 °C,12.8 °C,16.1 °C,19.9 °C,17.0 °C,15.0 °C,12.2 °C,11.7 °C,8.5 °C
23,10.9 °C,9.9 °C,8.5 °C,11.0 °C,14.0 °C,17.4 °C,19.2 °C,17.8 °C,17.4 °C,13.7 °C,11.1 °C,8.9 °C
24,10.2 °C,9.4 °C,8.3 °C,11.8 °C,14.0 °C,15.7 °C,18.9 °C,16.1 °C,14.8 °C,12.2 °C,10.1 °C,8.6 °C
25,8.4 °C,7.8 °C,8.4 °C,12.4 °C,14.3 °C,16.1 °C,17.2 °C,16.6 °C,14.6 °C,12.9 °C,11.7 °C,9.2 °C
26,9.8 °C,8.6 °C,10.7 °C,12.3 °C,13.9 °C,17.7 °C,19.4 °C,16.7 °C,13.8 °C,12.0 °C,8.9 °C,11.0 °C
27,9.2 °C,8.3 °C,8.3 °C,11.1 °C,14.6 °C,16.1 °C,19.6 °C,16.7 °C,14.4 °C,11.2 °C,8.7 °C,7.8 °C
28,8.2 °C,8.9 °C,9.1 °C,10.6 °C,14.0 °C,17.7 °C,19.9 °C,18.1 °C,13.9 °C,11.7 °C,7.2 °C,7.5 °C
29,7.4 °C,7.8 °C,10.0 °C,10.8 °C,14.8 °C,18.8 °C,20.2 °C,16.8 °C,13.3 °C,10.0 °C,9.4 °C,8.8 °C
30,8.9 °C,,10.0 °C,11.1 °C,13.9 °C,17.8 °C,22.4 °C,16.4 °C,15.1 °C,11.7 °C,8.3 °C,7.4 °C
31,8.7 °C,,8.8 °C,,15.1 °C,,17.4 °C,16.1 °C,,11.4 °C,,10.0 °C
