Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-3.9 °C,-5.0 °C,-2.2 °C,5.7 °C,9.4 °C,12.3 °C,13.3 °C,15.3 °C,13.8 °C,9.4 °C,4.4 °C,-1.6 °C
2,-8.3 °C,-7.0 °C,-1.1 °C,6.1 °C,9.4 °C,11.7 °C,12.8 °C,17.2 °C,13.9 °C,8.9 °C,5.0 °C,0.4 °C
3,-5.6 °C,-6.7 °C,0.0 °C,7.1 °C,8.3 °C,12.2 °C,12.8 °C,16.1 °C,12.8 °C,10.0 °C,4.3 °C,0.7 °C
4,-6.1 °C,-5.0 °C,-2.2 °C,6.0 °C,9.4 °C,11.7 °C,15.0 °C,14.4 °C,14.4 °C,10.6 °C,2.1 °C,-1.1 °C
5,-5.5 °C,-2.2 °C,-3.3 °C,6.7 °C,8.3 °C,11.5 °C,14.7 °C,15.6 °C,15.2 °C,10.8 °C,4.4 °C,-4.5 °C
6,-4.4 °C,-1.7 °C,0.0 °C,5.6 °C,8.8 °C,11.1 °C,15.6 °C,15.6 °C,14.3 °C,10.1 °C,2.8 °C,-4.4 °C
7,-6.7 °C,-6.7 °C,0.0 °C,8.3 °C,10.5 °C,13.3 °C,15.2 °C,15.0 °C,13.8 °C,9.4 °C,1.7 °C,-3.9 °C
8,-10.6 °C,-3.9 °C,1.1 °C,6.7 °C,10.2 °C,11.7 °C,15.6 °C,16.7 °C,13.3 °C,8.3 °C,1.7 °C,-3.3 °C
9,-11.7 °C,-5.6 °C,-1.7 °C,6.7 °C,8.3 °C,11.7 °C,15.6 °C,16.1 °C,12.6 °C,8.3 °C,2.8 °C,-1.7 °C
10,-6.1 °C,-1.5 °C,2.2 °C,7.8 °C,7.2 °C,13.6 °C,15.5 °C,16.0 °C,13.5 °C,9.4 °C,-2.8 °C,-2.2 °C
11,-6.1 °C,-1.4 °C,1.1 °C,6.7 °C,9.4 °C,12.2 °C,15.6 °C,16.7 °C,13.9 °C,10.0 °C,-3.9 °C,-5.0 °C
12,-6.7 °C,-1.1 °C,-0.6 °C,6.7 °C,11.1 °C,13.9 °C,16.1 °C,16.7 °C,13.3 °C,9.6 °C,-6.7 °C,-5.6 °C
13,-11.1 °C,-4.4 °C,1.1 °C,7.8 °C,11.1 °C,13.9 °C,16.7 °C,15.6 °C,13.3 °C,10.4 °C,-5.0 °C,-8.3 °C
14,-10.6 °C,-7.8 °C,2.2 °C,7.2 °C,10.0 °C,13.9 °C,16.0 °C,15.9 °C,13.3 °C,8.8 °C,-5.0 °C,-5.6 °C
15,-7.8 °C,-5.0 °C,3.9 °C,7.2 °C,10.0 °C,13.3 °C,15.1 °C,15.0 °C,10.6 °C,8.9 °C,-2.8 °C,-3.9 °C
16,-7.8 °C,-3.9 °C,4.1 °C,7.8 °C,11.7 °C,14.4 °C,13.9 °C,14.4 °C,13.2 °C,7.2 °C,0.6 °C,-10.0 °C
17,-9.4 °C,-0.3 °C,4.0 °C,6.7 °C,10.9 °C,14.4 °C,15.6 °C,15.6 °C,13.8 °C,7.8 °C,-0.6 °C,-6.1 °C
18,-7.2 °C,0.0 °C,1.2 °C,7.8 °C,11.7 °C,11.8 °C,15.8 °C,13.9 °C,13.1 °C,6.7 °C,-1.7 °C,-5.0 °C
19,-7.8 °C,-4.5 °C,3.5 °C,8.3 °C,10.6 °C,13.9 °C,16.7 °C,15.0 °C,13.3 °C,8.3 °C,-2.2 °C,-5.0 °C
20,-8.3 °C,1.1 °C,1.1 °C,7.2 °C,11.3 °C,14.5 °C,16.1 °C,14.4 °C,11.1 °C,8.9 °C,-2.8 °C,-5.3 °C
21,-10.0 °C,-1.7 °C,2.2 °C,8.3 °C,11.7 °C,13.8 °C,17.2 °C,13.3 °C,12.2 °C,7.8 °C,-2.2 °C,-7.0 °C
22,-8.3 °C,-4.4 °C,3.9 °C,7.8 °C,10.6 °C,13.3 °C,17.2 °C,16.1 °C,12.2 °C,7.2 °C,-3.9 °C,-5.0 °C
23,-5.6 °C,-1.1 °C,4.4 °C,9.4 °C,10.0 °C,15.6 °C,15.8 °C,16.1 °C,11.7 °C,8.2 °C,-3.2 °C,-3.2 °C
24,-10.6 °C,-1.7 °C,3.9 °C,7.8 °C,11.7 °C,12.8 °C,17.8 °C,15.5 °C,11.1 °C,0.0 °C,-2.2 °C,-1.1 °C
25,-5.6 °C,-0.7 °C,4.4 °C,8.6 °C,12.2 °C,14.4 °C,14.4 °C,15.0 °C,11.1 °C,6.1 °C,-4.3 °C,-1.7 °C
26,-6.1 °C,-1.4 °C,1.7 °C,7.8 °C,11.7 °C,14.4 °C,15.6 °C,15.0 °C,10.6 °C,5.0 °C,-7.7 °C,-4.7 °C
27,-7.2 °C,1.1 °C,4.4 °C,9.8 °C,11.3 °C,12.8 °C,15.6 °C,14.4 °C,10.0 °C,7.7 °C,-8.7 °C,-4.0 °C
28,-7.8 °C,1.7 °C,4.4 °C,9.5 °C,12.2 °C,14.4 °C,16.1 °C,13.9 °C,11.1 °C,3.0 °C,-5.8 °C,-10.6 °C
29,-7.2 °C,3.9 °C,4.4 °C,8.9 °C,11.7 °C,14.4 °C,16.7 °C,15.6 °C,10.0 °C,4.4 °C,-5.2 °C,-11.1 °C
30,-10.0 °C,,4.4 °C,9.0 °C,12.2 °C,12.0 °C,14.4 °C,13.9 °C,10.0 °C,3.3 °C,-1.0 °C,-8.9 °C
31,-6.7 °C,,6.3 °C,,12.8 °C,,16.2 °C,15.4 °C,,1.2 °C,,-7.2 °C
