Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-11.2 °C,-16.1 °C,-8.9 °C,-2.8 °C,0.0 °C,2.8 °C,5.0 °C,5.6 °C,4.4 °C,-0.6 °C,-7.2 °C,-12.5 °C
2,-14.4 °C,-12.8 °C,-11.7 °C,-2.8 °C,1.1 °C,3.9 °C,5.0 °C,6.7 °C,5.0 °C,-1.7 °C,-8.9 °C,-5.6 °C
3,-14.4 °C,-15.0 °C,-11.1 °C,-2.8 °C,2.0 °C,2.2 °C,6.1 °C,7.2 °C,4.4 °C,-1.1 °C,-5.6 °C,-7.2 °C
4,-16.7 °C,-12.2 °C,-9.4 °C,-3.3 °C,1.1 °C,2.8 °C,4.4 °C,6.7 °C,2.8 °C,-2.8 °C,-5.0 °C,-10.0 °C
5,-11.9 °C,-12.2 °C,-7.8 °C,-2.8 °C,1.1 °C,3.3 °C,5.6 °C,5.6 °C,3.9 °C,-2.2 °C,-4.4 °C,-7.8 °C
6,-14.1 °C,-10.0 °C,-7.2 °C,-2.2 °C,0.6 °C,2.8 °C,5.6 °C,3.3 °C,4.4 °C,-2.2 °C,-4.6 °C,-12.2 °C
7,-13.3 °C,-13.9 °C,-5.6 °C,-1.7 °C,2.2 °C,2.8 °C,5.0 °C,6.7 °C,2.2 °C,-1.7 °C,-4.4 °C,-11.6 °C
8,-14.4 °C,-10.6 °C,-5.3 °C,-1.1 °C,-0.6 °C,3.3 °C,5.6 °C,6.1 °C,2.2 °C,-1.7 °C,-6.7 °C,-11.1 °C
9,-15.0 °C,-11.1 °C,-5.6 °C,-2.2 °C,0.6 °C,3.9 °C,5.6 °C,6.1 °C,1.1 °C,0.0 °C,-6.7 °C,-10.6 °C
10,-14.4 °C,-10.6 °C,-9.4 °C,-2.2 °C,1.1 °C,3.3 °C,6.7 °C,6.7 °C,1.7 °C,-0.6 °C,-10.0 °C,-11.7 °C
11,-16.7 °C,-8.3 °C,-7.8 °C,-1.7 °C,1.1 °C,4.4 °C,4.4 °C,4.4 °C,4.4 °C,-0.6 °C,-14.4 °C,-13.9 °C
12,-15.6 °C,-9.4 °C,-8.9 °C,-1.1 °C,2.2 °C,3.9 °C,4.4 °C,5.6 °C,2.8 °C,0.0 °C,-11.7 °C,-16.7 °C
13,-17.2 °C,-12.2 °C,-9.4 °C,-2.8 °C,2.2 °C,3.9 °C,4.4 °C,5.6 °C,3.3 °C,-2.2 °C,-11.7 °C,-12.2 °C
14,-17.8 °C,-11.7 °C,-7.8 °C,-1.7 °C,-0.6 °C,5.0 °C,5.6 °C,6.7 °C,1.1 °C,-2.2 °C,-12.2 °C,-11.1 °C
15,-15.6 °C,-13.3 °C,-5.6 °C,-0.6 °C,0.0 °C,3.3 °C,5.6 °C,6.1 °C,2.2 °C,-1.1 °C,-11.1 °C,-14.4 °C
16,-14.4 °C,-12.2 °C,-5.0 °C,-0.6 °C,3.9 °C,5.0 °C,6.1 °C,4.4 °C,1.7 °C,-1.1 °C,-8.3 °C,-16.7 °C
17,-13.9 °C,-11.0 °C,-4.1 °C,-1.7 °C,1.7 °C,4.4 °C,7.2 °C,5.0 °C,1.1 °C,-2.2 °C,-7.8 °C,-16.1 °C
18,-16.7 °C,-10.7 °C,-4.4 °C,-1.7 °C,1.1 °C,5.0 °C,5.0 °C,3.9 °C,0.6 °C,-4.4 °C,-6.7 °C,-12.8 °C
19,-17.8 °C,-10.6 °C,-4.4 °C,-3.3 °C,2.8 °C,4.4 °C,5.0 °C,3.3 °C,0.6 °C,-3.9 °C,-10.0 °C,-11.7 °C
20,-15.6 °C,-6.7 °C,-6.7 °C,-1.7 °C,2.2 °C,3.9 °C,6.7 °C,5.0 °C,0.6 °C,-2.8 °C,-11.1 °C,-15.2 °C
21,-13.9 °C,-10.0 °C,-5.6 °C,-0.6 °C,1.1 °C,5.0 °C,5.6 °C,5.6 °C,2.2 °C,-2.8 °C,-11.7 °C,-11.8 °C
22,-16.1 °C,-12.8 °C,-3.9 °C,0.1 °C,1.7 °C,4.4 °C,6.1 °C,5.0 °C,1.7 °C,-2.8 °C,-10.1 °C,-11.5 °C
23,-16.1 °C,-7.8 °C,-3.9 °C,-0.6 °C,2.2 °C,1.7 °C,6.7 °C,4.4 °C,-0.6 °C,-1.7 °C,-12.9 °C,-13.2 °C
24,-15.0 °C,-10.0 °C,-4.4 °C,0.0 °C,1.7 °C,3.9 °C,6.7 °C,1.7 °C,-3.3 °C,-6.7 °C,-10.6 °C,-12.8 °C
25,-17.2 °C,-8.1 °C,-5.6 °C,-0.6 °C,0.6 °C,2.2 °C,6.7 °C,2.2 °C,-3.9 °C,-3.3 °C,-13.3 °C,-12.2 °C
26,-11.7 °C,-7.8 °C,-5.0 °C,-0.6 °C,1.7 °C,5.0 °C,5.6 °C,1.7 °C,-1.1 °C,-3.9 °C,-11.7 °C,-12.5 °C
27,-13.9 °C,-7.8 °C,-2.2 °C,-2.2 °C,2.8 °C,5.6 °C,4.4 °C,5.0 °C,-0.6 °C,-1.7 °C,-15.0 °C,-12.8 °C
28,-16.1 °C,-8.3 °C,-4.4 °C,-0.6 °C,2.2 °C,5.0 °C,4.4 °C,3.3 °C,0.6 °C,-3.5 °C,-15.0 °C,-16.1 °C
29,-16.1 °C,-5.0 °C,-3.9 °C,0.0 °C,2.8 °C,4.4 °C,3.9 °C,4.4 °C,0.0 °C,-4.7 °C,-13.6 °C,-17.8 °C
30,-16.7 °C,,-4.4 °C,-0.6 °C,1.7 °C,5.0 °C,5.6 °C,3.9 °C,-0.6 °C,-6.7 °C,-9.8 °C,-16.1 °C
31,-16.7 °C,,-3.3 °C,,3.3 °C,,5.6 °C,3.9 °C,,-7.2 °C,,-13.5 °C
