"MAX_TEMPERATURE","MIN_TEMPERATURE","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY"
NA,NA,1937-05-14 23:00:00,1937,5,15
8.9,NA,1937-11-16 23:00:00,1937,11,17
NA,0,1938-03-21 23:00:00,1938,3,22
NA,1.7,1938-03-22 23:00:00,1938,3,23
NA,2.2,1938-03-23 23:00:00,1938,3,24
NA,1.7,1938-03-24 23:00:00,1938,3,25
23.3,NA,1942-07-06 00:00:00,1942,7,6
NA,NA,1995-11-30 23:00:00,1995,12,1
NA,NA,1995-12-01 23:00:00,1995,12,2
NA,NA,1995-12-02 23:00:00,1995,12,3
NA,NA,1995-12-03 23:00:00,1995,12,4
NA,NA,1996-05-22 00:00:00,1996,5,22
NA,NA,1996-08-10 00:00:00,1996,8,10
NA,NA,1996-11-14 23:00:00,1996,11,15
NA,NA,2002-04-11 00:00:00,2002,4,11
NA,11.2,2015-06-15 00:00:00,2015,6,15
NA,6.6,2016-02-17 23:00:00,2016,2,18
NA,15.2,2016-07-07 00:00:00,2016,7,7
15.1,NA,2016-10-02 00:00:00,2016,10,2
NA,8.6,2017-04-23 00:00:00,2017,4,23
NA,6.9,2017-10-25 00:00:00,2017,10,25
NA,-0.6,2017-11-06 23:00:00,2017,11,7
NA,2,2017-11-07 23:00:00,2017,11,8
20.5,NA,2018-08-18 00:00:00,2018,8,18
NA,NA,2019-06-17 00:00:00,2019,6,17
NA,NA,2019-06-18 00:00:00,2019,6,18
NA,NA,2019-06-19 00:00:00,2019,6,19
