"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1937-05-15,1937,5,15,NA,NA,NA
"2",1937-11-17,1937,11,17,NA,8.9,NA
"3",1938-03-22,1938,3,22,0,NA,NA
"4",1938-03-23,1938,3,23,1.7,NA,NA
"5",1938-03-24,1938,3,24,2.2,NA,NA
"6",1938-03-25,1938,3,25,1.7,NA,NA
"7",1942-07-06,1942,7,6,NA,23.3,NA
"8",1995-12-01,1995,12,1,NA,NA,NA
"9",1995-12-02,1995,12,2,NA,NA,NA
"10",1995-12-03,1995,12,3,NA,NA,NA
"11",1995-12-04,1995,12,4,NA,NA,NA
"12",1996-05-22,1996,5,22,NA,NA,NA
"13",1996-08-10,1996,8,10,NA,NA,NA
"14",1996-11-15,1996,11,15,NA,NA,NA
"15",2002-04-11,2002,4,11,NA,NA,NA
"16",2013-12-27,2013,12,27,2,NA,NA
"17",2014-05-29,2014,5,29,11.4,NA,NA
"18",2015-06-15,2015,6,15,11.2,NA,NA
"19",2016-02-18,2016,2,18,6.6,NA,NA
"20",2016-07-07,2016,7,7,15.2,NA,NA
"21",2016-10-02,2016,10,2,NA,15.1,NA
"22",2017-04-23,2017,4,23,8.6,NA,NA
"23",2017-10-25,2017,10,25,6.9,NA,NA
"24",2017-11-07,2017,11,7,-0.6,NA,NA
"25",2017-11-08,2017,11,8,2,NA,NA
"26",2018-08-18,2018,8,18,NA,20.5,NA
"27",2019-06-17,2019,6,17,NA,NA,NA
"28",2019-06-18,2019,6,18,NA,NA,NA
"29",2019-06-19,2019,6,19,NA,NA,NA
"30",2010-09-01,2010,9,1,NA,NA,NA
"31",2010-09-02,2010,9,2,NA,NA,NA
"32",2010-09-03,2010,9,3,NA,NA,NA
"33",2010-09-04,2010,9,4,NA,NA,NA
"34",2010-09-05,2010,9,5,NA,NA,NA
"35",2010-09-06,2010,9,6,NA,NA,NA
"36",2010-09-07,2010,9,7,NA,NA,NA
"37",2010-09-08,2010,9,8,NA,NA,NA
"38",2010-09-09,2010,9,9,NA,NA,NA
"39",2010-09-10,2010,9,10,NA,NA,NA
"40",2010-09-11,2010,9,11,NA,NA,NA
"41",2010-09-12,2010,9,12,NA,NA,NA
"42",2010-09-13,2010,9,13,NA,NA,NA
"43",2010-09-14,2010,9,14,NA,NA,NA
"44",2010-09-15,2010,9,15,NA,NA,NA
"45",2010-09-16,2010,9,16,NA,NA,NA
"46",2010-09-17,2010,9,17,NA,NA,NA
"47",2010-09-18,2010,9,18,NA,NA,NA
"48",2010-09-19,2010,9,19,NA,NA,NA
"49",2010-09-20,2010,9,20,NA,NA,NA
"50",2010-09-21,2010,9,21,NA,NA,NA
"51",2010-09-22,2010,9,22,NA,NA,NA
"52",2010-09-23,2010,9,23,NA,NA,NA
"53",2010-09-24,2010,9,24,NA,NA,NA
"54",2010-09-25,2010,9,25,NA,NA,NA
"55",2010-09-26,2010,9,26,NA,NA,NA
"56",2010-09-27,2010,9,27,NA,NA,NA
"57",2010-09-28,2010,9,28,NA,NA,NA
"58",2010-09-29,2010,9,29,NA,NA,NA
"59",2010-09-30,2010,9,30,NA,NA,NA
"60",2013-06-12,2013,6,12,NA,NA,NA
"61",2013-06-19,2013,6,19,NA,NA,NA
"62",2013-06-23,2013,6,23,NA,NA,NA
"63",2013-08-17,2013,8,17,NA,NA,NA
"64",2013-08-18,2013,8,18,NA,NA,NA
"65",2013-09-22,2013,9,22,NA,NA,NA
"66",2013-10-08,2013,10,8,NA,NA,NA
"67",2013-10-18,2013,10,18,NA,NA,NA
"68",2013-11-07,2013,11,7,NA,NA,NA
