"","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY","MIN_TEMPERATURE","MAX_TEMPERATURE","MEAN_TEMPERATURE"
"1",1896-02-01,1896,2,1,3.3,7.2,5.2
"2",1896-02-02,1896,2,2,2.8,7.8,5.3
"3",1896-02-03,1896,2,3,-0.6,4.4,1.9
"4",1896-02-04,1896,2,4,-1.1,2.2,0.6
"5",1896-02-05,1896,2,5,2.2,6.7,4.5
"6",1896-02-06,1896,2,6,-2.2,6.1,2
"7",1896-02-07,1896,2,7,0,7.2,3.6
"8",1896-02-08,1896,2,8,1.1,7.8,4.5
"9",1896-02-09,1896,2,9,0.6,6.7,3.6
"10",1896-02-10,1896,2,10,-3.9,3.3,-0.3
"11",1896-02-11,1896,2,11,0.6,6.7,3.6
"12",1896-02-12,1896,2,12,3.9,7.8,5.8
"13",1896-02-13,1896,2,13,5.6,8.9,7.2
"14",1896-02-14,1896,2,14,4.4,8.3,6.4
"15",1896-02-15,1896,2,15,2.2,11.1,6.7
"16",1896-02-16,1896,2,16,6.7,12.2,9.5
"17",1896-02-17,1896,2,17,-0.6,6.7,3.1
"18",1896-02-18,1896,2,18,-2.2,7.2,2.5
"19",1896-02-19,1896,2,19,-1.7,8.9,3.6
"20",1896-02-20,1896,2,20,1.1,7.8,4.5
"21",1896-02-21,1896,2,21,5,10.6,7.8
"22",1896-02-22,1896,2,22,1.7,11.1,6.4
"23",1896-02-23,1896,2,23,3.9,11.1,7.5
"24",1896-02-24,1896,2,24,7.8,10.6,9.2
"25",1896-02-25,1896,2,25,7.2,11.1,9.2
"26",1896-02-26,1896,2,26,5,8.9,7
"27",1896-02-27,1896,2,27,2.2,6.1,4.2
"28",1896-02-28,1896,2,28,2.8,7.2,5
"29",1896-02-29,1896,2,29,-5,4.4,-0.3
"30",1896-03-01,1896,3,1,-8.9,-2.2,-5.6
"31",1896-03-02,1896,3,2,-11.7,-1.1,-6.4
"32",1896-03-03,1896,3,3,-11.1,1.1,-5
"33",1896-03-04,1896,3,4,-6.7,3.9,-1.4
"34",1896-03-05,1896,3,5,-2.8,3.9,0.5
"35",1896-03-06,1896,3,6,-1.7,5.6,2
"36",1896-03-07,1896,3,7,-1.1,7.8,3.3
"37",1896-03-08,1896,3,8,3.9,7.2,5.5
"38",1896-03-09,1896,3,9,2.8,6.7,4.8
"39",1896-03-10,1896,3,10,4.4,9.4,6.9
"40",1896-03-11,1896,3,11,1.7,8.9,5.3
"41",1896-03-12,1896,3,12,1.7,7.8,4.8
"42",1896-03-13,1896,3,13,0,8.9,4.5
"43",1896-03-14,1896,3,14,0,8.3,4.2
"44",1896-03-15,1896,3,15,-2.2,8.9,3.4
"45",1896-03-16,1896,3,16,-1.1,10.6,4.8
"46",1896-03-17,1896,3,17,-1.1,11.1,5
"47",1896-03-18,1896,3,18,-0.6,11.7,5.6
"48",1896-03-19,1896,3,19,6.7,14.4,10.6
"49",1896-03-20,1896,3,20,5,10,7.5
"50",1896-03-21,1896,3,21,0,11.7,5.9
"51",1896-03-22,1896,3,22,-1.7,9.4,3.8
"52",1896-03-23,1896,3,23,5.6,12.2,8.9
"53",1896-03-24,1896,3,24,6.7,10.6,8.7
"54",1896-03-25,1896,3,25,3.3,10.6,7
"55",1896-03-26,1896,3,26,-1.1,10,4.5
"56",1896-03-27,1896,3,27,3.3,7.8,5.5
"57",1896-03-28,1896,3,28,-1.1,9.4,4.2
"58",1896-03-29,1896,3,29,1.7,7.8,4.8
"59",1896-03-30,1896,3,30,2.2,7.2,4.7
"60",1896-03-31,1896,3,31,-2.2,10,3.9
"61",1896-04-01,1896,4,1,2.2,11.1,6.7
